股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,行业入口候选,龙头身份关系已核实候选,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
000798,中水集团远洋股份有限公司,2023,4.0,渔业,行业分类候选,1,0,捕捞、渔业服务,2926498175.17,4041783287.5,0.72406113,否（采用分行业不重叠口径）,是,是,否,捕捞与渔业服务分别对应A04和A05，合计严格口径72.41%；未将一般零售、加工及贸易机械计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-28/1219426831.PDF,12,80,已人工复核（第一批）,严格口径占比=0.72406113；扩展口径占比=0.72406113；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
000998,袁隆平农业高科技股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,农业（水稻种子、玉米种子）,7807420305.76,9223216747.53,0.84649646,否（采用分行业不重叠口径）,是,是,否,农业分行业收入占84.65%，达到严格样本50%门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866222.PDF,31,108,已人工复核（第一批）,严格口径占比=0.84649646；扩展口径占比=0.84649646；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
001201,东瑞食品集团股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,畜牧业（生猪）,961270931.71,1037067905.17,0.92691224,否（采用分行业不重叠口径）,是,是,否,生猪收入严格口径92.69%；加入饲料后扩展口径97.39%。年报注明饲料主要供内部猪场使用，但表列收入未与生猪收入重叠。,,,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219910083.PDF,17,151,已人工复核（第一批）,严格口径占比=0.92691224；扩展口径占比=0.97394434；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
002041,山东登海种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,农业（种业）,1551975042.78,1551975042.78,1.0,否（采用营业收入构成总表）,是,是,否,"营业收入构成表中农业收入占100%；未误用仅披露占比10%以上项目的1,531,128,505.10元。",,,,https://static.cninfo.com.cn/finalpage/2024-04-23/1219737119.PDF,14,64,已人工复核（第一批）,严格口径占比=1.0；扩展口径占比=1.0；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
002124,天邦食品股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,生猪养殖,7310675390.02,10231927988.44,0.71449637,否（采用分行业不重叠口径）,是,是,否,生猪养殖收入严格口径71.45%；加入屠宰等食品加工后扩展口径95.72%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219920450.PDF,19,79,已人工复核（第一批）,严格口径占比=0.71449637；扩展口径占比=0.95722291；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
002157,江西正邦科技股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,养殖,4484299845.66,6991677730.61,0.64137679,否（采用同一拆分维度；已排除重复维度）,是,是,否,养殖收入严格口径64.14%，达到50%；加入饲料后扩展口径98.57%。2023年曾ST，最终回归剔除。,是,是,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219923507.PDF,17,112,已人工复核（第二批）,严格口径占比=0.64137679；扩展口径占比=0.98568615；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002458,山东益生种畜禽股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,鸡、猪、乳品,3094339371.59,3224676928.89,0.9595812,否（采用同一拆分维度；已排除重复维度）,是,是,否,种畜禽及乳品收入严格口径95.96%；加入畜牧设备后扩展口径99.04%。,,,,https://static.cninfo.com.cn/finalpage/2024-03-07/1219249443.PDF,20,80,已人工复核（第二批）,严格口径占比=0.9595812；扩展口径占比=0.99038036；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002679,福建金森林业股份有限公司,2023,2.0,林业,行业分类候选,1,0,林业,145501169.23,147650078.15,0.98544593,否（采用同一拆分维度；已排除重复维度）,是,是,否,林业分行业收入占98.54%，达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-07-06/1220543069.PDF,13,71,已人工复核（第二批）,严格口径占比=0.98544593；扩展口径占比=0.98544593；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002714,牧原食品集团股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,养殖业务（生猪）,108224321673.98,110860727714.4,0.97621876,否（采用同一拆分维度；已排除重复维度）,是,是,否,养殖业务收入占97.62%，达到严格样本门槛。屠宰业务与养殖存在内部交易抵销，本次不重复相加。,,,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219861302.PDF,22,139,已人工复核（第二批）,严格口径占比=0.97621876；扩展口径占比=0.97621876；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002772,天水众兴菌业科技股份有限公司,2023,1.0,农业,行业分类候选+龙头企业身份核实候选,1,1,农业种植业（食用菌）,1930925770.36,1931077659.25,0.99992135,否（采用同一拆分维度；已排除重复维度）,是,是,否,农业种植业收入占99.99%，达到严格样本门槛；厂房租赁未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-26/1219405509.PDF,15,102,已人工复核（第二批）,严格口径占比=0.99992135；扩展口径占比=0.99992135；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
300087,安徽荃银高科种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,水稻、玉米、小麦、棉花、瓜菜、大豆及其他作物种子,2844711221.82,4102895157.95,0.69334241,否（采用同一拆分维度；已排除重复维度）,是,是,否,仅七类种子收入合计已占69.33%，达到严格样本门槛；未依赖边界业务扩大分子。,,,,https://static.cninfo.com.cn/finalpage/2024-03-23/1219389382.PDF,17,88,已人工复核（第二批）,严格口径占比=0.69334241；扩展口径占比=0.69334241；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
