股票代码,公司全称,年份,公司营业收入_元,严格口径涉农业务,严格口径涉农收入_元,严格口径涉农收入占比,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,当年曾ST_已核实,最终回归样本资格_当前规则,纳入或剔除理由,主营业务证据PDF页序号,营业收入证据PDF页序号,年报链接,复核状态,复核日期
002299,福建圣农发展股份有限公司,2023,18486738694.46,家禽养殖（与加工合并披露，无法可靠拆分）,,,家禽饲养加工行业,10517359334.59,0.56891372,合并披露风险：养殖与加工无法可靠拆分；未估算严格口径,待核实,是,否,否,是（扩展样本；严格口径待核实）,家禽饲养加工合并收入占56.89%，扩展口径达标；年报未可靠拆分养殖和初加工，严格口径保持待核实。,25,109,https://static.cninfo.com.cn/finalpage/2024-03-28/1219428601.PDF,已人工复核（第三批）,2026-08-06
002321,河南华英农业发展股份有限公司,2023,3704949528.49,鸭苗、种蛋,33891463.43,0.00914762,鸭苗、种蛋、冻鸭、鸭毛、饲料、羽绒,3076209534.81,0.83029729,否（采用分产品不重叠口径）,否,是,否,是,否（ST剔除）,鸭苗与种蛋严格口径0.91%；加入鸭产品初加工、农业投入品及羽绒初加工后扩展口径83.03%。熟食、租赁等未计入；2023年曾ST。,25,110,https://static.cninfo.com.cn/finalpage/2024-04-20/1219690595.PDF,已人工复核（第三批）,2026-08-06
300189,海南神农种业科技股份有限公司,2023,166725377.15,杂交水稻、玉米、油菜及其他种子,155069173.68,0.93008741,杂交水稻、玉米、油菜及其他种子,155069173.68,0.93008741,否（采用分产品不重叠口径）,是,是,否,否,是（严格样本）,四类种子收入合计占93.01%，已达到严格样本门槛。,25,80,https://static.cninfo.com.cn/finalpage/2024-04-26/1219833092.PDF,已人工复核（第三批）,2026-08-06
300313,新疆天山畜牧生物工程股份有限公司,2023,137499875.86,畜牧业,110513387.01,0.80373445,畜牧业,110513387.01,0.80373445,否（采用分行业口径）,是,是,否,是,否（ST剔除）,畜牧业收入占80.37%，达到严格门槛；2023年曾ST，最终回归剔除。,20,80,https://static.cninfo.com.cn/finalpage/2024-03-30/1219474293.PDF,已人工复核（第三批）,2026-08-06
300498,温氏食品集团股份有限公司,2023,89902322387.76,养殖行业,87844706272.81,0.97711276,养殖行业,87844706272.81,0.97711276,否（采用分行业口径）,是,是,否,否,是（严格样本）,养殖行业收入占营业收入97.71%，达到严格样本门槛；分母采用营业收入而非含利息收入的营业总收入。,32,187,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866693.PDF,已人工复核（第三批）,2026-08-06
300511,上海雪榕生物科技股份有限公司,2023,2565144194.86,食用菌种植,2534307562.89,0.98797860,食用菌种植,2534307562.89,0.98797860,否（采用分行业口径）,是,是,否,否,是（严格样本）,食用菌行业收入占98.80%，达到严格样本门槛。,24,124,https://static.cninfo.com.cn/finalpage/2024-04-26/1219839662.PDF,已人工复核（第三批）,2026-08-06
300761,江苏立华食品集团股份有限公司,2023,15354096858.27,鸡、猪、鹅养殖,15267697502.53,0.99437288,鸡、猪、鹅养殖,15267697502.53,0.99437288,否（采用分产品不重叠口径）,是,是,否,否,是（严格样本）,鸡、猪、鹅三类养殖收入合计占99.44%，达到严格样本门槛；未计无法拆分的其他收入。,26,105,https://static.cninfo.com.cn/finalpage/2024-04-22/1219693250.PDF,已人工复核（第三批）,2026-08-06
300967,宁夏晓鸣农牧股份有限公司,2023,830815831.80,养殖行业,830359022.41,0.99945017,养殖行业,830359022.41,0.99945017,否（采用分行业口径）,是,是,否,否,是（严格样本）,养殖行业收入占99.95%，达到严格样本门槛。,30,143,https://static.cninfo.com.cn/finalpage/2024-04-19/1219670312.PDF,已人工复核（第三批）,2026-08-06
300970,江苏华绿生物科技集团股份有限公司,2023,996221375.81,食用菌种植,996221375.81,1.00000000,食用菌种植,996221375.81,1.00000000,否（采用分行业口径）,是,是,否,否,是（严格样本）,食用菌收入占100%，达到严格样本门槛。,15,89,https://static.cninfo.com.cn/finalpage/2024-04-23/1219744144.PDF,已人工复核（第三批）,2026-08-06
300972,福建万辰食品集团股份有限公司,2023,9293739531.63,食用菌种植,534714751.23,0.05753494,食用菌种植,534714751.23,0.05753494,否（采用分行业口径）,否,否,否,否,否（涉农收入低于30%）,食用菌仅占5.75%，量贩零食占94.25%；量贩零食不属于农业生产、初加工、投入品或生产性服务，故该公司—年份剔除。,27,122,https://static.cninfo.com.cn/finalpage/2024-04-23/1219764281.PDF,已人工复核（第三批）,2026-08-06
