股票代码,公司全称,年份,公司营业收入_元,严格口径涉农业务,严格口径涉农收入_元,严格口径涉农收入占比,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,当年曾ST_已核实,最终回归样本资格_当前规则,纳入或剔除理由,主营业务证据PDF页序号,营业收入证据PDF页序号,年报链接,复核状态,复核日期
600097,上海开创国际海洋资源股份有限公司,2023,2014553819.25,海洋捕捞,792886976.02,0.39357945,海洋捕捞、食品加工,1699323763.28,0.84352364,已按同一拆分维度处理；无法拆分时保持待核实,否,是,否,否,是（扩展样本）,海洋捕捞严格口径39.36%；加入水产品初加工后扩展口径84.35%，渔货贸易未计入。,10,53,https://static.cninfo.com.cn/finalpage/2024-03-29/1219441413.PDF,已人工复核（第四批）,2026-08-06
600108,甘肃亚盛实业(集团)股份有限公司,2023,4005115417.62,农业种植,3113117945.76,0.77728545,农业种植,3113117945.76,0.77728545,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,否,是（严格样本）,农业分行业收入占77.73%，达到严格门槛。,10,49,https://static.cninfo.com.cn/finalpage/2024-04-25/1219788130.PDF,已人工复核（第四批）,2026-08-06
600257,大湖健康产业股份有限公司,2023,1193454619.46,水产品养殖,627113773.53,0.52546093,水产品养殖,627113773.53,0.52546093,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,否,是（严格样本）,农业水产品收入占52.55%，达到严格门槛；白酒、药品等未计入。,24,91,https://static.cninfo.com.cn/finalpage/2024-04-18/1219651824.PDF,已人工复核（第四批）,2026-08-06
600354,甘肃省敦煌种业集团股份有限公司,2023,1157762417.27,种子,875670812.45,0.75634759,种子,875670812.45,0.75634759,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,否,是（严格样本）,种子收入占75.63%，达到严格门槛；食品、贸易、棉花未用于放大严格分子。,11,52,https://static.cninfo.com.cn/finalpage/2024-03-22/1219375765.PDF,已人工复核（第四批）,2026-08-06
600359,新疆塔里木农业综合开发股份有限公司,2023,548470528.13,粮种、棉种、苗木、鲜奶、育肥牛,171969968.87,0.31354459,农业分行业（含棉花初加工等）,353610347.54,0.64472078,已按同一拆分维度处理；无法拆分时保持待核实,否,是,否,否,是（扩展样本）,可直接识别的种苗和畜牧收入占31.35%，未达严格门槛；农业板块含初加工后占64.47%，扩展口径达标。,13,78,https://static.cninfo.com.cn/finalpage/2024-03-29/1219447486.PDF,已人工复核（第四批）,2026-08-06
600371,万向德农股份有限公司,2023,319298968.77,玉米杂交种,300692394.38,0.94172679,玉米杂交种、化肥,313067804.89,0.98048486,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,否,是（严格样本）,玉米杂交种收入占94.17%，达到严格门槛；加入化肥后扩展口径98.05%。,15,55,https://static.cninfo.com.cn/finalpage/2024-04-16/1219617366.PDF,已人工复核（第四批）,2026-08-06
600467,山东好当家海洋发展股份有限公司,2023,1563804509.83,海水养殖、海洋捕捞,862527464.45,0.55155709,海水养殖、海洋捕捞、食品加工,1527451310.30,0.97675336,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,否,是（严格样本）,养殖与捕捞合计占55.16%，达到严格门槛；加入水产品加工后扩展口径97.68%。,13,64,https://static.cninfo.com.cn/finalpage/2024-04-25/1219786818.PDF,已人工复核（第四批）,2026-08-06
600540,新疆赛里木现代农业股份有限公司,2023,971635206.65,未单独披露直接种植收入,0,0.00000000,棉花及棉籽初加工,811843141.93,0.83554315,已按同一拆分维度处理；无法拆分时保持待核实,否,是,否,否,是（扩展样本）,年报未单列直接种植收入，严格口径按可核实值为0；棉花、棉籽等农业初加工板块占83.55%，扩展口径达标。,25,129,https://static.cninfo.com.cn/finalpage/2024-04-30/1219915469.PDF,已人工复核（第四批）,2026-08-06
600598,黑龙江北大荒农业股份有限公司,2023,5044443383.20,农业土地承包及农产品经营,3590194105.74,0.71171264,农业土地承包及农产品经营,3590194105.74,0.71171264,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,否,是（严格样本）,土地承包及农产品经营直接服务农业生产，合计占71.17%，按A05直接相关业务计入严格口径。,14,88,https://static.cninfo.com.cn/finalpage/2024-03-29/1219444566.PDF,已人工复核（第四批）,2026-08-06
600975,湖南新五丰股份有限公司,2023,5631944572.42,畜牧业（生猪）,3754975937.03,0.66672814,畜牧业（生猪）、饲料加工,3891680097.83,0.69100114,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,否,是（严格样本）,畜牧业收入占66.67%，达到严格门槛；加入饲料后扩展口径69.10%，批发零售未计入。,24,177,https://static.cninfo.com.cn/finalpage/2024-04-20/1219705303.PDF,已人工复核（第四批）,2026-08-06
