股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,行业入口候选,龙头身份关系已核实候选,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
000713,国投丰乐种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,种子类、农化类,2812737488.63,3113679181.58,0.90334852,否（采用分行业不重叠口径）,否,是,否,种子业务严格口径28.40%；加入农业投入品农化业务后扩展口径90.33%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219827331.PDF,23,102,已人工复核（第一批）,严格口径占比=0.28399651；扩展口径占比=0.90334852；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
000735,罗牛山股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,畜牧业、农副产品加工业,2285869183.6,4100302074.67,0.557488,否（采用分行业不重叠口径）,否,是,否,畜牧业严格口径24.93%；加入农产品初加工后扩展口径55.75%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219856343.PDF,18,70,已人工复核（第一批）,严格口径占比=0.24926145；扩展口径占比=0.557488；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
000798,中水集团远洋股份有限公司,2023,4.0,渔业,行业分类候选,1,0,捕捞、渔业服务,2926498175.17,4041783287.5,0.72406113,否（采用分行业不重叠口径）,是,是,否,捕捞与渔业服务分别对应A04和A05，合计严格口径72.41%；未将一般零售、加工及贸易机械计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-28/1219426831.PDF,12,80,已人工复核（第一批）,严格口径占比=0.72406113；扩展口径占比=0.72406113；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
000998,袁隆平农业高科技股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,农业（水稻种子、玉米种子）,7807420305.76,9223216747.53,0.84649646,否（采用分行业不重叠口径）,是,是,否,农业分行业收入占84.65%，达到严格样本50%门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866222.PDF,31,108,已人工复核（第一批）,严格口径占比=0.84649646；扩展口径占比=0.84649646；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
001201,东瑞食品集团股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,畜牧业（生猪）,961270931.71,1037067905.17,0.92691224,否（采用分行业不重叠口径）,是,是,否,生猪收入严格口径92.69%；加入饲料后扩展口径97.39%。年报注明饲料主要供内部猪场使用，但表列收入未与生猪收入重叠。,,,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219910083.PDF,17,151,已人工复核（第一批）,严格口径占比=0.92691224；扩展口径占比=0.97394434；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
002041,山东登海种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,农业（种业）,1551975042.78,1551975042.78,1.0,否（采用营业收入构成总表）,是,是,否,"营业收入构成表中农业收入占100%；未误用仅披露占比10%以上项目的1,531,128,505.10元。",,,,https://static.cninfo.com.cn/finalpage/2024-04-23/1219737119.PDF,14,64,已人工复核（第一批）,严格口径占比=1.0；扩展口径占比=1.0；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
002069,獐子岛集团股份有限公司,2023,4.0,渔业,行业分类候选,1,0,海水养殖、水产品加工、牡蛎苗种技术服务,923163617.64,1677473644.98,0.55032973,否（采用分行业不重叠口径）,否,是,否,严格口径16.32%；加入水产品加工后扩展口径55.03%。技术服务经年报说明为牡蛎苗种业务。2023年曾ST，最终回归样本仍须剔除。,是,否,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219862446.PDF,17,75,已人工复核（第一批）,严格口径占比=0.16321363；扩展口径占比=0.55032973；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
002100,天康生物股份有限公司,2023,,,龙头企业身份核实候选,0,1,生猪养殖产业链、饲料,12033011274.57,19025806286.59,0.63245736,否（同一披露维度；不符合范围的业务未计入）,否,是,否,生猪养殖严格口径29.12%；仅加入饲料即达63.25%，扩展口径达标，未依赖玉米收储、油脂等边界业务。,,,,https://static.cninfo.com.cn/finalpage/2024-04-29/1219863990.PDF,16,94,已人工复核（龙头独有第一批）,严格口径占比=0.29122139；扩展口径占比=0.63245736；详见2023龙头企业独有候选_年报复核第一批12家_v1.csv
002124,天邦食品股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,生猪养殖,7310675390.02,10231927988.44,0.71449637,否（采用分行业不重叠口径）,是,是,否,生猪养殖收入严格口径71.45%；加入屠宰等食品加工后扩展口径95.72%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219920450.PDF,19,79,已人工复核（第一批）,严格口径占比=0.71449637；扩展口径占比=0.95722291；两套分子详见2023年报主营业务人工复核_第一批10家_v1.csv
002157,江西正邦科技股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,养殖,4484299845.66,6991677730.61,0.64137679,否（采用同一拆分维度；已排除重复维度）,是,是,否,养殖收入严格口径64.14%，达到50%；加入饲料后扩展口径98.57%。2023年曾ST，最终回归剔除。,是,是,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219923507.PDF,17,112,已人工复核（第二批）,严格口径占比=0.64137679；扩展口径占比=0.98568615；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002234,山东民和牧业股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,雏鸡、鸡肉制品,1863839992.05,2074466255.83,0.89846725,否（采用同一拆分维度；已排除重复维度）,否,是,否,保守地仅将雏鸡计入严格口径，占36.10%；加入鸡肉制品初加工后扩展口径89.85%。未以年报笼统的‘畜牧业’整段收入替代严格口径。,,,,https://static.cninfo.com.cn/finalpage/2024-03-19/1219328941.PDF,21,74,已人工复核（第二批）,严格口径占比=0.36097964；扩展口径占比=0.89846725；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002299,福建圣农发展股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,家禽饲养加工行业,10517359334.59,18486738694.46,0.56891372,合并披露风险：养殖与加工无法可靠拆分；未估算严格口径,待核实,是,否,家禽饲养加工合并收入占56.89%，扩展口径达标；年报未可靠拆分养殖和初加工，严格口径保持待核实。,,,,https://static.cninfo.com.cn/finalpage/2024-03-28/1219428601.PDF,25,109,已人工复核（第三批）,严格口径占比=待核实；扩展口径占比=0.56891372；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
