股票代码,公司全称,年份,公司营业收入_元,严格口径涉农业务,严格口径涉农收入_元,严格口径涉农收入占比,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,当年曾ST_已核实,最终回归样本资格_当前规则,纳入或剔除理由,主营业务证据PDF页序号,营业收入证据PDF页序号,年报链接,复核状态,复核日期
600127,金健米业股份有限公司,2023,4867808810.78,无直接农业收入,0,0.00000000,粮油食品初加工,2578952432.72,0.52979740,否（同一披露维度；不符合范围的业务未计入）,否,是,否,否,是（扩展样本）,粮油食品加工业收入占52.98%；年报税务说明确认相关米、面、油子公司从事农产品初加工。贸易、乳品和休闲食品未计入。,18,82,https://static.cninfo.com.cn/finalpage/2024-03-30/1219466894.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600129,重庆太极实业(集团)股份有限公司,2023,15622648416.93,无可确认直接农业收入,0,0.00000000,中药材资源（披露口径上限）,1016680900,0.06507737,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,即使将中药材资源分部全部作为扩展收入，上限也仅6.51%；医药工业和商业不计入。,14,91,https://static.cninfo.com.cn/finalpage/2024-03-29/1219448646.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600195,中牧实业股份有限公司,2023,5406312590.46,无直接农业收入,0,0.00000000,兽用生物制品、化药和饲料,3298862981.04,0.61018724,否（同一披露维度；不符合范围的业务未计入）,否,是,否,否,是（扩展样本）,兽用生物制品、化药和饲料按同一产品维度合计占61.02%，进入扩展样本；贸易未计入。,12,80,https://static.cninfo.com.cn/finalpage/2024-04-10/1219551316.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600211,西藏诺迪康药业股份有限公司,2023,3134328350.18,无,0,0.00000000,医药产品不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营医药产品，未披露达到门槛的直接农业、农业投入品或初加工收入。,12,64,https://static.cninfo.com.cn/finalpage/2024-03-27/1219409994.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600238,海南椰岛(集团)股份有限公司,2023,224526932.39,无,0,0.00000000,酒类和饮料不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营酒类、饮料及贸易，按既定规则排除。,15,81,https://static.cninfo.com.cn/finalpage/2024-04-27/1219875263.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600251,新疆冠农股份有限公司,2023,4342745318.41,无单列直接农业收入,0,0.00000000,番茄、糖业和饲料产品,2515417378.59,0.57922286,否（同一披露维度；不符合范围的业务未计入）,否,是,否,否,是（扩展样本）,不计棉花贸易，仅番茄、糖业和饲料产品已占57.92%，进入扩展样本。,14,74,https://static.cninfo.com.cn/finalpage/2024-03-28/1219429441.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600285,河南羚锐制药股份有限公司,2023,3311472606.54,无,0,0.00000000,医药制造不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营中成药及化学药，未披露符合门槛的涉农业务收入。,21,85,https://static.cninfo.com.cn/finalpage/2024-04-26/1219832522.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600295,内蒙古鄂尔多斯资源股份有限公司,2023,30553630272.86,无,0,0.00000000,化肥,1569126700,0.05135647,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,化肥收入占5.14%，其余服装、电冶和化工业务不属于扩展范围。,23,76,https://static.cninfo.com.cn/finalpage/2024-04-16/1219617757.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600300,维维食品饮料股份有限公司,2023,4035650455.55,无直接农业收入,0,0.00000000,粮食初加工及储运,1457497800,0.36115561,否（同一披露维度；不符合范围的业务未计入）,否,否,是,否,否（仅边界稳健性）,粮食初加工及储运收入占36.12%，列为边界样本；豆奶粉、蛋白饮料等进一步加工产品未计入。,20,80,https://static.cninfo.com.cn/finalpage/2024-03-16/1219314438.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600305,江苏恒顺醋业股份有限公司,2023,2106410685.37,无,0,0.00000000,调味品和酒类不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营食醋、料酒等调味品，按既定规则排除。,13,89,https://static.cninfo.com.cn/finalpage/2024-04-30/1219914923.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600351,亚宝药业集团股份有限公司,2023,2909765256.74,无,0,0.00000000,医药制造和批发不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营医药生产及批发，未披露达到门槛的直接农业或初加工收入。,17,89,https://static.cninfo.com.cn/finalpage/2024-04-26/1219832595.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600419,新疆天润乳业股份有限公司,2023,2713999965.30,畜牧业产品,80409167.29,0.02962755,常温、低温乳制品中可计原奶初加工收入未拆分,,,否（同一披露维度；不符合范围的业务未计入）,否,待核实,待核实,否,待核实,畜牧业收入仅2.96%；常温和低温乳制品混合纯奶、酸奶、调制乳及乳饮料，不能可靠拆分扩展分子。,17,75|91,https://static.cninfo.com.cn/finalpage/2024-04-16/1219620744.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600429,北京三元食品股份有限公司,2023,7841240541.23,畜牧业,219211258.31,0.02795620,液态奶中可计原奶初加工收入未拆分,,,否（同一披露维度；不符合范围的业务未计入）,否,待核实,待核实,否,待核实,畜牧业收入仅2.80%；液态奶口径混合纯奶、发酵奶等产品，不能把61.75%的液态奶整体计入。,15,96,https://static.cninfo.com.cn/finalpage/2024-04-20/1219705141.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600438,通威股份有限公司,2023,139104062084.52,无单列直接养殖收入,0,0.00000000,饲料、食品及相关农牧业务（披露口径上限）,35489191550.69,0.25512692,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,即使把农牧业务全部作为扩展收入，上限也仅25.51%；光伏业务占主导，低于30%。,20,113,https://static.cninfo.com.cn/finalpage/2024-04-30/1219915221.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600479,株洲千金药业股份有限公司,2023,3798485330.31,无,0,0.00000000,医药生产、批发和中药饮片不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营药品生产与批发；中药材及饮片收入也仅占较小比例，未达到涉农门槛。,17,88,https://static.cninfo.com.cn/finalpage/2024-04-12/1219580221.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600543,甘肃莫高实业发展股份有限公司,2023,198485115.86,葡萄种植收入未单列,0,0.00000000,葡萄酒不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,是,否（低于30%或不属于扩展范围）,农业种植及加工分部的对外产品全部列为葡萄酒，未单列葡萄种植收入；酒类按规则排除。,14,67,https://static.cninfo.com.cn/finalpage/2024-03-30/1219474391.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600597,光明乳业股份有限公司,2023,26485200199,牧业,1756730105,0.06632875,液态奶中可计原奶初加工收入未拆分,,,否（同一披露维度；不符合范围的业务未计入）,否,待核实,待核实,否,待核实,牧业收入占6.63%；液态奶混合鲜奶、酸奶、常温奶和乳饮料，不能把59.08%的液态奶整体计入。,13,75,https://static.cninfo.com.cn/finalpage/2024-04-29/1219892948.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
600737,中粮糖业控股股份有限公司,2023,33113894636.03,农业,40524563.63,0.00122379,自产糖、番茄制品及农资种植,9341975917.69,0.28211650,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,自产糖、番茄制品及农资种植合计上限28.21%；贸易糖和加工糖未计入，低于30%。,18,81,https://static.cninfo.com.cn/finalpage/2024-04-26/1219840031.PDF,已人工复核（龙头独有剩余45家）,2026-08-10
