股票代码,公司全称,年份,公司营业收入_元,严格口径涉农业务,严格口径涉农收入_元,严格口径涉农收入占比,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,当年曾ST_已核实,最终回归样本资格_当前规则,纳入或剔除理由,主营业务证据PDF页序号,营业收入证据PDF页序号,年报链接,复核状态,复核日期
002650,加加食品集团股份有限公司,2023,1453834677.98,无,0,0.00000000,粮油食品,291600808.42,0.20057357,否（同一披露维度；不符合范围的食品未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,调味品按规则排除；可计粮油初加工收入仅占20.06%，低于30%。,20,98,https://static.cninfo.com.cn/finalpage/2024-04-29/1219872679.PDF,已人工复核（龙头独有第三批）,2026-08-07
002661,陈克明食品股份有限公司,2023,5184396589.31,生猪养殖,359554273.50,0.06935316,生猪养殖、外销面粉,812284412.67,0.15667868,否（同一披露维度；不符合范围的食品未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,养殖占6.94%，加入面粉初加工后仅15.67%；面条和方便食品未计入。,23,102,https://static.cninfo.com.cn/finalpage/2024-03-16/1219312898.PDF,已人工复核（龙头独有第三批）,2026-08-07
002688,金河生物科技股份有限公司,2023,2174131033.42,无直接农业收入,0,0.00000000,兽用化学药品、兽用疫苗、药物饲料添加剂,1366180836.72,0.62838017,否（同一披露维度；不符合范围的食品未计入）,否,是,否,否,是（扩展样本）,三类农业投入品合计占62.84%，扩展口径达标；淀粉加工未用于扩大分子。,27,129,https://static.cninfo.com.cn/finalpage/2024-04-29/1219863960.PDF,已人工复核（龙头独有第三批）,2026-08-07
002696,百洋产业投资集团股份有限公司,2023,2720215725.75,无单列直接养殖收入,0,0.00000000,饲料、水产品加工,2495054505.49,0.91722670,否（同一披露维度；不符合范围的食品未计入）,否,是,否,否,是（扩展样本）,饲料与水产品初加工合计占91.72%，进入扩展样本。,19,80,https://static.cninfo.com.cn/finalpage/2024-04-27/1219860895.PDF,已人工复核（龙头独有第三批）,2026-08-07
002702,海欣食品股份有限公司,2023,1715823986.65,无,0,0.00000000,速冻鱼肉制品不属于初加工,0,0.00000000,否（同一披露维度；不符合范围的食品未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营速冻鱼肉制品等食品制造，属于进一步食品加工，按普通食品规则排除。,16,75,https://static.cninfo.com.cn/finalpage/2024-04-26/1219818964.PDF,已人工复核（龙头独有第三批）,2026-08-07
002719,麦趣尔集团股份有限公司,2023,708944247.67,未单列奶牛养殖收入,0,0.00000000,乳制品原奶初加工,271929747.28,0.38357000,否（同一披露维度；不符合范围的食品未计入）,否,否,是,否,否（仅边界稳健性）,可识别乳制品收入占38.36%，列为边界样本；烘焙和节日食品未计入。,18,71,https://static.cninfo.com.cn/finalpage/2024-04-23/1219745708.PDF,已人工复核（龙头独有第三批）,2026-08-07
002732,广东燕塘乳业股份有限公司,2023,1950327947.63,未单列奶牛养殖收入,0,0.00000000,液体乳原奶初加工,750454465.96,0.38478373,否（同一披露维度；不符合范围的食品未计入）,否,否,是,否,否（仅边界稳健性）,液体乳收入占38.48%，列为边界样本；花式奶和乳酸菌饮料未计入。,23,88,https://static.cninfo.com.cn/finalpage/2024-03-30/1219470942.PDF,已人工复核（龙头独有第三批）,2026-08-07
002746,山东仙坛集团股份有限公司,2023,5781232561.22,养殖业,130564352.97,0.02258417,肉鸡养殖、屠宰食品加工、饲料加工,5770748589.13,0.99818655,否（同一披露维度；不符合范围的食品未计入）,否,是,否,否,是（扩展样本）,单列养殖收入仅2.26%；养殖、鸡肉初加工和饲料合计占99.82%，扩展口径达标。,23,89,https://static.cninfo.com.cn/finalpage/2024-04-23/1219735516.PDF,已人工复核（龙头独有第三批）,2026-08-07
002847,盐津铺子食品股份有限公司,2023,4115175423.46,无,0,0.00000000,休闲食品不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的食品未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营辣卤、烘焙、深海等休闲零食，按既定规则排除。,22,99,https://static.cninfo.com.cn/finalpage/2024-03-27/1219410233.PDF,已人工复核（龙头独有第三批）,2026-08-07
002852,道道全粮油股份有限公司,2023,7000856821.01,无单列直接种植收入,0,0.00000000,食用植物油及粕类加工,6974260413.37,0.99620098,否（同一披露维度；不符合范围的食品未计入）,否,是,否,否,是（扩展样本）,食品加工板块为食用油和粕类等农产品初加工，占99.62%，进入扩展样本。,14,64|72,https://static.cninfo.com.cn/finalpage/2024-04-27/1219862164.PDF,已人工复核（龙头独有第三批）,2026-08-07
002873,贵阳新天药业股份有限公司,2023,953981876.69,无,0,0.00000000,医药制造不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的食品未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营中成药等医药制造，未披露达到门槛的直接农业或初加工收入。,19,87,https://static.cninfo.com.cn/finalpage/2024-04-12/1219583378.PDF,已人工复核（龙头独有第三批）,2026-08-07
002910,兰州庄园牧场股份有限公司,2023,955672655.71,未单列奶牛养殖收入,0,0.00000000,巴氏杀菌乳、灭菌乳,490598217.75,0.51335383,否（同一披露维度；不符合范围的食品未计入）,否,是,否,否,是（扩展样本）,巴氏杀菌乳和灭菌乳按原奶初加工合计占51.34%，扩展口径达标；调制乳、发酵乳和含乳饮料未计入。,17,122,https://static.cninfo.com.cn/finalpage/2024-04-27/1219871887.PDF,已人工复核（龙头独有第三批）,2026-08-07
