stock_code,year,当年上市公司法人全称,当年证券简称,入口依据,退市日期,RESSET_CompanyCode,当前缺失判定,补查状态
002447,2013,大连壹桥海洋苗业股份有限公司,壹桥苗业,行业分类候选,2022-06-28,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002447,2014,大连壹桥海洋苗业股份有限公司,壹桥苗业,行业分类候选,2022-06-28,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002447,2015,大连壹桥海参股份有限公司,壹桥海参,行业分类候选,2022-06-28,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002447,2016,大连壹桥海参股份有限公司,壹桥股份,行业分类候选,2022-06-28,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002477,2013,雏鹰农牧集团股份有限公司,雏鹰农牧,行业分类候选,2019-10-22,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002477,2014,雏鹰农牧集团股份有限公司,雏鹰农牧,行业分类候选,2019-10-22,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002477,2015,雏鹰农牧集团股份有限公司,雏鹰农牧,行业分类候选,2019-10-22,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002477,2016,雏鹰农牧集团股份有限公司,雏鹰农牧,行业分类候选,2019-10-22,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002477,2017,雏鹰农牧集团股份有限公司,雏鹰农牧,行业分类候选,2019-10-22,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002477,2018,雏鹰农牧集团股份有限公司,雏鹰农牧,行业分类候选,2019-10-22,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002505,2013,湖南大康牧业股份有限公司,大康牧业,行业分类候选,2024-08-30,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002505,2014,湖南大康牧业股份有限公司,大康牧业,行业分类候选,2024-08-30,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002505,2015,湖南大康牧业股份有限公司,大康牧业,行业分类候选,2024-08-30,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002505,2016,湖南大康国际农业食品股份有限公司,大康农业,行业分类候选,2024-08-30,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
002505,2017,湖南大康国际农业食品股份有限公司,大康农业,行业分类候选,2024-08-30,待查询,11个年度批量导出中均未出现该证券代码,待RESSET历史入口补查
