stock_code,risk_warning_type,start_date,end_date,start_source_url,end_source_url,interval_status,start_date_basis,note
000048,*ST退市风险警示,2018-07-02,2019-10-15,https://static.cninfo.com.cn/finalpage/2018-06-29/1205104783.PDF,https://static.cninfo.com.cn/finalpage/2019-10-14/1206976308.PDF,区间已闭合,公告明示实际生效日,2018年9月3日起继续实施不构成新区间
000663,*ST退市风险警示,2020-05-06,2021-09-23,https://static.cninfo.com.cn/finalpage/2020-04-30/1207686908.PDF,https://static.cninfo.com.cn/finalpage/2021-09-18/1211097043.PDF,区间已闭合,公告明示实际生效日,撤销公告同时明确退市及其他风险警示均撤销
000711,*ST退市风险警示,2015-03-11,2016-02-16,https://static.cninfo.com.cn/finalpage/2015-03-10/1200684219.PDF,https://static.cninfo.com.cn/finalpage/2016-02-15/1201974187.PDF,区间已闭合,公告明示实际生效日,
000711,*ST退市及其他风险警示,2023-05-04,,https://static.cninfo.com.cn/finalpage/2023-04-28/1216661988.PDF,,样本期内起点已核实_终点待闭合,公告明示实际生效日,2023年6月12日叠加其他风险警示不改变连续区间
002069,*ST退市风险警示,2016-05-04,2017-04-05,https://static.cninfo.com.cn/finalpage/2016-05-03/1202284334.PDF,https://static.cninfo.com.cn/finalpage/2017-03-31/1203238440.PDF,区间已闭合,公告明示实际生效日,
002069,ST其他风险警示,2022-05-06,2023-05-30,https://static.cninfo.com.cn/finalpage/2022-04-30/1213263536.PDF,https://static.cninfo.com.cn/finalpage/2023-05-27/1216922290.PDF,区间已闭合,公告明示实际生效日,
002086,ST及*ST连续风险警示,2019-02-18,,https://static.cninfo.com.cn/finalpage/2019-02-15/1205834790.PDF,,样本期内起点已核实_终点待闭合,公告明示实际生效日,2020年7月1日转为退市风险警示；2021年12月27日仅撤销退市风险警示并继续ST；2023年5月5日再次叠加退市风险警示
002157,*ST退市风险警示,2023-05-05,,https://static.cninfo.com.cn/finalpage/2023-04-29/1216705288.PDF,,样本期内起点已核实_终点待闭合,公告明示实际生效日,2023年12月撤销重整原因的叠加警示但继续实施财务类退市风险警示
002200,*ST退市风险警示,2013-01-01,2014-03-05,https://static.cninfo.com.cn/finalpage/2013-01-08/61996973.PDF,https://static.cninfo.com.cn/finalpage/2014-03-04/63632730.PDF,样本期左截断_区间终点已核实,样本期首日已处于风险警示状态,2013年1月进展公告证明样本期初已为ST；2013年4月25日起继续实施并非首次起点
002200,ST及*ST连续风险警示,2019-04-26,,https://static.cninfo.com.cn/finalpage/2019-04-25/1206090426.PDF,,样本期内起点已核实_终点待闭合,公告明示实际生效日,2020年6月4日撤销退市风险警示但同时改为其他风险警示；2021至2023年公告均显示继续ST
002234,*ST退市风险警示,2014-04-22,2015-04-03,https://static.cninfo.com.cn/finalpage/2014-04-21/63870312.PDF,https://static.cninfo.com.cn/finalpage/2015-04-02/1200780212.PDF,区间已闭合,公告明示实际生效日,
002321,ST及*ST连续风险警示,2021-04-30,2023-06-07,https://static.cninfo.com.cn/finalpage/2021-04-29/1209860413.PDF,https://static.cninfo.com.cn/finalpage/2023-06-06/1216994176.PDF,区间已闭合,公告明示实际生效日,期间叠加及撤销部分风险类型均未中断风险警示状态；2022年6月27日仅撤销退市风险警示并继续ST
002424,ST其他风险警示,2024-05-06,,https://static.cninfo.com.cn/finalpage/2024-05-10/1220032376.PDF,,区间起点已核实_终点待闭合,公告追溯明示实际生效日,起始日晚于论文样本期
002431,ST其他风险警示,2026-04-28,,https://static.cninfo.com.cn/finalpage/2026-04-25/1225193616.PDF,,区间起点已核实_终点待闭合,公告明示实际生效日,起始日晚于论文样本期
002447,*ST退市风险警示,2020-05-06,2022-06-28,https://static.cninfo.com.cn/finalpage/2020-04-30/1207687233.PDF,https://www.szse.cn/disclosure/notice/general/t20220627_594302.html,区间因证券登记终止闭合,公告明示起点_交易所注销日期作为终点,入口池仅含2013至2014年记录故不影响入口年剔除
