exchange,stock_code,short_name,legal_full_name,list_date,current_industry,exchange_status_code,coverage_scope,source_url,retrieved_date
上海证券交易所,600000,浦发银行,上海浦东发展银行股份有限公司,19991110,金融业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600004,白云机场,广州白云国际机场股份有限公司,20030428,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600006,东风股份,东风汽车股份有限公司,19990727,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600007,中国国贸,中国国际贸易中心股份有限公司,19990312,房地产业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600008,首创环保,北京首创生态环保集团股份有限公司,20000427,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600009,上海机场,上海国际机场股份有限公司,19980218,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600010,包钢股份,内蒙古包钢钢联股份有限公司,20010309,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600011,华能国际,华能国际电力股份有限公司,20011206,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600012,皖通高速,安徽皖通高速公路股份有限公司,20030107,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600015,华夏银行,华夏银行股份有限公司,20030912,金融业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600016,民生银行,中国民生银行股份有限公司,20001219,金融业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600017,日照港,日照港股份有限公司,20061017,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600018,上港集团,上海国际港务(集团)股份有限公司,20000719,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600019,宝钢股份,宝山钢铁股份有限公司,20001212,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600020,中原高速,河南中原高速公路股份有限公司,20030808,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600021,上海电力,上海电力股份有限公司,20031029,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600022,山东钢铁,山东钢铁股份有限公司,20040629,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600023,浙能电力,浙江浙能电力股份有限公司,20131219,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600025,华能水电,华能澜沧江水电股份有限公司,20171215,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600026,中远海能,中远海运能源运输股份有限公司,20020523,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600027,华电国际,华电国际电力股份有限公司,20050203,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600028,中国石化,中国石油化工股份有限公司,20010808,采矿业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600029,南方航空,中国南方航空股份有限公司,20030725,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600030,中信证券,中信证券股份有限公司,20030106,金融业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600031,三一重工,三一重工股份有限公司,20030703,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600032,浙江新能,浙江省新能源投资集团股份有限公司,20210525,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600033,福建高速,福建发展高速公路股份有限公司,20010209,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600035,楚天高速,湖北楚天智能交通股份有限公司,20040310,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600036,招商银行,招商银行股份有限公司,20020409,金融业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600037,歌华有线,北京歌华有线电视网络股份有限公司,20010208,信息传输、软件和信息技术服务业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600038,中直股份,中航直升机股份有限公司,20001218,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600039,四川路桥,四川路桥建设集团股份有限公司,20030325,建筑业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600048,保利发展,保利发展控股集团股份有限公司,20060731,房地产业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600050,中国联通,中国联合网络通信股份有限公司,20021009,信息传输、软件和信息技术服务业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600051,宁波联合,宁波联合集团股份有限公司,19970410,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600052,东望时代,浙江东望时代科技股份有限公司,19970415,租赁和商务服务业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600053,*ST九鼎,昆吾九鼎投资控股股份有限公司,19970418,金融业,7,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600054,黄山旅游,黄山旅游发展股份有限公司,19970506,水利、环境和公共设施管理业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600055,万东医疗,北京万东医疗科技股份有限公司,19970519,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600056,中国医药,中国医药健康产业股份有限公司,19970515,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600057,厦门象屿,厦门象屿股份有限公司,19970604,租赁和商务服务业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600058,五矿发展,五矿发展股份有限公司,19970528,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600059,古越龙山,浙江古越龙山绍兴酒股份有限公司,19970516,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600060,海信视像,海信视像科技股份有限公司,19970422,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600061,国投资本,国投资本股份有限公司,19970519,金融业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600062,华润双鹤,华润双鹤药业股份有限公司,19970522,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600063,皖维高新,安徽皖维高新材料股份有限公司,19970528,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600064,南京高科,南京高科股份有限公司,19970506,房地产业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600066,宇通客车,宇通客车股份有限公司,19970508,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600067,冠城新材,冠城大通新材料股份有限公司,19970508,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600071,凤凰光学,凤凰光学股份有限公司,19970528,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600072,中船科技,中船科技股份有限公司,19970603,建筑业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600073,光明肉业,上海光明肉业集团股份有限公司,19970704,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600075,新疆天业,新疆天业股份有限公司,19970617,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600076,康欣新材,康欣新材料股份有限公司,19970526,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600078,澄星股份,江苏澄星磷化工股份有限公司,19970627,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
