股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
000592,中福海峡（平潭）发展股份有限公司,2013,2.0,林业,行业分类候选,分行业林业收入（严格与扩展相同）,71616309.53,857860505.32,0.08348246,否（严格与扩展均只取同一分行业林业收入）,否,否,否,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,,,,https://static.cninfo.com.cn/finalpage/2014-04-30/63950761.PDF,15,65,已人工复核（跨年快速核对第十二批D组）,逐年核对官方年报；纤维板/人造板、园林工程、租摆和贸易不计入初加工；自产育种与外购或进口混合且跨门槛时保留上下界。 2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。
002200,云南交投生态科技股份有限公司,2013,2.0,林业,行业分类候选,苗木销售（不含租摆和绿化工程）,91042041.55,444668467.72,0.20474139,否（只取分产品苗木销售）,否,否,否,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,是,是,,https://static.cninfo.com.cn/finalpage/2014-02-27/63611258.PDF,16,64,已人工复核（跨年快速核对第十二批D组）,逐年核对官方年报；纤维板/人造板、园林工程、租摆和贸易不计入初加工；自产育种与外购或进口混合且跨门槛时保留上下界。 2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。
600965,河北福成五丰食品股份有限公司,2013,3.0,畜牧业,行业分类候选,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,271071006.56,1026673081.47,0.26402855,否（仅使用同一分产品或明确交易收入；不跨维度相加）,否,否,否,"严格口径占5.92%，扩展口径占26.40%，均未达到相应门槛。乳制品7,046,681.65元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅27.09%。肉制品、速食品、餐饮及殡葬业务未计入。",,,,https://static.cninfo.com.cn/finalpage/2014-04-18/63860299.PDF,13,51|89,已人工复核（跨年快速核对第十批）,逐年核对官方年报；扩展口径只计可识别初加工或农业投入品，排除贸易、熟食、成品羽绒、餐饮、殡葬、能源和资产处置。
000592,中福海峡（平潭）发展股份有限公司,2014,2.0,林业,行业分类候选,分行业林业收入（严格与扩展相同）,79751089.97,864754093.28,0.09222401,否（严格与扩展均只取同一分行业林业收入）,否,否,否,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,,,,https://static.cninfo.com.cn/finalpage/2015-04-15/1200834190.PDF,15|16,70,已人工复核（跨年快速核对第十二批D组）,逐年核对官方年报；纤维板/人造板、园林工程、租摆和贸易不计入初加工；自产育种与外购或进口混合且跨门槛时保留上下界。 2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。
000860,北京顺鑫农业股份有限公司,2014,,,龙头企业身份核实候选,严格口径直接农业；2014年另加单列种子农业投入品；未把屠宰、白酒、食品加工、地产等加入,299961376.78,9480664077.56,0.03163928,行业与产品表的种畜为同一收入，仅取一次；不与屠宰猪肉收入相加,否,否,否,种猪繁育、生猪养殖及蔬菜种植属于直接农业；种子属于农业投入品。屠宰猪肉按本批口径作为下游深加工排除，白酒、地产等亦排除。,,,,https://static.cninfo.com.cn/finalpage/2015-03-25/1200736899.PDF,15|131,65,已人工复核（跨年快速核对第十五批L组）,逐年核对官方年报；药材基地或农业子公司不替代合并对外收入，制造深加工、零售、白酒、屠宰、地产和贸易排除；混合粮油、药材或内部供料保留上下界。 沿用v24原值；待核实字段不插值、不复制相邻年份 无影响结论的收入待拆项。
002200,云南交投生态科技股份有限公司,2014,2.0,林业,行业分类候选,苗木销售（不含租摆和绿化工程）,31714932.96,730863861.53,0.04339376,否（只取分产品苗木销售）,否,否,否,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,是,否,,https://static.cninfo.com.cn/finalpage/2015-04-29/1200932991.PDF,15,72,已人工复核（跨年快速核对第十二批D组）,逐年核对官方年报；纤维板/人造板、园林工程、租摆和贸易不计入初加工；自产育种与外购或进口混合且跨门槛时保留上下界。 2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。
002390,贵州信邦制药股份有限公司,2014,,,龙头企业身份核实候选,年报单列种植业（中药材）,,2476183059.91,,否（同一收入构成层级设上下界，不与行业/产品行交叉相加）,否,否,否,"严格区间[0.00229591478192514261460671766138106307436102711917126694208360, 0.00229591478192514261460671766138106307436102711917126694208360]；扩展区间[0.00229591478192514261460671766138106307436102711917126694208360, 0.00229591478192514261460671766138106307436102711917126694208360]。种植业行与中药材产品行金额一致，为同层级表格的相互反核，不重复相加。",,,,https://static.cninfo.com.cn/finalpage/2015-04-22/1200884258.PDF,17,99,已人工复核（跨年快速核对第十五批K组）,逐年核对官方年报；药材基地或农业子公司不替代合并对外收入，制造深加工、零售、白酒、屠宰、地产和贸易排除；混合粮油、药材或内部供料保留上下界。 沿用v24原值；待核实字段不插值、不复制相邻年份 需取得其他行业的外销中药材种植或初加工收入明细；未拆分前不写入正式分子。
002424,贵州百灵企业集团制药股份有限公司,2014,,,龙头企业身份核实候选,肥料销售作农业投入品下界；中药材混合销售只作上界,,1574672162.3,,否（同一收入构成层级设上下界，不与行业/产品行交叉相加）,否,否,否,"严格区间[0, 0.00571080591585815957622965339951891775435115914222572778125500]；扩展区间[0.00340079966370787985066801228229218947436523181368747055801051, 0.00911160557956603942689766568181110722871639095591319833926552]。2014年年报明示中药材贸易增长；后续年份亦未把自产种植与外购贸易拆分，故中药材项不形成确定下界。",,,,https://static.cninfo.com.cn/finalpage/2015-04-28/1200920215.PDF,15,74,已人工复核（跨年快速核对第十五批K组）,逐年核对官方年报；药材基地或农业子公司不替代合并对外收入，制造深加工、零售、白酒、屠宰、地产和贸易排除；混合粮油、药材或内部供料保留上下界。 v24主营业务摘录落在PDF页16的表后页；中药材/肥料收入与成本均在PDF页15。 沿用v24原值；待核实字段不插值、不复制相邻年份 需取得中药材销售中自产种植/初加工与外购贸易的分拆；2021—2022年产品成本亦未单列。
002507,重庆市涪陵榨菜集团股份有限公司,2014,,,龙头企业身份核实候选,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,906428723.56,,待核实（未拆候选项只作整体上界，不与深加工类别相加）,否,否,否,公司采购青菜头等农产品并加工销售；原料来自农业不等于公司取得直接农业或初加工收入。,,,,https://static.cninfo.com.cn/finalpage/2015-03-28/1200753843.PDF,15,66,已人工复核（跨年快速核对第十四批I组）,逐年核对官方年报；农业投入品按互斥产品下界计量，贸易和食品深加工排除；未拆候选收入即使上界不足30%也不写成精确零。 其他业务收入未拆分，正式分子留空；须取得明细后才能确认其中是否存在直接农业或初加工收入。 因上界仍低于30%，不影响三类样本结论。
002702,海欣食品股份有限公司,2014,,,龙头企业身份核实候选,未确认；以鱼糜/其他产品未拆候选项作保守上界,,855278185.61,,待核实（未拆候选项只作整体上界，不与深加工类别相加）,否,否,否,鱼糜或鱼浆是生产原料/中间材料；年报未单列公司外售原料鱼、初加工水产品或农业投入品收入。,,,,https://static.cninfo.com.cn/finalpage/2015-03-27/1200746792.PDF,16,66,已人工复核（跨年快速核对第十四批I组）,逐年核对官方年报；农业投入品按互斥产品下界计量，贸易和食品深加工排除；未拆候选收入即使上界不足30%也不写成精确零。 其他产品未拆分；2014年鱼糜亦可能属于初加工候选。正式分子留空，须取得产品性质及外销明细后确认。 因上界仍低于30%，不影响三类样本结论。
