股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
002069,獐子岛集团股份有限公司,2013,4.0,渔业,行业分类候选,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,2620857768.13,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.47146986380022012614076788908817282083753944990544，未达50%；扩展下界占比0.47146986380022012614076788908817282083753944990544、上界占比0.74959010630391190544777836730428356929075562714482，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2014-05-06/63973420.PDF,17,68,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002086,山东东方海洋科技股份有限公司,2013,4.0,渔业,行业分类候选,海水养殖；水产品加工仅作上下界（初加工与深加工不可拆分）,,615510337.66,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.35014034766552973510946961533767068785578713362076，未达50%；扩展下界占比0.35014034766552973510946961533767068785578713362076、上界占比0.97682052854832631536796535044567881677322988798102，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2014-04-19/63867012.PDF,19,67,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002299,福建圣农发展股份有限公司,2013,3.0,畜牧业,行业分类候选,家禽饲养加工行业（合并披露）,4500397751.55,4708227702.1,0.9558581352262758,合并披露风险：自产养殖与屠宰初加工无法可靠拆分；未估算严格分子,待核实,是,否,家禽饲养加工合并收入原始占比0.95585813522627589061268651677856581039294505619913，扩展口径达标；严格口径不估算。,,,,https://static.cninfo.com.cn/finalpage/2014-04-22/63884585.PDF,19,78,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 严格口径待核实；家禽饲养加工收入只用于扩展口径。年报未单列深加工收入，未将其他业务估算为深加工；贸易未单列，未估算。
300094,湛江国联水产开发股份有限公司,2013,4.0,渔业,行业分类候选,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,2213827410.03,,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,否,待核实,待核实,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,,,,https://static.cninfo.com.cn/finalpage/2014-04-25/63918502.PDF,22,67|80,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
300106,新疆西部牧业股份有限公司,2013,3.0,畜牧业,行业分类候选,自产生鲜乳、种畜；单列饲料（扩展下界）,,451460275.35,,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,否,待核实,待核实,可确认扩展下界占25.15%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占91.58%；上下界跨越门槛，不能定论。,,,,https://static.cninfo.com.cn/finalpage/2014-04-23/63893989.PDF,16,70,已人工复核（跨年快速核对第十一批A组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
600506,统一低碳科技(新疆)股份有限公司,2013,1.0,农业,行业分类候选,果品销售（仅作审计上限，正式分子待拆分自产与外购）,,115107898.19,,否（果品产品收入仅作上限；未与行业、地区或销售模式收入相加）,待核实,待核实,待核实,果品收入审计上限Decimal高精度门槛计算值=0.79196750469308521391220096258452931795296470090121；因自产与外购收入未拆分，不能据此判定50%或30%门槛。,,,,https://static.cninfo.com.cn/finalpage/2014-03-25/63720145.PDF,11,42,已人工复核（跨年快速核对第十一批C组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数 年报同时披露自产果品与外购果品购销，但未分别披露收入；不能把全部果品销售直接视为农业生产或初加工收入。
601118,海南天然橡胶产业集团股份有限公司,2013,1.0,农业,行业分类候选,自产天然橡胶收入未单列,,11694732913.16,,是（自产种植初加工与第三方贸易收入不可拆分）,待核实,待核实,待核实,"年报农业/天然橡胶合并披露收入为11,437,906,232.88元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",,,,https://static.cninfo.com.cn/finalpage/2014-04-18/63863610.PDF,13,52,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
002069,獐子岛集团股份有限公司,2014,4.0,渔业,行业分类候选+龙头企业身份核实候选,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,2662211458.16,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.35049662514220932332011866364252610538392319665937，未达50%；扩展下界占比0.35049662514220932332011866364252610538392319665937、上界占比0.62876880760513840098692034697196196369330106226636，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922210.PDF,14,64,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002086,山东东方海洋科技股份有限公司,2014,4.0,渔业,行业分类候选+龙头企业身份核实候选,海水养殖；水产品加工仅作上下界（初加工与深加工不可拆分）,,604504765.46,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.42384742928375458302545041445337955169211181688804，未达50%；扩展下界占比0.42384742928375458302545041445337955169211181688804、上界占比0.97319367527620879774693579633968564943196866489761，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2015-04-17/1200845873.PDF,15,69,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002299,福建圣农发展股份有限公司,2014,3.0,畜牧业,行业分类候选,家禽饲养加工行业（合并披露）,6077965627.47,6436059894.41,0.944361259401731,合并披露风险：自产养殖与屠宰初加工无法可靠拆分；未估算严格分子,待核实,是,否,家禽饲养加工合并收入原始占比0.94436125940173108706705429772411433341038344341140，扩展口径达标；严格口径不估算。,,,,https://static.cninfo.com.cn/finalpage/2015-03-31/1200767556.PDF,18,82,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 严格口径待核实；家禽饲养加工收入只用于扩展口径。年报未单列深加工收入，未将其他业务估算为深加工；贸易未单列，未估算。
