股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
000713,国投丰乐种业股份有限公司,2013,5.0,农林牧渔服务业,行业分类候选,种子类、农化类,1235522968.51,1693934876.29,0.72938044,否（仅使用同一分行业维度）,否,是,否,种子收入占41.65%，未达严格门槛；同一行业维度加入农业投入品农化业务后占72.94%，达到扩展样本门槛。香料业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2014-04-09/63804982.PDF,15,59,已人工复核（跨年快速核对第九批）,逐年核对官方年报同一分行业维度和合并利润表；扩展口径只加入农业投入品，不计批零、食品贸易、香料、棉花、果蔬或其他非直接农业业务。
000798,中水集团远洋股份有限公司,2013,4.0,渔业,行业分类候选,远洋捕捞,227913798.54,296131021.96,0.76963838,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2014-04-25/63918750.PDF,16,52,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2013,1.0,农业,行业分类候选,水稻、蔬菜瓜果、玉米、小麦及棉花油菜种子,1390256633.54,1884716266.51,0.73764771,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2014-06-25/1200004735.PDF,22,87,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2013,1.0,农业,行业分类候选,玉米种子（保守产品口径）,1437157186.91,1505375096.66,0.95468378,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2014-04-23/63896809.PDF,14,58,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002234,山东民和牧业股份有限公司,2013,3.0,畜牧业,行业分类候选,雏鸡、淘汰鸡及鸡肉制品（扩展口径）,930893902.82,996313767.09,0.93433809,否（仅使用同一分产品维度）,否,是,否,直接畜牧养殖收入占36.38%，未达50%；加入同一分产品维度的农产品初加工收入后占93.43%，纳入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2014-04-19/63870251.PDF,15,53,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002299,福建圣农发展股份有限公司,2013,3.0,畜牧业,行业分类候选,家禽饲养加工行业（合并披露）,4500397751.55,4708227702.1,0.9558581352262758,合并披露风险：自产养殖与屠宰初加工无法可靠拆分；未估算严格分子,待核实,是,否,家禽饲养加工合并收入原始占比0.95585813522627589061268651677856581039294505619913，扩展口径达标；严格口径不估算。,,,,https://static.cninfo.com.cn/finalpage/2014-04-22/63884585.PDF,19,78,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 严格口径待核实；家禽饲养加工收入只用于扩展口径。年报未单列深加工收入，未将其他业务估算为深加工；贸易未单列，未估算。
002321,河南华英农业发展股份有限公司,2013,3.0,畜牧业,行业分类候选,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,1573059951.64,1756369219.8,0.8956317,否（仅使用同一分产品或明确交易收入；不跨维度相加）,否,是,否,严格口径占8.80%，未达50%；同一维度加入初加工和农业投入品后占89.56%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,,,,https://static.cninfo.com.cn/finalpage/2014-04-10/63812942.PDF,15,64,已人工复核（跨年快速核对第十批）,逐年核对官方年报；扩展口径只计可识别初加工或农业投入品，排除贸易、熟食、成品羽绒、餐饮、殡葬、能源和资产处置。
002447,大连壹桥海洋苗业股份有限公司,2013,4.0,渔业,行业分类候选,严格口径项目；海参加工品因加工深度未拆仅进入上界,357334173.0,532701657.35,0.67079606,采用互斥分行业口径；不与分产品、地区相加；2016资产置换形成的口径差额不进入下界,是,是,否,育苗和水产养殖为直接农业，严格下界已达到50%；海参加工品加工深度未拆不影响阈值结论。,,,,https://static.cninfo.com.cn/finalpage/2014-04-10/63812182.PDF,14|91|104,51,已人工复核（跨年快速核对第二十批X组）,逐年核对官方年报；主营转型按公司—年份处理；混合业务无法可靠拆分时只保留上下界，正式分子留空，不按名称或原料采购推算。 官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。 不适用 上界项目未拆；正式分子采用可确认下界。
002458,山东益生种畜禽股份有限公司,2013,3.0,畜牧业,行业分类候选,鸡、猪、牛奶,495697042.08,502875826.03,0.98572454,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,,,,https://static.cninfo.com.cn/finalpage/2014-04-25/63915285.PDF,14,52,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002477,雏鹰农牧集团股份有限公司,2013,3.0,畜牧业,行业分类候选,畜牧养殖业+种植业；无另行确认的饲料/兽药/种子对外收入,1529977889.58,1868073444.02,0.81901378,无；2013—15采用养殖/种植行业行，2016—18采用生猪产品行，未跨维度相加,是,是,否,"严格区间[0.819013778327454091485629468736394825933445528644499637470951, 0.819013778327454091485629468736394825933445528644499637470951]；扩展区间[0.819013778327454091485629468736394825933445528644499637470951, 0.819013778327454091485629468736394825933445528644499637470951]。粮食及生猪贸易、屠宰生鲜冻品、熟食深加工、互联网/类金融等均排除。",,,,https://static.cninfo.com.cn/finalpage/2014-04-24/63905088.PDF,18,79,已人工复核（跨年快速核对第十六批O组）,"逐年核对官方年报；养殖、投入品和初加工按同一维度下界计量，贸易、屠宰、熟食和普通食品深加工排除；重列比较数优先，混合品类保留上下界。 仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。 沿用v26原值；待核实字段不插值、不复制相邻年份 2013年PDF养殖行业数有双逗号排版瑕疵，按可辨识数字及同行合计核为1,528,769,443.17元。"
