股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
000735,罗牛山股份有限公司,2013,3.0,畜牧业,行业分类候选,生猪养殖及屠宰加工（扩展口径）,737117983.89,1719531920.81,0.42867363,否（仅使用同一分行业维度）,否,否,是,直接农业收入占33.10%，加入同一披露维度的初加工收入后占42.87%，仍处于30%—50%，列为边界样本。,,,,https://static.cninfo.com.cn/finalpage/2014-04-30/63949358.PDF,16,56,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
600598,黑龙江北大荒农业股份有限公司,2013,1.0,农业,行业分类候选,农业行业（土地承包及农产品经营）,3339524134.16,9409513052.16,0.35490935,否（仅使用同一分行业维度）,否,否,是,农业行业收入占35.49%，处于30%—50%；未将工业、商品流通或不同产品维度重复计入，列为边界样本。,,,,https://static.cninfo.com.cn/finalpage/2014-03-27/63733625.PDF,12,75,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
000735,罗牛山股份有限公司,2014,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,生猪养殖及屠宰加工（扩展口径）,488907275.72,1005817243.57,0.48607963,否（仅使用同一分行业维度）,否,否,是,直接农业收入占33.05%，加入同一披露维度的初加工收入后占48.61%，仍处于30%—50%，列为边界样本。,,,,https://static.cninfo.com.cn/finalpage/2015-03-21/1200724489.PDF,18,27|66|111,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
000735,罗牛山股份有限公司,2017,3.0,畜牧业,行业分类候选,畜牧业及屠宰加工业（扩展口径）,466211498.34,1298149934.33,0.35913532,否（仅使用同一分行业维度）,否,否,是,直接农业收入占21.56%，加入同一披露维度的初加工收入后占35.91%，仍处于30%—50%，列为边界样本。,,,,https://static.cninfo.com.cn/finalpage/2018-04-28/1204822803.PDF,18,79,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
300189,海南神农种业科技股份有限公司,2017,1.0,农业,行业分类候选,种子、农化产品及农业技术服务,218165990.18,451438322.09,0.48326865,否（同一分产品维度内求和）,否,否,是,种子严格口径占45.32%；加入农化及农业技术服务后扩展口径占48.33%，列为边界样本。,,,,https://static.cninfo.com.cn/finalpage/2020-01-07/1207233013.PDF,24,90,已人工复核（跨年快速核对第五批）,逐年核对官方年报分产品收入，业务转型年份按当年实际口径判定。
000735,罗牛山股份有限公司,2018,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,生猪及肉制品（扩展口径）,441904186.09,1121254823.29,0.39411575,否（仅使用同一分产品维度）,否,否,是,直接农业收入占28.41%，加入同一披露维度的初加工收入后占39.41%，仍处于30%—50%，列为边界样本。,,,,https://static.cninfo.com.cn/finalpage/2019-04-25/1206088844.PDF,15,73,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
600354,甘肃省敦煌种业集团股份有限公司,2018,1.0,农业,行业分类候选+龙头企业身份核实候选,种子,338570901.99,767469079.12,0.4411525,否（仅使用同一分行业维度）,否,否,是,种子收入占44.12%，处于30%—50%，列为边界样本；食品与贸易、棉花、果蔬及其他业务均未计入。,,,,https://static.cninfo.com.cn/finalpage/2019-03-30/1205968819.PDF,11,66,已人工复核（跨年快速核对第九批）,逐年核对官方年报同一分行业维度和合并利润表；扩展口径只加入农业投入品，不计批零、食品贸易、香料、棉花、果蔬或其他非直接农业业务。
600265,云南景谷林业股份有限公司,2019,2.0,林业,行业分类候选,林木销售；林板、木材及林化初加工（扩展口径）,72625814.64,203245285.52,0.35733087,否（仅使用同一分产品或明确交易收入；不跨维度相加）,否,否,是,严格口径占14.29%；扩展口径占35.73%，处于30%—50%，列为边界样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,是,是,,https://static.cninfo.com.cn/finalpage/2020-04-24/1207582543.PDF,16-17；问询函9,70,已人工复核（跨年快速核对第十批）,"逐年核对官方年报；扩展口径只计可识别初加工或农业投入品，排除贸易、熟食、成品羽绒、餐饮、殡葬、能源和资产处置。 全年林木销售收入由公司2020年年报问询函按万元披露为2,904.33万元；换算为元用于比例，来源精度为万元，并非精确到元。"
600975,湖南新五丰股份有限公司,2019,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,畜牧业（生猪）、饲料加工,1037924708.1,2130425322.84,0.48719131,否（仅使用同一分行业维度）,否,否,是,畜牧业收入占47.43%；同一行业维度加入饲料加工后占48.72%，处于30%—50%，列为边界样本。批发零售未计入。,,,,https://static.cninfo.com.cn/finalpage/2020-04-14/1207491867.PDF,17,97,已人工复核（跨年快速核对第九批）,逐年核对官方年报同一分行业维度和合并利润表；扩展口径只加入农业投入品，不计批零、食品贸易、香料、棉花、果蔬或其他非直接农业业务。
600354,甘肃省敦煌种业集团股份有限公司,2020,1.0,农业,行业分类候选+龙头企业身份核实候选,种子,389762957.24,954210631.49,0.40846637,否（仅使用同一分行业维度）,否,否,是,种子收入占40.85%，处于30%—50%，列为边界样本；食品与贸易、棉花、果蔬及其他业务均未计入。,是,是,,https://static.cninfo.com.cn/finalpage/2021-04-29/1209857637.PDF,10,52,已人工复核（跨年快速核对第九批）,逐年核对官方年报同一分行业维度和合并利润表；扩展口径只加入农业投入品，不计批零、食品贸易、香料、棉花、果蔬或其他非直接农业业务。
