stock_code,exchange,current_short_name,org_id,announcement_id,announcement_title,announcement_sec_name,publication_date,pdf_url,report_year_extracted,adjunct_size,retrieved_date
000048,深圳证券交易所,京基智农,gssz0000048,63944198,2013年年度报告摘要,康达尔,2014-04-28,https://static.cninfo.com.cn/finalpage/2014-04-29/63944198.PDF,2013,313,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,63944210,2013年年度报告（已取消）,康达尔,2014-04-28,https://static.cninfo.com.cn/finalpage/2014-04-29/63944210.PDF,2013,8598,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,64086872,2013年年度报告（更新后）,康达尔,2014-05-30,https://static.cninfo.com.cn/finalpage/2014-05-31/64086872.PDF,2013,8604,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1200920078,2014年年度报告摘要,康达尔,2015-04-27,https://static.cninfo.com.cn/finalpage/2015-04-28/1200920078.PDF,2014,305,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1200920085,2014年年度报告,康达尔,2015-04-27,https://static.cninfo.com.cn/finalpage/2015-04-28/1200920085.PDF,2014,1081,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1202243202,2015年年度报告摘要,康达尔,2016-04-25,https://static.cninfo.com.cn/finalpage/2016-04-26/1202243202.PDF,2015,306,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1202243218,2015年年度报告,康达尔,2016-04-25,https://static.cninfo.com.cn/finalpage/2016-04-26/1202243218.PDF,2015,3595,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1203402379,2016年年度报告摘要,康达尔,2017-04-26,https://static.cninfo.com.cn/finalpage/2017-04-27/1203402379.PDF,2016,276,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1203402385,2016年年度报告（已取消）,康达尔,2017-04-26,https://static.cninfo.com.cn/finalpage/2017-04-27/1203402385.PDF,2016,3620,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1203543841,2016年年度报告（更新后）,康达尔,2017-05-19,https://static.cninfo.com.cn/finalpage/2017-05-20/1203543841.PDF,2016,3623,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1205363827,2017年年度报告,*ST康达,2018-08-30,https://static.cninfo.com.cn/finalpage/2018-08-31/1205363827.PDF,2017,3481,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1205363829,2017年年度报告摘要,*ST康达,2018-08-30,https://static.cninfo.com.cn/finalpage/2018-08-31/1205363829.PDF,2017,279,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1206016211,2018年年度报告摘要,*ST康达,2019-04-14,https://static.cninfo.com.cn/finalpage/2019-04-15/1206016211.PDF,2018,203,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1206016212,2018年年度报告,*ST康达,2019-04-14,https://static.cninfo.com.cn/finalpage/2019-04-15/1206016212.PDF,2018,3884,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1207681429,2019年年度报告摘要,京基智农,2020-04-29,https://static.cninfo.com.cn/finalpage/2020-04-30/1207681429.PDF,2019,326,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1207681445,2019年年度报告,京基智农,2020-04-29,https://static.cninfo.com.cn/finalpage/2020-04-30/1207681445.PDF,2019,3704,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1209454334,2020年年度报告摘要,京基智农,2021-03-25,https://static.cninfo.com.cn/finalpage/2021-03-26/1209454334.PDF,2020,314,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1209454384,2020年年度报告,京基智农,2021-03-25,https://static.cninfo.com.cn/finalpage/2021-03-26/1209454384.PDF,2020,3522,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1212582108,2021年年度报告摘要,京基智农,2022-03-15,https://static.cninfo.com.cn/finalpage/2022-03-16/1212582108.PDF,2021,169,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1212582122,2021年年度报告,京基智农,2022-03-15,https://static.cninfo.com.cn/finalpage/2022-03-16/1212582122.PDF,2021,3794,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1216116016,2022年年度报告,京基智农,2023-03-14,https://static.cninfo.com.cn/finalpage/2023-03-15/1216116016.PDF,2022,2885,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1216116020,2022年年度报告摘要,京基智农,2023-03-14,https://static.cninfo.com.cn/finalpage/2023-03-15/1216116020.PDF,2022,258,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1219347629,2023年年度报告,京基智农,2024-03-19,https://static.cninfo.com.cn/finalpage/2024-03-20/1219347629.PDF,2023,1361,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1219347632,2023年年度报告摘要,京基智农,2024-03-19,https://static.cninfo.com.cn/finalpage/2024-03-20/1219347632.PDF,2023,352,2026-08-06
000048,深圳证券交易所,京基智农,gssz0000048,1219348059,2023年年度报告,京基智农,2024-03-19,https://static.cninfo.com.cn/finalpage/2024-03-20/1219348059.PDF,2023,1293,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,63664588,2013年年度报告摘要,东阿阿胶,2014-03-11,https://static.cninfo.com.cn/finalpage/2014-03-12/63664588.PDF,2013,223,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,63664608,2013年年度报告,东阿阿胶,2014-03-11,https://static.cninfo.com.cn/finalpage/2014-03-12/63664608.PDF,2013,4182,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1200714212,2014年年度报告摘要,东阿阿胶,2015-03-18,https://static.cninfo.com.cn/finalpage/2015-03-19/1200714212.PDF,2014,287,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1200714220,2014年年度报告,东阿阿胶,2015-03-18,https://static.cninfo.com.cn/finalpage/2015-03-19/1200714220.PDF,2014,4497,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1202033489,2015年年度报告摘要,东阿阿胶,2016-03-09,https://static.cninfo.com.cn/finalpage/2016-03-10/1202033489.PDF,2015,335,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1202033494,2015年年度报告,东阿阿胶,2016-03-09,https://static.cninfo.com.cn/finalpage/2016-03-10/1202033494.PDF,2015,5419,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1203145161,2016年年度报告摘要（已取消）,东阿阿胶,2017-03-09,https://static.cninfo.com.cn/finalpage/2017-03-10/1203145161.PDF,2016,257,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1203145166,2016年年度报告（已取消）,东阿阿胶,2017-03-09,https://static.cninfo.com.cn/finalpage/2017-03-10/1203145166.PDF,2016,4939,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1203153424,2016年年度报告（更新后）,东阿阿胶,2017-03-13,https://static.cninfo.com.cn/finalpage/2017-03-13/1203153424.PDF,2016,3219,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1203153425,2016年年度报告摘要（更新后）,东阿阿胶,2017-03-13,https://static.cninfo.com.cn/finalpage/2017-03-13/1203153425.PDF,2016,257,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1204480418,2017年年度报告摘要,东阿阿胶,2018-03-15,https://static.cninfo.com.cn/finalpage/2018-03-16/1204480418.PDF,2017,314,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,1204480425,2017年年度报告（已取消）,东阿阿胶,2018-03-15,https://static.cninfo.com.cn/finalpage/2018-03-16/1204480425.PDF,2017,5180,2026-08-06
