stock_code,exchange,current_short_name,org_id,announcement_id,announcement_title,announcement_sec_name,announcement_date,pdf_url,query_keyword,query_period,retrieved_date,review_status,event_candidate_type,pdf_parse_status,date_evidence_excerpt,manual_review_status
000048,深圳证券交易所,京基智农,gssz0000048,1205104783,关于公司股票交易被实行退市风险警示的公告,康达尔,2018-06-28,https://static.cninfo.com.cn/finalpage/2018-06-29/1205104783.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,实施或叠加,PDF文本提取成功,证券代码：000048 证券简称：康达尔 公告编号：2018-065 || 据《深圳证券交易所股票上市规则》13.2.4 条相关规定，公司股票自2018年7月2 日开市起复牌； 2、因公司在2018年5月2日起停牌的两个月内无法披露定期报告，公司股票 || 2、因公司在2018年5月2日起停牌的两个月内无法披露定期报告，公司股票 自2018年7月2日起被实行退市风险警示处理，股票简称由“康达尔”变更为“*ST 康达”； || 深圳市康达尔（集团）股份有限公司（以下简称“本公司”、“公司”）原定 于 2018 年 4 月 28 日披露 2017 年年度报告及 2018 年第一季度报告。基于公司 || 根据《深圳证券交易所股票上市规则》的相关规定，公司股票自2018年7月2 日开市起复牌，复牌日起深圳证券交易所将对公司股票交易实行退市风险警示。 现就相关事项公告如下： || 3、股票代码：仍为“000048” 4、实行退市风险警示的起始日： 自 2018 年 7 月 2 日复牌之日起，深圳证券交易所对公司股票交易实行退市 || 4、实行退市风险警示的起始日： 自 2018 年 7 月 2 日复牌之日起，深圳证券交易所对公司股票交易实行退市 风险警示。 || 5、公司股票被实行退市风险警示后，股票价格日涨跌幅限制为 5%。 二、实行退市风险警示的主要原因 基于公司 2018 年 4 月 25 日召开的 2018 年第二次临时股东大会对《关于聘 || 四、股票可能被暂停上市的风险提示 1、若公司被实行退市风险警示后，在两个月内仍未能披露 2017 年年度报告， 深圳证券交易所将可能暂停公司股票上市交易。,待人工判定实际生效日及风险状态是否连续
000048,深圳证券交易所,京基智农,gssz0000048,1206976308,关于公司股票撤销退市风险警示的公告,*ST康达,2019-10-13,https://static.cninfo.com.cn/finalpage/2019-10-14/1206976308.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,撤销或风险类型转换,PDF文本提取成功,证券代码：000048 证券简称：*ST 康达 公告编号：2019-088 || 1、公司股票自 2019 年 10 月 14 日开市起继续停牌一天，于 2019 年 10 月 15 日开市起复牌。 || 2、公司股票自 2019 年 10 月 15 日开市起撤销退市风险警示，股票简称由“*ST 康达”变更为“康达尔”，股票代码“000048”保持不变，日涨跌幅限制由 5%变 || 因深圳市康达尔（集团）股份有限公司（以下简称“公司”）未在法定期限 内披露 2017 年年度报告及 2018 年第一季度报告，并在自 2018 年 5 月 2 日停牌起 || 的两个月内未披露上述定期报告，公司股票自 2018 年 7 月 2 日起被深圳证券交易 所实行退市风险警示，股票简称由“康达尔”变更为“*ST 康达”，日涨跌幅限制 由 10%变更为 5%。2018 年 8 月 31 日，公司虽披露了 2017 年年度报告及 2018 年 || 第一季度报告，但由于 2017 年年度报告被信永中和会计师事务所（特殊普通合伙） （以下简称“信永中和”）出具无法表示意见的审计报告，公司股票自 2018 年 9 月 3 日开市起被继续实行退市风险警示。 || （以下简称“信永中和”）出具无法表示意见的审计报告，公司股票自 2018 年 9 月 3 日开市起被继续实行退市风险警示。 二、公司非标准审计报告所涉事项影响的消除情况 || 请撤销退市风险警示的公告》（公告编号：2019-081），针对信永中和及中审亚太 会计师事务所（特殊普通合伙）（以下简称“中审亚太”）为公司先后出具的 2017 || 请撤销退市风险警示的公告》（公告编号：2019-081），针对信永中和及中审亚太 会计师事务所（特殊普通合伙）（以下简称“中审亚太”）为公司先后出具的 2017 年度（更正前）及 2017 年度（更正后）、2018 年度、2019 年半年度审计报告中 || 有限公司（以下简称“京基集团”）于 2019 年 8 月 15 日与罗爱华、陆伟民及华 超投资签订的《股权转让协议》，京基集团将受让罗爱华、陆伟民合计持有的华 || 及对公司 2017 年度财务报表进行重新审计时，已对银行账户余额和往来款余额重 新实施询证程序，在其出具的最终审计报告中对该事项的真实性和准确性未再提 出疑虑。 || （公告编号：2019-087）。 四、公司股票被实行退市风险警示的情形消除情况 根据《股票上市规则》第 13.2.1 条及第 13.3.1 条规定，结合公司实际情况逐 || 项对照和排查后，公司认为股票被实行退市风险警示的情形已全部消除，且不存 在需要实行退市风险警示的其他情形。具体如下： 1、公司股票自 2018 年 7 月 2 日起被实行退市风险警示的依据为《股票上市 || 在需要实行退市风险警示的其他情形。具体如下： 1、公司股票自 2018 年 7 月 2 日起被实行退市风险警示的依据为《股票上市 规则》第 13.2.1 条第（六）款“未在法定期限内披露年度报告或者半年度报告， || 年第一季度报告后，该情形已消除。 2、公司股票自 2018 年 9 月 3 日起被继续实行退市风险警示的依据为《股票 上市规则》第 13.2.1 条第（四）款“最近一个会计年度的财务会计报告被出具无 || 上市规则》第 13.2.1 条第（四）款“最近一个会计年度的财务会计报告被出具无 法表示意见或者否定意见的审计报告”。股票被实行退市风险警示后，公司最近 一个会计年度即 2018 年度的财务会计报告被出具保留意见，且如本公告“二、公 || 形已消除，且不存在《股票上市规则》第 13.2.1 条规定的其他需要实行退市风险 警示或第 13.3.1 条规定的需要实行其他风险警示的情形，因此，公司于 2019 年 9 || 形已消除，且不存在《股票上市规则》第 13.2.1 条规定的其他需要实行退市风险 警示或第 13.3.1 条规定的需要实行其他风险警示的情形，因此，公司于 2019 年 9 月 23 日向深圳证券交易所提交了对公司股票交易撤销退市风险警示的申请及发布 || 警示或第 13.3.1 条规定的需要实行其他风险警示的情形，因此，公司于 2019 年 9 月 23 日向深圳证券交易所提交了对公司股票交易撤销退市风险警示的申请及发布 相关公告，且已获得深圳证券交易所审核通过。 || 根据《股票上市规则》第 13.2.19 条规定，公司股票自 2019 年 10 月 14 日开 市起继续停牌一天，于 2019 年 10 月 15 日开市起复牌并撤销退市风险警示，股票 简称由“*ST 康达”变更为“康达尔”，股票代码“000048”保持不变，日涨跌幅 || 市起继续停牌一天，于 2019 年 10 月 15 日开市起复牌并撤销退市风险警示，股票 简称由“*ST 康达”变更为“康达尔”，股票代码“000048”保持不变，日涨跌幅 限制由 5%变更为 10%。,待人工判定实际生效日及风险状态是否连续
000663,深圳证券交易所,永安林业,gssz0000663,1207686908,关于公司股票实施退市风险警示暨停复牌的公告,永安林业,2020-04-29,https://static.cninfo.com.cn/finalpage/2020-04-30/1207686908.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,实施或叠加,PDF文本提取成功,"股票代码：000663 股票简称：永安林业 编号：2020-028 || 特别提示： 1、公司股票于 2020 年 4 月 30 日停牌一天，并于 5 月 6 日开始起复牌； 2、公司股票自 2020 年 5 月 6 日起被实行“退市风险警示”处理，股票简 || 1、公司股票于 2020 年 4 月 30 日停牌一天，并于 5 月 6 日开始起复牌； 2、公司股票自 2020 年 5 月 6 日起被实行“退市风险警示”处理，股票简 称由“永安林业”变更为“*ST 永林”； || 称由“永安林业”变更为“*ST 永林”； 3、实行退市风险警示后公司股票交易的日涨跌幅限制为 5%。 鉴于福建省永安林业（集团）股份有限公司（以下简称“公司”）2018 年度、 || 3、实行退市风险警示后公司股票交易的日涨跌幅限制为 5%。 鉴于福建省永安林业（集团）股份有限公司（以下简称“公司”）2018 年度、 2019 年度连续两个会计年度经审计的净利润为负值，根据《深圳证券交易所股 || 2019 年度连续两个会计年度经审计的净利润为负值，根据《深圳证券交易所股 票上市规则》的相关规定，公司股票交易将被实行“退市风险警示”特别处理， 现将具体情况公告如下： || 3、证券代码：000663 4、实行退市风险警示的起始日：2020 年 5 月 6 日 5、实行退市风险警示后股票交易的日涨跌幅限制为：5% || 4、实行退市风险警示的起始日：2020 年 5 月 6 日 5、实行退市风险警示后股票交易的日涨跌幅限制为：5% 二、实行退市风险警示的主要原因 || 5、实行退市风险警示后股票交易的日涨跌幅限制为：5% 二、实行退市风险警示的主要原因 公司 2018 年度、 2019 年度连续两个会计年度经审计的净利润为负值，根 || 据《深圳证券交易所股票上市规则》第 13.2.1 条的有关规定，公司股票将于 2020 年 4 月 30 日停牌一天，自 2020 年 5 月 6 日开市起复牌并实行退市风险警示。 三、公司董事会关于争取撤销退市风险警示的意见及具体措施 || 年 4 月 30 日停牌一天，自 2020 年 5 月 6 日开市起复牌并实行退市风险警示。 三、公司董事会关于争取撤销退市风险警示的意见及具体措施 公司董事会将积极主动采取措施，力争尽快消除退市风险，主要措施如下： || 出售连城县森威林业有限责任公司 95%股权的议案》，公司以公开受让方式出售 连城县森威林业有限责任公司（以下简称“森威公司”）95%股权[截止 2019 年 6 月 30 日，森威公司股东全部权益价值的账面价值为人民币 5,472.3 万元，经北 || 5、 2020 年 4 月 12 日，公司控股股东福建省永安林业（集团）总公司与中 林集团控股有限公司（以下 简称“中林控股”）签订合资协议，拟将其持有的公 司 64,884,600 股（占公司总股本的 19.27%）股票出资与中林控股（现金出资金",待人工判定实际生效日及风险状态是否连续
000663,深圳证券交易所,永安林业,gssz0000663,1211097043,关于撤销公司股票交易退市风险警示及其他风险警示暨停牌的公告,*ST永林,2021-09-17,https://static.cninfo.com.cn/finalpage/2021-09-18/1211097043.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,撤销或风险类型转换,PDF文本提取成功,股票代码：000663 股票简称：*S T 永林 编号：2021-074 || 4、撤销退市风险警示及其他风险警示的起始日：2021 年 9 月 23 日。 || 券交易所股票上市规则（2020 年修订）》第十四章实施退市风险警示及强制退 || （二）公司于 2020 年 8 月 10 日与远东国际融资租赁有限公司（以下简称“远,待人工判定实际生效日及风险状态是否连续
000711,深圳证券交易所,ST京蓝,gssz0000711,1200684219,关于公司股票实施退市风险警示的公告,京蓝科技,2015-03-09,https://static.cninfo.com.cn/finalpage/2015-03-10/1200684219.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,实施或叠加,PDF文本提取成功,证券代码：000711 证券简称：京蓝科技 公告编号：2015-020 ||  黑龙江京蓝科技股份有限公司股票将于 2015 年 3 月 10 日开市起停牌一 天，将于 2015 年 3 月 11 日开市起复牌。  公司股票实施退市风险警示的起始日为 2015 年 3 月 11 日。 || 天，将于 2015 年 3 月 11 日开市起复牌。  公司股票实施退市风险警示的起始日为 2015 年 3 月 11 日。  实施退市风险警示后的股票简称为：*ST 京蓝，股票代码为：000711， ||  公司股票实施退市风险警示的起始日为 2015 年 3 月 11 日。  实施退市风险警示后的股票简称为：*ST 京蓝，股票代码为：000711， 股票价格的日涨跌幅限制为 5%。 || （三）公司股票将于 2015 年 3 月 10 日开市起停牌一天，将于 2015 年 3 月 11 日开市起复牌。 （四）公司股票自 2015 年 3 月 11 日开市时实施“退市风险警示”特别处理， || 11 日开市起复牌。 （四）公司股票自 2015 年 3 月 11 日开市时实施“退市风险警示”特别处理， 实施退市风险警示后股票价格的日涨跌幅限制为 5%。 || （四）公司股票自 2015 年 3 月 11 日开市时实施“退市风险警示”特别处理， 实施退市风险警示后股票价格的日涨跌幅限制为 5%。 二、实施退市风险警示的适用情形 || 近两个会计年度经审计的净利润连续为负值或者因追溯重述导致最近两个会计 年度净利润连续为负值”，深证证券交易所将对股票实施退市风险警示。 公司 2013 年度、2014 年度经审计归属于上市公司股东的净利润为负值，公 || 公司 2013 年度、2014 年度经审计归属于上市公司股东的净利润为负值，公 司连续两年亏损，公司将被实施退市风险警示。 三、实施退市风险警示的有关事项提示 || 根据《深圳证券交易所股票上市规则》第 13.2.3 条等相关规定，公司股票将 于 2015 年 3 月 10 日停牌一天，3 月 11 日实施退市风险警示，实施退市风险警 示后股票价格的日涨跌幅限制为 5%。提示实施退市风险警示后公司股票将在风 || 于 2015 年 3 月 10 日停牌一天，3 月 11 日实施退市风险警示，实施退市风险警 示后股票价格的日涨跌幅限制为 5%。提示实施退市风险警示后公司股票将在风 险警示板交易。,待人工判定实际生效日及风险状态是否连续
000711,深圳证券交易所,ST京蓝,gssz0000711,1201974187,关于撤销股票交易退市风险警示的公告,*ST京蓝,2016-02-14,https://static.cninfo.com.cn/finalpage/2016-02-15/1201974187.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,撤销或风险类型转换,PDF文本提取成功,"证券代码：000711 证券简称：*ST 京蓝 公告编号：2016-022 || 重要提示： 1.黑龙江京蓝科技股份有限公司（以下简称“公司”）股票于 2016 年 2 月 15 日停牌一天，由于公司处于重大资产重组期间，处于停牌状态，因此 2016 年 || 2 月 16 日开市起继续停牌。 2.公司股票交易自 2016 年 2 月 16 日开市起撤销退市风险警示；证券简称由 “*ST 京蓝”变更为“京蓝科技”；证券代码不变，仍为“000711”；股票交易 || -586,511,465.47 元，请广大投资者谨慎投资，注意投资风险。 一、被实施退市风险警示的基本情况 公司由于 2013 年、2014 年连续两个会计年度经审计的净利润为负值，根据 || 公司由于 2013 年、2014 年连续两个会计年度经审计的净利润为负值，根据 《深圳证券交易所股票上市规则》（以下简称“《上市规则》”）有关规定，公 司股票自 2015 年 3 月 11 日起被实施退市风险警示特别处理，证券简称由“京蓝 || 《深圳证券交易所股票上市规则》（以下简称“《上市规则》”）有关规定，公 司股票自 2015 年 3 月 11 日起被实施退市风险警示特别处理，证券简称由“京蓝 科技”变更为“*ST 京蓝” ，股票交易日涨跌幅度限制为 5%。 || 科技”变更为“*ST 京蓝” ，股票交易日涨跌幅度限制为 5%。 二、公司股票交易符合撤销退市风险警示的条件 1.根据中兴财光华会计师事务所（特殊普通合伙）出具的公司 2015 年度“标 || 2.公司 2014 年、2015 年相关财务指标不存在《上市规则》第 13.2.1 条第 （一）项至第（四）项规定的公司股票被实施退市风险警示的情形。 3.公司股票不存在《上市规则》第 13.2.1 条规定的应实施退市风险警示的 || 4.根据《上市规则》第 13.2.10 条规定，并经公司第八届董事会第二次会议 审议通过，公司于 2016 年 1 月 25 日向深圳证券交易所提交了关于撤销公司股票 交易退市风险警示的申请。 || （三）不断完善的公司治理能力及内部管控能力。 公司在 2015 年对制度、审批权限、业务流程进行了重新疏导和整理，实行 公司及各个分子公司业务全过程、全方位管理，促使公司内部控制体系不断完善， || 有限公司的年报问询函》 （公司部年报问询函【2016】第 1 号） （以下简称“问询 函”）。公司结合 2015 年度报告进行认真复核后，对问询函中所列问题向深交所 || 五、公司申请事项获得深圳证券交易所审核同意 公司提交的关于撤销股票交易退市风险警示申请获得深交所审核同意。根据 有关规定，公司股票于 2016 年 2 月 15 日停牌 1 天，由于公司处于重大资产重组 || 有关规定，公司股票于 2016 年 2 月 15 日停牌 1 天，由于公司处于重大资产重组 期间，处于停牌状态，因此 2016 年 2 月 16 日开市起继续停牌。证券简称自 2016 年 2 月 16 日起由“*ST 京蓝”变更为“京蓝科技”证券代码不变，仍为“000711”；",待人工判定实际生效日及风险状态是否连续
000711,深圳证券交易所,ST京蓝,gssz0000711,1216661988,公司股票被实施退市风险警示、其他风险警示暨停牌的公告,京蓝科技,2023-04-27,https://static.cninfo.com.cn/finalpage/2023-04-28/1216661988.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,实施或叠加,PDF文本提取成功,证券代码：000711 证券简称：京蓝科技 公告编号：2023-028 || “公司”）股票将于 2023 年 4 月 28 日停牌一天，并于 2023 年 5 月 4 日开市起复牌； 2.公司股票自 2023 年 5 月 4 日起被实施退市风险警示和其他风险警示，股 || 年 4 月 28 日停牌一天，并于 2023 年 5 月 4 日开市起复牌； 2.公司股票自 2023 年 5 月 4 日起被实施退市风险警示和其他风险警示，股 票简称由“京蓝科技”变更为： || 2.公司股票自 2023 年 5 月 4 日起被实施退市风险警示和其他风险警示，股 票简称由“京蓝科技”变更为： “*ST 京蓝”，股票代码仍为：000711，股票价格 || 1.股票种类仍为人民币普通股 A 股； 2.股票简称由“京蓝科技”变更为“*ST 京蓝”，股票代码仍为 000711； 3.实施风险警示的起始日：2023 年 5 月 4 日。 || 2.股票简称由“京蓝科技”变更为“*ST 京蓝”，股票代码仍为 000711； 3.实施风险警示的起始日：2023 年 5 月 4 日。 二、实施风险警示的适用情形 || 3.实施风险警示的起始日：2023 年 5 月 4 日。 二、实施风险警示的适用情形 依据公司 2022 年年度报告，公司 2022 年度经审计的期末净资产为负值， || 第 9.3.1 条第一款第（二）项规定的对股票实施退市风险警示的情形，公司股票 交易将被实施退市风险警示（*ST）。 同时，公司 2020 年至 2022 年连续三个会计年度经审计扣除非经常性损益 || 技”变更为“*ST 京蓝”。 三、实施风险警示的有关事项提示 根据《股票上市规则》第 9.1.5 条第一款之规定，公司股票将于 2023 年 4 || 根据《股票上市规则》第 9.1.5 条第一款之规定，公司股票将于 2023 年 4 月 28 日停牌 1 天，自 2023 年 5 月 4 日开市起复牌并实施退市风险警示和其他风 险警示。实施风险警示后，公司股票将在风险警示板交易，股票价格的日涨跌幅 || 月 28 日停牌 1 天，自 2023 年 5 月 4 日开市起复牌并实施退市风险警示和其他风 险警示。实施风险警示后，公司股票将在风险警示板交易，股票价格的日涨跌幅 限制为 5%。 || 限制为 5%。 四、公司董事会关于争取撤销风险警示的意见及主要措施 2023 年，公司继续面临严峻的考验，不仅要全力以赴通过债务重整化解债 || （公告编号：2023-013），公司根据实际情况及 法律规定制定了初步重整方案，若顺利实施司法重整，预计公司资产负债结构将 获得显著优化，公司持续经营能力和盈利能力也将得以恢复，退市风险得到彻底,待人工判定实际生效日及风险状态是否连续
000711,深圳证券交易所,ST京蓝,gssz0000711,1217030269,因主要银行账户被冻结公司股票交易被叠加实施其他风险警示的公告,*ST京蓝,2023-06-09,https://static.cninfo.com.cn/finalpage/2023-06-10/1217030269.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,实施或叠加,PDF文本提取成功,证券代码：000711 证券简称：*ST 京蓝 公告编号：2023-053 || 年修订）》第 9.8.1 条的规定，公司股票将于 2023 年 6 月 12 日开市起被叠 加实施其他风险警示。本次被叠加实施其他风险警示后，公司股票不停牌，公司 股票简称仍为：*ST 京蓝，股票代码仍为：000711，股票日涨跌幅限制仍为 5%。 || 3、股票代码仍为“000711”； 4、被叠加实施其他风险警示的起始日：2023 年 6 月 12 日； 5、股票停复牌起始日：不停牌； || 4、被叠加实施其他风险警示的起始日：2023 年 6 月 12 日； 5、股票停复牌起始日：不停牌； 6、被叠加实施其他风险警示后公司股票日涨跌幅限制仍为 5%。 || 利润孰低者均为负值，且 2022 年度审计报告显示公司持续经营能力存在不确定 性，公司股票已被叠加实施退市风险警示和其他风险警示。基于公司相关银行账 户被冻结的情形，触及深圳证券交易所《股票上市规则（2023 年修订）》第 9.8.1 || 户被冻结的情形，触及深圳证券交易所《股票上市规则（2023 年修订）》第 9.8.1 条第（六）项的规定，公司股票交易将被叠加实施其他风险警示。 三、对公司的影响及应对措施,待人工判定实际生效日及风险状态是否连续
002069,深圳证券交易所,獐子岛,9900000781,1202284334,关于公司股票交易实行退市风险警示的公告,獐 子 岛,2016-05-02,https://static.cninfo.com.cn/finalpage/2016-05-03/1202284334.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,实施或叠加,PDF文本提取成功,2、公司股票自 2016 年 5 月 4 日起被实行“退市风险警示”特别处理，股票 简称由“獐子岛”变更为“*ST 獐岛”。 || 因獐子岛集团股份有限公司（以下简称“公司”）2014 年度、2015 年度连续 两个会计年度经审计的净利润为负值，根据《深圳证券交易所股票上市规则》的 || 4、实行退市风险警示的起始日：2016 年 5 月 4 日； || 据《深圳证券交易所股票上市规则》第 13.2.1 条第（一）款的相关规定，公司股 票交易将于 2016 年 5 月 3 日停牌一天，自 2016 年 5 月 4 日复牌后被实行“退市 风险警示”特别处理。 || 公司因 2014 年、2015 年连续两年亏损，公司股票交易被实施退市风险警示， 公司董事会已确定了收入增长、显著盈利的预算目标，保障 2016 年扭亏为盈、 || 公司董事会已确定了收入增长、显著盈利的预算目标，保障 2016 年扭亏为盈、 撤销退市风险警示。公司将继续围绕“订单前置、标准领先、创新驱动、协同增 效”的经营方针，将“精准发力、突出服务”作为运营的主基调，明确了提升销,待人工判定实际生效日及风险状态是否连续
002069,深圳证券交易所,獐子岛,9900000781,1203238440,关于公司股票撤销退市风险警示的公告,*ST獐岛,2017-03-30,https://static.cninfo.com.cn/finalpage/2017-03-31/1203238440.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期,撤销或风险类型转换,PDF文本提取成功,1、獐子岛集团股份有限公司（以下简称“公司”）股票交易自 2017 年 3 月 31 日开市起停牌一天，自 2017 年 4 月 5 日开市起恢复交易。 || 2、公司股票交易自 2017 年 4 月 5 日开市起撤销退市风险警示。股票简称由 “*ST 獐岛”变更为“獐子岛”；股票代码不变，仍为 002069；股票交易日涨跌 || 据《深圳证券交易所股票上市规则》的相关规定，公司股票自 2016 年 5 月 4 日 起被深圳证券交易所实行“退市风险警示”特别处理，公司股票简称由“獐子岛” 变更为“*ST 獐岛”，股票交易的日涨跌幅限制为 5%。 || 5、采用多种措施，降低成本费用。资源端控制苗种质量、优化用工机制； 加工环节优化产销衔接、推进产品创新、实施计件考核；市场端突出利润导向的 绩效机制。2016 年度在营业收入突破 30 亿元、同比增长 11.93%的同时，期间费 || 根据《深圳证券交易所股票上市规则》（2014 年修订）第 13.2.10 的规定， 实施退市风险警示后，上市公司最近一个会计年度审计结果表明 13.2.1 条第（一） 项情形已消除的，上市公司可以向交易所申请对其股票交易撤销退市风险警示。 || 根据《深圳证券交易所股票上市规则》有关规定及公司 2016 年度经营情况， 公司董事会认为：公司退市风险警示的情形已消除，公司符合申请撤销股票退市 风险警示的条件，且公司不存在《深圳证券交易所股票上市规则》规定的其他需 || 风险警示的条件，且公司不存在《深圳证券交易所股票上市规则》规定的其他需 要实行退市风险警示或其它风险警示的情形。2017 年 3 月 19 日，公司第六届董 事会第八次会议审议通过了《关于申请撤销股票交易退市风险警示的议案》。公 || 要实行退市风险警示或其它风险警示的情形。2017 年 3 月 19 日，公司第六届董 事会第八次会议审议通过了《关于申请撤销股票交易退市风险警示的议案》。公 司于 2017 年 3 月 20 日向深圳证券交易所提交了撤销退市风险警示的申请。 || 事会第八次会议审议通过了《关于申请撤销股票交易退市风险警示的议案》。公 司于 2017 年 3 月 20 日向深圳证券交易所提交了撤销退市风险警示的申请。 || （2014 年修订）的规定，公司股票 交易自 2017 年 3 月 31 日开市起停牌一天，自 2017 年 4 月 5 日开市起复牌。 公 司股票交易自 2017 年 4 月 5 日开市起撤销退市风险警示。股票简称由 “*ST 獐 || 交易自 2017 年 3 月 31 日开市起停牌一天，自 2017 年 4 月 5 日开市起复牌。 公 司股票交易自 2017 年 4 月 5 日开市起撤销退市风险警示。股票简称由 “*ST 獐 岛”变更为“獐子岛”；股票代码不变，仍为 002069；股票交易日涨跌幅限制由,待人工判定实际生效日及风险状态是否连续
