stock_code,exchange,current_short_name,org_id,query_status,announcement_count,api_reported_total,pages_retrieved,retrieved_date
000048,深圳证券交易所,京基智农,gssz0000048,检索完成,12,12,1,2026-08-06
000423,深圳证券交易所,东阿阿胶,gssz0000423,检索完成,0,0,1,2026-08-06
000538,深圳证券交易所,云南白药,gssz0000538,检索完成,0,0,1,2026-08-06
000568,深圳证券交易所,泸州老窖,gssz0000568,检索完成,0,0,1,2026-08-06
000592,深圳证券交易所,平潭发展,gssz0000592,检索完成,0,0,1,2026-08-06
000623,深圳证券交易所,吉林敖东,gssz0000623,检索完成,0,0,1,2026-08-06
000663,深圳证券交易所,永安林业,gssz0000663,检索完成,3,3,1,2026-08-06
000711,深圳证券交易所,ST京蓝,gssz0000711,检索完成,11,11,1,2026-08-06
000713,深圳证券交易所,国投丰乐,gssz0000713,检索完成,0,0,1,2026-08-06
000735,深圳证券交易所,罗 牛 山,gssz0000735,检索完成,0,0,1,2026-08-06
000798,深圳证券交易所,中水渔业,gssz0000798,检索完成,0,0,1,2026-08-06
000848,深圳证券交易所,承德露露,gssz0000848,检索完成,0,0,1,2026-08-06
000860,深圳证券交易所,顺鑫农业,gssz0000860,检索完成,0,0,1,2026-08-06
000910,深圳证券交易所,大亚圣象,gssz0000910,检索完成,0,0,1,2026-08-06
000998,深圳证券交易所,隆平高科,gssz0000998,检索完成,0,0,1,2026-08-06
001201,深圳证券交易所,东瑞股份,9900036405,检索完成,0,0,1,2026-08-06
002041,深圳证券交易所,登海种业,gssz0002041,检索完成,0,0,1,2026-08-06
002069,深圳证券交易所,獐子岛,9900000781,检索完成,6,6,1,2026-08-06
002086,深圳证券交易所,东方海洋,9900001344,检索完成,68,68,3,2026-08-06
002100,深圳证券交易所,天康生物,9900001641,检索完成,0,0,1,2026-08-06
002124,深圳证券交易所,天邦食品,9900002441,检索完成,0,0,1,2026-08-06
002157,深圳证券交易所,正邦科技,9900003434,检索完成,8,8,1,2026-08-06
002166,深圳证券交易所,莱茵生物,9900003561,检索完成,0,0,1,2026-08-06
002200,深圳证券交易所,交投生态,9900003907,检索完成,23,23,1,2026-08-06
002216,深圳证券交易所,三全食品,9900004261,检索完成,0,0,1,2026-08-06
002234,深圳证券交易所,民和股份,9900004604,检索完成,3,3,1,2026-08-06
002286,深圳证券交易所,保龄宝,9900007927,检索完成,0,0,1,2026-08-06
002299,深圳证券交易所,圣农发展,9900008409,检索完成,0,0,1,2026-08-06
002311,深圳证券交易所,海大集团,9900009032,检索完成,0,0,1,2026-08-06
002321,深圳证券交易所,华英农业,9900009334,检索完成,9,9,1,2026-08-06
002329,深圳证券交易所,皇氏集团,9900009827,检索完成,0,0,1,2026-08-06
002385,深圳证券交易所,大北农,9900011648,检索完成,0,0,1,2026-08-06
