stock_code,year,current_legal_full_name,current_short_name,entry_basis,announcement_id,announcement_title,announcement_sec_name,publication_date,pdf_url,adjunct_size,retrieved_date,annual_report_status
000592,2013,中福海峡（平潭）发展股份有限公司,平潭发展,行业分类候选,63950761,2013年年度报告,中福实业,2014-04-29,https://static.cninfo.com.cn/finalpage/2014-04-30/63950761.PDF,964,2026-08-06,已取得法定年度报告链接
000663,2013,福建省永安林业(集团)股份有限公司,永安林业,行业分类候选,63838376,2013年年度报告,永安林业,2014-04-14,https://static.cninfo.com.cn/finalpage/2014-04-15/63838376.PDF,2822,2026-08-06,已取得法定年度报告链接
000713,2013,国投丰乐种业股份有限公司,国投丰乐,行业分类候选,63804982,2013年年度报告,丰乐种业,2014-04-08,https://static.cninfo.com.cn/finalpage/2014-04-09/63804982.PDF,889,2026-08-06,已取得法定年度报告链接
000735,2013,罗牛山股份有限公司,罗 牛 山,行业分类候选,63949358,2013年年度报告,罗 牛 山,2014-04-29,https://static.cninfo.com.cn/finalpage/2014-04-30/63949358.PDF,4025,2026-08-06,已取得法定年度报告链接
000798,2013,中水集团远洋股份有限公司,中水渔业,行业分类候选,63918750,2013年年度报告,中水渔业,2014-04-24,https://static.cninfo.com.cn/finalpage/2014-04-25/63918750.PDF,1298,2026-08-06,已取得法定年度报告链接
000998,2013,袁隆平农业高科技股份有限公司,隆平高科,行业分类候选,1200004735,2013年年度报告（更新后）,隆平高科,2014-06-24,https://static.cninfo.com.cn/finalpage/2014-06-25/1200004735.PDF,3755,2026-08-06,已取得法定年度报告链接
002041,2013,山东登海种业股份有限公司,登海种业,行业分类候选,63896809,2013年年度报告,登海种业,2014-04-22,https://static.cninfo.com.cn/finalpage/2014-04-23/63896809.PDF,756,2026-08-06,已取得法定年度报告链接
002069,2013,獐子岛集团股份有限公司,獐子岛,行业分类候选,63973420,2013年年度报告（更新后）,獐 子 岛,2014-05-05,https://static.cninfo.com.cn/finalpage/2014-05-06/63973420.PDF,3261,2026-08-06,已取得法定年度报告链接
002086,2013,山东东方海洋科技股份有限公司,东方海洋,行业分类候选,63867012,2013年年度报告,东方海洋,2014-04-18,https://static.cninfo.com.cn/finalpage/2014-04-19/63867012.PDF,2266,2026-08-06,已取得法定年度报告链接
002200,2013,云南交投生态科技股份有限公司,交投生态,行业分类候选,63611258,2013年年度报告（更新后）,*ST大地,2014-02-26,https://static.cninfo.com.cn/finalpage/2014-02-27/63611258.PDF,2660,2026-08-06,已取得法定年度报告链接
002234,2013,山东民和牧业股份有限公司,民和股份,行业分类候选,63870251,2013年年度报告,民和股份,2014-04-18,https://static.cninfo.com.cn/finalpage/2014-04-19/63870251.PDF,987,2026-08-06,已取得法定年度报告链接
002299,2013,福建圣农发展股份有限公司,圣农发展,行业分类候选,63884585,2013年年度报告,圣农发展,2014-04-21,https://static.cninfo.com.cn/finalpage/2014-04-22/63884585.PDF,2637,2026-08-06,已取得法定年度报告链接
002321,2013,河南华英农业发展股份有限公司,华英农业,行业分类候选,63812942,2013年年度报告,华英农业,2014-04-09,https://static.cninfo.com.cn/finalpage/2014-04-10/63812942.PDF,2672,2026-08-06,已取得法定年度报告链接
002447,2013,大连壹桥海洋苗业股份有限公司,,行业分类候选,63812182,2013年年度报告,壹桥苗业,2014-04-09,https://static.cninfo.com.cn/finalpage/2014-04-10/63812182.PDF,2231,2026-08-06,已取得法定年度报告链接
002458,2013,山东益生种畜禽股份有限公司,益生股份,行业分类候选,63915285,2013年年度报告,益生股份,2014-04-24,https://static.cninfo.com.cn/finalpage/2014-04-25/63915285.PDF,2560,2026-08-06,已取得法定年度报告链接
002477,2013,雏鹰农牧集团股份有限公司,,行业分类候选,63905088,2013年年度报告,雏鹰农牧,2014-04-23,https://static.cninfo.com.cn/finalpage/2014-04-24/63905088.PDF,3244,2026-08-06,已取得法定年度报告链接
002505,2013,湖南大康牧业股份有限公司,,行业分类候选,63840513,2013年年度报告,大康牧业,2014-04-14,https://static.cninfo.com.cn/finalpage/2014-04-15/63840513.PDF,770,2026-08-06,已取得法定年度报告链接
002679,2013,福建金森林业股份有限公司,福建金森,行业分类候选,63896122,2013年年度报告,福建金森,2014-04-22,https://static.cninfo.com.cn/finalpage/2014-04-23/63896122.PDF,1315,2026-08-06,已取得法定年度报告链接
002696,2013,百洋产业投资集团股份有限公司,百洋股份,行业分类候选,63918063,2013年年度报告,百洋股份,2014-04-24,https://static.cninfo.com.cn/finalpage/2014-04-25/63918063.PDF,3106,2026-08-06,已取得法定年度报告链接
300087,2013,安徽荃银高科种业股份有限公司,ST荃银,行业分类候选,63780058,2013年年度报告,荃银高科,2014-04-02,https://static.cninfo.com.cn/finalpage/2014-04-03/63780058.PDF,3177,2026-08-06,已取得法定年度报告链接
300094,2013,湛江国联水产开发股份有限公司,国联水产,行业分类候选,63918502,2013年年度报告,国联水产,2014-04-24,https://static.cninfo.com.cn/finalpage/2014-04-25/63918502.PDF,7860,2026-08-06,已取得法定年度报告链接
300106,2013,新疆西部牧业股份有限公司,西部牧业,行业分类候选,63893989,2013年年度报告,西部牧业,2014-04-22,https://static.cninfo.com.cn/finalpage/2014-04-23/63893989.PDF,3130,2026-08-06,已取得法定年度报告链接
300143,2013,盈康生命科技股份有限公司,盈康生命,行业分类候选,63617237,2013年年度报告,星河生物,2014-02-27,https://static.cninfo.com.cn/finalpage/2014-02-28/63617237.PDF,606,2026-08-06,已取得法定年度报告链接
300189,2013,海南神农种业科技股份有限公司,神农种业,行业分类候选,63918533,2013年年度报告,神农大丰,2014-04-24,https://static.cninfo.com.cn/finalpage/2014-04-25/63918533.PDF,13537,2026-08-06,已取得法定年度报告链接
300313,2013,新疆天山畜牧生物工程股份有限公司,天山生物,行业分类候选,63828468,2013年年度报告,天山生物,2014-04-11,https://static.cninfo.com.cn/finalpage/2014-04-12/63828468.PDF,2652,2026-08-06,已取得法定年度报告链接
600097,2013,上海开创国际海洋资源股份有限公司,开创国际,行业分类候选,64122331,2013年年度报告(修订版),开创国际,2014-06-10,https://static.cninfo.com.cn/finalpage/2014-06-11/64122331.PDF,2540,2026-08-06,已取得法定年度报告链接
600108,2013,甘肃亚盛实业(集团)股份有限公司,亚盛集团,行业分类候选,63914686,2013年年度报告,亚盛集团,2014-04-24,https://static.cninfo.com.cn/finalpage/2014-04-25/63914686.PDF,2235,2026-08-06,已取得法定年度报告链接
600257,2013,大湖健康产业股份有限公司,大湖股份,行业分类候选,63941109,2013年年度报告(修订版),大湖股份,2014-04-28,https://static.cninfo.com.cn/finalpage/2014-04-29/63941109.PDF,1764,2026-08-06,已取得法定年度报告链接
