year,union_rows,unique_codes,industry_entries,leading_entries,st_marked_from_industry,st_any_time_verified,st_at_year_end_verified,delisting_arrangement_verified,legal_name_pending,industry_classification_status,leading_qualification_status
2013,39,39,39,0,2,3,2,0,0,使用已核实来源,企业级官方资格基准缺失，未推算
2014,75,75,40,54,3,4,3,0,0,使用已核实来源,身份关系已核实候选，资格取消事件及证券状态仍待审计
2015,79,79,42,57,1,4,2,0,0,使用已核实来源,身份关系已核实候选，资格取消事件及证券状态仍待审计
2016,45,45,45,0,2,3,2,0,0,使用已核实来源,企业级官方资格基准缺失，未推算
2017,42,42,42,0,2,3,2,0,0,使用已核实来源,企业级官方资格基准缺失，未推算
2018,95,95,40,77,1,2,1,0,0,使用已核实来源,身份关系已核实候选，资格取消事件及证券状态仍待审计
2019,101,101,41,84,3,3,3,0,0,使用已核实来源,身份关系已核实候选，资格取消事件及证券状态仍待审计
2020,111,111,42,91,4,6,6,0,0,使用已核实来源,身份关系已核实候选，资格取消事件及证券状态仍待审计
2021,128,128,47,106,6,10,7,0,0,使用已核实来源,身份关系已核实候选，资格取消事件及证券状态仍待审计
2022,109,109,0,109,0,2,1,0,0,逐公司行业分类待核实，未插值,身份关系已核实候选，资格取消事件及证券状态仍待审计
2023,134,134,41,117,3,6,4,0,0,使用已核实来源,身份关系已核实候选，资格取消事件及证券状态仍待审计
