stock_code,year,current_legal_full_name,current_short_name,exchange_final,list_date_final,legal_name_review_status,entry_basis,name_source_url,name_effective_basis,delisting_date,delisting_source_url,industry_entry_candidate,industry_period_short_name,industry_source_period,industry_code,industry_name,industry_period_st_flag,industry_source_agency,industry_classification_standard,industry_local_source_file,industry_sample_status,leading_identity_verified_candidate,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,identity_source_url,identity_basis,leading_candidate_status,st_review_status,entry_pool_status,st_any_time_in_year_verified,st_at_year_end_verified,st_interval_source_url,st_interval_end_source_url,st_interval_status,st_audit_status,delisting_arrangement_in_year_verified,delisting_arrangement_source_url
000592,2013,中福海峡（平潭）发展股份有限公司,平潭发展,深圳证券交易所,1996-03-27,交易所当前法人主表已覆盖,行业分类候选,,,,,1,中福实业,2013Q4,02,林业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000663,2013,福建省永安林业(集团)股份有限公司,永安林业,深圳证券交易所,1996-12-06,交易所当前法人主表已覆盖,行业分类候选,,,,,1,永安林业,2013Q4,02,林业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000713,2013,国投丰乐种业股份有限公司,国投丰乐,深圳证券交易所,1997-04-22,交易所当前法人主表已覆盖,行业分类候选,,,,,1,丰乐种业,2013Q4,05,农林牧渔服务业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000735,2013,罗牛山股份有限公司,罗 牛 山,深圳证券交易所,1997-06-11,交易所当前法人主表已覆盖,行业分类候选,,,,,1,罗牛山,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000798,2013,中水集团远洋股份有限公司,中水渔业,深圳证券交易所,1998-02-12,交易所当前法人主表已覆盖,行业分类候选,,,,,1,中水渔业,2013Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000998,2013,袁隆平农业高科技股份有限公司,隆平高科,深圳证券交易所,2000-12-11,交易所当前法人主表已覆盖,行业分类候选,,,,,1,隆平高科,2013Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002041,2013,山东登海种业股份有限公司,登海种业,深圳证券交易所,2005-04-18,交易所当前法人主表已覆盖,行业分类候选,,,,,1,登海种业,2013Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002069,2013,獐子岛集团股份有限公司,獐子岛,深圳证券交易所,2006-09-28,交易所当前法人主表已覆盖,行业分类候选,,,,,1,獐子岛,2013Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002086,2013,山东东方海洋科技股份有限公司,东方海洋,深圳证券交易所,2006-11-28,交易所当前法人主表已覆盖,行业分类候选,,,,,1,东方海洋,2013Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002200,2013,云南交投生态科技股份有限公司,交投生态,深圳证券交易所,2007-12-21,交易所当前法人主表已覆盖,行业分类候选,,,,,1,*ST大地,2013Q4,02,林业,是,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：是,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,是,是,https://static.cninfo.com.cn/finalpage/2013-01-08/61996973.PDF,https://static.cninfo.com.cn/finalpage/2014-03-04/63632730.PDF,样本期左截断_区间终点已核实,已由法定公告核实本年存在ST风险警示,,
