批次,数据表,截止日期,目标股票范围,预计最大记录数,必须下载字段,下载后首要核验
1,INSHOLDSHR,2013-12-31,入口池全部146个六位股票代码,146,7个标识追溯字段+三类机构全部股票数量及比例+三种分母口径比例,股票代码前导零与比例单位
2,INSHOLDSHR,2014-12-31,入口池全部146个六位股票代码,146,同批次1,公司截止日是否唯一
3,INSHOLDSHR,2015-12-31,入口池全部146个六位股票代码,146,同批次1,缺行与零持股的区别
4,INSHOLDSHR,2016-12-31,入口池全部146个六位股票代码,146,同批次1,缺行与零持股的区别
5,INSHOLDSHR,2017-12-31,入口池全部146个六位股票代码,146,同批次1,三类持股合计不超过机构合计
6,INSHOLDSHR,2018-12-31,入口池全部146个六位股票代码,146,同批次1,三类持股合计不超过机构合计
7,INSHOLDSHR,2019-12-31,入口池全部146个六位股票代码,146,同批次1,总股本口径与A股口径差异
8,INSHOLDSHR,2020-12-31,入口池全部146个六位股票代码,146,同批次1,总股本口径与A股口径差异
9,INSHOLDSHR,2021-12-31,入口池全部146个六位股票代码,146,同批次1,统计日期与信息来源
10,INSHOLDSHR,2022-12-31,入口池全部146个六位股票代码,146,同批次1,统计日期与信息来源
11,INSHOLDSHR,2023-12-31,入口池全部146个六位股票代码,146,同批次1,与2023最终候选的连接覆盖率
