序号,标准字段名,RESSET数据表,RESSET字段代码,RESSET字段中文含义,角色,数据类型或单位,频率与基准时点,基准构造是否使用,当前核实状态,正式导入时的处理规则
1,company_id,INSHOLDSHR,CompanyCode,公司代码,主键候选,字符串,报告期,是,字段代码已由登录后数据词典记录核实,原样保留且不得转为数值
2,company_name_latest,INSHOLDSHR,LComNm,最新公司全称,核对字段,字符串,报告期,否,字段代码已由登录后数据词典记录核实,仅用于名称核对不作为跨年连接键
3,company_code,INSHOLDSHR,ComCd,上市公司代码,主键候选,字符串,报告期,否,字段代码已由登录后数据词典记录核实,原样保留并检查与股票代码的关系
4,stock_code,INSHOLDSHR,StkCd,股票代码,连接键,六位字符串,报告期,是,字段代码已由登录后数据词典记录核实,左侧补零至六位并与样本表股票代码连接
5,end_date,INSHOLDSHR,EndDt,截止日期,时间键,日期YYYY-MM-DD,报告期末,是,字段代码已由登录后数据词典记录核实,基准仅保留各年12月31日不得用三季度替代
6,stat_date,INSHOLDSHR,StatDt,统计日期,版本或统计时点,日期,数据库统计时点,是,字段代码已由登录后数据词典记录核实,原样保留用于识别同一公司截止日的多版本记录
7,info_source,INSHOLDSHR,InfoSource,信息来源,追溯字段,字符串,报告期,是,字段代码已由登录后数据词典记录核实,原样保留并统计来源分布
8,insurance_hold_shares_total,INSHOLDSHR,待从正式导出表头核实,保险公司持有全部股票数量,质量核验分子,股,报告期末,建议下载,中文含义与维度已核实但字段代码未保存在本地,不得仅凭字段顺序映射
9,insurance_hold_pct_total,INSHOLDSHR,待从正式导出表头核实,保险公司持股比例（全部股票或总股本口径）,X分项,比例；百分数或小数单位待样本核验,报告期末,是,中文含义与维度已核实但字段代码和单位未由正式导出复核,正式导入后用数量除以总股本抽样判定比例单位
10,social_security_hold_shares_total,INSHOLDSHR,待从正式导出表头核实,社保基金持有全部股票数量,质量核验分子,股,报告期末,建议下载,中文含义与维度已核实但字段代码未保存在本地,不得仅凭字段顺序映射
11,social_security_hold_pct_total,INSHOLDSHR,待从正式导出表头核实,社保基金持股比例（全部股票或总股本口径）,X分项,比例；百分数或小数单位待样本核验,报告期末,是,中文含义与维度已核实但字段代码和单位未由正式导出复核,正式导入后用数量除以总股本抽样判定比例单位
12,enterprise_annuity_hold_shares_total,INSHOLDSHR,待从正式导出表头核实,企业年金持有全部股票数量,质量核验分子,股,报告期末,建议下载,中文含义与维度已核实但字段代码未保存在本地,不得仅凭字段顺序映射
13,enterprise_annuity_hold_pct_total,INSHOLDSHR,待从正式导出表头核实,企业年金持股比例（全部股票或总股本口径）,X分项,比例；百分数或小数单位待样本核验,报告期末,是,中文含义与维度已核实但字段代码和单位未由正式导出复核,正式导入后用数量除以总股本抽样判定比例单位
14,insurance_hold_pct_a,INSHOLDSHR,待从正式导出表头核实,保险公司持股比例（A股口径）,稳健性分项,比例；单位待样本核验,报告期末,稳健性,维度已核实但字段代码未保存在本地,与另外两类相同口径相加
15,social_security_hold_pct_a,INSHOLDSHR,待从正式导出表头核实,社保基金持股比例（A股口径）,稳健性分项,比例；单位待样本核验,报告期末,稳健性,维度已核实但字段代码未保存在本地,与另外两类相同口径相加
16,enterprise_annuity_hold_pct_a,INSHOLDSHR,待从正式导出表头核实,企业年金持股比例（A股口径）,稳健性分项,比例；单位待样本核验,报告期末,稳健性,维度已核实但字段代码未保存在本地,与另外两类相同口径相加
17,insurance_hold_pct_unrestricted_a,INSHOLDSHR,待从正式导出表头核实,保险公司持股比例（无限售流通A股口径）,稳健性分项,比例；单位待样本核验,报告期末,稳健性,维度已核实但字段代码未保存在本地,与另外两类相同口径相加且不得用基金无限售字段的缺失规则类推
18,social_security_hold_pct_unrestricted_a,INSHOLDSHR,待从正式导出表头核实,社保基金持股比例（无限售流通A股口径）,稳健性分项,比例；单位待样本核验,报告期末,稳健性,维度已核实但字段代码未保存在本地,与另外两类相同口径相加
19,enterprise_annuity_hold_pct_unrestricted_a,INSHOLDSHR,待从正式导出表头核实,企业年金持股比例（无限售流通A股口径）,稳健性分项,比例；单位待样本核验,报告期末,稳健性,维度已核实但字段代码未保存在本地,与另外两类相同口径相加
20,patient_capital_total,本地派生,不适用,保险公司加社保基金加企业年金的总股本口径持股比例,X基准变量,与三个输入比例相同,公司年末,是,构造式已确定但尚无正式输入数据,三个分项同单位后相加；任一分项真缺失时先置缺失不得自动当零
21,patient_capital_a,本地派生,不适用,保险公司加社保基金加企业年金的A股口径持股比例,X稳健性变量,与三个输入比例相同,公司年末,稳健性,构造式已确定但尚无正式输入数据,三个分项同单位后相加
22,patient_capital_unrestricted_a,本地派生,不适用,保险公司加社保基金加企业年金的无限售流通A股口径持股比例,X稳健性变量,与三个输入比例相同,公司年末,稳健性,构造式已确定但尚无正式输入数据,三个分项同单位后相加
