股票代码,公司全称,年份,行业分类代码,行业分类名称,分类标准口径,业务类别指纹,口径调整勾选,业务重大变化勾选,年报链接,年报主营业务表PDF页序号,当前复核状态,上一候选年份,与上一候选年文本相似度,业务类别指纹Jaccard,行业代码是否变化,是否跨分类标准,公司名称是否变化,年份是否连续,建议复核路径,分流原因
000048,深圳市京基智农时代股份有限公司,2023,3.0,畜牧业,中国上市公司协会2023版,地产园林|生猪|贸易零售|饲料,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-03-20/1219348059.PDF,16,已人工复核（第一批）,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
000592,中福海峡（平潭）发展股份有限公司,2013,2.0,林业,证监会2012年修订版,地产园林|林业,不适用,未定位,https://static.cninfo.com.cn/finalpage/2014-04-30/63950761.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
000592,中福海峡（平潭）发展股份有限公司,2014,2.0,林业,证监会2012年修订版,地产园林|林业|贸易零售,未定位,未定位,https://static.cninfo.com.cn/finalpage/2015-04-15/1200834190.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.324063,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2015,2.0,林业,证监会2012年修订版,林业|种植|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-04-23/1202227414.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.190148,0.5,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2016,2.0,林业,证监会2012年修订版,林业|种植|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-29/1203424015.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.667256,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2017,2.0,林业,证监会2012年修订版,地产园林|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-04-28/1204821768.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.658329,0.5,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2018,2.0,林业,证监会2012年修订版,地产园林|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-30/1206159441.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.695878,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2019,2.0,林业,证监会2012年修订版,医药|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-30/1207679481.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.731238,0.5,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2020,2.0,林业,证监会2012年修订版,医药|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-30/1209867787.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.773994,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2021,2.0,林业,证监会2012年修订版,医药|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-27/1213145510.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.70759,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000663,福建省永安林业(集团)股份有限公司,2013,2.0,林业,证监会2012年修订版,地产园林|林业,不适用,未定位,https://static.cninfo.com.cn/finalpage/2014-04-15/63838376.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
000663,福建省永安林业(集团)股份有限公司,2014,2.0,林业,证监会2012年修订版,地产园林|林业|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-02-17/1200643873.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.66919,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
