股票代码,公司全称,年份,行业分类代码,行业分类名称,分类标准口径,业务类别指纹,口径调整勾选,业务重大变化勾选,年报链接,年报主营业务表PDF页序号,当前复核状态,上一候选年份,与上一候选年文本相似度,业务类别指纹Jaccard,行业代码是否变化,是否跨分类标准,公司名称是否变化,年份是否连续,建议复核路径,分流原因
000592,中福海峡（平潭）发展股份有限公司,2016,2.0,林业,证监会2012年修订版,林业|种植|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-29/1203424015.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.667256,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2018,2.0,林业,证监会2012年修订版,地产园林|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-30/1206159441.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.695878,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2019,2.0,林业,证监会2012年修订版,医药|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-30/1207679481.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.731238,0.5,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2020,2.0,林业,证监会2012年修订版,医药|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-30/1209867787.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.773994,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000592,中福海峡（平潭）发展股份有限公司,2021,2.0,林业,证监会2012年修订版,医药|林业|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-27/1213145510.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.70759,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000713,国投丰乐种业股份有限公司,2016,5.0,农林牧渔服务业,证监会2012年修订版,农药|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-06-28/1203653421.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.811406,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000713,国投丰乐种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,农药|化肥|种子|贸易零售,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-04-26/1219827331.PDF,23,已人工复核（第一批）,2021,0.668817,1.0,否,是,否,否,快速表格核对,文本和业务类别相似度分流；候选年份不连续，不能视为插值
000735,罗牛山股份有限公司,2014,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-03-21/1200724489.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.778461,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2018,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2019-04-25/1206088844.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.561747,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2019,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-03-31/1207430997.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.718216,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2020,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-05-22/1210046988.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.775795,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2021,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-30/1213260459.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.747034,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2017,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-07-13/1206443995.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.867201,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2020,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-02-06/1209253238.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.943182,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2021,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-02-10/1212333125.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.856796,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2016,1.0,农业,证监会2012年修订版,果蔬初加工|种子,适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-28/1203415549.PDF,25,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.731474,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2017,1.0,农业,证监会2012年修订版,果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-06-19/1205065798.PDF,20,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.772313,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2018,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869906.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.758536,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2019,1.0,农业,证监会2012年修订版,果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869907.PDF,22,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.812432,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2020,1.0,农业,证监会2012年修订版,果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869920.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.875888,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2021,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植|粮油初加工,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-26/1213109016.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.890328,0.5,否,否,否,是,快速表格核对,文本和业务类别相似度分流
001201,东瑞食品集团股份有限公司,2023,3.0,畜牧业,中国上市公司协会2023版,生猪|饲料,勾选状态待核实,勾选状态待核实,https://static.cninfo.com.cn/finalpage/2024-04-30/1219910083.PDF,17,已人工复核（第一批）,2021,0.696262,1.0,否,是,否,否,快速表格核对,文本和业务类别相似度分流；候选年份不连续，不能视为插值
002041,山东登海种业股份有限公司,2016,1.0,农业,证监会2012年修订版,种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2017-04-21/1203344879.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.830659,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2017,1.0,农业,证监会2012年修订版,种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2018-04-20/1204668180.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.786431,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2018,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2019-03-22/1205925542.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.721115,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2019,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-22/1207552150.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.551718,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2014,4.0,渔业,证监会2012年修订版,地产园林|水产|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922210.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.552248,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2016,4.0,渔业,证监会2012年修订版,水产|种子|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-03-21/1203181621.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.780355,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2017,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-04-28/1204829160.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.800046,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2018,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-27/1206124435.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.824537,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2019,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-30/1207687672.PDF,26,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.798156,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2020,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,不适用,https://static.cninfo.com.cn/finalpage/2021-04-29/1209860375.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.578028,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2021,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,不适用,https://static.cninfo.com.cn/finalpage/2022-04-30/1213263535.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.770191,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
