股票代码,公司全称,年份,行业分类代码,行业分类名称,分类标准口径,业务类别指纹,口径调整勾选,业务重大变化勾选,年报链接,年报主营业务表PDF页序号,当前复核状态,上一候选年份,与上一候选年文本相似度,业务类别指纹Jaccard,行业代码是否变化,是否跨分类标准,公司名称是否变化,年份是否连续,建议复核路径,分流原因
000713,国投丰乐种业股份有限公司,2015,5.0,农林牧渔服务业,证监会2012年修订版,农药|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-06-13/1202363291.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.092125,0.4,否,否,否,是,深度复核,业务类别指纹变化较大
000798,中水集团远洋股份有限公司,2015,4.0,渔业,证监会2012年修订版,水产,适用,未定位,https://static.cninfo.com.cn/finalpage/2016-04-29/1202268278.PDF,10,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.23847,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
000998,袁隆平农业高科技股份有限公司,2015,1.0,农业,证监会2012年修订版,果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-04-08/1202150869.PDF,24,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.034329,0.25,否,否,否,是,深度复核,业务类别指纹变化较大
000998,袁隆平农业高科技股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,农药|果蔬初加工|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866222.PDF,31,已人工复核（第一批）,2021,0.745004,0.6,是,是,否,否,深度复核,行业代码变化（同时跨分类标准）；候选年份不连续，不能视为插值
002041,山东登海种业股份有限公司,2015,1.0,农业,证监会2012年修订版,种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2016-07-13/1202467805.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.110913,0.25,否,否,否,是,深度复核,业务类别指纹变化较大
002041,山东登海种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,地产园林|果蔬初加工|种子|种植,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-04-23/1219737119.PDF,14,已人工复核（第一批）,2021,0.886454,0.75,是,是,否,否,深度复核,行业代码变化（同时跨分类标准）；候选年份不连续，不能视为插值
002069,獐子岛集团股份有限公司,2015,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-04-30/1202284288.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.117142,0.25,否,否,否,是,深度复核,业务类别指纹变化较大
002086,山东东方海洋科技股份有限公司,2019,4.0,渔业,证监会2012年修订版,医药|水产|贸易零售,不适用,不适用,https://static.cninfo.com.cn/finalpage/2020-06-30/1207968688.PDF,19,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.870021,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
002157,江西正邦科技股份有限公司,2023,3.0,畜牧业,中国上市公司协会2023版,兽药|畜牧其他|饲料,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-04-30/1219923507.PDF,17,已人工复核（第二批）,2021,0.617691,0.4,否,是,否,否,深度复核,业务类别指纹变化较大；候选年份不连续，不能视为插值
002234,山东民和牧业股份有限公司,2016,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|水产|畜牧其他,不适用,不适用,https://static.cninfo.com.cn/finalpage/2017-03-25/1203194868.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.59001,0.4,否,否,否,是,深度复核,业务类别指纹变化较大
002299,福建圣农发展股份有限公司,2017,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-04-23/1204675125.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.380541,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
002447,大连壹桥海参股份有限公司,2015,4.0,渔业,证监会2012年修订版,水产,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-04-15/1202178469.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.182156,0.333333,否,否,是,是,深度复核,公司全称变化；业务类别指纹变化较大
002458,山东益生种畜禽股份有限公司,2018,3.0,畜牧业,证监会2012年修订版,乳业|家禽|水产,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-02-20/1205842282.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.336051,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
002477,雏鹰农牧集团股份有限公司,2014,3.0,畜牧业,证监会2012年修订版,地产园林|家禽|屠宰肉制品|果蔬初加工|生猪|畜牧其他|种植|粮油初加工|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-24/1200895700.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.434483,0.222222,否,否,否,是,深度复核,业务类别指纹变化较大
002505,湖南大康国际农业食品股份有限公司,2016,3.0,畜牧业,证监会2012年修订版,乳业|屠宰肉制品|水产|生猪|畜牧其他|贸易零售|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-06-09/1203602818.PDF,25,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.55962,0.857143,否,否,是,是,深度复核,公司全称变化
