年份,来源期次,股票代码,证券简称_当期,行业大类代码,行业大类名称,ST标记_当期,来源机构,分类标准,本地原始文件,样本状态
2013,2013Q4,000998,隆平高科,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002041,登海种业,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,300087,荃银高科,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,300143,星河生物,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,300189,神农大丰,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600108,亚盛集团,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600354,敦煌种业,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600359,新农开发,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600371,万向德农,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600506,香梨股份,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600540,新赛股份,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600598,北大荒,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,601118,海南橡胶,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,000592,中福实业,02,林业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,000663,永安林业,02,林业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002200,*ST大地,02,林业,是,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002679,福建金森,02,林业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600265,*ST景谷,02,林业,是,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,000735,罗牛山,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002234,民和股份,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002299,圣农发展,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002321,华英农业,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002458,益生股份,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002477,雏鹰农牧,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002505,大康牧业,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,300106,西部牧业,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,300313,天山生物,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600965,福成五丰,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,600975,新五丰,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,000798,中水渔业,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002069,獐子岛,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002086,东方海洋,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002447,壹桥苗业,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
2013,2013Q4,002696,百洋股份,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核
