股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,公司营业收入公式,严格口径成本下界_元_反向证据,扩展口径成本下界_元_反向证据,未拆上界项目,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000735,罗牛山股份有限公司,2022,待核实,待核实,生猪养殖；畜牧差额和其他仅作上界,1036997308.42,1036997308.42,1141380311.16,下界=1036997308.42；上界=1141380311.16,0.359776863026403025746795000475426045137322528917268000353856,0.395991604351327892738256417986098023485172078306973941780055,生猪养殖；肉制品及其他因屠宰/加工未拆仅作上界,,1036997308.42,2193679715.86,下界=1036997308.42；上界=2193679715.86,0.359776863026403025746795000475426045137322528917268000353856,0.761077391665812718482420765537787153140241918156944236578288,2882334621.79,2408728089.50,当年年报合并利润表营业收入,777480443.63,777480443.63,肉制品及分产品其他,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,否,待核实,待核实,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,生猪为直接养殖；肉制品未拆屠宰初加工与深加工，不能整项作为正式分子。,2022行业分类字段待核实；上下界跨阈值，混合项正式分子留空。,15|16,67,https://static.cninfo.com.cn/finalpage/2023-04-15/1216414304.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
001201,东瑞食品集团股份有限公司,2022,待核实,待核实,生猪养殖,1156479846.05,1156479846.05,1157140417.06,下界=1156479846.05；上界=1157140417.06,0.950443077028795370798315481685748221682788861999349503088094,0.950985961667455364294854606059912918528439269378697072411520,生猪养殖及饲料,1216119133.11,1216119133.11,1216779704.12,下界=1216119133.11；上界=1216779704.12,0.999457115361340006503460875625835303154349592620652430676574,1,1216779704.12,891175049.96,当年年报合并利润表营业收入,837299144.66,837299144.66,其他,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,是,是,否,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,生猪为直接养殖，饲料为农业投入品；其他只作上界。,2022行业分类字段待核实；未拆其他不影响阈值结论。,15|16,118,https://static.cninfo.com.cn/finalpage/2023-04-28/1216653079.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
002157,江西正邦科技股份有限公司,2021,3.0,畜牧业,生猪养殖；未拆其他仅作上界,28955499064.21,28955499064.21,29057314742.41,下界=28955499064.21；上界=29057314742.41,0.607412695700870556164411266353911302791492066315746887776687,0.609548529568659623358713623886806520495361006345287822485555,生猪养殖、饲料及兽药动保,45621513660.27,45621513660.27,45723329338.47,下界=45621513660.27；上界=45723329338.47,0.957023276749201461861164781787454717947480029529157231089151,0.959159110616990529055467139320349935651348969558698165798019,47670223670.25,59672432811.04,当年年报合并利润表营业收入,42240355074.79,57672053624.43,其他业务,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,是,是,否,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,直接养殖纳入严格，饲料与兽药纳入扩展；原料贸易和食品排除，未拆其他只作上界。,未拆其他不影响阈值结论。,19|20,159,https://static.cninfo.com.cn/finalpage/2022-04-30/1213251585.PDF,不适用,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
002234,山东民和牧业股份有限公司,2022,待核实,待核实,雏鸡、淘汰鸡等直接养殖产品；其他仅作上界,628504468.46,628504468.46,716142315.22,下界=628504468.46；上界=716142315.22,0.390704609550452920048836390949477102682605159482369888042063,0.445183952846303169405764336674367112841733465330948632719376,直接养殖及生物有机肥；鸡肉制品因屠宰/加工未拆仅作上界,,654377419.48,1583008065.44,下界=654377419.48；上界=1583008065.44,0.406788315766505767201953543110431195340351661412922995548024,0.984063883648132853948408800721103584526083876574049184057531,1608643596.97,1728712085.91,当年年报合并利润表营业收入,642023793.63,642023793.63,鸡肉制品及其他,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,否,待核实,待核实,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,雏鸡和淘汰鸡为直接养殖，生物有机肥为农业投入品；鸡肉制品混合项不整体推算。,2022行业分类字段待核实；上下界跨阈值，混合项正式分子留空。,19|20,73,https://static.cninfo.com.cn/finalpage/2023-03-29/1216243792.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
002548,深圳市金新农科技股份有限公司,2021,,,生猪养殖；未拆其他仅作上界,2029926139.41,2029926139.41,2050572469.00,下界=2029926139.41；上界=2050572469.00,0.417076075365157027737344984034866060793479335024321516225291,0.421318146024238019366738840479938248516151718577224026750294,生猪养殖、饲料及兽药动保,4491995067.64,4491995067.64,4512641397.23,下界=4491995067.64；上界=4512641397.23,0.922941794283938793525640408716467256298823384194572294633504,0.927183864943019785155034265161539444021495767747474805158507,4867040473.69,4275005263.62,当年年报合并利润表营业收入,1847434386.51,3905152043.33,其他,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,否,是,否,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,直接养殖纳入严格，饲料与兽药纳入扩展；原料贸易和食品排除，未拆其他只作上界。,未拆其他不影响阈值结论。,20|21|22,107,https://static.cninfo.com.cn/finalpage/2022-04-26/1213109835.PDF,不适用,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
002548,深圳市金新农科技股份有限公司,2022,待核实,待核实,生猪养殖；未拆其他仅作上界,1493064660.96,1493064660.96,1513367440.32,下界=1493064660.96；上界=1513367440.32,0.375714305389927161254147347099999564510869358082107835066067,0.380823290180862286945298843385227553619218756262164180305810,生猪养殖、饲料及兽药动保,3838192478.24,3838192478.24,3858495257.60,下界=3838192478.24；上界=3858495257.60,0.965841506145873732412302310824273737228226691250562330820024,0.970950490936808858103453807109501726336576089430618676059767,3973936151.86,3586299066.26,当年年报合并利润表营业收入,1343662579.08,3442263111.51,其他,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,否,是,否,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,直接养殖纳入严格，饲料与兽药纳入扩展；原料贸易和食品排除，未拆其他只作上界。,2022行业分类字段待核实；未拆其他不影响阈值结论。,20|21,113,https://static.cninfo.com.cn/finalpage/2023-04-29/1216685034.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
002714,牧原食品集团股份有限公司,2022,待核实,待核实,生猪养殖收入减养殖与屠宰肉食内部抵销,104109851404.00,104109851404.00,104598900716.89,下界=104109851404.00；上界=104598900716.89,0.834038376937674107126616997712909006855928249440328389877569,0.837956218425915718222529577707025130734187089353521251917066,生猪养殖收入减养殖与屠宰肉食内部抵销,104109851404.00,104109851404.00,104598900716.89,下界=104109851404.00；上界=104598900716.89,0.834038376937674107126616997712909006855928249440328389877569,0.837956218425915718222529577707025130734187089353521251917066,124826212177.74,102987059470.99,当年年报合并利润表营业收入,0.00,0.00,养殖与屠宰抵销后其他业务；屠宰肉食混合项不整体推算,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,是,是,否,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,为避免内部销售重复，从生猪收入扣除全部养殖—屠宰抵销；饲料原料贸易排除，屠宰肉食混合项不整体推算。,2022行业分类字段待核实；未拆其他不影响阈值结论。,21|22,142,https://static.cninfo.com.cn/finalpage/2023-04-28/1216647248.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
300119,瑞普生物股份有限公司,2021,,,未披露直接农业生产收入；其他仅作严格上界,,0.00,28931190.16,下界=0.00；上界=28931190.16,0,0.0144141487879172750772669989391811290970543684142052076566334,兽用生物制品、兽用原料药及制剂等农业投入品,1978207114.41,1978207114.41,2007138304.57,下界=1978207114.41；上界=2007138304.57,0.985585851212082724922733001060818870902945631585794792343367,1,2007138304.57,967365902.44,当年年报合并利润表营业收入,0.00,942140284.90,内部抵销后兽药收入及其他,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,否,是,否,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,兽药属于农业投入品，仅纳入扩展口径；其他项目只作上界。,未拆其他不影响阈值结论。,30|31,123,https://static.cninfo.com.cn/finalpage/2022-03-31/1212769537.PDF,不适用,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
300119,瑞普生物股份有限公司,2022,待核实,待核实,未披露直接农业生产收入；其他仅作严格上界,,0.00,34457065.74,下界=0.00；上界=34457065.74,0,0.0165321142586956510881301263457260827901129743288584588151493,兽用生物制品、兽用原料药及制剂等农业投入品,1999879031.24,1999879031.24,2034336096.98,下界=1999879031.24；上界=2034336096.98,0.959519562620460364369108608240693444626755712570215033937484,0.976051676879156015457238734586419527416868686899073492752634,2084250399.00,1074613111.23,当年年报合并利润表营业收入,0.00,937560628.44,其他；宠物药品及宠物生物制品明确排除,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,否,是,否,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,兽药属于农业投入品，仅纳入扩展口径；其他项目只作上界。宠物药品和宠物生物制品不服务农业生产，已从扩展上下界及成本反证中排除。,2022行业分类字段待核实；未拆其他不影响阈值结论。,24|25,103,https://static.cninfo.com.cn/finalpage/2023-04-01/1216301902.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
300871,武汉回盛生物科技股份有限公司,2021,,,未披露直接农业生产收入；其他仅作严格上界,,0.00,58462605.34,下界=0.00；上界=58462605.34,0,0.0586846199607995393074279743085976590894624778808847276191487,兽用生物制品、兽用原料药及制剂等农业投入品,937754212.27,937754212.27,996216817.61,下界=937754212.27；上界=996216817.61,0.941315380039200460692572025691402340910537522119115272380851,1,996216817.61,725496209.94,当年年报合并利润表营业收入,0.00,686000219.43,其他,收入决定纳入范围；成本只作反向核对，不按成本率拆分收入,否,是,否,行业/产品维度不叠加；涉及内部交易时按年报抵销额保守扣减,兽药属于农业投入品，仅纳入扩展口径；其他项目只作上界。,未拆其他不影响阈值结论。,21|22|23,120,https://static.cninfo.com.cn/finalpage/2022-03-11/1212540738.PDF,不适用,跨年快速复核最终批AA组（未合并）,已人工复核（最终批AA组；主表未合并）,2026-08-11
