股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,公司营业收入公式,确认收入或排除类主营收入_元,对应或相关成本_元_反向证据,审计其他业务收入_元_上界,审计其他业务成本_元_反向证据,深加工或排除类别,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000998,袁隆平农业高科技股份有限公司,2022,待核实,待核实,互斥披露的农作物种子产品；未拆农业相关项目仅作上界,3142168147.77,3142168147.77,3688805654.84,下界=种子产品合计3142168147.77；上界=含未拆相关项目的保守上界3688805654.84,0.851811789988781582042495825963159702473972040252642566077508,1,互斥披露的农作物种子产品；未拆农业相关项目仅作上界（同时符合扩展口径）,3142168147.77,3142168147.77,3688805654.84,下界=种子产品合计3142168147.77；上界=含未拆相关项目的保守上界3688805654.84,0.851811789988781582042495825963159702473972040252642566077508,1,3688805654.84,2460124720.07,合并利润表营业收入,3142168147.77,1811184601.15,78686005.95,57241155.58,租赁及未拆其他业务；非种子项目不进入保守下界,对应/相关成本1811184601.15仅作反向核对；不以成本比例外推收入,是,是,否,种子产品项目互斥相加；不叠加分行业、地区或销售模式,种子属于农业生产核心产品；仅以明确种子产品合计作保守下界，该下界已超过50%，不依赖混合类别。,上下界均超过50%，未拆上界不影响结论。2022行业分类保持待核实，不插值。,27|28,116,https://static.cninfo.com.cn/finalpage/2023-04-29/1216694388.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
002041,山东登海种业股份有限公司,2022,待核实,待核实,互斥披露的农作物种子产品；未拆农业相关项目仅作上界,1278845750.24,1278845750.24,1325793968.31,下界=种子产品合计1278845750.24；上界=含未拆相关项目的保守上界1325793968.31,0.964588601855048968985002064524892573653105730654174482936858,1,互斥披露的农作物种子产品；未拆农业相关项目仅作上界（同时符合扩展口径）,1278845750.24,1278845750.24,1325793968.31,下界=种子产品合计1278845750.24；上界=含未拆相关项目的保守上界1325793968.31,0.964588601855048968985002064524892573653105730654174482936858,1,1325793968.31,903053189.15,合并利润表营业收入,1278845750.24,889060401.87,14593329.69,13992787.28,租赁及未拆其他业务；非种子项目不进入保守下界,对应/相关成本889060401.87仅作反向核对；不以成本比例外推收入,是,是,否,种子产品项目互斥相加；不叠加分行业、地区或销售模式,种子属于农业生产核心产品；仅以明确种子产品合计作保守下界，该下界已超过50%，不依赖混合类别。,上下界均超过50%，未拆上界不影响结论。2022行业分类保持待核实，不插值。,15|16,67,https://static.cninfo.com.cn/finalpage/2023-04-25/1216557215.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
002772,天水众兴菌业科技股份有限公司,2015,,,工厂化种植并销售的鲜品食用菌,479501961.25,479501961.25,479520220.22,下界=食用菌主营业务479501961.25；上界=含未拆相关项目的保守上界479520220.22,0.999961922419055398889764882582535780935039878389885679386419,1,工厂化种植并销售的鲜品食用菌（同时符合扩展口径）,479501961.25,479501961.25,479520220.22,下界=食用菌主营业务479501961.25；上界=含未拆相关项目的保守上界479520220.22,0.999961922419055398889764882582535780935039878389885679386419,1,479520220.22,282059916.07,合并利润表营业收入,479501961.25,282059916.07,18258.97,0.00,未识别的其他业务只作上界,对应/相关成本282059916.07仅作反向核对；不以成本比例外推收入,是,是,否,采用农业种植业/主营业务单一维度，不与产品、地区重复相加,年报明确主营金针菇、双孢菇等鲜品食用菌的工厂化种植和销售，属于直接农业。,上下界均超过50%，未拆上界不影响结论。,16|17,91,https://static.cninfo.com.cn/finalpage/2016-02-26/1202000483.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
002772,天水众兴菌业科技股份有限公司,2022,待核实,待核实,工厂化种植并销售的鲜品食用菌,1970274412.53,1970274412.53,1970274412.53,下界=食用菌主营业务1970274412.53；上界=含未拆相关项目的保守上界1970274412.53,1,1,工厂化种植并销售的鲜品食用菌（同时符合扩展口径）,1970274412.53,1970274412.53,1970274412.53,下界=食用菌主营业务1970274412.53；上界=含未拆相关项目的保守上界1970274412.53,1,1,1970274412.53,1468795318.04,合并利润表营业收入,1970274412.53,1468795318.04,,,无,对应/相关成本1468795318.04仅作反向核对；不以成本比例外推收入,是,是,否,采用农业种植业/主营业务单一维度，不与产品、地区重复相加,年报明确主营金针菇、双孢菇等鲜品食用菌的工厂化种植和销售，属于直接农业。,上下界均超过50%，未拆上界不影响结论。2022行业分类保持待核实，不插值。,16|17,122,https://static.cninfo.com.cn/finalpage/2023-03-21/1216170802.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
002991,甘源食品股份有限公司,2021,,,无可确认直接农业收入；审计其他业务只作上界,,0.00,4565904.49,下界=0；上界=审计其他业务4565904.49,0,0.00352852856988606412807584942173295263697795435326001278814900,无可确认农业初加工或农业投入品收入；审计其他业务只作上界,,0.00,4565904.49,下界=0；上界=审计其他业务4565904.49,0,0.00352852856988606412807584942173295263697795435326001278814900,1293996746.68,839819698.85,合并利润表营业收入,1289430842.19,839753584.72,4565904.49,66114.13,青豌豆、蚕豆、瓜子仁、综合果仁等休闲食品,排除类主营成本839753584.72、其他业务成本66114.13仅作反向证据,否,否,否,排除类主营与审计其他业务互斥；不叠加行业、产品、地区或销售模式,炒制、裹粉等休闲食品属于进一步食品加工，不能仅因农产品原料或公司名称纳入。,审计其他业务性质未拆，只作上界；上界远低于30%，不影响结论。,15|21|22,99,https://static.cninfo.com.cn/finalpage/2022-04-28/1213168589.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
002991,甘源食品股份有限公司,2022,待核实,待核实,无可确认直接农业收入；审计其他业务只作上界,,0.00,7656539.24,下界=0；上界=审计其他业务7656539.24,0,0.00527791091550891750489056434396436837683779136524734206178487,无可确认农业初加工或农业投入品收入；审计其他业务只作上界,,0.00,7656539.24,下界=0；上界=审计其他业务7656539.24,0,0.00527791091550891750489056434396436837683779136524734206178487,1450676103.21,953624262.98,合并利润表营业收入,1443019563.97,950621301.84,7656539.24,3002961.14,青豌豆、蚕豆、瓜子仁、综合果仁等休闲食品,排除类主营成本950621301.84、其他业务成本3002961.14仅作反向证据,否,否,否,排除类主营与审计其他业务互斥；不叠加行业、产品、地区或销售模式,炒制、裹粉等休闲食品属于进一步食品加工，不能仅因农产品原料或公司名称纳入。,审计其他业务性质未拆，只作上界；上界远低于30%，不影响结论。2022行业分类保持待核实，不插值。,14|19|20,97,https://static.cninfo.com.cn/finalpage/2023-04-27/1216620947.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
003000,劲仔食品集团股份有限公司,2021,,,无可确认直接农业收入；审计其他业务只作上界,,0.00,11899465.85,下界=0；上界=审计其他业务11899465.85,0,0.0107101379306982369907264613967349929301187018841742761736710,无可确认农业初加工或农业投入品收入；审计其他业务只作上界,,0.00,11899465.85,下界=0；上界=审计其他业务11899465.85,0,0.0107101379306982369907264613967349929301187018841742761736710,1111046928.34,812962164.73,合并利润表营业收入,1099147462.49,807096489.60,11899465.85,5865675.13,即食鱼制品、豆制品、禽肉制品等休闲食品,排除类主营成本807096489.60、其他业务成本5865675.13仅作反向证据,否,否,否,排除类主营与审计其他业务互斥；不叠加行业、产品、地区或销售模式,即食鱼、豆和禽肉零食属于进一步食品加工，不属于农产品初加工。,审计其他业务性质未拆，只作上界；上界远低于30%，不影响结论。,20|21|22,84,https://static.cninfo.com.cn/finalpage/2022-03-18/1212609101.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
003000,劲仔食品集团股份有限公司,2022,待核实,待核实,无可确认直接农业收入；审计其他业务只作上界,,0.00,16733745.75,下界=0；上界=审计其他业务16733745.75,0,0.0114455501189236327146838822307901234557197367251956120803958,无可确认农业初加工或农业投入品收入；审计其他业务只作上界,,0.00,16733745.75,下界=0；上界=审计其他业务16733745.75,0,0.0114455501189236327146838822307901234557197367251956120803958,1462030708.54,1087387258.92,合并利润表营业收入,1445296962.79,1080298068.76,16733745.75,7089190.16,即食鱼制品、豆制品、禽肉制品等休闲食品,排除类主营成本1080298068.76、其他业务成本7089190.16仅作反向证据,否,否,否,排除类主营与审计其他业务互斥；不叠加行业、产品、地区或销售模式,即食鱼、豆和禽肉零食属于进一步食品加工，不属于农产品初加工。,审计其他业务性质未拆，只作上界；上界远低于30%，不影响结论。2022行业分类保持待核实，不插值。,21|22,75,https://static.cninfo.com.cn/finalpage/2023-03-21/1216169758.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
300087,安徽荃银高科种业股份有限公司,2022,待核实,待核实,互斥披露的农作物种子产品；未拆农业相关项目仅作上界,2337984669.03,2337984669.03,3409168118.41,下界=种子产品合计2337984669.03；上界=含未拆相关项目的保守上界3409168118.41,0.669805092573218202575602752130549067613275068005084452061824,0.976686544354741262207304753026292167241127477261239786782758,互斥披露的农作物种子产品；未拆农业相关项目仅作上界（同时符合扩展口径）,2337984669.03,2337984669.03,3409168118.41,下界=种子产品合计2337984669.03；上界=含未拆相关项目的保守上界3409168118.41,0.669805092573218202575602752130549067613275068005084452061824,0.976686544354741262207304753026292167241127477261239786782758,3490544779.30,2553812024.04,合并利润表营业收入,2337984669.03,1458950786.21,81376660.89,54061717.83,租赁及未拆其他业务；非种子项目不进入保守下界,对应/相关成本1458950786.21仅作反向核对；不以成本比例外推收入,是,是,否,种子产品项目互斥相加；不叠加分行业、地区或销售模式,种子属于农业生产核心产品；仅以明确种子产品合计作保守下界，该下界已超过50%，不依赖混合类别。,上下界均超过50%，未拆上界不影响结论。2022行业分类保持待核实，不插值。,18|19,99,https://static.cninfo.com.cn/finalpage/2023-03-18/1216147566.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
300189,海南神农种业科技股份有限公司,2022,待核实,待核实,互斥披露的农作物种子产品；未拆农业相关项目仅作上界,173411692.97,173411692.97,187847890.84,下界=种子产品合计173411692.97；上界=含未拆相关项目的保守上界187847890.84,0.909995641696062455719522760455493546721305947017539743761113,0.985751070406597234201624236429014896565820197226078839263633,互斥披露的农作物种子产品；未拆农业相关项目仅作上界（同时符合扩展口径）,173411692.97,173411692.97,187847890.84,下界=种子产品合计173411692.97；上界=含未拆相关项目的保守上界187847890.84,0.909995641696062455719522760455493546721305947017539743761113,0.985751070406597234201624236429014896565820197226078839263633,190563212.64,129488559.77,合并利润表营业收入,173411692.97,117904758.81,8431567.03,5102435.37,租赁及未拆其他业务；非种子项目不进入保守下界,对应/相关成本117904758.81仅作反向核对；不以成本比例外推收入,是,是,否,种子产品项目互斥相加；不叠加分行业、地区或销售模式,种子属于农业生产核心产品；仅以明确种子产品合计作保守下界，该下界已超过50%，不依赖混合类别。,上下界均超过50%，未拆上界不影响结论。2022行业分类保持待核实，不插值。,17|18|19,79,https://static.cninfo.com.cn/finalpage/2023-04-26/1216582462.PDF,沿用v32原值；待核实不插值、不复制相邻年份,跨年快速复核最终批AB组（未合并）,官方年报收入/成本、上下界、正式分子及阈值已复核,2026-08-11
