股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000711,铟靶新材（哈尔滨）股份有限公司,2016,5.0,农林牧渔服务业,节水灌溉农业生产服务（建造、材料及施工劳务）,423852963.76,423852963.76,423852963.76,节水灌溉分行业收入423852963.76,0.919792649455627333942689970232208110542077999416108641511531,0.919792649455627333942689970232208110542077999416108641511531,节水灌溉农业生产服务,423852963.76,423852963.76,423852963.76,同严格口径,0.919792649455627333942689970232208110542077999416108641511531,0.919792649455627333942689970232208110542077999416108641511531,460813601.86,326430068.52,296998194.14,296998194.14,296998194.14,296998194.14,是,是,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,2016年京蓝科技已转型节水灌溉，分行业收入占91.98%；按公司—年份和当年A05入口判断，不以当前铟靶新材名称倒推历史业务。,无影响结论的收入拆分缺口；清洁能源、电子及其他业务排除。,14|15,72,历史年报法人/简称为京蓝科技；当前公司全称仅为v32证券代码映射结果。,https://static.cninfo.com.cn/finalpage/2017-10-28/1204086085.PDF,不适用,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
002458,山东益生种畜禽股份有限公司,2022,待核实,待核实,鸡、猪种畜禽,1931082774.13,1931082774.13,1971690460.49,鸡收入1896357346.56+猪收入34725427.57；其他40607686.36仅作上界,0.914510689672203941101147531086906529321818829799522878544419,0.933741436151109744756736225962416262345578016029078335456042,鸡、猪种畜禽及农牧设备,2007344030.34,2007344030.34,2047951716.70,严格下界1931082774.13+农牧设备76261256.21；其他仅作上界,0.950626041611633933611432573051084116229126624480619124431127,0.969856788090539737267021267926593849252885810710174581342750,2111602188.95,2096586177.88,1944511262.43,1977072562.52,2015632707.61,2048194007.70,是,是,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,种畜禽属于直接养殖，严格下界已超过50%；农牧设备为农业机械，仅加入扩展口径；乳品属于深加工并排除。,2022行业分类待核实；‘其他’性质未拆，但不影响阈值结论。,19|20,84,分行业与分产品金额相同，采用分行业一次，不重复相加。,https://static.cninfo.com.cn/finalpage/2023-04-18/1216441927.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
002746,山东仙坛集团股份有限公司,2022,待核实,待核实,肉鸡养殖,,169496297.99,235701412.71,下界=分行业养殖业169496297.99；上界=商品代肉鸡及其他235701412.71,0.0332202566876994080225130274553520182918238494492191405912048,0.0461960616528718306712854953464431542640363384236962522211314,肉鸡养殖、分割冻/冰鲜鸡肉屠宰初加工、饲料及有机肥,4921008744.86,4921008744.86,5102197119.77,鸡肉产品（已剔除预制菜）4694143647.55+养殖169496297.99+饲料45302520.52+有机肥12066278.80,0.964488166439526405103119785613794072834875622514565135652452,1,5102197119.77,4954301302.53,138944056.87,144511291.70,4783309448.28,4954301302.53,否,是,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,直接养殖占比不足50%；扩展下界仅纳入与预制菜分开披露的分割冻/冰鲜鸡肉、养殖、饲料及有机肥，已超过50%；预制菜172352059.51明确排除。,2022行业分类待核实；商品代肉鸡产品行含‘其他’，严格口径仅作上界；剩余未拆项目只作扩展上界。,21|22,85,年报经营信息表将鸡肉产品4694143647.55与预制菜172352059.51分开披露；未把预制菜或分行业食品加工整行纳入初加工。,https://static.cninfo.com.cn/finalpage/2023-04-25/1216546486.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
300967,宁夏晓鸣农牧股份有限公司,2022,待核实,待核实,蛋鸡养殖及鸡产品、副产品,785141706.15,785141706.15,785510490.19,分行业养殖收入785141706.15；未分类差额368784.04仅作上界,0.999530516721793494855631063536058058152920362592414432437995,1,同严格口径,785141706.15,785141706.15,785510490.19,同严格口径,0.999530516721793494855631063536058058152920362592414432437995,1,785510490.19,685650240.87,685303324.71,685650240.87,685303324.71,685650240.87,是,是,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,养殖业已披露收入占99.95%，严格与扩展口径均超过50%。,2022行业分类待核实；极小未分类差额不影响结论。,30,177,采用分行业养殖一套口径，不再叠加鸡产品和副产品。,https://static.cninfo.com.cn/finalpage/2023-04-26/1216579493.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
300972,福建万辰食品集团股份有限公司,2021,1.0,农业,食用菌种植,425520717.94,425520717.94,425520717.94,食用菌行业收入425520717.94,1,1,食用菌种植,425520717.94,425520717.94,425520717.94,同严格口径,1,1,425520717.94,379761709.34,379761709.34,379761709.34,379761709.34,379761709.34,是,是,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,营业收入全部来自食用菌种植，严格与扩展口径均达到50%。,无影响结论的拆分缺口。,17|18,110,菌菇产品与菌渣为分产品重叠维度，未重复相加。,https://static.cninfo.com.cn/finalpage/2022-04-26/1213107146.PDF,不适用,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
301116,江苏益客食品集团股份有限公司,2022,待核实,待核实,种禽,,826877642.73,879870455.07,种禽826877642.73；其他52992812.34仅作上界,0.0441834176984387388325122336886300110691542075599908359360520,0.0470150380514850193367489254850723813864748460978314050105455,种禽、禽类屠宰初加工、饲料及羽绒副产品,18175777585.68,18175777585.68,18228770398.02,种禽826877642.73+屠宰14262814892.49+饲料3057314791.26+羽绒28770259.20；其他仅作上界,0.971205329014132362551249927325739805780736395802084428372025,0.974036949367178643055486619122182176098057034339924997446519,18714660064.86,18160796467.26,690008514.52,744840926.96,17637282674.61,17692115087.05,否,是,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,严格口径仅种禽，低于50%；屠宰初加工、饲料和羽绒副产品进入扩展口径，调熟食品排除，扩展下界超过50%。,2022行业分类待核实；其他收入未拆但不影响阈值。,21|22,105,屠宰、饲料、种禽、调熟、羽绒采用一套分行业维度；羽绒成本用同额产品行反向核对。,https://static.cninfo.com.cn/finalpage/2023-04-21/1216495384.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2022,待核实,待核实,牧草、辣椒、玉米、马铃薯、食葵、制种玉米、果品和啤酒花种植,2040868323.69,2040868323.69,3007553788.72,八项明确作物产品合计2040868323.69；分行业农业3007553788.72作上界,0.560800685917073530532300670229265502869025609035524639495770,0.826431675218093621509339718555070330411285173544099750742707,同严格口径,2040868323.69,2040868323.69,3007553788.72,同严格口径,0.560800685917073530532300670229265502869025609035524639495770,0.826431675218093621509339718555070330411285173544099750742707,3639204399.96,3003945127.43,1754562463.67,2431908212.93,1754562463.67,2431908212.93,是,是,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,明确列示的八项种植产品下界已占营业收入56.08%，足以确认严格及扩展样本；不把农业、工业、商贸分部合计机械套入合并收入。,2022行业分类待核实；农业分部与合并收入之间的内部交易/抵销口径未拆，但不影响下界结论。,10|11,50,产品下界逐项来自同一分产品表；农业分行业数只作为上界。,https://static.cninfo.com.cn/finalpage/2023-04-26/1216584522.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
600467,山东好当家海洋发展股份有限公司,2022,待核实,待核实,海参养殖及海洋捕捞,,543261541.75,543261541.75,养殖285538112.23+捕捞257723429.52,0.455383597517863869085485633584598088396295189112880193473669,0.455383597517863869085485633584598088396295189112880193473669,海参养殖、捕捞；食品加工混合项仅作扩展上界,,543261541.75,1192975646.71,下界=养殖+捕捞543261541.75；上界再含食品加工612763152.47及未分类差额36950952.49,0.455383597517863869085485633584598088396295189112880193473669,1,1192975646.71,937389970.18,425350431.21,425350431.21,425350431.21,937389970.18,否,待核实,待核实,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,严格口径占45.54%，未达50%；食品加工同时含海产品精深加工和冷冻调理食品，不能把整行直接认作初加工，故扩展口径跨越50%并待核实。,2022行业分类待核实；需取得食品加工内部初加工/精深及预制食品收入拆分。,12|13,64,未用产品、地区或成本反推食品加工收入。,https://static.cninfo.com.cn/finalpage/2023-04-25/1216546679.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
603237,浙江五芳斋实业股份有限公司,2022,待核实,待核实,未单列直接农业生产收入,,0,0,下界=上界=0,0,0,未单列农产品初加工或农业投入品收入,,0,0,下界=上界=0,0,0,2462098294.55,1539051430.46,0,0,0,0,否,否,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,粽子、月饼、糕点、蛋制品及餐饮均属于食品深加工或服务，不因使用农产品原料而纳入。,2022行业分类待核实；业务分类可按既定规则排除。,18|19,85,不依据公司名称、原料采购或产品含农成分认定涉农。,https://static.cninfo.com.cn/finalpage/2023-04-29/1216694236.PDF,待核实；不插值、不复制相邻年份,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
603288,佛山市海天调味食品股份有限公司,2021,,,未单列直接农业生产收入,,0,0,下界=上界=0,0,0,未单列合格初加工收入,,0,0,下界=上界=0,0,0,25004031043.49,15336858254.40,0,0,0,0,否,否,否,分行业与分产品可能重叠；已固定一套维度或以明确产品下界处理，不机械相加,酱油、蚝油、调味酱等均为调味品深加工，按规则排除。,无影响结论的拆分缺口。,15|16,77,原料采购和酿造过程不等于直接农业或农产品初加工收入。,https://static.cninfo.com.cn/finalpage/2022-03-25/1212671753.PDF,不适用,跨年快速复核最终批AC组（未合并）,已人工复核（最终批AC组；主表未合并）,2026-08-11
