股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
000735,罗牛山股份有限公司,2013,3.0,畜牧业,生猪养殖及屠宰加工（扩展口径）,737117983.89,569234258.77,737117983.89,1719531920.81,0.42867363,0.33104024,0.42867363,否,否,是,否（仅使用同一分行业维度）,直接农业收入占33.10%，加入同一披露维度的初加工收入后占42.87%，仍处于30%—50%，列为边界样本。,15,56,https://static.cninfo.com.cn/finalpage/2014-04-30/63949358.PDF,本次新增跨年快速复核,2026-08-11
000735,罗牛山股份有限公司,2014,3.0,畜牧业,生猪养殖及屠宰加工（扩展口径）,488907275.72,332408135.12,488907275.72,1005817243.57,0.48607963,0.33048562,0.48607963,否,否,是,否（仅使用同一分行业维度）,直接农业收入占33.05%，加入同一披露维度的初加工收入后占48.61%，仍处于30%—50%，列为边界样本。,17,27|66|111,https://static.cninfo.com.cn/finalpage/2015-03-21/1200724489.PDF,本次新增跨年快速复核,2026-08-11
000735,罗牛山股份有限公司,2015,3.0,畜牧业,生猪养殖及屠宰加工（扩展口径）,461277640.83,237011917.38,461277640.83,729998909.71,0.63188812,0.32467434,0.63188812,否,是,否,否（仅使用同一分行业维度）,直接畜牧养殖收入占32.47%，未达50%；加入同一产品维度的农产品初加工收入后占63.19%，纳入扩展样本。,11,61,https://static.cninfo.com.cn/finalpage/2016-03-31/1202113092.PDF,本次新增跨年快速复核,2026-08-11
000735,罗牛山股份有限公司,2016,3.0,畜牧业,畜牧业及屠宰加工业（扩展口径）,480527756.39,296935560.74,480527756.39,891077257.45,0.53926610,0.33323212,0.53926610,否,是,否,否（仅使用同一分行业维度）,直接畜牧养殖收入占33.32%，未达50%；加入同一产品维度的农产品初加工收入后占53.93%，纳入扩展样本。,12,66|106,https://static.cninfo.com.cn/finalpage/2017-03-31/1203238346.PDF,本次新增跨年快速复核,2026-08-11
000735,罗牛山股份有限公司,2017,3.0,畜牧业,畜牧业及屠宰加工业（扩展口径）,466211498.34,279865882.83,466211498.34,1298149934.33,0.35913532,0.21558826,0.35913532,否,否,是,否（仅使用同一分行业维度）,直接农业收入占21.56%，加入同一披露维度的初加工收入后占35.91%，仍处于30%—50%，列为边界样本。,15-16,79,https://static.cninfo.com.cn/finalpage/2018-04-28/1204822803.PDF,本次新增跨年快速复核,2026-08-11
000735,罗牛山股份有限公司,2018,3.0,畜牧业,生猪及肉制品（扩展口径）,441904186.09,318590680.26,441904186.09,1121254823.29,0.39411575,0.28413762,0.39411575,否,否,是,否（仅使用同一分产品维度）,直接农业收入占28.41%，加入同一披露维度的初加工收入后占39.41%，仍处于30%—50%，列为边界样本。,13,73,https://static.cninfo.com.cn/finalpage/2019-04-25/1206088844.PDF,本次新增跨年快速复核,2026-08-11
000735,罗牛山股份有限公司,2019,3.0,畜牧业,生猪及肉制品（扩展口径）,687810105.82,266716072.57,687810105.82,1164257304.12,0.59077156,0.22908688,0.59077156,否,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占22.91%，未达50%；加入同一产品维度的农产品初加工收入后占59.08%，纳入扩展样本。,13-14,74,https://static.cninfo.com.cn/finalpage/2020-03-31/1207430997.PDF,本次新增跨年快速复核,2026-08-11
000735,罗牛山股份有限公司,2020,3.0,畜牧业,生猪及肉制品（扩展口径）,1925373745.47,551137045.37,1925373745.47,2333326709.68,0.82516252,0.23620226,0.82516252,否,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占23.62%，未达50%；加入同一产品维度的农产品初加工收入后占82.52%，纳入扩展样本。,13-14,73,https://static.cninfo.com.cn/finalpage/2021-05-22/1210046988.PDF,本次新增跨年快速复核,2026-08-11
000735,罗牛山股份有限公司,2021,3.0,畜牧业,生猪及肉制品（扩展口径）,1432660810.63,711095770.86,1432660810.63,1871731105.96,0.76542021,0.37991342,0.76542021,否,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占37.99%，未达50%；加入同一产品维度的农产品初加工收入后占76.54%，纳入扩展样本。,16,79,https://static.cninfo.com.cn/finalpage/2022-04-30/1213260459.PDF,本次新增跨年快速复核,2026-08-11
002234,山东民和牧业股份有限公司,2013,3.0,畜牧业,雏鸡、淘汰鸡及鸡肉制品（扩展口径）,930893902.82,362484125.90,930893902.82,996313767.09,0.93433809,0.36382527,0.93433809,否,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占36.38%，未达50%；加入同一产品维度的农产品初加工收入后占93.43%，纳入扩展样本。,13,53,https://static.cninfo.com.cn/finalpage/2014-04-19/63870251.PDF,本次新增跨年快速复核,2026-08-11
