股票代码,公司全称,年份,行业分类代码,行业分类名称,直接涉农业务_保守不重叠口径,直接涉农业务营业收入_元,公司营业收入_元,直接涉农收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
000798,中水集团远洋股份有限公司,2013,4.0,渔业,远洋捕捞,227913798.54,296131021.96,0.76963838,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,16,52,https://static.cninfo.com.cn/finalpage/2014-04-25/63918750.PDF,本次新增跨年快速复核,2026-08-10
000798,中水集团远洋股份有限公司,2014,4.0,渔业,远洋捕捞,343870250.72,378756392.67,0.90789293,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,16,57,https://static.cninfo.com.cn/finalpage/2015-03-30/1200754520.PDF,本次新增跨年快速复核,2026-08-10
000798,中水集团远洋股份有限公司,2015,4.0,渔业,远洋捕捞,344229783.68,521523302.38,0.66004679,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,9,63,https://static.cninfo.com.cn/finalpage/2016-04-29/1202268278.PDF,本次新增跨年快速复核,2026-08-10
000798,中水集团远洋股份有限公司,2016,4.0,渔业,远洋捕捞,352892543.23,534459692.46,0.66027906,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,11,69,https://static.cninfo.com.cn/finalpage/2017-04-27/1203406664.PDF,本次新增跨年快速复核,2026-08-10
000798,中水集团远洋股份有限公司,2017,4.0,渔业,远洋捕捞,603260705.75,748144656.79,0.80634233,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,11,26|68,https://static.cninfo.com.cn/finalpage/2019-07-13/1206443995.PDF,本次新增跨年快速复核,2026-08-10
000798,中水集团远洋股份有限公司,2018,4.0,渔业,远洋捕捞,501718433.05,626212925.18,0.80119463,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,10,66,https://static.cninfo.com.cn/finalpage/2019-07-13/1206443996.PDF,本次新增跨年快速复核,2026-08-10
000798,中水集团远洋股份有限公司,2019,4.0,渔业,远洋捕捞,430206787.57,578668995.10,0.74344192,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,11,69,https://static.cninfo.com.cn/finalpage/2020-04-10/1207473796.PDF,本次新增跨年快速复核,2026-08-10
000798,中水集团远洋股份有限公司,2020,4.0,渔业,远洋捕捞,355857733.00,445286551.21,0.79916569,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,12,68,https://static.cninfo.com.cn/finalpage/2021-02-06/1209253238.PDF,本次新增跨年快速复核,2026-08-10
000798,中水集团远洋股份有限公司,2021,4.0,渔业,远洋捕捞,357713072.13,462390686.83,0.77361652,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,12,73,https://static.cninfo.com.cn/finalpage/2022-02-10/1212333125.PDF,本次新增跨年快速复核,2026-08-10
001201,东瑞食品集团股份有限公司,2021,3.0,畜牧业,生猪养殖,942113022.68,1051843098.16,0.89567829,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,16,145,https://static.cninfo.com.cn/finalpage/2022-04-28/1213167484.PDF,本次新增跨年快速复核,2026-08-10
002772,天水众兴菌业科技股份有限公司,2016,1.0,农业,食用菌种植,585018459.38,585018459.38,1.00000000,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,22,111,https://static.cninfo.com.cn/finalpage/2017-02-28/1203112266.PDF,本次新增跨年快速复核,2026-08-10
002772,天水众兴菌业科技股份有限公司,2017,1.0,农业,食用菌种植,739792782.58,739792782.58,1.00000000,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,23,159,https://static.cninfo.com.cn/finalpage/2018-03-24/1204511292.PDF,本次新增跨年快速复核,2026-08-10
002772,天水众兴菌业科技股份有限公司,2018,1.0,农业,食用菌种植,926432056.86,926432056.86,1.00000000,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,22,125,https://static.cninfo.com.cn/finalpage/2019-03-29/1205957599.PDF,本次新增跨年快速复核,2026-08-10
002772,天水众兴菌业科技股份有限公司,2019,1.0,农业,食用菌种植,1155832460.49,1155832460.49,1.00000000,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,21,112,https://static.cninfo.com.cn/finalpage/2020-04-29/1207664329.PDF,本次新增跨年快速复核,2026-08-10
002772,天水众兴菌业科技股份有限公司,2020,1.0,农业,食用菌种植,1483178491.71,1483178491.71,1.00000000,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,16,99,https://static.cninfo.com.cn/finalpage/2021-03-26/1209454487.PDF,本次新增跨年快速复核,2026-08-10
002772,天水众兴菌业科技股份有限公司,2021,1.0,农业,食用菌种植,1556146725.49,1556146725.49,1.00000000,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,17,112,https://static.cninfo.com.cn/finalpage/2022-03-24/1212652075.PDF,本次新增跨年快速复核,2026-08-10
300511,上海雪榕生物科技股份有限公司,2016,1.0,农业,食用菌种植,985313102.69,998677031.84,0.98661837,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,21,89,https://static.cninfo.com.cn/finalpage/2017-03-14/1203155463.PDF,本次新增跨年快速复核,2026-08-10
300511,上海雪榕生物科技股份有限公司,2017,1.0,农业,食用菌种植,1317961606.28,1330283904.69,0.99073709,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,18,93,https://static.cninfo.com.cn/finalpage/2018-06-01/1205028653.PDF,本次新增跨年快速复核,2026-08-10
300511,上海雪榕生物科技股份有限公司,2018,1.0,农业,食用菌种植,1786449684.19,1846625656.23,0.96741301,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,18,97,https://static.cninfo.com.cn/finalpage/2019-04-25/1206093329.PDF,本次新增跨年快速复核,2026-08-10
300511,上海雪榕生物科技股份有限公司,2019,1.0,农业,食用菌种植,1945935776.25,1964574723.12,0.99051248,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,19,92,https://static.cninfo.com.cn/finalpage/2020-04-25/1207608368.PDF,本次新增跨年快速复核,2026-08-10
300511,上海雪榕生物科技股份有限公司,2020,1.0,农业,食用菌种植,2179627097.78,2202185873.52,0.98975619,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,20,147,https://static.cninfo.com.cn/finalpage/2024-04-26/1219839663.PDF,本次新增跨年快速复核,2026-08-10
300511,上海雪榕生物科技股份有限公司,2021,1.0,农业,食用菌种植,2026974350.39,2062828781.84,0.98261880,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,24,155,https://static.cninfo.com.cn/finalpage/2024-04-26/1219839722.PDF,本次新增跨年快速复核,2026-08-10
300967,宁夏晓鸣农牧股份有限公司,2021,3.0,畜牧业,蛋鸡养殖,713917595.85,714367715.43,0.99936990,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,32,207,https://static.cninfo.com.cn/finalpage/2022-04-27/1213144332.PDF,本次新增跨年快速复核,2026-08-10
300970,江苏华绿生物科技集团股份有限公司,2021,1.0,农业,食用菌种植,578083609.15,578088209.15,0.99999204,是,是,否,否（只使用一个分行业维度）,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,16,105,https://static.cninfo.com.cn/finalpage/2022-04-09/1212857703.PDF,本次新增跨年快速复核,2026-08-10
