股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
000713,国投丰乐种业股份有限公司,2013,5.0,农林牧渔服务业,种子类、农化类,1235522968.51,705473720.09,1235522968.51,1693934876.29,0.72938044,0.41647039,0.72938044,否,是,否,否（仅使用同一分行业维度）,种子收入占41.65%，未达严格门槛；同一行业维度加入农业投入品农化业务后占72.94%，达到扩展样本门槛。香料业务未计入。,15,59,https://static.cninfo.com.cn/finalpage/2014-04-09/63804982.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2014,5.0,农林牧渔服务业,种子类、农化类,1125193828.36,584528318.19,1125193828.36,1378800048.18,0.81606744,0.42393987,0.81606744,否,是,否,否（仅使用同一分行业维度）,种子收入占42.39%，未达严格门槛；同一行业维度加入农业投入品农化业务后占81.61%，达到扩展样本门槛。香料业务未计入。,15,64,https://static.cninfo.com.cn/finalpage/2015-03-30/1200755414.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2015,5.0,农林牧渔服务业,种子类、农化类,884129187.58,417646916.29,884129187.58,1112655608.79,0.79461172,0.37536046,0.79461172,否,是,否,否（仅使用同一分行业维度）,种子收入占37.54%，未达严格门槛；同一行业维度加入农业投入品农化业务后占79.46%，达到扩展样本门槛。香料业务未计入。,15,73,https://static.cninfo.com.cn/finalpage/2016-06-13/1202363291.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2016,5.0,农林牧渔服务业,种子类、农化类,966435573.17,308780049.49,966435573.17,1217693090.22,0.79366105,0.25357789,0.79366105,否,是,否,否（仅使用同一分行业维度）,种子收入占25.36%，未达严格门槛；同一行业维度加入农业投入品农化业务后占79.37%，达到扩展样本门槛。香料业务未计入。,18,84,https://static.cninfo.com.cn/finalpage/2017-06-28/1203653421.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2017,5.0,农林牧渔服务业,种子类、农化类,1148987009.80,272108530.82,1148987009.80,1446714027.92,0.79420465,0.18808730,0.79420465,否,是,否,否（仅使用同一分行业维度）,种子收入占18.81%，未达严格门槛；同一行业维度加入农业投入品农化业务后占79.42%，达到扩展样本门槛。香料业务未计入。,18,78,https://static.cninfo.com.cn/finalpage/2018-06-16/1205063462.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2018,5.0,农林牧渔服务业,种子类、农化类,1510001849.44,280913013.17,1510001849.44,1927145479.56,0.78354326,0.14576638,0.78354326,否,是,否,否（仅使用同一分行业维度）,种子收入占14.58%，未达严格门槛；同一行业维度加入农业投入品农化业务后占78.35%，达到扩展样本门槛。香料业务未计入。,19,127,https://static.cninfo.com.cn/finalpage/2019-04-18/1206046289.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2019,5.0,农林牧渔服务业,种子类、农化类,1938816118.67,405703041.56,1938816118.67,2403955879.24,0.80651069,0.16876476,0.80651069,否,是,否,否（仅使用同一分行业维度）,种子收入占16.88%，未达严格门槛；同一行业维度加入农业投入品农化业务后占80.65%，达到扩展样本门槛。香料业务未计入。,23,134,https://static.cninfo.com.cn/finalpage/2020-04-22/1207551951.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2020,5.0,农林牧渔服务业,种子类、农化类,2136727574.97,383979770.49,2136727574.97,2456598310.13,0.86979119,0.15630548,0.86979119,否,是,否,否（仅使用同一分行业维度）,种子收入占15.63%，未达严格门槛；同一行业维度加入农业投入品农化业务后占86.98%，达到扩展样本门槛。香料业务未计入。,22,120|167,https://static.cninfo.com.cn/finalpage/2021-04-28/1209832747.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2021,5.0,农林牧渔服务业,种子类、农化类,2309022547.36,445214621.90,2309022547.36,2617242367.84,0.88223490,0.17010829,0.88223490,否,是,否,否（仅使用同一分行业维度）,种子收入占17.01%，未达严格门槛；同一行业维度加入农业投入品农化业务后占88.22%，达到扩展样本门槛。香料业务未计入。,22,116,https://static.cninfo.com.cn/finalpage/2022-04-20/1212976110.PDF,本次新增跨年快速复核,2026-08-11
000713,国投丰乐种业股份有限公司,2022,待核实,待核实,种子类、农化类,2724858392.46,658797974.54,2724858392.46,3005259332.24,0.90669659,0.21921502,0.90669659,否,是,否,否（仅使用同一分行业维度）,种子收入占21.92%，未达严格门槛；同一行业维度加入农业投入品农化业务后占90.67%，达到扩展样本门槛。香料业务未计入。,21,99,https://static.cninfo.com.cn/finalpage/2023-04-20/1216471939.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2013,1.0,农业,种子,1082784780.02,1082784780.02,1082784780.02,1874811756.60,0.57754320,0.57754320,0.57754320,是,是,否,否（仅使用同一分行业维度）,种子收入占57.75%，达到50%严格门槛；食品与贸易、棉花、果蔬及其他业务均未用于放大分子。,10,40,https://static.cninfo.com.cn/finalpage/2014-04-11/63821344.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2014,1.0,农业,种子,852627126.91,852627126.91,852627126.91,1255860454.79,0.67891868,0.67891868,0.67891868,是,是,否,否（仅使用同一分行业维度）,种子收入占67.89%，达到50%严格门槛；食品与贸易、棉花、果蔬及其他业务均未用于放大分子。,11,43,https://static.cninfo.com.cn/finalpage/2015-03-20/1200720215.PDF,本次新增跨年快速复核,2026-08-11
