股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,公司营业收入公式,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,单列初加工或农业投入品收入_元,单列初加工或农业投入品成本_元_反向证据,未拆上界项目,未拆上界项目收入_元,未拆上界项目成本_元_反向证据,明确排除类别,明确排除收入_元_反向证据,明确排除成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000423,东阿阿胶股份有限公司,2019,,,未单列可确认的直接农业收入；毛驴养殖及贸易混合项和其他仅作上界,,0.00,831858368.90,下界=0.00；上界=831858368.90,0,0.281164093760896281080991427520545505803828714483868499250185,未单列可确认初加工或农业投入品收入；混合项仅作上界,,0.00,831858368.90,下界=0.00；上界=831858368.90,0,0.281164093760896281080991427520545505803828714483868499250185,2958622339.62,1548797492.38,当年年报合并利润表营业收入,0.00,890899719.17,0.00,890899719.17,,,毛驴养殖及贸易、附注其他及其他业务,831858368.90,890899719.17,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品/行业维度互斥项目；不叠加地区或原料采购,阿胶及医药保健品属于深加工；毛驴养殖与贸易未拆，不能全额作为正式涉农分子。,混合业务未拆，正式分子留空。,12|13|14,74,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2020-03-27/1207411615.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
000423,东阿阿胶股份有限公司,2020,,,未单列可确认的直接农业收入；毛驴养殖及贸易混合项和其他仅作上界,,0.00,407311030.20,下界=0.00；上界=407311030.20,0,0.119465768279753913751027106731710902689240144322280754770577,未单列可确认初加工或农业投入品收入；混合项仅作上界,,0.00,407311030.20,下界=0.00；上界=407311030.20,0,0.119465768279753913751027106731710902689240144322280754770577,3409437164.01,1534185128.14,当年年报合并利润表营业收入,0.00,403020855.17,0.00,403020855.17,,,毛驴养殖及销售（养殖/贸易未拆）及其他,407311030.20,403020855.17,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品/行业维度互斥项目；不叠加地区或原料采购,阿胶及医药保健品属于深加工；毛驴养殖与贸易未拆，不能全额作为正式涉农分子。,混合业务未拆，正式分子留空。,12|13,67,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2021-03-20/1209419529.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
000423,东阿阿胶股份有限公司,2021,,,未单列可确认的直接农业收入；毛驴养殖及贸易混合项和其他仅作上界,,0.00,239817728.74,下界=0.00；上界=239817728.74,0,0.0623067343631342953133146036398493953665704379537462781683886,未单列可确认初加工或农业投入品收入；混合项仅作上界,,0.00,239817728.74,下界=0.00；上界=239817728.74,0,0.0623067343631342953133146036398493953665704379537462781683886,3848985686.56,1450932418.28,当年年报合并利润表营业收入,0.00,217066622.29,0.00,217066622.29,,,毛驴养殖及销售（养殖/贸易未拆）及其他,239817728.74,217066622.29,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品/行业维度互斥项目；不叠加地区或原料采购,阿胶及医药保健品属于深加工；毛驴养殖与贸易未拆，不能全额作为正式涉农分子。,混合业务未拆，正式分子留空。,12|13|14,74,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2022-03-26/1212685160.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
000423,东阿阿胶股份有限公司,2022,待核实,待核实,未单列可确认的直接农业收入；毛驴养殖及贸易混合项和其他仅作上界,,0.00,155660533.66,下界=0.00；上界=155660533.66,0,0.0385125011258214394443334498278628198559548171791661172157202,未单列可确认初加工或农业投入品收入；混合项仅作上界,,0.00,155660533.66,下界=0.00；上界=155660533.66,0,0.0385125011258214394443334498278628198559548171791661172157202,4041818347.54,1281215156.24,当年年报合并利润表营业收入,0.00,130297571.34,0.00,130297571.34,,,毛驴养殖及销售（养殖/贸易未拆）及其他,155660533.66,130297571.34,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品/行业维度互斥项目；不叠加地区或原料采购,阿胶及医药保健品属于深加工；毛驴养殖与贸易未拆，不能全额作为正式涉农分子。,2022行业字段仍待核实；混合业务未拆，正式分子留空。,13|14,76,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2023-03-25/1216219037.PDF,待核实；不插值、不复制相邻年份,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002447,大连壹桥海洋苗业股份有限公司,2013,4.0,渔业,海珍品育苗与养殖（贝苗、围堰海参、海蜇鱼虾等）,357334173.00,357334173.00,371010405.10,下界=357334173.00；上界=371010405.10,0.670796060176740503245967608964864430414747985953492547360853,0.696469402677746333841024232360594137731004001352578108324896,严格口径项目；海参加工品因加工深度未拆仅进入上界,357334173.00,357334173.00,532701657.35,下界=357334173.00；上界=532701657.35,0.670796060176740503245967608964864430414747985953492547360853,1,532701657.35,285414529.41,当年年报合并利润表营业收入,211285894.68,285414529.41,211285894.68,285414529.41,,,其他；海参加工品仅进入扩展上界,175367484.35,74128634.73,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,是,是,否,采用互斥分行业口径；不与分产品、地区相加；2016资产置换形成的口径差额不进入下界,育苗和水产养殖为直接农业，严格下界已达到50%；海参加工品加工深度未拆不影响阈值结论。,上界项目未拆；正式分子采用可确认下界。,14|91|104,51,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2014-04-10/63812182.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002447,大连壹桥海洋苗业股份有限公司,2014,4.0,渔业,海珍品育苗与养殖（贝苗、围堰海参、海蜇鱼虾等）,280170077.36,280170077.36,284026599.36,下界=280170077.36；上界=284026599.36,0.518806456057103064766650853131009728551575755140604942368139,0.525947791528682959630909507456487150407733892135903789843717,严格口径项目；海参加工品因加工深度未拆仅进入上界,280170077.36,280170077.36,540028124.34,下界=280170077.36；上界=540028124.34,0.518806456057103064766650853131009728551575755140604942368139,1,540028124.34,192117032.39,当年年报合并利润表营业收入,106454972.31,192117032.39,106454972.31,192117032.39,,,其他；海参加工品仅进入扩展上界,259858046.98,85662060.08,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,是,是,否,采用互斥分行业口径；不与分产品、地区相加；2016资产置换形成的口径差额不进入下界,育苗和水产养殖为直接农业，严格下界已达到50%；海参加工品加工深度未拆不影响阈值结论。,上界项目未拆；正式分子采用可确认下界。,14|15,65,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2015-04-11/1200809393.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002447,大连壹桥海参股份有限公司,2015,4.0,渔业,海珍品育苗与养殖（贝苗、围堰海参、海蜇鱼虾等）,395280462.00,395280462.00,398646390.50,下界=395280462.00；上界=398646390.50,0.682385005869122563261536853379651115097344803498692967730082,0.688195713354147580525544857520748503837906772251965550104347,严格口径项目；海参加工品因加工深度未拆仅进入上界,395280462.00,395280462.00,579263111.88,下界=395280462.00；上界=579263111.88,0.682385005869122563261536853379651115097344803498692967730082,1,579263111.88,208049158.88,当年年报合并利润表营业收入,152259748.23,208049158.88,152259748.23,208049158.88,,,其他；海参加工品仅进入扩展上界,183982649.88,55789410.65,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,是,是,否,采用互斥分行业口径；不与分产品、地区相加；2016资产置换形成的口径差额不进入下界,育苗和水产养殖为直接农业，严格下界已达到50%；海参加工品加工深度未拆不影响阈值结论。,上界项目未拆；正式分子采用可确认下界。,15|16,67,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2016-04-15/1202178469.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002447,大连壹桥海参股份有限公司,2016,4.0,渔业,海珍品育苗与养殖（贝苗、围堰海参、海蜇鱼虾等）,519643651.76,519643651.76,522595641.72,下界=519643651.76；上界=522595641.72,0.664816068056448159894189985585334882661869206234866291459176,0.668592753004878389287026633869958301645086644879937394856677,严格口径项目；海参加工品因加工深度未拆仅进入上界,519643651.76,519643651.76,649454435.39,下界=519643651.76；上界=649454435.39,0.664816068056448159894189985585334882661869206234866291459176,0.830891982718215578596652111306677545243714006681994292225936,781635217.21,389248957.63,当年年报合并利润表营业收入,343898192.75,344265298.59,343898192.75,383068220.37,,,其他；海参加工品仅进入扩展上界,129810783.63,39170027.62,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,是,是,否,采用互斥分行业口径；不与分产品、地区相加；2016资产置换形成的口径差额不进入下界,育苗和水产养殖为直接农业，严格下界已达到50%；海参加工品加工深度未拆不影响阈值结论。,上界项目未拆；正式分子采用可确认下界。,15|16,65,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2017-04-28/1203410822.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002505,湖南大康牧业股份有限公司,2013,3.0,畜牧业,可单列畜牧养殖收入；2016乳制品交叉项仅作严格上界，不把笼统农林牧渔业整体计入严格口径,,444437632.80,448803442.47,下界=444437632.80；上界=448803442.47,0.446000068128408646361482499627319845289305558400002215858635,0.450381225947984867608056852753090351320915746911580210659837,直接养殖及可确认饲料、屠宰初加工；混合农资经销/粮食贸易行业仅作扩展上界,992130972.64,992130972.64,996496782.31,下界=992130972.64；上界=996496782.31,0.995618842180423778753425646874229493968389811488422005198798,1,996496782.31,920200799.36,当年年报合并利润表营业收入,376194913.11,920200799.36,919535106.03,920200799.36,,,其他/其他业务,4365809.67,544005886.25,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,是,否,产品与行业披露存在交叉映射；仅构造互斥上下界，不机械相加,2016农林牧渔业同时映射巴西大宗贸易与安源乳业，严格上界受乳制品产品行约束；2017畜牧养殖行业含羊及牧场原奶。农资/粮食混合行业只进扩展上界，乳制品贸易排除。,上界项目未拆；正式分子采用可确认下界。,22,81,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2014-04-15/63840513.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002505,湖南大康牧业股份有限公司,2014,3.0,畜牧业,可单列畜牧养殖收入；2016乳制品交叉项仅作严格上界，不把笼统农林牧渔业整体计入严格口径,,159867991.41,160891828.49,下界=159867991.41；上界=160891828.49,0.273465577880286328127151871810232971396472742285448821997723,0.275216924077033199132038697023087024852890583037759343870461,直接养殖及可确认饲料、屠宰初加工；混合农资经销/粮食贸易行业仅作扩展上界,561508680.27,561508680.27,562532517.35,下界=561508680.27；上界=562532517.35,0.960500562873947977353906684039848797460249947689826871670255,0.962251909070694848358793509252702850916667788442137393542994,584600053.32,589130553.65,当年年报合并利润表营业收入,178029226.14,589130553.65,568673305.10,589130553.65,,,其他业务,1023837.08,411101327.51,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,是,否,产品与行业披露存在交叉映射；仅构造互斥上下界，不机械相加,2016农林牧渔业同时映射巴西大宗贸易与安源乳业，严格上界受乳制品产品行约束；2017畜牧养殖行业含羊及牧场原奶。农资/粮食混合行业只进扩展上界，乳制品贸易排除。,上界项目未拆；正式分子采用可确认下界。,19,86,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848519.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
