股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,主营/混合/初加工披露收入_元,对应成本_元_反向证据,审计其他业务收入_元_上界,审计其他业务成本_元_反向证据,深加工或排除类别,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态
300143,盈康生命科技股份有限公司,2013,1.0,农业,工厂化自产鲜品食用菌（剔除经销菌类商品），其他业务只作上界,,233908854.82,233948194.80,下界=233908854.82；上界=233948194.80,0.917874387491698989521376145463415259344260868998250901878109,0.918028760271105834930059041716735507406831833603092165537778,自产食用菌鲜品，其他业务只作扩展上界,233908854.82,233908854.82,233948194.80,下界=233908854.82；上界=233948194.80,0.917874387491698989521376145463415259344260868998250901878109,0.918028760271105834930059041716735507406831833603092165537778,254837544.23,合并利润表营业收入,233908854.82,218947205.75,39339.98,19993.03,经销商品；2016年医疗设备及医疗服务,食用菌相关成本218947205.75仅反向核对；2015混合成本不用于拆分鲜菇/干菇,是,是,否,产品项目互斥；不叠加行业、地区维度，审计其他业务仅作上界,自产鲜品食用菌属于直接农业；2015年干菇为自产鲜菇脱水初加工，仅进入扩展下界；经销商品及医疗业务排除。,审计其他业务未拆，只作上界。,17,58,https://static.cninfo.com.cn/finalpage/2014-02-28/63617237.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300143,盈康生命科技股份有限公司,2014,1.0,农业,工厂化自产鲜品食用菌（剔除经销菌类商品），其他业务只作上界,,307172426.53,307479785.19,下界=307172426.53；上界=307479785.19,0.997823210492492938750242898410763811078782426137163825751375,0.998821638666396489707466040323253649215914088821786717087439,自产食用菌鲜品，其他业务只作扩展上界,307172426.53,307172426.53,307479785.19,下界=307172426.53；上界=307479785.19,0.997823210492492938750242898410763811078782426137163825751375,0.998821638666396489707466040323253649215914088821786717087439,307842534.93,合并利润表营业收入,307172426.53,263650980.76,307358.66,16537.70,经销商品；2016年医疗设备及医疗服务,食用菌相关成本263650980.76仅反向核对；2015混合成本不用于拆分鲜菇/干菇,是,是,否,产品项目互斥；不叠加行业、地区维度，审计其他业务仅作上界,自产鲜品食用菌属于直接农业；2015年干菇为自产鲜菇脱水初加工，仅进入扩展下界；经销商品及医疗业务排除。,审计其他业务未拆，只作上界。,16,60,https://static.cninfo.com.cn/finalpage/2015-04-24/1200898448.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300143,盈康生命科技股份有限公司,2015,1.0,农业,自产鲜菇与自产鲜菇脱水干菇未拆，连同其他业务只作严格上界,,0.00,280104567.60,下界=0.00；上界=280104567.60,0,0.999883390117442030774625441662598077143999756407675854075006,自产食用菌鲜品及脱水初加工品（剔除经销商品），其他业务只作上界,279891189.94,279891189.94,280104567.60,下界=279891189.94；上界=280104567.60,0.999121700367488353454754640797734095228620643714253142892552,0.999883390117442030774625441662598077143999756407675854075006,280137234.37,合并利润表营业收入,279891189.94,192514923.51,213377.66,226566.87,经销商品；2016年医疗设备及医疗服务,食用菌相关成本192514923.51仅反向核对；2015混合成本不用于拆分鲜菇/干菇,待核实,是,否,产品项目互斥；不叠加行业、地区维度，审计其他业务仅作上界,自产鲜品食用菌属于直接农业；2015年干菇为自产鲜菇脱水初加工，仅进入扩展下界；经销商品及医疗业务排除。,鲜菇与自产鲜菇脱水形成的干菇收入未拆，严格上下界跨越50%。,14|15,63,https://static.cninfo.com.cn/finalpage/2016-03-16/1202048392.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300143,盈康生命科技股份有限公司,2016,1.0,农业,工厂化自产鲜品食用菌（剔除经销菌类商品），其他业务只作上界,,242792614.12,242906856.08,下界=242792614.12；上界=242906856.08,0.561429824829615136147585619634285455288632276612395423551285,0.561693996142335923204446717491370611556036057540059922036242,自产食用菌鲜品，其他业务只作扩展上界,242792614.12,242792614.12,242906856.08,下界=242792614.12；上界=242906856.08,0.561429824829615136147585619634285455288632276612395423551285,0.561693996142335923204446717491370611556036057540059922036242,432454072.41,合并利润表营业收入,242792614.12,190057905.71,114241.96,56757.77,经销商品；2016年医疗设备及医疗服务,食用菌相关成本190057905.71仅反向核对；2015混合成本不用于拆分鲜菇/干菇,是,是,否,产品项目互斥；不叠加行业、地区维度，审计其他业务仅作上界,自产鲜品食用菌属于直接农业；2015年干菇为自产鲜菇脱水初加工，仅进入扩展下界；经销商品及医疗业务排除。,审计其他业务未拆，只作上界。,23|25,86,https://static.cninfo.com.cn/finalpage/2017-04-07/1203259229.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300158,山西振东制药股份有限公司,2019,,,药材种植、收购、产地加工及销售混合披露，只作严格上界,,0.00,261288970.02,下界=0.00；上界=261288970.02,0,0.0594006833650053513370195741173876205191231993597758788837028,药材种植与产地初加工混合深加工/流通，只作扩展上界,,0.00,261288970.02,下界=0.00；上界=261288970.02,0,0.0594006833650053513370195741173876205191231993597758788837028,4398753603.80,合并利润表营业收入,239305543.67,229679276.76,21983426.35,13609028.60,中成药、化学药等药品深加工；未拆药材流通和深加工,中药材种植报告分部成本229679276.76含分部内部交易影响，仅作反向证据,否,否,否,药材种植为行业/分部口径，其他业务为互斥审计层级；不与医药产品维度叠加,“药材种植行业”未拆自产种植、外购药材、初加工与深加工/销售，不能整体认定；即使连同其他业务，上界仍低于30%。,药材种植行业内部收入性质未拆；上下界均不改变剔除结论。,20|21,137,https://static.cninfo.com.cn/finalpage/2020-04-24/1207585742.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300158,山西振东制药股份有限公司,2020,,,药材种植、收购、产地加工及销售混合披露，只作严格上界,,0.00,487708389.08,下界=0.00；上界=487708389.08,0,0.100603376292787702564387310993562156784428059803981286863663,药材种植与产地初加工混合深加工/流通，只作扩展上界,,0.00,487708389.08,下界=0.00；上界=487708389.08,0,0.100603376292787702564387310993562156784428059803981286863663,4847833214.47,合并利润表营业收入,417994714.83,458977732.20,69713674.25,78544059.87,中成药、化学药等药品深加工；未拆药材流通和深加工,中药材种植报告分部成本458977732.20含分部内部交易影响，仅作反向证据,否,否,否,药材种植为行业/分部口径，其他业务为互斥审计层级；不与医药产品维度叠加,“药材种植行业”未拆自产种植、外购药材、初加工与深加工/销售，不能整体认定；即使连同其他业务，上界仍低于30%。,药材种植行业内部收入性质未拆；上下界均不改变剔除结论。,26|27,144,https://static.cninfo.com.cn/finalpage/2021-06-17/1210269050.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300158,山西振东制药股份有限公司,2021,,,药材种植、收购、产地加工及销售混合披露，只作严格上界,,0.00,652376972.46,下界=0.00；上界=652376972.46,0,0.128073344736377922606431508753150859931214606018811716202896,药材种植与产地初加工混合深加工/流通，只作扩展上界,,0.00,652376972.46,下界=0.00；上界=652376972.46,0,0.128073344736377922606431508753150859931214606018811716202896,5093776334.20,合并利润表营业收入,586281432.12,830303278.55,66095540.34,22309755.68,中成药、化学药等药品深加工；未拆药材流通和深加工,中药材种植报告分部成本830303278.55含分部内部交易影响，仅作反向证据,否,否,否,药材种植为行业/分部口径，其他业务为互斥审计层级；不与医药产品维度叠加,“药材种植行业”未拆自产种植、外购药材、初加工与深加工/销售，不能整体认定；即使连同其他业务，上界仍低于30%。,药材种植行业内部收入性质未拆；上下界均不改变剔除结论。,26|27,122,https://static.cninfo.com.cn/finalpage/2022-03-31/1212751680.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300158,山西振东制药股份有限公司,2022,待核实,待核实,药材种植、收购、产地加工及销售混合披露，只作严格上界,,0.00,521144549.32,下界=0.00；上界=521144549.32,0,0.139771171843106479279640593897481938208806763622159340483231,药材种植与产地初加工混合深加工/流通，只作扩展上界,,0.00,521144549.32,下界=0.00；上界=521144549.32,0,0.139771171843106479279640593897481938208806763622159340483231,3728555341.19,合并利润表营业收入,457163977.22,693605969.75,63980572.10,36568205.23,中成药、化学药等药品深加工；未拆药材流通和深加工,中药材种植报告分部成本693605969.75含分部内部交易影响，仅作反向证据,否,否,否,药材种植为行业/分部口径，其他业务为互斥审计层级；不与医药产品维度叠加,“药材种植行业”未拆自产种植、外购药材、初加工与深加工/销售，不能整体认定；即使连同其他业务，上界仍低于30%。,药材种植行业内部收入性质未拆；上下界均不改变剔除结论。2022行业分类字段保持待核实，不插值。,19|20,102,https://static.cninfo.com.cn/finalpage/2023-04-25/1216558785.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300908,仲景食品股份有限公司,2020,,,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,2458166.56,下界=0.00；上界=2458166.56,0,0.00338278607590342126312263448662519115822766599605574058519744,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,2458166.56,下界=0.00；上界=2458166.56,0,0.00338278607590342126312263448662519115822766599605574058519744,726669232.06,合并利润表营业收入,724211065.50,425995261.03,2458166.56,752865.07,调味食品、调味配料等食品深加工,排除类主营成本425995261.03及其他业务成本752865.07仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,香菇酱、辣椒酱及调味配料均为食品深加工，不能因原料涉农纳入；审计其他业务只作上界。,审计其他业务性质未拆，但上界远低于30%。,23|24,92,https://static.cninfo.com.cn/finalpage/2021-04-07/1209641989.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
300908,仲景食品股份有限公司,2021,,,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,6028861.94,下界=0.00；上界=6028861.94,0,0.00747773883189546883644169930321363825057943963563951570727335,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,6028861.94,下界=0.00；上界=6028861.94,0,0.00747773883189546883644169930321363825057943963563951570727335,806241308.44,合并利润表营业收入,800212446.50,488518516.74,6028861.94,3479605.08,调味食品、调味配料等食品深加工,排除类主营成本488518516.74及其他业务成本3479605.08仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,香菇酱、辣椒酱及调味配料均为食品深加工，不能因原料涉农纳入；审计其他业务只作上界。,审计其他业务性质未拆，但上界远低于30%。,21|22,92,https://static.cninfo.com.cn/finalpage/2022-04-12/1212883861.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
