股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,公司营业收入公式,确认初加工收入_元,确认初加工成本_元_反向证据,混合乳品收入_元_扩展上界,混合乳品成本_元_反向证据,披露主营业务收入_元_核对,披露主营业务成本_元_核对,未拆其他收入_元_上界,深加工或排除类别,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
600351,亚宝药业集团股份有限公司,2019,,,未单列中药材种植、初加工或农业投入品收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列中药材种植、初加工或农业投入品收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,3041915898.58,1108100201.09,合并利润表营业收入,,,,,3022731991.14,1100714263.90,,药品生产、医药批发及原料药等其他贸易,披露主营业务收入3022731991.14、成本1100714263.90，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,药品及医药流通属于医药制造/贸易；药材采购、药品名称或原料药不能替代直接种植、初加工外销收入。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。,13|14,80,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2020-06-17/1207932283.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
600351,亚宝药业集团股份有限公司,2020,,,未单列中药材种植、初加工或农业投入品收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列中药材种植、初加工或农业投入品收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,2602423106.49,1058707121.97,合并利润表营业收入,,,,,2555577668.38,1042349372.11,,药品生产、医药批发及原料药等其他贸易,披露主营业务收入2555577668.38、成本1042349372.11，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,药品及医药流通属于医药制造/贸易；药材采购、药品名称或原料药不能替代直接种植、初加工外销收入。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。,13|14,73,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2021-04-24/1209789526.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
600351,亚宝药业集团股份有限公司,2021,,,未单列中药材种植、初加工或农业投入品收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列中药材种植、初加工或农业投入品收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,2763962481.58,1077119320.29,合并利润表营业收入,,,,,2680757653.59,1022227451.98,,药品生产、医药批发及原料药等其他贸易,披露主营业务收入2680757653.59、成本1022227451.98，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,药品及医药流通属于医药制造/贸易；药材采购、药品名称或原料药不能替代直接种植、初加工外销收入。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。,15|17,83,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2022-05-26/1213499497.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
600351,亚宝药业集团股份有限公司,2022,待核实,待核实,未单列中药材种植、初加工或农业投入品收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列中药材种植、初加工或农业投入品收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,2718134785.52,1199375631.96,合并利润表营业收入,,,,,2680682795.66,1183150356.03,,药品生产、医药批发及原料药等其他贸易,披露主营业务收入2680682795.66、成本1183150356.03，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,药品及医药流通属于医药制造/贸易；药材采购、药品名称或原料药不能替代直接种植、初加工外销收入。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。2022行业分类字段仍待核实。,14|15,81,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2023-04-26/1216585475.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
603317,四川天味食品集团股份有限公司,2019,,,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,1727329107.54,1083250464.25,合并利润表营业收入,,,,,1717183500.00,1074084400.00,,火锅调料、中式菜品调料、香肠腊肉调料、鸡精、香辣酱及其他调味品,披露主营业务收入1717183500.00、成本1074084400.00，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,调味品属于食品深加工；采购辣椒、花椒等农产品不等于公司直接农业或初加工收入。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。,16|17,79,天味主营业务表单位为万元，脚本按×10000换算为元。,https://static.cninfo.com.cn/finalpage/2020-03-31/1207433014.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
603317,四川天味食品集团股份有限公司,2020,,,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,2364655862.43,1383495404.97,合并利润表营业收入,,,,,2363672600.00,1383206400.00,,火锅调料、中式菜品调料、香肠腊肉调料、鸡精、香辣酱及其他调味品,披露主营业务收入2363672600.00、成本1383206400.00，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,调味品属于食品深加工；采购辣椒、花椒等农产品不等于公司直接农业或初加工收入。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。,16|17,64,天味主营业务表单位为万元，脚本按×10000换算为元。,https://static.cninfo.com.cn/finalpage/2021-03-31/1209496234.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
603317,四川天味食品集团股份有限公司,2021,,,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,2025535449.58,1372877842.63,合并利润表营业收入,,,,,2023928800.00,1369941700.00,,火锅调料、中式菜品调料、香肠腊肉调料、鸡精、香辣酱及其他调味品,披露主营业务收入2023928800.00、成本1369941700.00，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,调味品属于食品深加工；采购辣椒、花椒等农产品不等于公司直接农业或初加工收入。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。,15|16,69,天味主营业务表单位为万元，脚本按×10000换算为元。,https://static.cninfo.com.cn/finalpage/2022-03-31/1212743548.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
603317,四川天味食品集团股份有限公司,2022,待核实,待核实,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,2690710152.71,1769938971.73,合并利润表营业收入,,,,,2689357800.00,1768962700.00,,火锅调料、中式菜品调料、香肠腊肉调料、鸡精、香辣酱及其他调味品,披露主营业务收入2689357800.00、成本1768962700.00，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,调味品属于食品深加工；采购辣椒、花椒等农产品不等于公司直接农业或初加工收入。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。2022行业分类字段仍待核实。,16|17,73,天味主营业务表单位为万元，脚本按×10000换算为元。,https://static.cninfo.com.cn/finalpage/2023-03-02/1216024577.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
603517,绝味食品股份有限公司,2020,,,未单列直接农业或合格初加工收入；分行业“其他”仅作保守上界,,0.00,173356347.43,下界=0；上界=未拆分行业其他173356347.43,0,0.0328570374841428625494439744851395763920373233094685615488983,未单列直接农业或合格初加工收入；分行业“其他”仅作保守上界,,0.00,173356347.43,下界=0；上界=未拆分行业其他173356347.43,0,0.0328570374841428625494439744851395763920373233094685615488983,5276079668.28,3509503135.43,合并利润表营业收入,,,,,5138913736.65,3426637986.60,173356347.43,鲜货卤制品、包装卤制品及加盟管理等休闲食品/服务,披露主营业务收入5138913736.65、成本3426637986.60，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,禽畜蔬菜是卤制食品原料或成品类别，不等于上市公司直接养殖或农产品初加工；未拆“其他”不估算。,分行业“其他”性质未拆，但上下界均低于30%，不影响严格、扩展及边界结论。,24|25,73,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2021-04-16/1209700784.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
603517,绝味食品股份有限公司,2021,,,未单列直接农业或合格初加工收入；分行业“其他”仅作保守上界,,0.00,541345847.45,下界=0；上界=未拆分行业其他541345847.45,0,0.0826656150412203092959004192855618401718613478553467710979025,未单列直接农业或合格初加工收入；分行业“其他”仅作保守上界,,0.00,541345847.45,下界=0；上界=未拆分行业其他541345847.45,0,0.0826656150412203092959004192855618401718613478553467710979025,6548621784.04,4474155778.22,合并利润表营业收入,,,,,6351831491.27,4315334594.71,541345847.45,鲜货卤制品、包装卤制品及加盟管理等休闲食品/服务,披露主营业务收入6351831491.27、成本4315334594.71，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,禽畜蔬菜是卤制食品原料或成品类别，不等于上市公司直接养殖或农产品初加工；未拆“其他”不估算。,分行业“其他”性质未拆，但上下界均低于30%，不影响严格、扩展及边界结论。,25|26,87,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2022-05-25/1213478485.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
