股票代码,公司全称,年份,行业分类代码,行业分类名称,直接涉农业务_保守不重叠口径,直接涉农业务营业收入_元,公司营业收入_元,直接涉农收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
000998,袁隆平农业高科技股份有限公司,2013,1.0,农业,水稻、蔬菜瓜果、玉米、小麦及棉花油菜种子,1390256633.54,1884716266.51,0.73764771,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,22,87,https://static.cninfo.com.cn/finalpage/2014-06-25/1200004735.PDF,本次新增跨年快速复核,2026-08-10
000998,袁隆平农业高科技股份有限公司,2014,1.0,农业,水稻、蔬菜瓜果、玉米、小麦及棉花油菜种子,1511241361.14,1815424946.98,0.83244497,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,21,78,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922611.PDF,本次新增跨年快速复核,2026-08-10
000998,袁隆平农业高科技股份有限公司,2015,1.0,农业,水稻、蔬菜瓜果、玉米及小麦种子,1734837842.56,2025824711.54,0.85636128,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,22,93,https://static.cninfo.com.cn/finalpage/2016-04-08/1202150869.PDF,本次新增跨年快速复核,2026-08-10
000998,袁隆平农业高科技股份有限公司,2016,1.0,农业,农业（水稻种子、玉米种子）,1507451747.12,2299410170.79,0.65558193,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,23,114|174,https://static.cninfo.com.cn/finalpage/2017-04-28/1203415549.PDF,本次新增跨年快速复核,2026-08-10
000998,袁隆平农业高科技股份有限公司,2017,1.0,农业,农业（水稻种子、玉米种子）,2291490702.79,3190019342.23,0.71833129,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,19,99,https://static.cninfo.com.cn/finalpage/2018-06-19/1205065798.PDF,本次新增跨年快速复核,2026-08-10
000998,袁隆平农业高科技股份有限公司,2018,1.0,农业,农业（水稻种子、玉米种子）,2727716676.14,3579717393.27,0.76199218,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,20,103,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869906.PDF,本次新增跨年快速复核,2026-08-10
000998,袁隆平农业高科技股份有限公司,2019,1.0,农业,农业（水稻种子、玉米种子）,2034581175.61,3129540711.87,0.65012133,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,21,106,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869907.PDF,本次新增跨年快速复核,2026-08-10
000998,袁隆平农业高科技股份有限公司,2020,1.0,农业,农业（水稻种子、玉米种子）,2377886132.98,3290527650.55,0.72264584,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,20,113,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869920.PDF,本次新增跨年快速复核,2026-08-10
000998,袁隆平农业高科技股份有限公司,2021,1.0,农业,农业（水稻种子、玉米种子）,2318915089.54,3503442453.93,0.66189616,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,20,110,https://static.cninfo.com.cn/finalpage/2022-04-26/1213109016.PDF,本次新增跨年快速复核,2026-08-10
002458,山东益生种畜禽股份有限公司,2013,3.0,畜牧业,鸡、猪、牛奶,495697042.08,502875826.03,0.98572454,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,14,52,https://static.cninfo.com.cn/finalpage/2014-04-25/63915285.PDF,本次新增跨年快速复核,2026-08-10
002458,山东益生种畜禽股份有限公司,2014,3.0,畜牧业,鸡、猪、牛奶,833339825.23,841921368.35,0.98980719,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,14,59,https://static.cninfo.com.cn/finalpage/2015-03-31/1200767909.PDF,本次新增跨年快速复核,2026-08-10
