股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,严格口径收入上界_元,扩展口径营业收入_元,不可直接采用的合并披露收入_元,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,严格口径收入上界占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
002696,百洋产业投资集团股份有限公司,2013,4.0,渔业,饲料及饲料原料、水产品加工、可识别养殖/捕捞（扩展口径）,1308202107.16,18740392.40,,1308202107.16,,1349625914.90,0.96930719,0.01388562,,0.96930719,否,是,否,否（仅使用同一分行业或分产品维度）,同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占96.93%，超过50%；教育及其他业务未计入。可识别直接养殖/捕捞收入占1.39%，严格样本为否。,13,64,https://static.cninfo.com.cn/finalpage/2014-04-25/63918063.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2014,4.0,渔业,饲料及饲料原料、水产品加工、可识别养殖/捕捞（扩展口径）,1686182463.23,40413420.54,,1686182463.23,,1780815051.84,0.94685996,0.02269378,,0.94685996,否,是,否,否（仅使用同一分行业或分产品维度）,同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占94.69%，超过50%；教育及其他业务未计入。可识别直接养殖/捕捞收入占2.27%，严格样本为否。,15,65,https://static.cninfo.com.cn/finalpage/2015-04-22/1200884142.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2015,4.0,渔业,饲料及饲料原料、水产品加工、可识别养殖/捕捞（扩展口径）,1683975612.71,41594547.63,,1683975612.71,,1863739460.06,0.90354669,0.02231779,,0.90354669,否,是,否,否（仅使用同一分行业或分产品维度）,同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占90.35%，超过50%；教育及其他业务未计入。可识别直接养殖/捕捞收入占2.23%，严格样本为否。,14,69,https://static.cninfo.com.cn/finalpage/2016-04-19/1202194060.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2016,4.0,渔业,饲料及饲料原料、水产品加工、可识别养殖/捕捞（扩展口径）,2033352195.47,59307038.63,,2033352195.47,,2068525079.14,0.98299615,0.02867117,,0.98299615,否,是,否,否（仅使用同一分行业或分产品维度）,同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占98.30%，超过50%；教育及其他业务未计入。可识别直接养殖/捕捞收入占2.87%，严格样本为否。,14,69,https://static.cninfo.com.cn/finalpage/2017-03-14/1203153613.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2017,4.0,渔业,饲料及饲料原料、水产品加工、可识别养殖/捕捞（扩展口径）,2121824980.66,138116457.72,,2121824980.66,,2394128757.97,0.88626185,0.05768965,,0.88626185,否,是,否,否（仅使用同一分行业或分产品维度）,同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占88.63%，超过50%；教育及其他业务未计入。可识别直接养殖/捕捞收入占5.77%，严格样本为否。,18,82,https://static.cninfo.com.cn/finalpage/2018-04-26/1204795527.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2018,4.0,渔业,饲料及饲料原料、水产品加工、可识别养殖/捕捞（扩展口径）,2514742187.00,110645847.59,,2514742187.00,,3133583902.86,0.80251312,0.03530968,,0.80251312,否,是,否,否（仅使用同一分行业或分产品维度）,同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占80.25%，超过50%；教育及其他业务未计入。可识别直接养殖/捕捞收入占3.53%，严格样本为否。,17,77,https://static.cninfo.com.cn/finalpage/2019-06-29/1206407097.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2019,4.0,渔业,饲料及水产品加工（扩展口径）；直接养殖/捕捞仅可确定收入上界,2441053514.99,,374899493.27,2441053514.99,,2844133734.97,0.85827663,,0.13181500,0.85827663,否,是,否,否（仅使用同一分行业或分产品维度）,"同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占85.83%，超过50%；教育及其他业务未计入。直接养殖/捕捞收入未单列；按最宽范围计算的严格收入上界为374,899,493.27元、占13.18%，严格样本为否。",17,77,https://static.cninfo.com.cn/finalpage/2020-04-28/1207640779.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2020,4.0,渔业,饲料及水产品加工（扩展口径）；直接养殖/捕捞仅可确定收入上界,2476497256.51,,1059554822.51,2476497256.51,,2482574247.63,0.99755214,,0.42679683,0.99755214,否,是,否,否（仅使用同一分行业或分产品维度）,"同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占99.76%，超过50%；教育及其他业务未计入。直接养殖/捕捞收入未单列；按最宽范围计算的严格收入上界为1,059,554,822.51元、占42.68%，严格样本为否。",16,81,https://static.cninfo.com.cn/finalpage/2021-04-28/1209837715.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2021,4.0,渔业,饲料及饲料原料、水产品加工、可识别养殖/捕捞（扩展口径）,2889684160.40,89035629.50,,2889684160.40,,2905284846.26,0.99463024,0.03064609,,0.99463024,否,是,否,否（仅使用同一分行业或分产品维度）,同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占99.46%，超过50%；教育及其他业务未计入。可识别直接养殖/捕捞收入占3.06%，严格样本为否。,18,83,https://static.cninfo.com.cn/finalpage/2022-04-27/1213135924.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002696,百洋产业投资集团股份有限公司,2022,,,饲料及饲料原料、水产品加工、可识别养殖/捕捞（扩展口径）,3198423836.66,129035825.79,,3198423836.66,,3213988743.45,0.99515714,0.04014819,,0.99515714,否,是,否,否（仅使用同一分行业或分产品维度）,同一披露维度内的农业投入品、水产品加工及可识别直接渔业收入占99.52%，超过50%；教育及其他业务未计入。可识别直接养殖/捕捞收入占4.01%，严格样本为否。,16,75,https://static.cninfo.com.cn/finalpage/2023-04-27/1216611174.PDF,本次新增跨年快速复核（未合并）,2026-08-11
