股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
600108,甘肃亚盛实业(集团)股份有限公司,2013,1.0,农业,农业种植,2027826879.30,2027826879.30,2027826879.30,2336837177.69,0.86776558,0.86776558,0.86776558,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,11,59,https://static.cninfo.com.cn/finalpage/2014-04-25/63914686.PDF,本次新增跨年快速复核,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2014,1.0,农业,农业种植,1788063222.47,1788063222.47,1788063222.47,2244848820.55,0.79651833,0.79651833,0.79651833,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,9,55,https://static.cninfo.com.cn/finalpage/2015-04-24/1200900635.PDF,本次新增跨年快速复核,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2015,1.0,农业,农业种植,1621364594.68,1621364594.68,1621364594.68,2191117593.57,0.73997151,0.73997151,0.73997151,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,11,52,https://static.cninfo.com.cn/finalpage/2016-04-28/1202261759.PDF,本次新增跨年快速复核,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2016,1.0,农业,农业种植,1596645360.48,1596645360.48,1596645360.48,2068975051.65,0.77170837,0.77170837,0.77170837,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,11,51,https://static.cninfo.com.cn/finalpage/2017-04-28/1203411242.PDF,本次新增跨年快速复核,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2017,1.0,农业,农业种植,1804769314.05,1804769314.05,1804769314.05,2066341677.84,0.87341282,0.87341282,0.87341282,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,12,63,https://static.cninfo.com.cn/finalpage/2018-04-20/1204666987.PDF,本次新增跨年快速复核,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2018,1.0,农业,农业种植,2122314619.49,2122314619.49,2122314619.49,2507509619.55,0.84638344,0.84638344,0.84638344,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,10,45,https://static.cninfo.com.cn/finalpage/2019-04-30/1206164538.PDF,本次新增跨年快速复核,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2019,1.0,农业,农业种植,2123311566.29,2123311566.29,2123311566.29,2731512697.38,0.77733908,0.77733908,0.77733908,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,9,37,https://static.cninfo.com.cn/finalpage/2020-05-13/1207783877.PDF,本次新增跨年快速复核,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2020,1.0,农业,农业种植,2522375461.89,2522375461.89,2522375461.89,3132066911.75,0.80533894,0.80533894,0.80533894,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,10,38,https://static.cninfo.com.cn/finalpage/2021-04-28/1209833234.PDF,本次新增跨年快速复核,2026-08-11
600108,甘肃亚盛实业(集团)股份有限公司,2021,1.0,农业,农业种植,2706171466.63,2706171466.63,2706171466.63,3332692529.72,0.81200754,0.81200754,0.81200754,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,10,45,https://static.cninfo.com.cn/finalpage/2022-04-20/1212981327.PDF,本次新增跨年快速复核,2026-08-11
600467,山东好当家海洋发展股份有限公司,2013,4.0,渔业,水产养殖、捕捞,574305220.57,574305220.57,574305220.57,969331768.19,0.59247539,0.59247539,0.59247539,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,13,51,https://static.cninfo.com.cn/finalpage/2014-04-23/63893669.PDF,本次新增跨年快速复核,2026-08-11
600467,山东好当家海洋发展股份有限公司,2014,4.0,渔业,水产养殖、捕捞,580822837.78,580822837.78,580822837.78,881254604.83,0.65908630,0.65908630,0.65908630,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,15,58,https://static.cninfo.com.cn/finalpage/2015-04-25/1200906321.PDF,本次新增跨年快速复核,2026-08-11
600467,山东好当家海洋发展股份有限公司,2015,4.0,渔业,水产养殖、捕捞,553486037.40,553486037.40,553486037.40,986967423.93,0.56079464,0.56079464,0.56079464,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,10,42,https://static.cninfo.com.cn/finalpage/2016-04-23/1202227974.PDF,本次新增跨年快速复核,2026-08-11
600467,山东好当家海洋发展股份有限公司,2016,4.0,渔业,水产养殖、捕捞及水产品初加工（扩展口径）,1050245257.99,505922353.67,1050245257.99,1059827102.15,0.99095905,0.47736310,0.99095905,否,是,否,否（仅使用同一分行业维度）,养殖与捕捞严格口径占47.74%，未达50%；在同一分行业维度加入水产品初加工后扩展口径超过50%，未与产品维度重复相加。,12,59,https://static.cninfo.com.cn/finalpage/2017-05-23/1203554147.PDF,本次新增跨年快速复核,2026-08-11
600467,山东好当家海洋发展股份有限公司,2017,4.0,渔业,水产养殖、捕捞及水产品初加工（扩展口径）,1201221433.66,563071077.96,1201221433.66,1207911835.31,0.99446118,0.46615246,0.99446118,否,是,否,否（仅使用同一分行业维度）,养殖与捕捞严格口径占46.62%，未达50%；在同一分行业维度加入水产品初加工后扩展口径超过50%，未与产品维度重复相加。,12,62,https://static.cninfo.com.cn/finalpage/2018-05-12/1204932440.PDF,本次新增跨年快速复核,2026-08-11
600467,山东好当家海洋发展股份有限公司,2018,4.0,渔业,水产养殖、捕捞,673484572.30,673484572.30,673484572.30,1149831070.21,0.58572480,0.58572480,0.58572480,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,12,60,https://static.cninfo.com.cn/finalpage/2019-04-26/1206098857.PDF,本次新增跨年快速复核,2026-08-11
600467,山东好当家海洋发展股份有限公司,2019,4.0,渔业,水产养殖、捕捞,679168146.47,679168146.47,679168146.47,1226123062.59,0.55391516,0.55391516,0.55391516,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,12,59,https://static.cninfo.com.cn/finalpage/2020-05-07/1207708446.PDF,本次新增跨年快速复核,2026-08-11
