股票代码,公司全称,年份,行业分类代码,行业分类名称,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,工作表采用收入公式,严格口径营业收入_元,严格口径收入公式,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,扩展口径营业收入_元,扩展口径收入公式,可确认扩展口径收入下界_元,扩展口径收入下界公式,扩展口径收入上界_元,扩展口径收入上界公式,公司营业收入_元,公司营业收入公式,严格口径原始未四舍五入比例,扩展口径原始未四舍五入比例,扩展口径下界原始未四舍五入比例,扩展口径上界原始未四舍五入比例,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,金额精度或补充证据说明,复核说明,待核实点
300106,新疆西部牧业股份有限公司,2013,3.0,畜牧业,16,70,https://static.cninfo.com.cn/finalpage/2014-04-23/63893989.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,113550272.65,"101,160,700.05+12,389,572.60",113550272.65,113550272.65,"101,160,700.05+12,389,572.60",,,113550272.65,"101,160,700.05+12,389,572.60",413425326.82,"113,550,272.65+214,259,754.25+85,615,299.92",451460275.35,合并利润表“营业收入”,0.2515177499547856951884083415,,0.2515177499547856951884083415,0.9157512839850351187714970236,,0.25151775,,否,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,,可确认扩展下界占25.15%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占91.58%；上下界跨越门槛，不能定论。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300106,新疆西部牧业股份有限公司,2014,3.0,畜牧业,17,73,https://static.cninfo.com.cn/finalpage/2015-04-09/1200799700.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,,,75787816.07,423328720.89,"下界=鲜乳75,787,816.07；上界再加自繁与集中采购未拆分的种畜347,540,904.82",,,75787816.07,"鲜乳75,787,816.07",423328720.89,"扩展上下界同严格：鲜乳75,787,816.07至鲜乳+种畜423,328,720.89",771379830.66,合并利润表“营业收入”,,,0.09824967293370273353369402447,0.5487941271783005734831329742,,,,待核实,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,,鲜乳为严格/扩展下界9.82%；种畜同时含自繁与集中采购且金额未拆分，鲜乳+全部种畜为上界54.88%，三项结论均不能确定。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300106,新疆西部牧业股份有限公司,2015,3.0,畜牧业,25|26,87,https://static.cninfo.com.cn/finalpage/2016-04-23/1202226538.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,62242497.87,"44,200,297.87+18,042,200.00",62242497.87,62242497.87,"44,200,297.87+18,042,200.00",,,62242497.87,"44,200,297.87+18,042,200.00",554182445.03,"62,242,497.87+352,491,377.82+139,448,569.34",599902012.38,合并利润表“营业收入”,0.1037544408678751230296047969,,0.1037544408678751230296047969,0.9237882747407095804148267458,,0.10375444,,否,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,,可确认扩展下界占10.38%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占92.38%；上下界跨越门槛，不能定论。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300106,新疆西部牧业股份有限公司,2016,3.0,畜牧业,29|30|31,88,https://static.cninfo.com.cn/finalpage/2017-04-28/1203415012.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,29333156.30,"26,465,226.47+2,867,929.83",29333156.30,29333156.30,"26,465,226.47+2,867,929.83",,,29333156.30,"26,465,226.47+2,867,929.83",586863366.60,"29,333,156.30+387,551,171.31+169,979,038.99",664584792.47,合并利润表“营业收入”,0.04413756774508818907762269579,,0.04413756774508818907762269579,0.8830526567104551669399110649,,0.04413757,,否,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,,可确认扩展下界占4.41%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占88.31%；上下界跨越门槛，不能定论。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300106,新疆西部牧业股份有限公司,2017,3.0,畜牧业,27|28,86,https://static.cninfo.com.cn/finalpage/2018-04-03/1204576294.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,73753231.66,"11,394,481.08+62,358,750.58",73753231.66,73753231.66,"11,394,481.08+62,358,750.58",,,73753231.66,"11,394,481.08+62,358,750.58",663904125.29,"73,753,231.66+495,627,635.22+94,523,258.41",692557176.69,合并利润表“营业收入”,0.1064940688543513012281567958,,0.1064940688543513012281567958,0.9586271684643510989475297007,,0.10649407,,否,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,,可确认扩展下界占10.65%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占95.86%；上下界跨越门槛，不能定论。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300106,新疆西部牧业股份有限公司,2018,3.0,畜牧业,27|28|29,96,https://static.cninfo.com.cn/finalpage/2019-04-19/1206052519.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,76796901.86,"41,276,951.20+35,519,950.66",76796901.86,76796901.86,"41,276,951.20+35,519,950.66",,,205568563.68,"严格口径76,796,901.86+已明确饲料128,771,661.82",653427528.44,"下界=严格76,796,901.86+已明确饲料128,771,661.82；上界再加未拆分乳制品447,858,964.76",677811826.82,合并利润表“营业收入”,0.1133012125508311885197447491,,0.3032826450438889672957860827,0.9640249735765152047778781778,,0.11330121,,否,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,,可确认扩展下界占30.33%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占96.40%；上下界跨越门槛，不能定论。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300106,新疆西部牧业股份有限公司,2019,3.0,畜牧业,25|26,87,https://static.cninfo.com.cn/finalpage/2020-04-28/1207634340.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,0.00,0（已不披露自产乳和种畜收入）,0.00,0.00,0（已不披露自产乳和种畜收入）,,,175488269.03,"饲料175,488,269.03",637712769.96,"175,488,269.03+462,224,500.93",649011242.00,合并利润表“营业收入”,0,,0.2703932654374575533161565790,0.9825912537274662493442602031,,0.00000000,,否,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,"采用2019年当年年报披露的饲料175,488,269.03元；2020年年报比较栏将2019年饲料重列为156,287,472.28元，保留该后续重列口径差异，不以比较数覆盖当年披露值。",可确认扩展下界占27.04%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占98.26%；上下界跨越门槛，不能定论。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300106,新疆西部牧业股份有限公司,2020,3.0,畜牧业,29|30,87,https://static.cninfo.com.cn/finalpage/2021-07-16/1210500562.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,0.00,0（未披露直接养殖收入）,0.00,0.00,0（未披露直接养殖收入）,,,190054283.80,"饲料190,054,283.80",790290683.73,"190,054,283.80+600,236,399.93",820327472.41,合并利润表“营业收入”,0,,0.2316809934959861891186860830,0.9633843925868331751291128261,,0.00000000,,否,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,,可确认扩展下界占23.17%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占96.34%；上下界跨越门槛，不能定论。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300106,新疆西部牧业股份有限公司,2021,3.0,畜牧业,34|35,95,https://static.cninfo.com.cn/finalpage/2022-04-28/1213160360.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,自产生鲜乳、种畜；单列饲料（扩展下界）,,,0.00,0（未披露直接养殖收入）,0.00,0.00,0（未披露直接养殖收入）,,,213587100.24,"饲料213,587,100.24",1078618962.08,"213,587,100.24+865,031,861.84",1127956763.43,合并利润表“营业收入”,0,,0.1893575242995163144841288431,0.9562591378059839433255181470,,0.00000000,,否,待核实,待核实,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,,可确认扩展下界占18.94%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占95.63%；上下界跨越门槛，不能定论。,乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
600359,新疆塔里木农业综合开发股份有限公司,2013,1.0,农业,12|13,47,https://static.cninfo.com.cn/finalpage/2014-03-19/63693871.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,318201882.33,"农业314,727,995.21+畜牧业2,252,955.00+苗木1,220,932.12",98386590.15,"94,912,703.03+1,220,932.12+2,252,955.00",98386590.15,98386590.15,"94,912,703.03+1,220,932.12+2,252,955.00",318201882.33,"农业314,727,995.21+畜牧业2,252,955.00+苗木1,220,932.12",318201882.33,"农业314,727,995.21+畜牧业2,252,955.00+苗木1,220,932.12",318201882.33,"农业314,727,995.21+畜牧业2,252,955.00+苗木1,220,932.12",868094781.81,合并利润表“营业收入”,0.1133362303421078319129909112,0.3665520044557126261433805035,0.3665520044557126261433805035,0.3665520044557126261433805035,0.36655200,0.11333623,0.36655200,否,否,是,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占11.33%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占36.66%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
