股票代码,公司全称,年份,行业分类代码,行业分类名称,行业字段状态,严格口径涉农业务,严格口径涉农收入_元,严格口径比例公式,严格口径收入占比_原始未四舍五入,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径比例公式,扩展口径收入占比_原始未四舍五入,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,扩展口径上下界公式,公司营业收入_元,公司营业收入公式,自产养殖捕捞收入_元,自产养殖捕捞收入证据PDF页序号,初加工或年报加工类收入_元,初加工或年报加工类收入证据PDF页序号,深加工收入_元_排除项,深加工收入证据PDF页序号,贸易收入_元_排除项,贸易收入证据PDF页序号,收入分项证据PDF页序号,公司营业收入证据PDF页序号,收入列口径,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,待核实点,2022行业分类提示,年报链接,记录类型,复核状态,复核日期
002069,獐子岛集团股份有限公司,2013,4.0,渔业,v20当年字段已提供,水产养殖业,1235655454.98,1235655454.98 / 2620857768.13,0.47146986380022012614076788908817282083753944990544,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,1235655454.98,1964569053.02,0.47146986380022012614076788908817282083753944990544,0.74959010630391190544777836730428356929075562714482,下界=1235655454.98（养殖）；上界=1235655454.98+728913598.04（养殖+未拆初加工/深加工的全部水产品加工）,2620857768.13,合并利润表营业收入（营业总收入）,1235655454.98,17,728913598.04,17,,,571179089.12,17,17,68,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.47146986380022012614076788908817282083753944990544，未达50%；扩展下界占比0.47146986380022012614076788908817282083753944990544、上界占比0.74959010630391190544777836730428356929075562714482，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2014-05-06/63973420.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002069,獐子岛集团股份有限公司,2014,4.0,渔业,v20当年字段已提供,水产养殖业,933096131.50,933096131.50 / 2662211458.16,0.35049662514220932332011866364252610538392319665937,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,933096131.50,1673915524.14,0.35049662514220932332011866364252610538392319665937,0.62876880760513840098692034697196196369330106226636,下界=933096131.50（养殖）；上界=933096131.50+740819392.64（养殖+未拆初加工/深加工的全部水产品加工）,2662211458.16,合并利润表营业收入（营业总收入）,933096131.50,14,740819392.64,14,,,869209494.60,14,14,64,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.35049662514220932332011866364252610538392319665937，未达50%；扩展下界占比0.35049662514220932332011866364252610538392319665937、上界占比0.62876880760513840098692034697196196369330106226636，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922210.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002069,獐子岛集团股份有限公司,2015,4.0,渔业,v20当年字段已提供,水产养殖业,901856929.95,901856929.95 / 2726780243.72,0.33074059856017035437962770395746484552720345906526,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,901856929.95,1811810617.58,0.33074059856017035437962770395746484552720345906526,0.66445054446640847543510160957504298636872918321732,下界=901856929.95（养殖）；上界=901856929.95+909953687.63（养殖+未拆初加工/深加工的全部水产品加工）,2726780243.72,合并利润表营业收入（营业总收入）,901856929.95,17,909953687.63,17,,,805999885.55,17,17,71,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.33074059856017035437962770395746484552720345906526，未达50%；扩展下界占比0.33074059856017035437962770395746484552720345906526、上界占比0.66445054446640847543510160957504298636872918321732，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2016-04-30/1202284288.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002069,獐子岛集团股份有限公司,2016,4.0,渔业,v20当年字段已提供,水产养殖业,901031340.59,901031340.59 / 3052101909.49,0.29521666291298919900273726164386037930115144596977,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,901031340.59,1858406032.63,0.29521666291298919900273726164386037930115144596977,0.60889383373851230780385091301881330877303333147033,下界=901031340.59（养殖）；上界=901031340.59+957374692.04（养殖+未拆初加工/深加工的全部水产品加工）,3052101909.49,合并利润表营业收入（营业总收入）,901031340.59,20,957374692.04,20,,,1116086374.69,20,20,76,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.29521666291298919900273726164386037930115144596977，未达50%；扩展下界占比0.29521666291298919900273726164386037930115144596977、上界占比0.60889383373851230780385091301881330877303333147033，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2017-03-21/1203181621.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002069,獐子岛集团股份有限公司,2017,4.0,渔业,v20当年字段已提供,水产养殖业,831008499.42,831008499.42 / 3205845988.90,0.25921660064061226494061041635835770700706476473867,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,831008499.42,1924227957.63,0.25921660064061226494061041635835770700706476473867,0.60022470333649657751342766009316948694172499398073,下界=831008499.42（养殖）；上界=831008499.42+1093219458.21（养殖+未拆初加工/深加工的全部水产品加工）,3205845988.90,合并利润表营业收入（营业总收入）,831008499.42,22,1093219458.21,22,,,1232490530.12,22,22,83,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.25921660064061226494061041635835770700706476473867，未达50%；扩展下界占比0.25921660064061226494061041635835770700706476473867、上界占比0.60022470333649657751342766009316948694172499398073，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2018-04-28/1204829160.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002069,獐子岛集团股份有限公司,2018,4.0,渔业,v20当年字段已提供,水产养殖业,577521823.69,577521823.69 / 2797997387.81,0.20640541917804571933497054668217024220810757455201,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,577521823.69,1690764714.67,0.20640541917804571933497054668217024220810757455201,0.60427673093482265212093768541537257511868727637016,下界=577521823.69（养殖）；上界=577521823.69+1113242890.98（养殖+未拆初加工/深加工的全部水产品加工）,2797997387.81,合并利润表营业收入（营业总收入）,577521823.69,22,1113242890.98,22,,,1045773057.57,22,22,86,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.20640541917804571933497054668217024220810757455201，未达50%；扩展下界占比0.20640541917804571933497054668217024220810757455201、上界占比0.60427673093482265212093768541537257511868727637016，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2019-04-27/1206124435.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002069,獐子岛集团股份有限公司,2019,4.0,渔业,v20当年字段已提供,水产养殖业,632859886.94,632859886.94 / 2728869245.41,0.23191286574264415701072401350091186009340148408676,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,632859886.94,1599310104.58,0.23191286574264415701072401350091186009340148408676,0.58607062513898904074937254580431802851742337999337,下界=632859886.94（养殖）；上界=632859886.94+966450217.64（养殖+未拆初加工/深加工的全部水产品加工）,2728869245.41,合并利润表营业收入（营业总收入）,632859886.94,26,966450217.64,26,,,1040661912.14,26,26,84,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.23191286574264415701072401350091186009340148408676，未达50%；扩展下界占比0.23191286574264415701072401350091186009340148408676、上界占比0.58607062513898904074937254580431802851742337999337，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2020-04-30/1207687672.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002069,獐子岛集团股份有限公司,2020,4.0,渔业,v20当年字段已提供,水产养殖业,541933116.87,541933116.87 / 1926660963.71,0.28128099706055574038586332447845264181038925441426,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,541933116.87,1247832405.22,0.28128099706055574038586332447845264181038925441426,0.64766579524046612729302962973976494217512564563009,下界=541933116.87（养殖）；上界=541933116.87+705899288.35（养殖+未拆初加工/深加工的全部水产品加工）,1926660963.71,合并利润表营业收入（营业总收入）,541933116.87,16,705899288.35,16,,,617624143.06,16,16,72,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.28128099706055574038586332447845264181038925441426，未达50%；扩展下界占比0.28128099706055574038586332447845264181038925441426、上界占比0.64766579524046612729302962973976494217512564563009，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2021-04-29/1209860375.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002069,獐子岛集团股份有限公司,2021,4.0,渔业,v20当年字段已提供,水产养殖业,567571068.91,567571068.91 / 2082837515.23,0.27249896583859314530213057766078789258701189886384,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,567571068.91,1242351085.44,0.27249896583859314530213057766078789258701189886384,0.59647047662419878699776265504345622915285596211995,下界=567571068.91（养殖）；上界=567571068.91+674780016.53（养殖+未拆初加工/深加工的全部水产品加工）,2082837515.23,合并利润表营业收入（营业总收入）,567571068.91,13,674780016.53,13,,,798087788.63,13,13,76,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.27249896583859314530213057766078789258701189886384，未达50%；扩展下界占比0.27249896583859314530213057766078789258701189886384、上界占比0.59647047662419878699776265504345622915285596211995，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2022-04-30/1213263535.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
002086,山东东方海洋科技股份有限公司,2013,4.0,渔业,v20当年字段已提供,海水养殖,215515003.62,215515003.62 / 615510337.66,0.35014034766552973510946961533767068785578713362076,海水养殖；水产品加工仅作上下界（初加工与深加工不可拆分）,,,,215515003.62,601243133.36,0.35014034766552973510946961533767068785578713362076,0.97682052854832631536796535044567881677322988798102,下界=215515003.62（养殖）；上界=215515003.62+385728129.74（养殖+未拆初加工/深加工的全部水产品加工）,615510337.66,合并利润表营业收入（营业总收入）,215515003.62,19,385728129.74,19,,,21071023.94,19,19,67,分行业营业收入/主营业务收入列（禁止使用营业成本列）,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.35014034766552973510946961533767068785578713362076，未达50%；扩展下界占比0.35014034766552973510946961533767068785578713362076、上界占比0.97682052854832631536796535044567881677322988798102，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。,v20无该公司2022公司年；行业分类仍待核实，不得用相邻年份外推,https://static.cninfo.com.cn/finalpage/2014-04-19/63867012.PDF,跨年快速复核第十一批B组,已人工复核（第十一批B组；主表未合并）,2026-08-11
