股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,深加工排除项_食品加工营业收入_元,仅作审计上限收入_元,公司营业收入_元,分子公式,工作表采用原始未四舍五入比例,严格口径原始未四舍五入比例,扩展口径原始未四舍五入比例,审计上限原始未四舍五入比例,比例精度说明,工作表采用涉农收入占比_8位,严格口径收入占比_8位,扩展口径收入占比_8位,审计上限收入占比_8位,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核日期
600097,上海开创国际海洋资源股份有限公司,2013,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,813449172.68,813449172.68,813449172.68,0,,815560060.18,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.99741173262023876957431807226634264923672000703098,0.99741173262023876957431807226634264923672000703098,0.99741173262023876957431807226634264923672000703098,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.99741173,0.99741173,0.99741173,,是,是,否,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.99741173262023876957431807226634264923672000703098。食品加工深加工排除金额=0.00元；渔货贸易和海上运输亦已排除。,,10,36,https://static.cninfo.com.cn/finalpage/2014-06-11/64122331.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600097,上海开创国际海洋资源股份有限公司,2014,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,825661377.66,825661377.66,825661377.66,0,,831010886.69,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.99356264867803641793948156729893634457603714500863,0.99356264867803641793948156729893634457603714500863,0.99356264867803641793948156729893634457603714500863,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.99356265,0.99356265,0.99356265,,是,是,否,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.99356264867803641793948156729893634457603714500863。食品加工深加工排除金额=0.00元；渔货贸易和海上运输亦已排除。,,8,33,https://static.cninfo.com.cn/finalpage/2015-04-30/1200946634.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600097,上海开创国际海洋资源股份有限公司,2015,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,670057033.50,670057033.50,670057033.50,0,,675047903.11,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.99260664378482377003053868504001670033422526306735,0.99260664378482377003053868504001670033422526306735,0.99260664378482377003053868504001670033422526306735,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.99260664,0.99260664,0.99260664,,是,是,否,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.99260664378482377003053868504001670033422526306735。食品加工深加工排除金额=0.00元；渔货贸易和海上运输亦已排除。,,9,38,https://static.cninfo.com.cn/finalpage/2016-04-28/1202257366.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600097,上海开创国际海洋资源股份有限公司,2016,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,754858422.19,754858422.19,754858422.19,388390235.18,,1148730870.22,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.65712382400364391593237007593856913002913797501898,0.65712382400364391593237007593856913002913797501898,0.65712382400364391593237007593856913002913797501898,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.65712382,0.65712382,0.65712382,,是,是,否,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.65712382400364391593237007593856913002913797501898。食品加工深加工排除金额=388390235.18元；渔货贸易和海上运输亦已排除。,,10|11,50,https://static.cninfo.com.cn/finalpage/2017-04-20/1203332148.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600097,上海开创国际海洋资源股份有限公司,2017,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,932636978.11,932636978.11,932636978.11,691448783.46,,1787457508.80,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.52176735587752283244653317601705665787852377506542,0.52176735587752283244653317601705665787852377506542,0.52176735587752283244653317601705665787852377506542,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.52176736,0.52176736,0.52176736,,是,是,否,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.52176735587752283244653317601705665787852377506542。食品加工深加工排除金额=691448783.46元；渔货贸易和海上运输亦已排除。,,11,55,https://static.cninfo.com.cn/finalpage/2018-04-20/1204663829.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600097,上海开创国际海洋资源股份有限公司,2018,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,990654889.78,990654889.78,990654889.78,728133946.58,,1909976199.73,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.51867394469106053000376986011711447620741080887605,0.51867394469106053000376986011711447620741080887605,0.51867394469106053000376986011711447620741080887605,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.51867394,0.51867394,0.51867394,,是,是,否,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.51867394469106053000376986011711447620741080887605。食品加工深加工排除金额=728133946.58元；渔货贸易和海上运输亦已排除。,,10,51,https://static.cninfo.com.cn/finalpage/2019-04-20/1206058162.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600097,上海开创国际海洋资源股份有限公司,2019,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,1095930981.91,1095930981.91,1095930981.91,745070522.65,,2212094888.87,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.49542675019236278228433950407132111751345027644370,0.49542675019236278228433950407132111751345027644370,0.49542675019236278228433950407132111751345027644370,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.49542675,0.49542675,0.49542675,,否,否,是,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.49542675019236278228433950407132111751345027644370。食品加工深加工排除金额=745070522.65元；渔货贸易和海上运输亦已排除。,,11,56,https://static.cninfo.com.cn/finalpage/2020-04-18/1207527836.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600097,上海开创国际海洋资源股份有限公司,2020,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,954024109.68,954024109.68,954024109.68,718828219.96,,1968952164.37,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.48453391958623655508630857454293431347127146559546,0.48453391958623655508630857454293431347127146559546,0.48453391958623655508630857454293431347127146559546,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.48453392,0.48453392,0.48453392,,否,否,是,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.48453391958623655508630857454293431347127146559546。食品加工深加工排除金额=718828219.96元；渔货贸易和海上运输亦已排除。,,10,48,https://static.cninfo.com.cn/finalpage/2021-04-01/1209566274.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600097,上海开创国际海洋资源股份有限公司,2021,4.0,渔业,海洋捕捞（严格=扩展）；罐头食品/鱼罐头深加工排除,1122801626.55,1122801626.55,1122801626.55,621302350.86,,1980317010.95,严格=扩展=分行业海洋捕捞；分行业食品加工实为罐头食品/鱼罐头销售，仅保留为深加工排除项；渔货贸易、海上运输不计入,0.56698075123405029295165839215607430825013688447910,0.56698075123405029295165839215607430825013688447910,0.56698075123405029295165839215607430825013688447910,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.56698075,0.56698075,0.56698075,,是,是,否,否（只使用同一分行业维度，不与分产品或分地区收入相加）,严格及扩展Decimal高精度门槛计算值=0.56698075123405029295165839215607430825013688447910。食品加工深加工排除金额=621302350.86元；渔货贸易和海上运输亦已排除。,,10,54,https://static.cninfo.com.cn/finalpage/2022-04-01/1212764262.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
600257,大湖健康产业股份有限公司,2013,4.0,渔业,水产品养殖（年报分行业‘农业’）,433439335.24,433439335.24,433439335.24,,,623970942.00,严格=扩展=分行业农业；不与重叠的分产品水产品相加；白酒、药品/医药贸易、保健品、医疗服务、餐饮及其他不计入,0.69464666711995700594660063513021732989610916849394,0.69464666711995700594660063513021732989610916849394,0.69464666711995700594660063513021732989610916849394,,比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数,0.69464667,0.69464667,0.69464667,,是,是,否,否（只使用同一分行业维度，不与分产品或分地区收入相加）,农业分行业Decimal高精度门槛计算值=0.69464666711995700594660063513021732989610916849394；沿用已核实2023年的水产品养殖口径。非涉农健康产业收入全部排除。,,11,42,https://static.cninfo.com.cn/finalpage/2014-04-29/63941109.PDF,v20无该公司2022公司—年份行；未新增、未插值、未复制相邻年份,第十一批C组新增跨年快速复核（未合并）,2026-08-11
