股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,直接林业或苗木收入_元,直接林业或苗木成本_元_反向证据,其中木材收入_元,其中金线莲或育肥羊收入_元,金线莲或育肥羊成本_元_反向证据,混合商品或材料销售收入_元_上界,混合商品或材料销售成本_元_反向证据,深加工或排除类别,深加工类别收入_元_反向证据,深加工类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000663,福建省永安林业(集团)股份有限公司,2013,2.0,林业,林业/木材及金线莲（直接农业）,69143817.90,69143817.90,69143817.90,木材收入69070973.90+金线莲收入72844.00=69143817.90,0.150662469992053513878980726779307596314193475977707528446908,0.150662469992053513878980726779307596314193475977707528446908,同严格口径；木材二次加工产品、家具不纳入,69143817.90,69143817.90,69143817.90,木材收入69070973.90+金线莲收入72844.00=69143817.90,0.150662469992053513878980726779307596314193475977707528446908,0.150662469992053513878980726779307596314193475977707528446908,458931928.46,合并利润表营业收入,69143817.90,43055976.59,69070973.90,72844.00,34881.80,,,木材二次加工产品、人造板、家具、甲醛、胶粘剂及装饰设计,358145423.13,329696177.77,直接农业成本已知合计43055976.59，只作反向核对，不以成本比例倒推收入；板材/家具等排除收入358145423.13、成本329696177.77,否,否,否,采用合并口径产品和劳务对外交易收入；产品维度不与行业维度相加，内部供料不另计,单列木材及金线莲/育肥羊属于直接农业，可进入严格口径；板材、家具等属于深加工。直接农业收入占比不足30%。,无影响结论的待核实项。,15,61,管理层主营业务表,https://static.cninfo.com.cn/finalpage/2014-04-15/63838376.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000663,福建省永安林业(集团)股份有限公司,2014,2.0,林业,林业/木材及金线莲（直接农业）,76042046.95,76042046.95,76042046.95,木材收入75972921.95+金线莲收入69125.00=76042046.95,0.165306562402524667269541108657194994034744033182874945403866,0.165306562402524667269541108657194994034744033182874945403866,同严格口径；木材二次加工产品、家具不纳入,76042046.95,76042046.95,76042046.95,木材收入75972921.95+金线莲收入69125.00=76042046.95,0.165306562402524667269541108657194994034744033182874945403866,0.165306562402524667269541108657194994034744033182874945403866,460006220.23,合并利润表营业收入,76042046.95,44325747.05,75972921.95,69125.00,,,,木材二次加工产品、人造板、家具、甲醛、胶粘剂及装饰设计,355941388.53,317878112.33,直接农业成本已披露木材部分44325747.05，只作反向核对，不以成本比例倒推收入；板材/家具等排除收入355941388.53、成本317878112.33,否,否,否,采用合并口径产品和劳务对外交易收入；产品维度不与行业维度相加，内部供料不另计,单列木材及金线莲/育肥羊属于直接农业，可进入严格口径；板材、家具等属于深加工。直接农业收入占比不足30%。,2014年金线莲成本未单列；已披露木材成本仅作不完整反向证据，不影响收入结论。,15,58,管理层主营业务表,https://static.cninfo.com.cn/finalpage/2015-02-17/1200643873.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000663,福建省永安林业(集团)股份有限公司,2015,,,林业/木材及金线莲（直接农业）,64944802.95,64944802.95,64944802.95,木材收入64841490.95+金线莲收入103312.00=64944802.95,0.0728357303247769107055526684623962592205643731496977952194316,0.0728357303247769107055526684623962592205643731496977952194316,同严格口径；木材二次加工产品、家具不纳入,64944802.95,64944802.95,64944802.95,木材收入64841490.95+金线莲收入103312.00=64944802.95,0.0728357303247769107055526684623962592205643731496977952194316,0.0728357303247769107055526684623962592205643731496977952194316,891661313.21,合并利润表营业收入,64944802.95,,64841490.95,103312.00,,,,木材二次加工产品、人造板、家具、甲醛、胶粘剂及装饰设计,790635071.61,608963656.98,年报未单列完整同口径直接农业成本；不以成本比例倒推收入；板材/家具等排除收入790635071.61、成本608963656.98,否,否,否,采用合并口径产品和劳务对外交易收入；产品维度不与行业维度相加，内部供料不另计,单列木材及金线莲/育肥羊属于直接农业，可进入严格口径；板材、家具等属于深加工。直接农业收入占比不足30%。,2015年木材及金线莲未取得同口径单列成本；不影响以收入计算的样本结论。,10|11,97|107,管理层主营业务表,https://static.cninfo.com.cn/finalpage/2016-06-02/1202351190.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000663,福建省永安林业(集团)股份有限公司,2018,,,林业/木材及育肥羊、金线莲（直接农业）,23000785.31,23000785.31,23000785.31,木材收入22961641.31+育肥羊、金线莲收入39144.00=23000785.31,0.0304713936854261620486142867231449180606364841177243532648980,0.0304713936854261620486142867231449180606364841177243532648980,同严格口径；木材二次加工产品、家具不纳入,23000785.31,23000785.31,23000785.31,木材收入22961641.31+育肥羊、金线莲收入39144.00=23000785.31,0.0304713936854261620486142867231449180606364841177243532648980,0.0304713936854261620486142867231449180606364841177243532648980,754832074.55,合并利润表营业收入,23000785.31,31982480.55,22961641.31,39144.00,371019.68,,,木材二次加工产品、人造板、家具、甲醛、胶粘剂及装饰设计,678977462.70,622277500.08,直接农业成本已知合计31982480.55，只作反向核对，不以成本比例倒推收入；板材/家具等排除收入678977462.70、成本622277500.08,否,否,否,采用合并口径产品和劳务对外交易收入；产品维度不与行业维度相加，内部供料不另计,单列木材及金线莲/育肥羊属于直接农业，可进入严格口径；板材、家具等属于深加工。直接农业收入占比不足30%。,无影响结论的待核实项。,13|14,72|84|201,"2019年报财务附注PDF第208页同时列示2019年木材成本30,410,970.64元及2018年31,611,460.87元",https://static.cninfo.com.cn/finalpage/2019-06-15/1206354927.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000663,福建省永安林业(集团)股份有限公司,2019,,,林业/木材及育肥羊、金线莲（直接农业）,30101013.76,30101013.76,30101013.76,木材收入29938153.76+育肥羊、金线莲收入162860.00=30101013.76,0.0428695848384472123628487814588245110162937818963773480171491,0.0428695848384472123628487814588245110162937818963773480171491,同严格口径；木材二次加工产品、家具不纳入,30101013.76,30101013.76,30101013.76,木材收入29938153.76+育肥羊、金线莲收入162860.00=30101013.76,0.0428695848384472123628487814588245110162937818963773480171491,0.0428695848384472123628487814588245110162937818963773480171491,702153143.62,合并利润表营业收入,30101013.76,30929764.45,29938153.76,162860.00,518793.81,,,木材二次加工产品、人造板、家具、甲醛、胶粘剂及装饰设计,623192688.63,511114453.55,直接农业成本已知合计30929764.45，只作反向核对，不以成本比例倒推收入；板材/家具等排除收入623192688.63、成本511114453.55,否,否,否,采用合并口径产品和劳务对外交易收入；产品维度不与行业维度相加，内部供料不另计,单列木材及金线莲/育肥羊属于直接农业，可进入严格口径；板材、家具等属于深加工。直接农业收入占比不足30%。,无影响结论的待核实项。,12|13,115,"2019年报财务附注PDF第208页同时列示2019年木材成本30,410,970.64元及2018年31,611,460.87元",https://static.cninfo.com.cn/finalpage/2020-04-30/1207686903.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000910,大亚圣象家居股份有限公司,2018,,,未单列公司自营林木种植、采伐或其他直接农业收入,,0.00,44729150.53,下界=0；上界=未拆其他/其他业务收入44729150.53,0,0.00615995137197428851524291781622125653792061630898759853191624,未单列农产品初加工、农业投入品或农业生产性服务收入,,0.00,44729150.53,下界=0；上界=未拆其他/其他业务收入44729150.53,0,0.00615995137197428851524291781622125653792061630898759853191624,7261283057.12,合并利润表营业收入,,,,,,44729150.53,5252783.52,木地板、中高密度板、木门及衣帽间、竹/石塑地板等装饰材料,7216553906.59,4611709556.70,装饰材料业收入7216553906.59、成本4611709556.70；其他业务收入44729150.53、成本5252783.52均已核对，成本不用于倒推收入,否,否,否,行业与产品维度不相加；原材料采购、绿色产业链及品牌称号不形成农业收入,主营业务为人造板和木地板生产销售，属于木材深加工；其他业务未拆分，故直接农业收入下界为0、以其他业务全额作为保守上界，仍不足30%。,其他/其他业务收入未拆出可能的林木销售，不估算。,11|12|13,84,"合并子公司大亚饰面板（江苏）经营范围含人造板销售、林业种植；合并存货披露消耗性生物资产—林木约156,157,411.40元，但未单列对外林木销售。30%联营企业大亚（江西）林业收入不归入上市公司合并营业收入。",https://static.cninfo.com.cn/finalpage/2019-03-20/1205916870.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000910,大亚圣象家居股份有限公司,2019,,,未单列公司自营林木种植、采伐或其他直接农业收入,,0.00,39256781.80,下界=0；上界=未拆其他/其他业务收入39256781.80,0,0.00537910657655302615270675539703416676278484864217373026863141,未单列农产品初加工、农业投入品或农业生产性服务收入,,0.00,39256781.80,下界=0；上界=未拆其他/其他业务收入39256781.80,0,0.00537910657655302615270675539703416676278484864217373026863141,7298011526.88,合并利润表营业收入,,,,,,39256781.80,18524696.62,木地板、中高密度板、木门及衣帽间、竹/石塑地板等装饰材料,7258754745.08,4639829223.39,装饰材料业收入7258754745.08、成本4639829223.39；其他业务收入39256781.80、成本18524696.62均已核对，成本不用于倒推收入,否,否,否,行业与产品维度不相加；原材料采购、绿色产业链及品牌称号不形成农业收入,主营业务为人造板和木地板生产销售，属于木材深加工；其他业务未拆分，故直接农业收入下界为0、以其他业务全额作为保守上界，仍不足30%。,其他/其他业务收入未拆出可能的林木销售，不估算。,11|12|13,81,"合并子公司大亚饰面板（江苏）经营范围含人造板销售、林业种植；合并存货披露消耗性生物资产—林木约156,157,411.40元，但未单列对外林木销售。30%联营企业大亚（江西）林业收入不归入上市公司合并营业收入。",https://static.cninfo.com.cn/finalpage/2020-04-28/1207638489.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000910,大亚圣象家居股份有限公司,2020,,,未单列公司自营林木种植、采伐或其他直接农业收入,,0.00,42590134.68,下界=0；上界=未拆其他/其他业务收入42590134.68,0,0.00586307473599515122148055615967146065588088339571019647976472,未单列农产品初加工、农业投入品或农业生产性服务收入,,0.00,42590134.68,下界=0；上界=未拆其他/其他业务收入42590134.68,0,0.00586307473599515122148055615967146065588088339571019647976472,7264129590.32,合并利润表营业收入,,,,,,42590134.68,16066825.23,木地板、中高密度板、木门及衣帽间、竹/石塑地板等装饰材料,7221539455.64,5109180205.17,装饰材料业收入7221539455.64、成本5109180205.17；其他业务收入42590134.68、成本16066825.23均已核对，成本不用于倒推收入,否,否,否,行业与产品维度不相加；原材料采购、绿色产业链及品牌称号不形成农业收入,主营业务为人造板和木地板生产销售，属于木材深加工；其他业务未拆分，故直接农业收入下界为0、以其他业务全额作为保守上界，仍不足30%。,其他/其他业务收入未拆出可能的林木销售，不估算。,11|12|13,86,"合并子公司大亚饰面板（江苏）经营范围含人造板销售、林业种植；合并存货披露消耗性生物资产—林木约156,157,411.40元，但未单列对外林木销售。30%联营企业大亚（江西）林业收入不归入上市公司合并营业收入。",https://static.cninfo.com.cn/finalpage/2021-03-26/1209452037.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000910,大亚圣象家居股份有限公司,2021,,,未单列公司自营林木种植、采伐或其他直接农业收入,,0.00,46477414.13,下界=0；上界=未拆其他/其他业务收入46477414.13,0,0.00531138660208946130037696536585655910111409878420788376349588,未单列农产品初加工、农业投入品或农业生产性服务收入,,0.00,46477414.13,下界=0；上界=未拆其他/其他业务收入46477414.13,0,0.00531138660208946130037696536585655910111409878420788376349588,8750523660.19,合并利润表营业收入,,,,,,46477414.13,8464463.29,木地板、中高密度板、木门及衣帽间、竹/石塑地板等装饰材料,8704046246.06,6462368973.70,装饰材料业收入8704046246.06、成本6462368973.70；其他业务收入46477414.13、成本8464463.29均已核对，成本不用于倒推收入,否,否,否,行业与产品维度不相加；原材料采购、绿色产业链及品牌称号不形成农业收入,主营业务为人造板和木地板生产销售，属于木材深加工；其他业务未拆分，故直接农业收入下界为0、以其他业务全额作为保守上界，仍不足30%。,其他/其他业务收入未拆出可能的林木销售，不估算。,12|13,86,"合并子公司大亚饰面板（江苏）经营范围含人造板销售、林业种植；合并存货披露消耗性生物资产—林木约156,157,411.40元，但未单列对外林木销售。30%联营企业大亚（江西）林业收入不归入上市公司合并营业收入。",https://static.cninfo.com.cn/finalpage/2022-03-29/1212705334.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
000910,大亚圣象家居股份有限公司,2022,待核实,待核实,未单列公司自营林木种植、采伐或其他直接农业收入,,0.00,45745654.96,下界=0；上界=未拆其他/其他业务收入45745654.96,0,0.00621293651374020212475032753885325730348982556302919179738439,未单列农产品初加工、农业投入品或农业生产性服务收入,,0.00,45745654.96,下界=0；上界=未拆其他/其他业务收入45745654.96,0,0.00621293651374020212475032753885325730348982556302919179738439,7362968357.85,合并利润表营业收入,,,,,,45745654.96,28027105.33,木地板、中高密度板、木门及衣帽间、竹/石塑地板等装饰材料,7317222702.89,5557839092.82,装饰材料业收入7317222702.89、成本5557839092.82；其他业务收入45745654.96、成本28027105.33均已核对，成本不用于倒推收入,否,否,否,行业与产品维度不相加；原材料采购、绿色产业链及品牌称号不形成农业收入,主营业务为人造板和木地板生产销售，属于木材深加工；其他业务未拆分，故直接农业收入下界为0、以其他业务全额作为保守上界，仍不足30%。,其他/其他业务收入未拆出可能的林木销售，不估算；2022行业分类字段仍按v26保留待核实。,12|13,77,"合并子公司大亚饰面板（江苏）经营范围含人造板销售、林业种植；合并存货披露消耗性生物资产—林木约156,157,411.40元，但未单列对外林木销售。30%联营企业大亚（江西）林业收入不归入上市公司合并营业收入。",https://static.cninfo.com.cn/finalpage/2023-03-28/1216233602.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批Q组（未合并）,已人工复核（第十七批Q组；主表未合并）,2026-08-11
