股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,人参类或加工其他混合收入_元_上界,人参类或加工其他混合成本_元_反向证据,其他业务或产品其他收入_元_上界,其他业务或产品其他成本_元_反向证据,BT其他业务收入_元_排除证据,深加工或排除类别,深加工类别收入_元_反向证据,深加工类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002166,桂林莱茵生物科技股份有限公司,2014,,,种苗/农副产品外销金额未单列；其他业务-植物提取/制造业仅作上界,,0.00,9914073.13,下界=0；上界=排除BT后的其他业务-植物提取/制造业9914073.13,0,0.0150121279099190480686730866744357450313696251673468437967032,农产品初级加工或农业投入品收入未单列；其他业务-植物提取/制造业仅作上界,,0.00,9914073.13,下界=0；上界=排除BT后的其他业务-植物提取/制造业9914073.13,0,0.0150121279099190480686730866744357450313696251673468437967032,660404253.78,合并利润表营业收入,,,9914073.13,6523201.72,,罗汉果、甜叶菊、茶叶及工业大麻等植物提取物,294182146.57,238268815.30,主营植物提取收入294182146.57、成本238268815.30，均为深加工排除项；上界类别成本6523201.72只作反向证据,否,否,否,主营植物提取和BT业务明确排除；其他业务植物提取/制造业作上界，不与地区维度或BT其他业务相加,植物提取属于深加工；莱茵农业承担种苗研发培育，2021年还披露优惠价格对外提供种苗，但金额未单列，故不能把未单列直接认定为零。,种苗或农副产品外销金额未拆，不估算。,17,66,种苗研发培育或原料基地事实不替代外销收入；未拆其他制造业只作保守上界,https://static.cninfo.com.cn/finalpage/2015-03-28/1200753883.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002166,桂林莱茵生物科技股份有限公司,2015,,,种苗/农副产品外销金额未单列；其他业务-植物提取/制造业仅作上界,,0.00,3680433.51,下界=0；上界=排除BT后的其他业务-植物提取/制造业3680433.51,0,0.00715381773184946888974257098240699475377850578926904661598401,农产品初级加工或农业投入品收入未单列；其他业务-植物提取/制造业仅作上界,,0.00,3680433.51,下界=0；上界=排除BT后的其他业务-植物提取/制造业3680433.51,0,0.00715381773184946888974257098240699475377850578926904661598401,514471244.30,合并利润表营业收入,,,3680433.51,2760401.64,,罗汉果、甜叶菊、茶叶及工业大麻等植物提取物,283635326.69,214993427.46,主营植物提取收入283635326.69、成本214993427.46，均为深加工排除项；上界类别成本2760401.64只作反向证据,否,否,否,主营植物提取和BT业务明确排除；其他业务植物提取/制造业作上界，不与地区维度或BT其他业务相加,植物提取属于深加工；莱茵农业承担种苗研发培育，2021年还披露优惠价格对外提供种苗，但金额未单列，故不能把未单列直接认定为零。,种苗或农副产品外销金额未拆，不估算。,13|14,68,种苗研发培育或原料基地事实不替代外销收入；未拆其他制造业只作保守上界,https://static.cninfo.com.cn/finalpage/2016-03-16/1202046908.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002166,桂林莱茵生物科技股份有限公司,2018,,,种苗/农副产品外销金额未单列；其他业务-植物提取/制造业仅作上界,,0.00,4662651.01,下界=0；上界=排除BT后的其他业务-植物提取/制造业4662651.01,0,0.00752579183144047095097343994990904285882840144680505816563847,农产品初级加工或农业投入品收入未单列；其他业务-植物提取/制造业仅作上界,,0.00,4662651.01,下界=0；上界=排除BT后的其他业务-植物提取/制造业4662651.01,0,0.00752579183144047095097343994990904285882840144680505816563847,619556202.78,合并利润表营业收入,,,4662651.01,2746046.39,,罗汉果、甜叶菊、茶叶及工业大麻等植物提取物,408424096.80,304711266.24,主营植物提取收入408424096.80、成本304711266.24，均为深加工排除项；上界类别成本2746046.39只作反向证据,否,否,否,主营植物提取和BT业务明确排除；其他业务植物提取/制造业作上界，不与地区维度或BT其他业务相加,植物提取属于深加工；莱茵农业承担种苗研发培育，2021年还披露优惠价格对外提供种苗，但金额未单列，故不能把未单列直接认定为零。,种苗或农副产品外销金额未拆，不估算。,18|19,82,种苗研发培育或原料基地事实不替代外销收入；未拆其他制造业只作保守上界,https://static.cninfo.com.cn/finalpage/2019-04-20/1206059124.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002166,桂林莱茵生物科技股份有限公司,2019,,,种苗/农副产品外销金额未单列；其他业务-植物提取/制造业仅作上界,,0.00,10555551.43,下界=0；上界=排除BT后的其他业务-植物提取/制造业10555551.43,0,0.0142372726841568344827187739430791401855699963812939327711444,农产品初级加工或农业投入品收入未单列；其他业务-植物提取/制造业仅作上界,,0.00,10555551.43,下界=0；上界=排除BT后的其他业务-植物提取/制造业10555551.43,0,0.0142372726841568344827187739430791401855699963812939327711444,741402631.26,合并利润表营业收入,,,10555551.43,4742718.94,,罗汉果、甜叶菊、茶叶及工业大麻等植物提取物,518608608.14,375255184.92,主营植物提取收入518608608.14、成本375255184.92，均为深加工排除项；上界类别成本4742718.94只作反向证据,否,否,否,主营植物提取和BT业务明确排除；其他业务植物提取/制造业作上界，不与地区维度或BT其他业务相加,植物提取属于深加工；莱茵农业承担种苗研发培育，2021年还披露优惠价格对外提供种苗，但金额未单列，故不能把未单列直接认定为零。,种苗或农副产品外销金额未拆，不估算。,21|22,91,种苗研发培育或原料基地事实不替代外销收入；未拆其他制造业只作保守上界,https://static.cninfo.com.cn/finalpage/2020-04-15/1207498059.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002166,桂林莱茵生物科技股份有限公司,2020,,,种苗/农副产品外销金额未单列；其他业务-植物提取/制造业仅作上界,,0.00,28982594.00,下界=0；上界=排除BT后的其他业务-植物提取/制造业28982594.00,0,0.0369830945621497488820728309854350972360631815535081227346033,农产品初级加工或农业投入品收入未单列；其他业务-植物提取/制造业仅作上界,,0.00,28982594.00,下界=0；上界=排除BT后的其他业务-植物提取/制造业28982594.00,0,0.0369830945621497488820728309854350972360631815535081227346033,783671413.74,合并利润表营业收入,,,28982594.00,12753484.40,,罗汉果、甜叶菊、茶叶及工业大麻等植物提取物,623335249.85,469267274.91,主营植物提取收入623335249.85、成本469267274.91，均为深加工排除项；上界类别成本12753484.40只作反向证据,否,否,否,主营植物提取和BT业务明确排除；其他业务植物提取/制造业作上界，不与地区维度或BT其他业务相加,植物提取属于深加工；莱茵农业承担种苗研发培育，2021年还披露优惠价格对外提供种苗，但金额未单列，故不能把未单列直接认定为零。,种苗或农副产品外销金额未拆，不估算。,17|18,79,种苗研发培育或原料基地事实不替代外销收入；未拆其他制造业只作保守上界,https://static.cninfo.com.cn/finalpage/2021-03-31/1209488957.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002166,桂林莱茵生物科技股份有限公司,2021,,,种苗/农副产品外销金额未单列；其他业务-植物提取/制造业仅作上界,,0.00,28880909.08,下界=0；上界=排除BT后的其他业务-植物提取/制造业28880909.08,0,0.0274211333538127286576980708428029578747827329811395217324902,农产品初级加工或农业投入品收入未单列；其他业务-植物提取/制造业仅作上界,,0.00,28880909.08,下界=0；上界=排除BT后的其他业务-植物提取/制造业28880909.08,0,0.0274211333538127286576980708428029578747827329811395217324902,1053235426.39,合并利润表营业收入,,,28880909.08,17009072.06,,罗汉果、甜叶菊、茶叶及工业大麻等植物提取物,986375138.60,709189279.78,主营植物提取收入986375138.60、成本709189279.78，均为深加工排除项；上界类别成本17009072.06只作反向证据,否,否,否,主营植物提取和BT业务明确排除；其他业务植物提取/制造业作上界，不与地区维度或BT其他业务相加,植物提取属于深加工；莱茵农业承担种苗研发培育，2021年还披露优惠价格对外提供种苗，但金额未单列，故不能把未单列直接认定为零。,种苗或农副产品外销金额未拆，不估算。,26|27,90,2021年报称以低于市场的优惠价格向合作社提供自研种苗160万株；2022年免费发放种苗，莱茵神果源业务范围含农副产品销售，均未单列收入。,https://static.cninfo.com.cn/finalpage/2022-04-15/1212924105.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002166,桂林莱茵生物科技股份有限公司,2022,待核实,待核实,种苗/农副产品外销金额未单列；其他业务-植物提取/制造业仅作上界,,0.00,61531743.93,下界=0；上界=排除BT后的其他业务-植物提取/制造业61531743.93,0,0.0439281098759652555750955570454567047977952351120906016644122,农产品初级加工或农业投入品收入未单列；其他业务-植物提取/制造业仅作上界,,0.00,61531743.93,下界=0；上界=排除BT后的其他业务-植物提取/制造业61531743.93,0,0.0439281098759652555750955570454567047977952351120906016644122,1400737343.44,合并利润表营业收入,,,61531743.93,35656243.61,29124165.28,罗汉果、甜叶菊、茶叶及工业大麻等植物提取物,1267821212.48,906324060.77,主营植物提取收入1267821212.48、成本906324060.77，均为深加工排除项；上界类别成本35656243.61只作反向证据,否,否,否,主营植物提取和BT业务明确排除；其他业务植物提取/制造业作上界，不与地区维度或BT其他业务相加,植物提取属于深加工；莱茵农业承担种苗研发培育，2021年还披露优惠价格对外提供种苗，但金额未单列，故不能把未单列直接认定为零。,种苗或农副产品外销金额未拆，不估算；2022行业分类字段仍按v26保留待核实。,18|19,81,2021年报称以低于市场的优惠价格向合作社提供自研种苗160万株；2022年免费发放种苗，莱茵神果源业务范围含农副产品销售，均未单列收入。,https://static.cninfo.com.cn/finalpage/2023-03-29/1216244885.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002566,吉林省集安益盛药业股份有限公司,2014,,,未单列中药材种植对外收入；人参及相关产品及产品“其他”仅作上界,,0.00,154940855.89,下界=0；上界=人参及相关产品88580624.61+未拆产品其他66360231.28=154940855.89,0,0.196651831167531032992120012774648659225944871762833753853022,未单列可确认的中药材初级加工收入；人参及相关产品及产品“其他”仅作上界,,0.00,154940855.89,下界=0；上界=人参及相关产品88580624.61+未拆产品其他66360231.28=154940855.89,0,0.196651831167531032992120012774648659225944871762833753853022,787894295.06,合并利润表营业收入,88580624.61,71244241.32,66360231.28,19416130.15,,中成药、针剂、胶囊、饮片、健康食品和化妆品；人参及相关产品另作上界,,,人参及相关产品成本71244241.32+产品其他成本19416130.15=90660371.47，只作上界反向证据,否,否,否,人参及相关产品与产品“其他”为同一产品维度互斥项目；不叠加行业、地区或销售模式；种植基地内部供料不另计,公司披露人参种植基地和全产业链，但未单列种植对外收入；人参及相关产品混有饮片、红参制品及健康食品等加工品，不能整体纳入。,人参及相关产品及产品“其他”未拆中药材种植/初级加工与深加工收入，只作上界；上界仍低于30%。,16,66,2015年管理层明确披露人参深加工产品及红参膏/浓缩液；其他年份人参类亦含饮片、食品等混合品,https://static.cninfo.com.cn/finalpage/2015-06-05/1201105988.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002566,吉林省集安益盛药业股份有限公司,2015,,,未单列中药材种植对外收入；人参及相关产品及产品“其他”仅作上界,,0.00,101181884.70,下界=0；上界=人参及相关产品38173020.91+未拆产品其他63008863.79=101181884.70,0,0.123453046762183589105252616337424725027945409178991356001483,未单列可确认的中药材初级加工收入；人参及相关产品及产品“其他”仅作上界,,0.00,101181884.70,下界=0；上界=人参及相关产品38173020.91+未拆产品其他63008863.79=101181884.70,0,0.123453046762183589105252616337424725027945409178991356001483,819598117.29,合并利润表营业收入,38173020.91,18391107.11,63008863.79,21116864.86,,中成药、针剂、胶囊、饮片、健康食品和化妆品；人参及相关产品另作上界,,,人参及相关产品成本18391107.11+产品其他成本21116864.86=39507971.97，只作上界反向证据,否,否,否,人参及相关产品与产品“其他”为同一产品维度互斥项目；不叠加行业、地区或销售模式；种植基地内部供料不另计,公司披露人参种植基地和全产业链，但未单列种植对外收入；人参及相关产品混有饮片、红参制品及健康食品等加工品，不能整体纳入。,人参及相关产品及产品“其他”未拆中药材种植/初级加工与深加工收入，只作上界；上界仍低于30%。,12|13,63,2015年管理层明确披露人参深加工产品及红参膏/浓缩液；其他年份人参类亦含饮片、食品等混合品,https://static.cninfo.com.cn/finalpage/2016-04-08/1202151010.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002566,吉林省集安益盛药业股份有限公司,2018,,,未单列中药材种植对外收入；人参类产品及产品“其他”仅作上界,,0.00,146652421.01,下界=0；上界=人参类产品47282341.15+未拆产品其他99370079.86=146652421.01,0,0.150399134049322536653082022333754981261896527402787255829773,未单列可确认的中药材初级加工收入；人参类产品及产品“其他”仅作上界,,0.00,146652421.01,下界=0；上界=人参类产品47282341.15+未拆产品其他99370079.86=146652421.01,0,0.150399134049322536653082022333754981261896527402787255829773,975088200.72,合并利润表营业收入,47282341.15,20045088.30,99370079.86,35920488.88,,中成药、针剂、胶囊、饮片、健康食品和化妆品；人参类产品另作上界,,,人参类产品成本20045088.30+产品其他成本35920488.88=55965577.18，只作上界反向证据,否,否,否,人参类产品与产品“其他”为同一产品维度互斥项目；不叠加行业、地区或销售模式；种植基地内部供料不另计,公司披露人参种植基地和全产业链，但未单列种植对外收入；人参类产品混有饮片、红参制品及健康食品等加工品，不能整体纳入。,人参类产品及产品“其他”未拆中药材种植/初级加工与深加工收入，只作上界；上界仍低于30%。,13|14,62,2015年管理层明确披露人参深加工产品及红参膏/浓缩液；其他年份人参类亦含饮片、食品等混合品,https://static.cninfo.com.cn/finalpage/2019-04-17/1206040475.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
