股票代码,公司全称,年份,行业分类代码,行业分类名称,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径收入公式,扩展口径营业收入_元,扩展口径收入公式,扩展口径收入下界_元,加工混合项审计上限增量_元,加工混合项公式,扩展口径收入上界_元,公司营业收入_元,公司营业收入公式,营业成本反向证据_元,营业成本反向证据公式,收入成本列反核结论,工作表采用Decimal高精度门槛计算值,严格口径Decimal高精度门槛计算值,严格口径上界Decimal高精度门槛计算值,扩展口径Decimal高精度门槛计算值,扩展上界Decimal高精度门槛计算值,工作表采用涉农收入占比_8位,严格口径收入占比_8位,严格口径上界收入占比_8位,扩展口径收入占比_8位,扩展上界收入占比_8位,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,口径变更或比较数说明,待核实点,2022行业字段处理,比例精度说明
002567,唐人神集团股份有限公司,2014,待核实,待核实,16,121,https://static.cninfo.com.cn/finalpage/2015-04-09/1200799784.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,养殖（严格）；饲料+养殖+兽药/动物保健（扩展下界）,9616474660.53,83731858.89,83731858.89,83731858.89,"养殖/牲猪83,731,858.89",9616474660.53,"饲料9,524,401,935.68+养殖/牲猪83,731,858.89+兽药/动物保健8,340,865.96",9616474660.53,381765499.83,"屠宰及肉类/肉类381,765,499.83",9998240160.36,10069486005.19,合并利润表‘营业收入’（非营业总收入）,8780579544.97,"8655434767.61+118550694.72+6594082.64=8,780,579,544.97（对应收入项目的营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.95501147283719252958641292827126597149766429070234,0.0083154054583166455240452799408236922030702498087852,0.0083154054583166455240452799408236922030702498087852,0.95501147283719252958641292827126597149766429070234,0.99292457978557410288001496859449651283040297175151,0.95501147,0.00831541,0.00831541,0.95501147,0.99292458,否,是,否,否（同一分行业维度加总；屠宰及肉类仅作上界）,"严格区间=[0.00831541, 0.00831541]，扩展下界=0.95501147，含全部加工混合项的审计上界=0.99292458。",采用2014年报当期主营业务表；2015年报对2014饲料比较数有重列，本表不倒替当期披露。,屠宰及肉类大类含初加工与肉制品深加工且未拆分，仅作上界；扩展下界已超过50%。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002567,唐人神集团股份有限公司,2015,待核实,待核实,13|14,127,https://static.cninfo.com.cn/finalpage/2016-04-29/1202266032.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,养殖（严格）；饲料+养殖+兽药/动物保健（扩展下界）,8975965506.96,124345753.86,124345753.86,124345753.86,"养殖/牲猪124,345,753.86",8975965506.96,"饲料8,834,554,268.51+养殖/牲猪124,345,753.86+兽药/动物保健17,065,484.59",8975965506.96,436695981.97,"屠宰及肉类/肉类436,695,981.97",9412661488.93,9412661488.93,合并利润表‘营业收入’（非营业总收入）,8087630305.80,"8014631593.69+62822929.28+10175782.83=8,087,630,305.80（对应收入项目的营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.95360547253467179085945210340498644136870319897848,0.013210477611060377254025163467533445198852124699405,0.013210477611060377254025163467533445198852124699405,0.95360547253467179085945210340498644136870319897848,1,0.95360547,0.01321048,0.01321048,0.95360547,1.00000000,否,是,否,否（同一分行业维度加总；屠宰及肉类仅作上界）,"严格区间=[0.01321048, 0.01321048]，扩展下界=0.95360547，含全部加工混合项的审计上界=1.00000000。",,屠宰及肉类大类含初加工与肉制品深加工且未拆分，仅作上界；扩展下界已超过50%。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002567,唐人神集团股份有限公司,2018,待核实,待核实,18|19,114|123,https://static.cninfo.com.cn/finalpage/2019-05-06/1206200918.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,养殖（严格）；饲料+养殖+兽药/动物保健（扩展下界）,14841380516.19,546089245.53,546089245.53,546089245.53,"养殖/牲猪546,089,245.53",14841380516.19,"饲料14,285,747,633.95+养殖/牲猪546,089,245.53+兽药/动物保健9,543,636.71",14841380516.19,564136553.16,"屠宰及肉类/肉类564,136,553.16",15405517069.35,15405517069.35,合并利润表‘营业收入’（非营业总收入）,13632965780.20,"13097805497.62+530419411.37+4740871.21=13,632,965,780.20（对应收入项目的营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.96338087513580597842525216104131803118224429193200,0.035447641456739560572690385806845803636141748299234,0.035447641456739560572690385806845803636141748299234,0.96338087513580597842525216104131803118224429193200,1,0.96338088,0.03544764,0.03544764,0.96338088,1.00000000,否,是,否,否（同一分行业维度加总；屠宰及肉类仅作上界）,"严格区间=[0.03544764, 0.03544764]，扩展下界=0.96338088，含全部加工混合项的审计上界=1.00000000。",,屠宰及肉类大类含初加工与肉制品深加工且未拆分，仅作上界；扩展下界已超过50%。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002567,唐人神集团股份有限公司,2019,待核实,待核实,17|18,117,https://static.cninfo.com.cn/finalpage/2020-04-27/1207609338.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,养殖（严格）；饲料+养殖+兽药/动物保健（扩展下界）,14367138648.59,803191595.93,803191595.93,803191595.93,"养殖/牲猪803,191,595.93",14367138648.59,"饲料13,550,599,496.74+养殖/牲猪803,191,595.93+兽药/动物保健13,347,555.92",14367138648.59,975724206.30,"屠宰及肉类/肉类975,724,206.30",15342862854.89,15342862854.89,合并利润表‘营业收入’（非营业总收入）,13018660877.22,"12501954367.37+510460636.89+6245872.96=13,018,660,877.22（对应收入项目的营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.93640533611437306867412398815671703002374512675670,0.052349525869222693240688195948583006580902148768109,0.052349525869222693240688195948583006580902148768109,0.93640533611437306867412398815671703002374512675670,1,0.93640534,0.05234953,0.05234953,0.93640534,1.00000000,否,是,否,否（同一分行业维度加总；屠宰及肉类仅作上界）,"严格区间=[0.05234953, 0.05234953]，扩展下界=0.93640534，含全部加工混合项的审计上界=1.00000000。",,屠宰及肉类大类含初加工与肉制品深加工且未拆分，仅作上界；扩展下界已超过50%。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002567,唐人神集团股份有限公司,2020,待核实,待核实,20|21,122,https://static.cninfo.com.cn/finalpage/2021-04-02/1209626148.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,养殖（严格）；饲料+养殖+兽药/动物保健（扩展下界）,17821859875.74,2452984024.61,2452984024.61,2452984024.61,"养殖/牲猪2,452,984,024.61",17821859875.74,"饲料15,347,625,302.74+养殖/牲猪2,452,984,024.61+兽药/动物保健21,250,548.39",17821859875.74,691816180.78,"屠宰及肉类/肉类691,816,180.78",18513676056.52,18513676056.52,合并利润表‘营业收入’（非营业总收入）,15465444967.89,"14257195699.99+1196229904.84+12019363.06=15,465,444,967.89（对应收入项目的营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.96263215480988381832680698247980948517415816815399,0.13249578404209613941287112296793592638502809710606,0.13249578404209613941287112296793592638502809710606,0.96263215480988381832680698247980948517415816815399,1,0.96263215,0.13249578,0.13249578,0.96263215,1.00000000,否,是,否,否（同一分行业维度加总；屠宰及肉类仅作上界）,"严格区间=[0.13249578, 0.13249578]，扩展下界=0.96263215，含全部加工混合项的审计上界=1.00000000。",采用2020年报当期合并利润表营业收入及收入构成；后续比较口径不倒替当期披露。,屠宰及肉类大类含初加工与肉制品深加工且未拆分，仅作上界；扩展下界已超过50%。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002567,唐人神集团股份有限公司,2021,待核实,待核实,17|18|19,133|143,https://static.cninfo.com.cn/finalpage/2022-04-29/1213212330.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,养殖（严格）；饲料+养殖+兽药/动物保健（扩展下界）,21005548678.03,3473845871.18,3473845871.18,3473845871.18,"养殖/牲猪3,473,845,871.18",21005548678.03,"饲料17,506,913,337.44+养殖/牲猪3,473,845,871.18+兽药/动物保健24,789,469.41",21005548678.03,736645564.64,"屠宰及肉类/肉类736,645,564.64",21742194242.67,21742194242.67,合并利润表‘营业收入’（非营业总收入）,19775495653.92,"16199224802.97+3560840714.42+15430136.53=19,775,495,653.92（对应收入项目的营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.96611907903967203537245538220136626511539950588455,0.15977439224429458379761643879327076182086243131357,0.15977439224429458379761643879327076182086243131357,0.96611907903967203537245538220136626511539950588455,1,0.96611908,0.15977439,0.15977439,0.96611908,1.00000000,否,是,否,否（同一分行业维度加总；屠宰及肉类仅作上界）,"严格区间=[0.15977439, 0.15977439]，扩展下界=0.96611908，含全部加工混合项的审计上界=1.00000000。",,屠宰及肉类大类含初加工与肉制品深加工且未拆分，仅作上界；扩展下界已超过50%。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002567,唐人神集团股份有限公司,2022,待核实,待核实,25|26,31|162|171,https://static.cninfo.com.cn/finalpage/2023-04-28/1216648027.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,养殖（严格）；饲料+养殖+兽药/动物保健（扩展下界）,25241767669.00,4866355212.41,4866355212.41,4866355212.41,"养殖/牲猪4,866,355,212.41",25241767669.00,"饲料20,354,975,598.47+养殖/牲猪4,866,355,212.41+兽药/动物保健20,436,858.12",25241767669.00,1296812492.48,"屠宰及肉类/肉类1,296,812,492.48",26538580161.48,26538580161.48,合并利润表‘营业收入’（非营业总收入）,23264721846.65,"19129530837.45+4122957707.43+12233301.77=23,264,721,846.65（对应收入项目的营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.95113482015280204297763957604252982867403920125780,0.18336908692174034345007793708937760493618363736511,0.18336908692174034345007793708937760493618363736511,0.95113482015280204297763957604252982867403920125780,1,0.95113482,0.18336909,0.18336909,0.95113482,1.00000000,否,是,否,否（同一分行业维度加总；屠宰及肉类仅作上界）,"严格区间=[0.18336909, 0.18336909]，扩展下界=0.95113482，含全部加工混合项的审计上界=1.00000000。",,屠宰及肉类大类含初加工与肉制品深加工且未拆分，仅作上界；扩展下界已超过50%。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002688,金河生物科技股份有限公司,2014,待核实,待核实,19,74,https://static.cninfo.com.cn/finalpage/2015-04-10/1200803492.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,兽药、兽用疫苗及药物饲料添加剂（扩展下界）,707674875.37,0.00,0.00,0.00,0（无直接农业生产收入）,707674875.37,"707674875.37=707,674,875.37（药物饲料添加剂）",707674875.37,129952415.24,"淀粉及联产品/农产品加工业129,952,415.24",837627290.61,839805806.69,合并利润表‘营业收入’（非营业总收入）,451099680.34,"451099680.34=451,099,680.34（对应兽药投入品营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.84266489911426168398168878348125487881889463099873,0,0,0.84266489911426168398168878348125487881889463099873,0.99740592877228799385928666017949893106138603853335,0.84266490,0.00000000,0.00000000,0.84266490,0.99740593,否,是,否,否（兽药投入品使用互斥行业项目；农产品加工仅作上界）,"严格区间=[0.00000000, 0.00000000]，扩展下界=0.84266490，含全部加工混合项的审计上界=0.99740593。",,淀粉及联产品/农产品加工业可能含初加工与深加工，未拆分，仅作上界；环保及其他非农业用途排除。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002688,金河生物科技股份有限公司,2015,待核实,待核实,16|17,78,https://static.cninfo.com.cn/finalpage/2016-04-15/1202178993.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,兽药、兽用疫苗及药物饲料添加剂（扩展下界）,1124166517.50,0.00,0.00,0.00,0（无直接农业生产收入）,1124166517.50,"1124166517.50=1,124,166,517.50（药物饲料添加剂）",1124166517.50,108114673.36,"淀粉及联产品/农产品加工业108,114,673.36",1232281190.86,1250468533.75,合并利润表‘营业收入’（非营业总收入）,768812381.07,"768812381.07=768,812,381.07（对应兽药投入品营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.89899624593412524963505504122406310809738118290336,0,0,0.89899624593412524963505504122406310809738118290336,0.98545557733031600964105427255018283261939776899244,0.89899625,0.00000000,0.00000000,0.89899625,0.98545558,否,是,否,否（兽药投入品使用互斥行业项目；农产品加工仅作上界）,"严格区间=[0.00000000, 0.00000000]，扩展下界=0.89899625，含全部加工混合项的审计上界=0.98545558。",,淀粉及联产品/农产品加工业可能含初加工与深加工，未拆分，仅作上界；环保及其他非农业用途排除。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
002688,金河生物科技股份有限公司,2018,待核实,待核实,17|18,86,https://static.cninfo.com.cn/finalpage/2019-03-29/1205956573.PDF,第十三批E组新增跨年快速复核（未合并）,2026-08-11,兽药、兽用疫苗及药物饲料添加剂（扩展下界）,1199016578.35,0.00,0.00,0.00,0（无直接农业生产收入）,1199016578.35,"1042127013.04+123606095.22+33283470.09=1,199,016,578.35（兽用化学药品+兽用生物制品/疫苗+药物饲料添加剂）",1199016578.35,331745086.79,"淀粉及联产品/农产品加工业331,745,086.79",1530761665.14,1628890098.36,合并利润表‘营业收入’（非营业总收入）,640172500.95,"563465194.92+51859468.82+24847837.21=640,172,500.95（对应兽药投入品营业成本反核）",收入分子取营业收入列；成本证据仅用于反向核对，未误作收入,0.73609421504691723074315710950590077230482109663501,0,0,0.73609421504691723074315710950590077230482109663501,0.93975748681952347698842205638122066827295585869645,0.73609422,0.00000000,0.00000000,0.73609422,0.93975749,否,是,否,否（兽药投入品使用互斥行业项目；农产品加工仅作上界）,"严格区间=[0.00000000, 0.00000000]，扩展下界=0.73609422，含全部加工混合项的审计上界=0.93975749。",,淀粉及联产品/农产品加工业可能含初加工与深加工，未拆分，仅作上界；环保及其他非农业用途排除。,沿用v20原值；为待核实时不插值、不复制相邻年份,门槛采用Decimal 50位精度计算；8位值仅供显示
