股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,液态或液体乳收入_元_初加工候选或上界,液态或液体乳成本_元_反向证据,农业生产候选收入上界_元,农业相关成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,收入分项证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核状态,复核日期
002732,广东燕塘乳业股份有限公司,2014,待核实,待核实,自有牧场原奶：内部供加工不形成合并外部收入；其他收入仅作上界,,0.00,8142084.39,下界=0；上界=其他收入8142084.39（仅作可能外销原奶/农业收入上限）,0,0.00857142409888616229326659581346461483552336822735595535918379,液体乳类（可确认原奶初加工）；花式奶、乳酸菌饮料、冰淇淋排除,,299214880.52,307356964.91,下界=液体乳类299214880.52；上界=液体乳类299214880.52+其他8142084.39,0.314992760426850809840487746017202228391413672858809116114876,0.323564184525736972133754341830666843226937041086165071474060,949910341.16,合并利润表‘营业收入’（非自行汇总分部收入）,299214880.52,220249527.07,8142084.39,,采用营业收入列；成本仅作反向证据，未进入分子,否,否,是,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.00857142409888616229326659581346461483552336822735595535918379]；扩展区间[0.314992760426850809840487746017202228391413672858809116114876, 0.323564184525736972133754341830666843226937041086165071474060]。液体乳类单列，按已核实2023一致口径作为初加工；自有牧场内部原奶不得与成品收入重复相加。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,14|15,72,https://static.cninfo.com.cn/finalpage/2015-04-16/1200839432.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
002732,广东燕塘乳业股份有限公司,2015,待核实,待核实,自有牧场原奶：内部供加工不形成合并外部收入；其他收入仅作上界,,0.00,9270694.76,下界=0；上界=其他收入9270694.76（仅作可能外销原奶/农业收入上限）,0,0.00897945631310570090542032221721143044027744219803592610177290,液体乳类（可确认原奶初加工）；花式奶、乳酸菌饮料、冰淇淋排除,,305179286.33,314449981.09,下界=液体乳类305179286.33；上界=液体乳类305179286.33+其他9270694.76,0.295592093171775491416417723036674285291894077763210753736398,0.304571549484881192321838045253885715732171519961246679838171,1032433862.00,合并利润表‘营业收入’（非自行汇总分部收入）,305179286.33,219085441.80,9270694.76,,采用营业收入列；成本仅作反向证据，未进入分子,否,否,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.00897945631310570090542032221721143044027744219803592610177290]；扩展区间[0.295592093171775491416417723036674285291894077763210753736398, 0.304571549484881192321838045253885715732171519961246679838171]。液体乳类单列，按已核实2023一致口径作为初加工；自有牧场内部原奶不得与成品收入重复相加。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,13|14,81,https://static.cninfo.com.cn/finalpage/2016-02-04/1201968097.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
002732,广东燕塘乳业股份有限公司,2018,待核实,待核实,自有牧场原奶：内部供加工不形成合并外部收入；其他收入仅作上界,,0.00,12211324.97,下界=0；上界=其他收入12211324.97（仅作可能外销原奶/农业收入上限）,0,0.00941363283362353143614810893571432492237708136484946918200610,液体乳类（可确认原奶初加工）；花式奶、乳酸菌饮料、冰淇淋排除,,407117671.20,419328996.17,下界=液体乳类407117671.20；上界=液体乳类407117671.20+其他12211324.97,0.313844426069407042879197867108431106708830641619591050154035,0.323258058903030574315345976044145431631207722984440519336041,1297195799.52,合并利润表‘营业收入’（非自行汇总分部收入）,407117671.20,298396751.06,12211324.97,,采用营业收入列；成本仅作反向证据，未进入分子,否,否,是,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.00941363283362353143614810893571432492237708136484946918200610]；扩展区间[0.313844426069407042879197867108431106708830641619591050154035, 0.323258058903030574315345976044145431631207722984440519336041]。液体乳类单列，按已核实2023一致口径作为初加工；自有牧场内部原奶不得与成品收入重复相加。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,15|16,75,https://static.cninfo.com.cn/finalpage/2019-03-23/1205931191.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
002732,广东燕塘乳业股份有限公司,2019,待核实,待核实,自有牧场原奶：内部供加工不形成合并外部收入；其他收入仅作上界,,0.00,15057585.96,下界=0；上界=其他收入15057585.96（仅作可能外销原奶/农业收入上限）,0,0.0102379821558678644852332377068831714277481383636764277117316,液体乳类（可确认原奶初加工）；花式奶、乳酸菌饮料、冰淇淋排除,,493327206.63,508384792.59,下界=液体乳类493327206.63；上界=液体乳类493327206.63+其他15057585.96,0.335423961842159647872499745767180178475728121968843878358685,0.345661943998027512357732983474063349903476260332520306070416,1470757199.10,合并利润表‘营业收入’（非自行汇总分部收入）,493327206.63,356363087.10,15057585.96,,采用营业收入列；成本仅作反向证据，未进入分子,否,否,是,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.0102379821558678644852332377068831714277481383636764277117316]；扩展区间[0.335423961842159647872499745767180178475728121968843878358685, 0.345661943998027512357732983474063349903476260332520306070416]。液体乳类单列，按已核实2023一致口径作为初加工；自有牧场内部原奶不得与成品收入重复相加。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,15|16,78,https://static.cninfo.com.cn/finalpage/2020-04-18/1207525233.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
002732,广东燕塘乳业股份有限公司,2020,待核实,待核实,自有牧场原奶：内部供加工不形成合并外部收入；其他收入仅作上界,,0.00,12233840.33,下界=0；上界=其他收入12233840.33（仅作可能外销原奶/农业收入上限）,0,0.00747334168807870520716565890862528254810501243053154464909018,液体乳类（可确认原奶初加工）；花式奶、乳酸菌饮料、冰淇淋排除,,580287694.58,592521534.91,下界=液体乳类580287694.58；上界=液体乳类580287694.58+其他12233840.33,0.354482983429929832528523895180901391324678635155555642958671,0.361956325118008537735689554089526673872783647586087187607762,1636997322.03,合并利润表‘营业收入’（非自行汇总分部收入）,580287694.58,471068260.03,12233840.33,,采用营业收入列；成本仅作反向证据，未进入分子,否,否,是,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.00747334168807870520716565890862528254810501243053154464909018]；扩展区间[0.354482983429929832528523895180901391324678635155555642958671, 0.361956325118008537735689554089526673872783647586087187607762]。液体乳类单列，按已核实2023一致口径作为初加工；自有牧场内部原奶不得与成品收入重复相加。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,18|19,80,https://static.cninfo.com.cn/finalpage/2021-04-23/1209775107.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
002732,广东燕塘乳业股份有限公司,2021,待核实,待核实,自有牧场原奶：内部供加工不形成合并外部收入；其他收入仅作上界,,0.00,21227644.35,下界=0；上界=其他收入21227644.35（仅作可能外销原奶/农业收入上限）,0,0.0106953909028175158644350772654321457166551945426599320494210,液体乳类（可确认原奶初加工）；花式奶、乳酸菌饮料、冰淇淋排除,,743031619.52,764259263.87,下界=液体乳类743031619.52；上界=液体乳类743031619.52+其他21227644.35,0.374370961416638476128157302128079988513418835305353843432677,0.385066352319455991992592379393512134230074029848013775482098,1984746938.46,合并利润表‘营业收入’（非自行汇总分部收入）,743031619.52,620932267.25,21227644.35,,采用营业收入列；成本仅作反向证据，未进入分子,否,否,是,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.0106953909028175158644350772654321457166551945426599320494210]；扩展区间[0.374370961416638476128157302128079988513418835305353843432677, 0.385066352319455991992592379393512134230074029848013775482098]。液体乳类单列，按已核实2023一致口径作为初加工；自有牧场内部原奶不得与成品收入重复相加。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,21|22,91,https://static.cninfo.com.cn/finalpage/2022-04-28/1213170188.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
002732,广东燕塘乳业股份有限公司,2022,待核实,待核实,自有牧场原奶：内部供加工不形成合并外部收入；其他收入仅作上界,,0.00,29369254.52,下界=0；上界=其他收入29369254.52（仅作可能外销原奶/农业收入上限）,0,0.0156619780909645177212046118177079542697575140320934106316909,液体乳类（可确认原奶初加工）；花式奶、乳酸菌饮料、冰淇淋排除,,723570181.92,752939436.44,下界=液体乳类723570181.92；上界=液体乳类723570181.92+其他29369254.52,0.385864078667334535932820293270485312556700372879903178734339,0.401526056758299053654024905088193266826457886911996589366030,1875194458.16,合并利润表‘营业收入’（非自行汇总分部收入）,723570181.92,633874347.83,29369254.52,,采用营业收入列；成本仅作反向证据，未进入分子,否,否,是,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.0156619780909645177212046118177079542697575140320934106316909]；扩展区间[0.385864078667334535932820293270485312556700372879903178734339, 0.401526056758299053654024905088193266826457886911996589366030]。液体乳类单列，按已核实2023一致口径作为初加工；自有牧场内部原奶不得与成品收入重复相加。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,21|22,88,https://static.cninfo.com.cn/finalpage/2023-03-31/1216279507.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600429,北京三元食品股份有限公司,2014,待核实,待核实,当年未披露可识别的合并外部农业生产收入,0.00,0.00,0.00,下界=上界=0（当年未单列畜牧业外部收入；其他业务收入不属于农业证据）,0,0,液态奶大类混合纯奶、发酵奶等产品，仅作扩展上界,,0.00,3256085514.31,下界=0；上界=液态奶3256085514.31,0,0.723176480183426743212490191638261557867147421681411512057807,4502477062.70,合并利润表‘营业收入’（非自行汇总分部收入）,3256085514.31,2383039685.20,0.00,,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0]；扩展区间[0, 0.723176480183426743212490191638261557867147421681411512057807]。液态奶未拆原奶初加工与发酵等深加工，扩展正式分子留空；固态奶、冰淇淋、涂抹酱不计入。排除营业收入与主营业务收入的差额（其他业务收入）103883874.42：该值不是畜牧业披露，2020年报还明示当年差额与主营业务无关。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,9|10,52,https://static.cninfo.com.cn/finalpage/2015-04-29/1200935227.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600429,北京三元食品股份有限公司,2015,待核实,待核实,当年未披露可识别的合并外部农业生产收入,0.00,0.00,0.00,下界=上界=0（当年未单列畜牧业外部收入；其他业务收入不属于农业证据）,0,0,液态奶大类混合纯奶、发酵奶等产品，仅作扩展上界,,0.00,3210740638.08,下界=0；上界=液态奶3210740638.08,0,0.705678178768208189433220691953979399492420706450408649913625,4549865271.00,合并利润表‘营业收入’（非自行汇总分部收入）,3210740638.08,2202544250.62,0.00,,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0]；扩展区间[0, 0.705678178768208189433220691953979399492420706450408649913625]。液态奶未拆原奶初加工与发酵等深加工，扩展正式分子留空；固态奶、冰淇淋、涂抹酱不计入。排除营业收入与主营业务收入的差额（其他业务收入）147963150.33：该值不是畜牧业披露，2020年报还明示当年差额与主营业务无关。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,11,69,https://static.cninfo.com.cn/finalpage/2016-04-27/1202248270.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600429,北京三元食品股份有限公司,2018,待核实,待核实,当年未披露可识别的合并外部农业生产收入,0.00,0.00,0.00,下界=上界=0（当年未单列畜牧业外部收入；其他业务收入不属于农业证据）,0,0,液态奶大类混合纯奶、发酵奶等产品，仅作扩展上界,,0.00,4003435046.33,下界=0；上界=液态奶4003435046.33,0,0.536952632400496523772629212586034175151957773874453795165709,7455843969.76,合并利润表‘营业收入’（非自行汇总分部收入）,4003435046.33,2813595263.14,0.00,,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0]；扩展区间[0, 0.536952632400496523772629212586034175151957773874453795165709]。液态奶未拆原奶初加工与发酵等深加工，扩展正式分子留空；固态奶、冰淇淋、涂抹酱不计入。排除营业收入与主营业务收入的差额（其他业务收入）171004019.76：该值不是畜牧业披露，2020年报还明示当年差额与主营业务无关。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,12|13,73,https://static.cninfo.com.cn/finalpage/2019-04-25/1206087901.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
