股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,可确认种植或原奶外销收入_元,可确认种植或原奶外销成本_元_反向证据,混合种植或乳品收入_元_上界,混合种植或乳品成本_元_反向证据,审计其他业务收入_元_上界,审计其他业务成本_元_反向证据,深加工或排除类别,深加工类别收入_元_反向证据,深加工类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002329,皇氏集团股份有限公司,2018,,,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,基础乳品与调制乳、发酵乳等深加工未拆；乳制品、食品仅作扩展上界,,0.00,1360646585.37,下界=0；上界=未拆乳制品、食品1360646585.37,0,0.582490595463812212926226450232007448811386918262788326401496,2335911679.89,合并利润表营业收入,,,1360646585.37,948135781.10,,,调制乳、发酵乳、含乳饮料、植物蛋白饮料及其他食品；混合乳品另作上界,,,乳制品、食品成本948135781.10仅作混合类别反向证据，不按成本比例推算收入,否,待核实,待核实,低温奶、常温奶为互斥产品项目，可相加；不叠加乳制品行业、地区、销售模式或其他业务维度,公司具有牧草种植、奶牛养殖和乳品加工全产业链，但未单列外销原奶；乳品项目混含可扩展的基础乳品与应排除深加工品。,严格口径已判否；基础乳品与调制/发酵乳收入未拆，扩展口径上下界跨越50%。,13|14,72,2020—2022低温奶含巴氏杀菌乳、巴氏调制乳和发酵乳，常温奶含灭菌乳和调制乳；2018—2019仅披露乳制品、食品合计,https://static.cninfo.com.cn/finalpage/2019-04-26/1206103027.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002329,皇氏集团股份有限公司,2019,,,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,基础乳品与调制乳、发酵乳等深加工未拆；乳制品、食品仅作扩展上界,,0.00,1520328824.94,下界=0；上界=未拆乳制品、食品1520328824.94,0,0.674727598510245429888278191516103973852416252610029644254445,2253248315.76,合并利润表营业收入,,,1520328824.94,1074110783.08,,,调制乳、发酵乳、含乳饮料、植物蛋白饮料及其他食品；混合乳品另作上界,,,乳制品、食品成本1074110783.08仅作混合类别反向证据，不按成本比例推算收入,否,待核实,待核实,低温奶、常温奶为互斥产品项目，可相加；不叠加乳制品行业、地区、销售模式或其他业务维度,公司具有牧草种植、奶牛养殖和乳品加工全产业链，但未单列外销原奶；乳品项目混含可扩展的基础乳品与应排除深加工品。,严格口径已判否；基础乳品与调制/发酵乳收入未拆，扩展口径上下界跨越50%。,13|14,73,2020—2022低温奶含巴氏杀菌乳、巴氏调制乳和发酵乳，常温奶含灭菌乳和调制乳；2018—2019仅披露乳制品、食品合计,https://static.cninfo.com.cn/finalpage/2020-04-15/1207498733.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002329,皇氏集团股份有限公司,2020,,,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,基础乳品与调制乳、发酵乳等深加工未拆；低温奶与常温奶仅作扩展上界,,0.00,1621310412.60,下界=0；上界=未拆低温奶与常温奶1621310412.60,0,0.651084563550260726460194157506920010531374768183754601358653,2490168717.50,合并利润表营业收入,,,1621310412.60,1243839833.70,,,调制乳、发酵乳、含乳饮料、植物蛋白饮料及其他食品；混合乳品另作上界,,,低温奶与常温奶成本1243839833.70仅作混合类别反向证据，不按成本比例推算收入,否,待核实,待核实,低温奶、常温奶为互斥产品项目，可相加；不叠加乳制品行业、地区、销售模式或其他业务维度,公司具有牧草种植、奶牛养殖和乳品加工全产业链，但未单列外销原奶；乳品项目混含可扩展的基础乳品与应排除深加工品。,严格口径已判否；基础乳品与调制/发酵乳收入未拆，扩展口径上下界跨越50%。,18|19|20,82,2020—2022低温奶含巴氏杀菌乳、巴氏调制乳和发酵乳，常温奶含灭菌乳和调制乳；2018—2019仅披露乳制品、食品合计,https://static.cninfo.com.cn/finalpage/2021-04-30/1209870076.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002329,皇氏集团股份有限公司,2021,,,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,基础乳品与调制乳、发酵乳等深加工未拆；低温奶与常温奶仅作扩展上界,,0.00,2012603645.29,下界=0；上界=未拆低温奶与常温奶2012603645.29,0,0.783513414642799539756756998333817563380431566571135353210004,2568690730.34,合并利润表营业收入,,,2012603645.29,1573311242.27,,,调制乳、发酵乳、含乳饮料、植物蛋白饮料及其他食品；混合乳品另作上界,,,低温奶与常温奶成本1573311242.27仅作混合类别反向证据，不按成本比例推算收入,否,待核实,待核实,低温奶、常温奶为互斥产品项目，可相加；不叠加乳制品行业、地区、销售模式或其他业务维度,公司具有牧草种植、奶牛养殖和乳品加工全产业链，但未单列外销原奶；乳品项目混含可扩展的基础乳品与应排除深加工品。,严格口径已判否；基础乳品与调制/发酵乳收入未拆，扩展口径上下界跨越50%。,19|21,98,2020—2022低温奶含巴氏杀菌乳、巴氏调制乳和发酵乳，常温奶含灭菌乳和调制乳；2018—2019仅披露乳制品、食品合计,https://static.cninfo.com.cn/finalpage/2022-05-14/1213357781.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002329,皇氏集团股份有限公司,2022,待核实,待核实,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,基础乳品与调制乳、发酵乳等深加工未拆；低温奶与常温奶仅作扩展上界,,0.00,2288864463.02,下界=0；上界=未拆低温奶与常温奶2288864463.02,0,0.791802687108153185376803689418890670889541595896795671730029,2890700549.88,合并利润表营业收入,,,2288864463.02,1843335048.82,,,调制乳、发酵乳、含乳饮料、植物蛋白饮料及其他食品；混合乳品另作上界,,,低温奶与常温奶成本1843335048.82仅作混合类别反向证据，不按成本比例推算收入,否,待核实,待核实,低温奶、常温奶为互斥产品项目，可相加；不叠加乳制品行业、地区、销售模式或其他业务维度,公司具有牧草种植、奶牛养殖和乳品加工全产业链，但未单列外销原奶；乳品项目混含可扩展的基础乳品与应排除深加工品。,严格口径已判否；基础乳品与调制/发酵乳收入未拆，扩展口径上下界跨越50%。2022行业分类字段仍待核实。,21|23|24,102|103,2020—2022低温奶含巴氏杀菌乳、巴氏调制乳和发酵乳，常温奶含灭菌乳和调制乳；2018—2019仅披露乳制品、食品合计,https://static.cninfo.com.cn/finalpage/2023-04-25/1216562254.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002719,麦趣尔集团股份有限公司,2018,,,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,灭菌乳等基础乳品与调制乳、含乳饮料、发酵乳混合披露，仅作扩展上界,,0.00,250412110.13,下界=0；上界=未拆乳制品收入250412110.13,0,0.417210799784091236842619406142433754504091078622075923770128,600205244.59,合并利润表营业收入,,,250412110.13,169469120.63,,,调制乳、含乳饮料、发酵乳、烘焙及节日食品；乳制品混合项目另作上界,,,乳制品成本169469120.63只作混合类别反向证据，不按成本比例推算收入,否,否,待核实,乳制品为产品维度互斥项目；不叠加食品制造业、地区、销售模式或审计其他业务,奶牛养殖与生鲜乳生产线不替代外销收入；乳制品同时含可扩展基础乳品和应排除深加工品，不能整体纳入。,严格口径已判否；乳制品内部品类收入未拆，不以采购额、产能或成本估算。,13|14,71,年报明确乳制品包括灭菌乳、调制乳、含乳饮料和发酵乳；生鲜乳采购额和生产线建设金额不属于外销收入,https://static.cninfo.com.cn/finalpage/2019-04-25/1206090540.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002719,麦趣尔集团股份有限公司,2019,,,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,灭菌乳等基础乳品与调制乳、含乳饮料、发酵乳混合披露，仅作扩展上界,,0.00,254251762.59,下界=0；上界=未拆乳制品收入254251762.59,0,0.379157422648908603030157755213474818905728402880188286128721,670570447.53,合并利润表营业收入,,,254251762.59,191338484.13,,,调制乳、含乳饮料、发酵乳、烘焙及节日食品；乳制品混合项目另作上界,,,乳制品成本191338484.13只作混合类别反向证据，不按成本比例推算收入,否,否,待核实,乳制品为产品维度互斥项目；不叠加食品制造业、地区、销售模式或审计其他业务,奶牛养殖与生鲜乳生产线不替代外销收入；乳制品同时含可扩展基础乳品和应排除深加工品，不能整体纳入。,严格口径已判否；乳制品内部品类收入未拆，不以采购额、产能或成本估算。,11|12,70,年报明确乳制品包括灭菌乳、调制乳、含乳饮料和发酵乳；生鲜乳采购额和生产线建设金额不属于外销收入,https://static.cninfo.com.cn/finalpage/2020-05-09/1207724399.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002719,麦趣尔集团股份有限公司,2020,,,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,灭菌乳等基础乳品与调制乳、含乳饮料、发酵乳混合披露，仅作扩展上界,,0.00,464595420.58,下界=0；上界=未拆乳制品收入464595420.58,0,0.530711832312549959339484578393790890561877896027018280510845,875419375.06,合并利润表营业收入,,,464595420.58,380653524.34,,,调制乳、含乳饮料、发酵乳、烘焙及节日食品；乳制品混合项目另作上界,,,乳制品成本380653524.34只作混合类别反向证据，不按成本比例推算收入,否,待核实,待核实,乳制品为产品维度互斥项目；不叠加食品制造业、地区、销售模式或审计其他业务,奶牛养殖与生鲜乳生产线不替代外销收入；乳制品同时含可扩展基础乳品和应排除深加工品，不能整体纳入。,严格口径已判否；乳制品内部品类收入未拆，不以采购额、产能或成本估算。,13|14,72|73,年报明确乳制品包括灭菌乳、调制乳、含乳饮料和发酵乳；生鲜乳采购额和生产线建设金额不属于外销收入,https://static.cninfo.com.cn/finalpage/2021-12-17/1211934925.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002719,麦趣尔集团股份有限公司,2021,,,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,灭菌乳等基础乳品与调制乳、含乳饮料、发酵乳混合披露，仅作扩展上界,,0.00,732920146.59,下界=0；上界=未拆乳制品收入732920146.59,0,0.639420425057820799808401719379699896466689420884450315655029,1146225734.85,合并利润表营业收入,,,732920146.59,623936889.12,,,调制乳、含乳饮料、发酵乳、烘焙及节日食品；乳制品混合项目另作上界,,,乳制品成本623936889.12只作混合类别反向证据，不按成本比例推算收入,否,待核实,待核实,乳制品为产品维度互斥项目；不叠加食品制造业、地区、销售模式或审计其他业务,奶牛养殖与生鲜乳生产线不替代外销收入；乳制品同时含可扩展基础乳品和应排除深加工品，不能整体纳入。,严格口径已判否；乳制品内部品类收入未拆，不以采购额、产能或成本估算。,14|15|16,77,年报明确乳制品包括灭菌乳、调制乳、含乳饮料和发酵乳；生鲜乳采购额和生产线建设金额不属于外销收入,https://static.cninfo.com.cn/finalpage/2022-04-26/1213106351.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
002719,麦趣尔集团股份有限公司,2022,待核实,待核实,未单列合并口径外销原奶收入；内部原奶不重复计入,0.00,0.00,0.00,下界=上界=0（无单列合并口径外销原奶收入）,0,0,灭菌乳等基础乳品与调制乳、含乳饮料、发酵乳混合披露，仅作扩展上界,,0.00,549444647.73,下界=0；上界=未拆乳制品收入549444647.73,0,0.555505181479123107330023963871337862878396786390901447381956,989090050.01,合并利润表营业收入,,,549444647.73,517365029.06,,,调制乳、含乳饮料、发酵乳、烘焙及节日食品；乳制品混合项目另作上界,,,乳制品成本517365029.06只作混合类别反向证据，不按成本比例推算收入,否,待核实,待核实,乳制品为产品维度互斥项目；不叠加食品制造业、地区、销售模式或审计其他业务,奶牛养殖与生鲜乳生产线不替代外销收入；乳制品同时含可扩展基础乳品和应排除深加工品，不能整体纳入。,严格口径已判否；乳制品内部品类收入未拆，不以采购额、产能或成本估算。2022行业分类字段仍待核实。,16|17,77,年报明确乳制品包括灭菌乳、调制乳、含乳饮料和发酵乳；生鲜乳采购额和生产线建设金额不属于外销收入,https://static.cninfo.com.cn/finalpage/2023-04-27/1216620711.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批U组（未合并）,已人工复核（第十九批U组；主表未合并）,2026-08-11
