股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,单列药材种植收入_元,单列药材种植成本_元_反向证据,中药材饮片或未拆产品收入_元_上界,中药材饮片或未拆产品成本_元_反向证据,审计其他业务收入_元_上界,审计其他业务成本_元_反向证据,上界对应成本合计_元_反向证据,深加工或排除类别,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,审计其他业务收入成本证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000538,云南白药集团股份有限公司,2018,,,单列种植业销售收入；未拆其他业务仅作上界,,12118066.99,40178453.51,下界=种植业销售12118066.99；上界=种植业销售12118066.99+其他业务28060386.52=40178453.51,0.000453720612782958227684949361706301684345236929951497968664428,0.00150434822338185463945118303525905962156261332732501982057810,同严格口径；未单列其他可确认的初加工或农业投入品收入,,12118066.99,40178453.51,下界=种植业销售12118066.99；上界=种植业销售12118066.99+其他业务28060386.52=40178453.51,0.000453720612782958227684949361706301684345236929951497968664428,0.00150434822338185463945118303525905962156261332732501982057810,26708213487.75,合并利润表营业收入,12118066.99,15385631.40,,,28060386.52,11378369.23,26764000.63,药品工业、药品批发零售、医疗健康和牙膏等日化产品,单列种植成本15385631.40+其他业务成本11378369.23=26764000.63，只作反向核对,否,否,否,采用同一分行业收入维度；种植业与其他业务互斥，不与产品、事业部或地区维度相加,种植业销售属于直接农业；工业产品、药品商业、医疗及日化产品排除，其他业务性质未拆只作上界。,其他业务未拆农业与非农业性质，只作上界；不影响低于30%的结论。,18|19|20|21,97,,种植收入与种植成本均来自年报收入/成本表；生物资产、基地和免税信息未替代收入,https://static.cninfo.com.cn/finalpage/2019-03-22/1205925083.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
000538,云南白药集团股份有限公司,2019,,,单列种植业销售收入；未拆其他业务仅作上界,,3251888.12,82712769.28,下界=种植业销售3251888.12；上界=种植业销售3251888.12+其他业务79460881.16=82712769.28,0.000109621569898105219663603161330017216634771071088734602489568,0.00278825817017756753058261041790340929008947504275792353608776,同严格口径；未单列其他可确认的初加工或农业投入品收入,,3251888.12,82712769.28,下界=种植业销售3251888.12；上界=种植业销售3251888.12+其他业务79460881.16=82712769.28,0.000109621569898105219663603161330017216634771071088734602489568,0.00278825817017756753058261041790340929008947504275792353608776,29664673868.68,合并利润表营业收入,3251888.12,4227484.49,,,79460881.16,30913475.39,35140959.88,药品工业、药品批发零售、医疗健康和牙膏等日化产品,单列种植成本4227484.49+其他业务成本30913475.39=35140959.88，只作反向核对,否,否,否,采用同一分行业收入维度；种植业与其他业务互斥，不与产品、事业部或地区维度相加,种植业销售属于直接农业；工业产品、药品商业、医疗及日化产品排除，其他业务性质未拆只作上界。,其他业务未拆农业与非农业性质，只作上界；不影响低于30%的结论。,19|20|21,114,,种植收入与种植成本均来自年报收入/成本表；生物资产、基地和免税信息未替代收入,https://static.cninfo.com.cn/finalpage/2020-03-27/1207410745.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
000538,云南白药集团股份有限公司,2020,,,单列种植业销售收入；未拆其他业务仅作上界,,376212.00,47563310.34,下界=种植业销售376212.00；上界=种植业销售376212.00+其他业务47187098.34=47563310.34,0.0000114899270032381703548416729568747677660653693080459841483019,0.00145263565181058361115839583110751389050002573316455137804324,同严格口径；未单列其他可确认的初加工或农业投入品收入,,376212.00,47563310.34,下界=种植业销售376212.00；上界=种植业销售376212.00+其他业务47187098.34=47563310.34,0.0000114899270032381703548416729568747677660653693080459841483019,0.00145263565181058361115839583110751389050002573316455137804324,32742766763.79,合并利润表营业收入,376212.00,140867.83,,,47187098.34,34501926.43,34642794.26,药品工业、药品批发零售、医疗健康和牙膏等日化产品,单列种植成本140867.83+其他业务成本34501926.43=34642794.26，只作反向核对,否,否,否,采用同一分行业收入维度；种植业与其他业务互斥，不与产品、事业部或地区维度相加,种植业销售属于直接农业；工业产品、药品商业、医疗及日化产品排除，其他业务性质未拆只作上界。,其他业务未拆农业与非农业性质，只作上界；不影响低于30%的结论。,22|23|24,111,,种植收入与种植成本均来自年报收入/成本表；生物资产、基地和免税信息未替代收入,https://static.cninfo.com.cn/finalpage/2021-03-27/1209463046.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
000538,云南白药集团股份有限公司,2021,,,单列种植业销售收入；未拆其他业务仅作上界,,997037.00,79084869.64,下界=种植业销售997037.00；上界=种植业销售997037.00+其他业务78087832.64=79084869.64,0.0000274107664769530446629752129280462558011254855301117943038337,0.00217421910476974636003728291825256318463818573275675581462391,同严格口径；未单列其他可确认的初加工或农业投入品收入,,997037.00,79084869.64,下界=种植业销售997037.00；上界=种植业销售997037.00+其他业务78087832.64=79084869.64,0.0000274107664769530446629752129280462558011254855301117943038337,0.00217421910476974636003728291825256318463818573275675581462391,36373919016.03,合并利润表营业收入,997037.00,951299.84,,,78087832.64,58324106.31,59275406.15,药品工业、药品批发零售、医疗健康和牙膏等日化产品,单列种植成本951299.84+其他业务成本58324106.31=59275406.15，只作反向核对,否,否,否,采用同一分行业收入维度；种植业与其他业务互斥，不与产品、事业部或地区维度相加,种植业销售属于直接农业；工业产品、药品商业、医疗及日化产品排除，其他业务性质未拆只作上界。,其他业务未拆农业与非农业性质，只作上界；不影响低于30%的结论。,22|23|24,135,,种植收入与种植成本均来自年报收入/成本表；生物资产、基地和免税信息未替代收入,https://static.cninfo.com.cn/finalpage/2022-03-26/1212688576.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
000538,云南白药集团股份有限公司,2022,待核实,待核实,单列种植业销售收入；未拆其他业务仅作上界,,1591729.90,50402053.86,下界=种植业销售1591729.90；上界=种植业销售1591729.90+其他业务48810323.96=50402053.86,0.0000436229347710243304695085262791725873829940891757859309211331,0.00138131821728073027446089178148383224158396756302661996744372,同严格口径；未单列其他可确认的初加工或农业投入品收入,,1591729.90,50402053.86,下界=种植业销售1591729.90；上界=种植业销售1591729.90+其他业务48810323.96=50402053.86,0.0000436229347710243304695085262791725873829940891757859309211331,0.00138131821728073027446089178148383224158396756302661996744372,36488372649.73,合并利润表营业收入,1591729.90,7431315.90,,,48810323.96,34346894.23,41778210.13,药品工业、药品批发零售、医疗健康和牙膏等日化产品,单列种植成本7431315.90+其他业务成本34346894.23=41778210.13，只作反向核对,否,否,否,采用同一分行业收入维度；种植业与其他业务互斥，不与产品、事业部或地区维度相加,种植业销售属于直接农业；工业产品、药品商业、医疗及日化产品排除，其他业务性质未拆只作上界。,其他业务未拆农业与非农业性质，只作上界；不影响低于30%的结论。,26|27,138,,种植收入与种植成本均来自年报收入/成本表；生物资产、基地和免税信息未替代收入,https://static.cninfo.com.cn/finalpage/2023-03-31/1216280778.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
002873,贵阳新天药业股份有限公司,2018,,,未单列药材种植对外收入；药品产品“其他”仅作上界,,0.00,21081483.88,下界=0；上界=未拆产品其他21081483.88,0,0.0303654280543853538999526512136939150867581352848015004609503,未单列药材初加工或农业投入品收入；药品产品“其他”仅作上界,,0.00,21081483.88,下界=0；上界=未拆产品其他21081483.88,0,0.0303654280543853538999526512136939150867581352848015004609503,694259400.60,合并利润表营业收入,,,21081483.88,21066591.64,,,21066591.64,坤泰/宁泌泰等中成药、妇科药、泌尿系统药、清热解毒药,成本上界21066591.64=合并营业成本扣除已披露主要药品成本后的保守残差，包含部分明确排除药品成本,否,否,否,产品类别合计等于合并营业收入；只取同一产品维度的其他类，不叠加行业、地区或其他业务,妇科、泌尿、清热解毒等收入均为中成药；种植基地主要保障原料，未单列对外农业收入。,产品其他未拆具体品种，只作上界；上界不足4%。,13|14,91,,药材基地、存货和原料采购不替代对外收入；成本残差只作保守反向证据，不用于倒推收入,https://static.cninfo.com.cn/finalpage/2019-03-29/1205956546.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
002873,贵阳新天药业股份有限公司,2019,,,未单列药材种植对外收入；药品产品“其他”仅作上界,,0.00,22888433.04,下界=0；上界=未拆产品其他22888433.04,0,0.0295969535754575070016826060671394731951283727788777995089500,未单列药材初加工或农业投入品收入；药品产品“其他”仅作上界,,0.00,22888433.04,下界=0；上界=未拆产品其他22888433.04,0,0.0295969535754575070016826060671394731951283727788777995089500,773337464.67,合并利润表营业收入,,,22888433.04,25174224.26,,,25174224.26,坤泰/宁泌泰等中成药、妇科药、泌尿系统药、清热解毒药,成本上界25174224.26=合并营业成本扣除已披露主要药品成本后的保守残差，包含部分明确排除药品成本,否,否,否,产品类别合计等于合并营业收入；只取同一产品维度的其他类，不叠加行业、地区或其他业务,妇科、泌尿、清热解毒等收入均为中成药；种植基地主要保障原料，未单列对外农业收入。,产品其他未拆具体品种，只作上界；上界不足4%。,13|14,78,,药材基地、存货和原料采购不替代对外收入；成本残差只作保守反向证据，不用于倒推收入,https://static.cninfo.com.cn/finalpage/2020-04-28/1207635968.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
002873,贵阳新天药业股份有限公司,2020,,,未单列药材种植对外收入；药品产品“其他”仅作上界,,0.00,7314540.29,下界=0；上界=未拆产品其他7314540.29,0,0.00974042938934757631540415467237909226990555397214077860955741,未单列药材初加工或农业投入品收入；药品产品“其他”仅作上界,,0.00,7314540.29,下界=0；上界=未拆产品其他7314540.29,0,0.00974042938934757631540415467237909226990555397214077860955741,750946390.31,合并利润表营业收入,,,7314540.29,23147815.26,,,23147815.26,坤泰/宁泌泰等中成药、妇科药、泌尿系统药、清热解毒药,成本上界23147815.26=合并营业成本扣除已披露主要药品成本后的保守残差，包含部分明确排除药品成本,否,否,否,产品类别合计等于合并营业收入；只取同一产品维度的其他类，不叠加行业、地区或其他业务,妇科、泌尿、清热解毒等收入均为中成药；种植基地主要保障原料，未单列对外农业收入。,产品其他未拆具体品种，只作上界；上界不足4%。,16|17,84,,药材基地、存货和原料采购不替代对外收入；成本残差只作保守反向证据，不用于倒推收入,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869800.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
002873,贵阳新天药业股份有限公司,2021,,,未单列药材种植对外收入；药品产品“其他”仅作上界,,0.00,12937414.78,下界=0；上界=未拆产品其他12937414.78,0,0.0133396798673497595848306730099405864925223746919969788263541,未单列药材初加工或农业投入品收入；药品产品“其他”仅作上界,,0.00,12937414.78,下界=0；上界=未拆产品其他12937414.78,0,0.0133396798673497595848306730099405864925223746919969788263541,969844472.18,合并利润表营业收入,,,12937414.78,27908654.33,,,27908654.33,坤泰/宁泌泰等中成药、妇科药、泌尿系统药、清热解毒药,成本上界27908654.33=合并营业成本扣除已披露主要药品成本后的保守残差，包含部分明确排除药品成本,否,否,否,产品类别合计等于合并营业收入；只取同一产品维度的其他类，不叠加行业、地区或其他业务,妇科、泌尿、清热解毒等收入均为中成药；种植基地主要保障原料，未单列对外农业收入。,产品其他未拆具体品种，只作上界；上界不足4%。,17|18,87,,药材基地、存货和原料采购不替代对外收入；成本残差只作保守反向证据，不用于倒推收入,https://static.cninfo.com.cn/finalpage/2022-03-25/1212670529.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
002873,贵阳新天药业股份有限公司,2022,待核实,待核实,未单列药材种植对外收入；药品产品“其他”仅作上界,,0.00,16941971.87,下界=0；上界=未拆产品其他16941971.87,0,0.0155763425927168333310288913544792574525216332486149675945053,未单列药材初加工或农业投入品收入；药品产品“其他”仅作上界,,0.00,16941971.87,下界=0；上界=未拆产品其他16941971.87,0,0.0155763425927168333310288913544792574525216332486149675945053,1087673294.88,合并利润表营业收入,,,16941971.87,34863758.90,,,34863758.90,坤泰/宁泌泰等中成药、妇科药、泌尿系统药、清热解毒药,成本上界34863758.90=合并营业成本扣除已披露主要药品成本后的保守残差，包含部分明确排除药品成本,否,否,否,产品类别合计等于合并营业收入；只取同一产品维度的其他类，不叠加行业、地区或其他业务,妇科、泌尿、清热解毒等收入均为中成药；种植基地主要保障原料，未单列对外农业收入。,产品其他未拆具体品种，只作上界；上界不足4%。,17|18,84,,药材基地、存货和原料采购不替代对外收入；成本残差只作保守反向证据，不用于倒推收入,https://static.cninfo.com.cn/finalpage/2023-03-28/1216236074.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
