股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,公司营业收入公式,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,单列初加工或农业投入品收入_元,单列初加工或农业投入品成本_元_反向证据,未拆上界项目,未拆上界项目收入_元,未拆上界项目成本_元_反向证据,明确排除类别,明确排除收入_元_反向证据,明确排除成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000568,泸州老窖股份有限公司,2018,,,未单列直接农业收入；未拆其他收入仅作上界,,0.00,195941935.99,下界=0；上界=其他收入195941935.99,0,0.0150084217268658323472450330919308541549502846737064292033159,未单列农产品初加工或农业投入品收入；未拆其他收入仅作上界,,0.00,195941935.99,下界=0；上界=其他收入195941935.99,0,0.0150084217268658323472450330919308541549502846737064292033159,13055465761.55,2934001858.91,合并利润表营业收入,0.00,55007388.80,0.00,55007388.80,,,未拆其他收入,195941935.99,55007388.80,中高档及其他白酒,12859523825.56,2878994470.11,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,酒类与其他收入为同一收入构成维度互斥项目；不叠加地区、渠道、原粮采购或产量,白酒属于食品深加工；原粮采购、酿造窖池和产品名称均不能替代直接农业或初加工收入。,其他收入未拆具体业务性质，只作上界；上界低于30%。,11|12,65,酒类成本为产品/行业表可确认金额；其他收入成本按合并营业成本减酒类成本的互斥残差核对，不以成本反推收入,https://static.cninfo.com.cn/finalpage/2019-04-26/1206098272.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
000568,泸州老窖股份有限公司,2019,,,未单列直接农业收入；未拆其他收入仅作上界,,0.00,201215170.43,下界=0；上界=其他收入201215170.43,0,0.0127215025970779672824901366661668632662758590991129561655905,未单列农产品初加工或农业投入品收入；未拆其他收入仅作上界,,0.00,201215170.43,下界=0；上界=其他收入201215170.43,0,0.0127215025970779672824901366661668632662758590991129561655905,15816934272.86,3065418048.38,合并利润表营业收入,0.00,90933686.25,0.00,90933686.25,,,未拆其他收入,201215170.43,90933686.25,中高档及其他白酒,15615719102.43,2974484362.13,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,酒类与其他收入为同一收入构成维度互斥项目；不叠加地区、渠道、原粮采购或产量,白酒属于食品深加工；原粮采购、酿造窖池和产品名称均不能替代直接农业或初加工收入。,其他收入未拆具体业务性质，只作上界；上界低于30%。,11|12,70,酒类成本为产品/行业表可确认金额；其他收入成本按合并营业成本减酒类成本的互斥残差核对，不以成本反推收入,https://static.cninfo.com.cn/finalpage/2020-04-29/1207656466.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
000568,泸州老窖股份有限公司,2020,,,未单列直接农业收入；未拆其他收入仅作上界,,0.00,204893980.58,下界=0；上界=其他收入204893980.58,0,0.0123038353555103120186143739785274756270362966165105464950633,未单列农产品初加工或农业投入品收入；未拆其他收入仅作上界,,0.00,204893980.58,下界=0；上界=其他收入204893980.58,0,0.0123038353555103120186143739785274756270362966165105464950633,16652854549.80,2823484558.06,合并利润表营业收入,0.00,112050551.09,0.00,112050551.09,,,未拆其他收入,204893980.58,112050551.09,中高档及其他白酒,16447960569.22,2711434006.97,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,酒类与其他收入为同一收入构成维度互斥项目；不叠加地区、渠道、原粮采购或产量,白酒属于食品深加工；原粮采购、酿造窖池和产品名称均不能替代直接农业或初加工收入。,其他收入未拆具体业务性质，只作上界；上界低于30%。,13|14|15,76,酒类成本为产品/行业表可确认金额；其他收入成本按合并营业成本减酒类成本的互斥残差核对，不以成本反推收入,https://static.cninfo.com.cn/finalpage/2021-04-30/1209863995.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
000568,泸州老窖股份有限公司,2021,,,未单列直接农业收入；未拆其他收入仅作上界,,0.00,227091255.28,下界=0；上界=其他收入227091255.28,0,0.0110012777820706953081084693031188827086226132086517881955327,未单列农产品初加工或农业投入品收入；未拆其他收入仅作上界,,0.00,227091255.28,下界=0；上界=其他收入227091255.28,0,0.0110012777820706953081084693031188827086226132086517881955327,20642261724.37,2952431488.31,合并利润表营业收入,0.00,66746336.68,0.00,66746336.68,,,未拆其他收入,227091255.28,66746336.68,中高档及其他白酒,20415170469.09,2885685151.63,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,酒类与其他收入为同一收入构成维度互斥项目；不叠加地区、渠道、原粮采购或产量,白酒属于食品深加工；原粮采购、酿造窖池和产品名称均不能替代直接农业或初加工收入。,其他收入未拆具体业务性质，只作上界；上界低于30%。,11|14|15,82,酒类成本为产品/行业表可确认金额；其他收入成本按合并营业成本减酒类成本的互斥残差核对，不以成本反推收入,https://static.cninfo.com.cn/finalpage/2022-04-29/1213196184.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
000568,泸州老窖股份有限公司,2022,待核实,待核实,未单列直接农业收入；未拆其他收入仅作上界,,0.00,357441273.13,下界=0；上界=其他收入357441273.13,0,0.0142273318981695434608215644083463271274448861271556120500103,未单列农产品初加工或农业投入品收入；未拆其他收入仅作上界,,0.00,357441273.13,下界=0；上界=其他收入357441273.13,0,0.0142273318981695434608215644083463271274448861271556120500103,25123563271.62,3369528394.02,合并利润表营业收入,0.00,155274677.11,0.00,155274677.11,,,未拆其他收入,357441273.13,155274677.11,中高档及其他白酒,24766121998.49,3214253716.91,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,酒类与其他收入为同一收入构成维度互斥项目；不叠加地区、渠道、原粮采购或产量,白酒属于食品深加工；原粮采购、酿造窖池和产品名称均不能替代直接农业或初加工收入。,其他收入未拆具体业务性质，只作上界；上界低于30%。2022行业分类字段仍待核实。,11|16|17,87,酒类成本为产品/行业表可确认金额；其他收入成本按合并营业成本减酒类成本的互斥残差核对，不以成本反推收入,https://static.cninfo.com.cn/finalpage/2023-04-29/1216686514.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
002852,道道全粮油股份有限公司,2018,,,未单列直接农业收入；性质混合的其他业务仅作严格上界,,0.00,22642785.01,下界=0；上界=其他业务22642785.01,0,0.00628879749457908098093041661188025563975628661216044404499384,油料压榨副产粕类纳入扩展下界；以散装油和其他业务构造扩展上界,,626765351.70,931834804.28,下界=粕类626765351.70；上界=下界+散装油及其他业务305069452.58=931834804.28,0.174077542657370156007837905138182947590410278808575862933954,0.258807402884829682302740954913580161969159884813220317045475,3600495170.90,3151052631.03,合并利润表营业收入,0.00,306804080.83,600675368.16,907479448.99,626765351.70,600675368.16,散装油+其他业务,305069452.58,306804080.83,精炼包装食用油,2668660366.62,2243573182.04,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,包装油、粕类、散装油、其他业务为同一产品维度互斥项目；不叠加地区、渠道或原料采购,包装油属于精炼包装深加工；粕类为油料压榨副产品并用于饲料，纳入扩展口径；散装油主要含贸易油，不能全部直接纳入。,散装油中的自产初榨与贸易油未拆，其他业务含副产品和装卸等混合项目，只作上界。,12|13,71,散装油年报明确主要为贸易油；散装油与其他业务成本未分别完整披露，采用总成本扣除包装油和粕类成本后的合并残差，不按比例分摊,https://static.cninfo.com.cn/finalpage/2019-04-11/1206007110.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
002852,道道全粮油股份有限公司,2019,,,未单列直接农业收入；性质混合的其他业务仅作严格上界,,0.00,29613016.74,下界=0；上界=其他业务29613016.74,0,0.00719333137397970175220189263923807173213758843114739456128488,油料压榨副产粕类纳入扩展下界；以散装油和其他业务构造扩展上界,,587813147.75,956330146.54,下界=粕类587813147.75；上界=下界+散装油及其他业务368516998.79=956330146.54,0.142786356245710916771932537859298360242242941838378001784093,0.232303237032134528812910492933044297922555105805859769393180,4116731900.76,3738992685.78,合并利润表营业收入,0.00,351879360.45,576966492.46,928845852.91,587813147.75,576966492.46,散装油+其他业务,368516998.79,351879360.45,精炼包装食用油,3160401754.22,2810146832.87,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,包装油、粕类、散装油、其他业务为同一产品维度互斥项目；不叠加地区、渠道或原料采购,包装油属于精炼包装深加工；粕类为油料压榨副产品并用于饲料，纳入扩展口径；散装油主要含贸易油，不能全部直接纳入。,散装油中的自产初榨与贸易油未拆，其他业务含副产品和装卸等混合项目，只作上界。,12|13,77,散装油年报明确主要为贸易油；散装油与其他业务成本未分别完整披露，采用总成本扣除包装油和粕类成本后的合并残差，不按比例分摊,https://static.cninfo.com.cn/finalpage/2020-04-27/1207609631.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
002852,道道全粮油股份有限公司,2020,,,未单列直接农业收入；性质混合的其他业务仅作严格上界,,0.00,32517748.59,下界=0；上界=其他业务32517748.59,0,0.00615013762699653794236196214169646352559358716073406097305052,油料压榨副产粕类纳入扩展下界；以散装油和其他业务构造扩展上界,,684611149.35,1146346218.36,下界=粕类684611149.35；上界=下界+散装油及其他业务461735069.01=1146346218.36,0.129481682221185455975976193976349438683171110866244281780183,0.216810428667534805952532611897016559028322376114863131676058,5287320473.49,4904841801.54,合并利润表营业收入,0.00,458724906.51,665172576.63,1123897483.14,684611149.35,665172576.63,散装油+其他业务,461735069.01,458724906.51,精炼包装食用油,4140974255.13,3780944318.40,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,包装油、粕类、散装油、其他业务为同一产品维度互斥项目；不叠加地区、渠道或原料采购,包装油属于精炼包装深加工；粕类为油料压榨副产品并用于饲料，纳入扩展口径；散装油主要含贸易油，不能全部直接纳入。,散装油中的自产初榨与贸易油未拆，其他业务含副产品和装卸等混合项目，只作上界。,14|15,81,散装油主要为贸易油；粕类、散装油及其他业务收入成本采用同一产品维度逐项核对,https://static.cninfo.com.cn/finalpage/2021-04-15/1209692397.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
002852,道道全粮油股份有限公司,2021,,,未单列直接农业收入；性质混合的其他业务仅作严格上界,,0.00,54334389.14,下界=0；上界=其他业务54334389.14,0,0.00997057415744936880091016587157950886454440478255359537909345,油料压榨副产粕类纳入扩展下界；以散装油和其他业务构造扩展上界,,973524828.39,1486792266.86,下界=粕类973524828.39；上界=下界+散装油及其他业务513267438.47=1486792266.86,0.178645635834246274219176568181362205070629702150180172383722,0.272832229975998614773078233735054109295935304735852330834276,5449474451.72,5360900797.84,合并利润表营业收入,0.00,450602829.75,1019383663.75,1469986493.50,973524828.39,1019383663.75,散装油+其他业务,513267438.47,450602829.75,精炼包装食用油,3962682184.86,3890914304.34,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,包装油、粕类、散装油、其他业务为同一产品维度互斥项目；不叠加地区、渠道或原料采购,包装油属于精炼包装深加工；粕类为油料压榨副产品并用于饲料，纳入扩展口径；散装油主要含贸易油，不能全部直接纳入。,散装油中的自产初榨与贸易油未拆，其他业务含副产品和装卸等混合项目，只作上界。,13|14,79,散装油主要为贸易油；粕类、散装油及其他业务收入成本采用同一产品维度逐项核对,https://static.cninfo.com.cn/finalpage/2022-04-29/1213220178.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
002852,道道全粮油股份有限公司,2022,待核实,待核实,未单列直接农业收入；性质混合的其他业务仅作严格上界,,0.00,71929930.50,下界=0；上界=其他业务71929930.50,0,0.0102342657673591415030178242825597117134013243105592315271975,油料压榨副产粕类纳入扩展下界；以散装油和其他业务构造扩展上界,,1398579768.79,2296866786.32,下界=粕类1398579768.79；上界=下界+散装油及其他业务898287017.53=2296866786.32,0.198991392750595804512609139422861102826977969883367761420372,0.326800609426683376224180901183567592445619847298841360063360,7028343032.62,7114455106.40,合并利润表营业收入,0.00,872580658.97,1496517455.27,2369098114.24,1398579768.79,1496517455.27,散装油+其他业务,898287017.53,872580658.97,精炼包装食用油,4731476246.30,4745356992.16,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,待核实,包装油、粕类、散装油、其他业务为同一产品维度互斥项目；不叠加地区、渠道或原料采购,包装油属于精炼包装深加工；粕类为油料压榨副产品并用于饲料，纳入扩展口径；散装油主要含贸易油，不能全部直接纳入。,散装油中的自产初榨与贸易油未拆，其他业务含副产品和装卸等混合项目，只作上界。2022行业分类字段仍待核实。,13|14,73,散装油主要为贸易油；粕类、散装油及其他业务收入成本采用同一产品维度逐项核对,https://static.cninfo.com.cn/finalpage/2023-04-27/1216626939.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
