股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,工作表采用收入公式,严格口径营业收入_元,严格口径收入公式,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,扩展口径营业收入_元,扩展口径收入公式,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,公司营业收入_元,公司营业收入公式,严格口径下界原始未四舍五入比例,严格口径上界原始未四舍五入比例,扩展口径下界原始未四舍五入比例,扩展口径上界原始未四舍五入比例,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
000592,中福海峡（平潭）发展股份有限公司,2013,2.0,林业,分行业林业收入（严格与扩展相同）,71616309.53,"林业71,616,309.53",71616309.53,"林业71,616,309.53",71616309.53,71616309.53,"林业71,616,309.53",71616309.53,"林业71,616,309.53",71616309.53,71616309.53,"林业71,616,309.53",857860505.32,合并利润表“营业收入”,0.08348246490644258209548692736,0.08348246490644258209548692736,0.08348246490644258209548692736,0.08348246490644258209548692736,0.08348246,0.08348246,0.08348246,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,15,65,https://static.cninfo.com.cn/finalpage/2014-04-30/63950761.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
000592,中福海峡（平潭）发展股份有限公司,2014,2.0,林业,分行业林业收入（严格与扩展相同）,79751089.97,"林业79,751,089.97",79751089.97,"林业79,751,089.97",79751089.97,79751089.97,"林业79,751,089.97",79751089.97,"林业79,751,089.97",79751089.97,79751089.97,"林业79,751,089.97",864754093.28,合并利润表“营业收入”,0.09222400979624767992517689028,0.09222400979624767992517689028,0.09222400979624767992517689028,0.09222400979624767992517689028,0.09222401,0.09222401,0.09222401,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,15|16,70,https://static.cninfo.com.cn/finalpage/2015-04-15/1200834190.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
000592,中福海峡（平潭）发展股份有限公司,2015,2.0,林业,分行业林业收入（严格与扩展相同）,86916303.25,"林业86,916,303.25",86916303.25,"林业86,916,303.25",86916303.25,86916303.25,"林业86,916,303.25",86916303.25,"林业86,916,303.25",86916303.25,86916303.25,"林业86,916,303.25",963181720.15,合并利润表“营业收入”,0.09023873837271765212081926989,0.09023873837271765212081926989,0.09023873837271765212081926989,0.09023873837271765212081926989,0.09023874,0.09023874,0.09023874,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,12|13|14,71,https://static.cninfo.com.cn/finalpage/2016-04-23/1202227414.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
000592,中福海峡（平潭）发展股份有限公司,2016,2.0,林业,分行业林业收入（严格与扩展相同）,57778171.61,"林业57,778,171.61",57778171.61,"林业57,778,171.61",57778171.61,57778171.61,"林业57,778,171.61",57778171.61,"林业57,778,171.61",57778171.61,57778171.61,"林业57,778,171.61",786230626.96,合并利润表“营业收入”,0.07348756157388855123161660052,0.07348756157388855123161660052,0.07348756157388855123161660052,0.07348756157388855123161660052,0.07348756,0.07348756,0.07348756,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,13|14|15,73,https://static.cninfo.com.cn/finalpage/2017-04-29/1203424015.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
000592,中福海峡（平潭）发展股份有限公司,2017,2.0,林业,分行业林业收入（严格与扩展相同）,58007835.00,"林业58,007,835.00",58007835.00,"林业58,007,835.00",58007835.00,58007835.00,"林业58,007,835.00",58007835.00,"林业58,007,835.00",58007835.00,58007835.00,"林业58,007,835.00",848387665.57,合并利润表“营业收入”,0.06837420834145048684244274403,0.06837420834145048684244274403,0.06837420834145048684244274403,0.06837420834145048684244274403,0.06837421,0.06837421,0.06837421,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,11|12|13,69,https://static.cninfo.com.cn/finalpage/2018-04-28/1204821768.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
000592,中福海峡（平潭）发展股份有限公司,2018,2.0,林业,分行业林业收入（严格与扩展相同）,49764816.39,"林业49,764,816.39",49764816.39,"林业49,764,816.39",49764816.39,49764816.39,"林业49,764,816.39",49764816.39,"林业49,764,816.39",49764816.39,49764816.39,"林业49,764,816.39",935428618.68,合并利润表“营业收入”,0.05320001483408110773966597496,0.05320001483408110773966597496,0.05320001483408110773966597496,0.05320001483408110773966597496,0.05320001,0.05320001,0.05320001,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,11|12|13,66,https://static.cninfo.com.cn/finalpage/2019-04-30/1206159441.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
000592,中福海峡（平潭）发展股份有限公司,2019,2.0,林业,分行业林业收入（严格与扩展相同）,51955068.43,"林业51,955,068.43",51955068.43,"林业51,955,068.43",51955068.43,51955068.43,"林业51,955,068.43",51955068.43,"林业51,955,068.43",51955068.43,51955068.43,"林业51,955,068.43",966397216.59,合并利润表“营业收入”,0.05376160810285348671711864993,0.05376160810285348671711864993,0.05376160810285348671711864993,0.05376160810285348671711864993,0.05376161,0.05376161,0.05376161,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,11|12|13,81,https://static.cninfo.com.cn/finalpage/2020-04-30/1207679481.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
000592,中福海峡（平潭）发展股份有限公司,2020,2.0,林业,分行业林业收入（严格与扩展相同）,47963879.14,"林业47,963,879.14",47963879.14,"林业47,963,879.14",47963879.14,47963879.14,"林业47,963,879.14",47963879.14,"林业47,963,879.14",47963879.14,47963879.14,"林业47,963,879.14",1234263308.85,合并利润表“营业收入”,0.03886032971739991134874607757,0.03886032971739991134874607757,0.03886032971739991134874607757,0.03886032971739991134874607757,0.03886033,0.03886033,0.03886033,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,12|13|14,76,https://static.cninfo.com.cn/finalpage/2021-04-30/1209867787.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
000592,中福海峡（平潭）发展股份有限公司,2021,2.0,林业,分行业林业收入（严格与扩展相同）,45709998.16,"林业45,709,998.16",45709998.16,"林业45,709,998.16",45709998.16,45709998.16,"林业45,709,998.16",45709998.16,"林业45,709,998.16",45709998.16,45709998.16,"林业45,709,998.16",1606512561.73,合并利润表“营业收入”,0.02845293541357462012903024373,0.02845293541357462012903024373,0.02845293541357462012903024373,0.02845293541357462012903024373,0.02845294,0.02845294,0.02845294,否,否,否,否（严格与扩展均只取同一分行业林业收入）,纤维板/人造板属于制造或深加工，不属于扩展规则的农产品初加工，故不计入；2013年不再声称可精确排除纤维板贸易。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,13|14|15,81,https://static.cninfo.com.cn/finalpage/2022-04-27/1213145510.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
002200,云南交投生态科技股份有限公司,2013,2.0,林业,苗木销售（不含租摆和绿化工程）,91042041.55,"苗木销售91,042,041.55",91042041.55,"苗木销售91,042,041.55",91042041.55,91042041.55,"苗木销售91,042,041.55",91042041.55,"苗木销售91,042,041.55",91042041.55,91042041.55,"苗木销售91,042,041.55",444668467.72,合并利润表“营业收入”,0.2047413931030692962669424155,0.2047413931030692962669424155,0.2047413931030692962669424155,0.2047413931030692962669424155,0.20474139,0.20474139,0.20474139,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,16,64,https://static.cninfo.com.cn/finalpage/2014-02-27/63611258.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
