股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,外销原奶或畜牧业收入_元,农业投入品收入_元,确认初加工乳品收入_元,混合乳品上界增量_元,直接农业或投入品成本_元_反向证据,乳制品成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,年报数值尾差说明,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002910,兰州庄园牧场股份有限公司,2018,待核实,待核实,无单列生鲜乳外销收入；内部原奶不计入,0.00,0.00,0.00,下界=上界=生鲜乳0.00,0,0,生鲜乳外销+巴氏杀菌乳+灭菌乳为下界；调制乳仅作上界；发酵乳、含乳饮料及其他乳制品排除,,257402932.07,427551575.71,下界=生鲜乳0.00+巴氏杀菌乳及灭菌乳257402932.07；上界=下界+调制乳170148643.64,0.391349203172873310357153717850045754484441839410964861597412,0.650039092887691655622891347033566119336470024228224032550802,657732097.02,合并利润表营业收入（不含利息收入）,0.00,0.00,257402932.07,170148643.64,0.00,428573227.92,生鲜乳成本0.00；液体乳及乳制品制造业成本428573227.92；成本仅作反向证据，未误作收入,否,待核实,待核实,生鲜乳为合并外销产品行；内部供加工原奶不与乳制品收入重复相加,"严格区间[0, 0]；扩展区间[0.391349203172873310357153717850045754484441839410964861597412, 0.650039092887691655622891347033566119336470024228224032550802]。",,调制乳未拆配方及工艺，仅作上界；发酵乳、含乳饮料和其他乳制品按深加工排除。,14|15,96,https://static.cninfo.com.cn/finalpage/2019-06-11/1206345489.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
002910,兰州庄园牧场股份有限公司,2019,待核实,待核实,无单列生鲜乳外销收入；内部原奶不计入,0.00,0.00,0.00,下界=上界=生鲜乳0.00,0,0,生鲜乳外销+巴氏杀菌乳+灭菌乳为下界；调制乳仅作上界；发酵乳、含乳饮料及其他乳制品排除,,242787915.67,522538557.17,下界=生鲜乳0.00+巴氏杀菌乳及灭菌乳242787915.67；上界=下界+调制乳279750641.50,0.298428596058424866468649694210153876963463375781233603980651,0.642290814072451807656222976012072576611077313536967146478441,813554461.19,合并利润表营业收入（不含利息收入）,0.00,0.00,242787915.67,279750641.50,0.00,547090162.22,生鲜乳成本0.00；液体乳及乳制品制造业成本547090162.22；成本仅作反向证据，未误作收入,否,待核实,待核实,生鲜乳为合并外销产品行；内部供加工原奶不与乳制品收入重复相加,"严格区间[0, 0]；扩展区间[0.298428596058424866468649694210153876963463375781233603980651, 0.642290814072451807656222976012072576611077313536967146478441]。",,调制乳未拆配方及工艺，仅作上界；发酵乳、含乳饮料和其他乳制品按深加工排除。,15|16,113,https://static.cninfo.com.cn/finalpage/2020-04-24/1207585711.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
002910,兰州庄园牧场股份有限公司,2020,待核实,待核实,无单列生鲜乳外销收入；内部原奶不计入,0.00,0.00,0.00,下界=上界=生鲜乳0.00,0,0,生鲜乳外销+巴氏杀菌乳+灭菌乳为下界；调制乳仅作上界；发酵乳、含乳饮料及其他乳制品排除,,269395615.22,536706399.78,下界=生鲜乳0.00+巴氏杀菌乳及灭菌乳269395615.22；上界=下界+调制乳267310784.56,0.364136358817001803099863582594748225712725808135547511233446,0.725454696098417431381889390885387369660915496673245144413831,739820698.20,合并利润表营业收入（不含利息收入）,0.00,0.00,269395615.22,267310784.56,0.00,525938456.19,生鲜乳成本0.00；液体乳及乳制品制造业成本525938456.19；成本仅作反向证据，未误作收入,否,待核实,待核实,生鲜乳为合并外销产品行；内部供加工原奶不与乳制品收入重复相加,"严格区间[0, 0]；扩展区间[0.364136358817001803099863582594748225712725808135547511233446, 0.725454696098417431381889390885387369660915496673245144413831]。",,调制乳未拆配方及工艺，仅作上界；发酵乳、含乳饮料和其他乳制品按深加工排除。,22|23,149,https://static.cninfo.com.cn/finalpage/2021-03-30/1209476508.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
002910,兰州庄园牧场股份有限公司,2021,待核实,待核实,单列生鲜乳外销收入（如当年披露）；内部原奶不计入,110907811.83,110907811.83,110907811.83,下界=上界=生鲜乳110907811.83,0.108580758773779525985449980920207860296983656196907033193008,0.108580758773779525985449980920207860296983656196907033193008,生鲜乳外销+巴氏杀菌乳+灭菌乳为下界；调制乳仅作上界；发酵乳、含乳饮料及其他乳制品排除,513816265.57,513816265.57,834331836.83,下界=生鲜乳110907811.83+巴氏杀菌乳及灭菌乳402908453.74；上界=下界+调制乳320515571.26,0.503035440564064444552018021294045712000379057180246240006441,0.816825996449943758275365105408963848881179420373518491485219,1021431541.67,合并利润表营业收入（不含利息收入）,110907811.83,0.00,402908453.74,320515571.26,55355036.54,702752091.29,生鲜乳成本55355036.54；液体乳及乳制品制造业成本702752091.29；成本仅作反向证据，未误作收入,否,是,否,生鲜乳为合并外销产品行；内部供加工原奶不与乳制品收入重复相加,"严格区间[0.108580758773779525985449980920207860296983656196907033193008, 0.108580758773779525985449980920207860296983656196907033193008]；扩展区间[0.503035440564064444552018021294045712000379057180246240006441, 0.816825996449943758275365105408963848881179420373518491485219]。",,调制乳未拆配方及工艺，仅作上界；发酵乳、含乳饮料和其他乳制品按深加工排除。,16|17|18,113|146,https://static.cninfo.com.cn/finalpage/2022-03-31/1212748046.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
002910,兰州庄园牧场股份有限公司,2022,待核实,待核实,无单列生鲜乳外销收入；内部原奶不计入,0.00,0.00,0.00,下界=上界=生鲜乳0.00,0,0,生鲜乳外销+巴氏杀菌乳+灭菌乳为下界；调制乳仅作上界；发酵乳、含乳饮料及其他乳制品排除,564901134.14,564901134.14,877684271.07,下界=生鲜乳0.00+巴氏杀菌乳及灭菌乳564901134.14；上界=下界+调制乳312783136.93,0.538064116594212794741850835365101276140970964518838652650731,0.835987721428218741606417549579907612515658036904488867547696,1049876988.11,合并利润表营业收入（不含利息收入）,0.00,0.00,564901134.14,312783136.93,0.00,827207332.24,生鲜乳成本0.00；液体乳及乳制品制造业成本827207332.24；成本仅作反向证据，未误作收入,否,是,否,生鲜乳为合并外销产品行；内部供加工原奶不与乳制品收入重复相加,"严格区间[0, 0]；扩展区间[0.538064116594212794741850835365101276140970964518838652650731, 0.835987721428218741606417549579907612515658036904488867547696]。",完整营业收入构成表披露灭菌乳489656783.90元，营业收入占比超过10%的产品表披露489656783.89元，年报两表自身存在0.01元尾差；本表采用完整营业收入构成表金额。,调制乳未拆配方及工艺，仅作上界；发酵乳、含乳饮料和其他乳制品按深加工排除。,15|16,95,https://static.cninfo.com.cn/finalpage/2023-04-21/1216492215.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
600419,新疆天润乳业股份有限公司,2018,待核实,待核实,畜牧业产品（年报说明主要因生鲜乳销量，作为合并外销直接农业收入）,27213215.21,27213215.21,27213215.21,下界=上界=畜牧业产品27213215.21,0.0186133541626589628774690820277271057163290076583026729071961,0.0186133541626589628774690820277271057163290076583026729071961,畜牧业产品为下界；常温及低温乳制品混合大类仅作上界,,27213215.21,1458003645.78,下界=畜牧业产品27213215.21；上界=下界+常温/低温乳制品1430790430.57,0.0186133541626589628774690820277271057163290076583026729071961,0.997248506651232521309399552411653278559258181965292207212540,1462026401.70,合并利润表营业收入（不含利息收入）,27213215.21,0.00,0.00,1430790430.57,22770734.41,1037879659.80,畜牧业产品成本22770734.41；常温/低温乳制品成本1037879659.80；成本仅作反向证据，未误作收入,否,待核实,待核实,畜牧业外销收入与乳制品成品收入按产品行分列；内部原奶不另行加总,"严格区间[0.0186133541626589628774690820277271057163290076583026729071961, 0.0186133541626589628774690820277271057163290076583026729071961]；扩展区间[0.0186133541626589628774690820277271057163290076583026729071961, 0.997248506651232521309399552411653278559258181965292207212540]。",,常温、低温乳制品未拆白奶、酸奶、调制乳及乳饮料，未拆前仅作扩展上界。,12,54,https://static.cninfo.com.cn/finalpage/2019-03-28/1205948111.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
600419,新疆天润乳业股份有限公司,2019,待核实,待核实,畜牧业产品（年报说明主要因生鲜乳销量，作为合并外销直接农业收入）,31392707.37,31392707.37,31392707.37,下界=上界=畜牧业产品31392707.37,0.0192996729241030854178973961969856848795750403850633078754958,0.0192996729241030854178973961969856848795750403850633078754958,畜牧业产品为下界；常温及低温乳制品混合大类仅作上界,,31392707.37,1619860010.09,下界=畜牧业产品31392707.37；上界=下界+常温/低温乳制品1588467302.72,0.0192996729241030854178973961969856848795750403850633078754958,0.995860854213776712219752968386108303235968569252483921092574,1626592714.47,合并利润表营业收入（不含利息收入）,31392707.37,0.00,0.00,1588467302.72,23948400.49,1156352467.87,畜牧业产品成本23948400.49；常温/低温乳制品成本1156352467.87；成本仅作反向证据，未误作收入,否,待核实,待核实,畜牧业外销收入与乳制品成品收入按产品行分列；内部原奶不另行加总,"严格区间[0.0192996729241030854178973961969856848795750403850633078754958, 0.0192996729241030854178973961969856848795750403850633078754958]；扩展区间[0.0192996729241030854178973961969856848795750403850633078754958, 0.995860854213776712219752968386108303235968569252483921092574]。",,常温、低温乳制品未拆白奶、酸奶、调制乳及乳饮料，未拆前仅作扩展上界。,13,55,https://static.cninfo.com.cn/finalpage/2020-04-24/1207585015.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
600419,新疆天润乳业股份有限公司,2020,待核实,待核实,畜牧业产品（年报说明主要因生鲜乳销量，作为合并外销直接农业收入）,36906903.28,36906903.28,36906903.28,下界=上界=畜牧业产品36906903.28,0.0208787998869005089898723069356877946778904067298065399109094,0.0208787998869005089898723069356877946778904067298065399109094,畜牧业产品为下界；常温及低温乳制品混合大类仅作上界,,36906903.28,1756722968.87,下界=畜牧业产品36906903.28；上界=下界+常温/低温乳制品1719816065.59,0.0208787998869005089898723069356877946778904067298065399109094,0.993805062578484703878482752028317961386182727679599910150874,1767673596.18,合并利润表营业收入（不含利息收入）,36906903.28,0.00,0.00,1719816065.59,23277353.61,1358273759.50,畜牧业产品成本23277353.61；常温/低温乳制品成本1358273759.50；成本仅作反向证据，未误作收入,否,待核实,待核实,畜牧业外销收入与乳制品成品收入按产品行分列；内部原奶不另行加总,"严格区间[0.0208787998869005089898723069356877946778904067298065399109094, 0.0208787998869005089898723069356877946778904067298065399109094]；扩展区间[0.0208787998869005089898723069356877946778904067298065399109094, 0.993805062578484703878482752028317961386182727679599910150874]。",,常温、低温乳制品未拆白奶、酸奶、调制乳及乳饮料，未拆前仅作扩展上界。,13,59,https://static.cninfo.com.cn/finalpage/2021-03-19/1209409609.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
600419,新疆天润乳业股份有限公司,2021,待核实,待核实,畜牧业产品（年报说明主要因生鲜乳销量，作为合并外销直接农业收入）,59700359.46,59700359.46,59700359.46,下界=上界=畜牧业产品59700359.46,0.0283039612065843394995930962670379656352625825333738474907206,0.0283039612065843394995930962670379656352625825333738474907206,畜牧业产品为下界；常温及低温乳制品混合大类仅作上界,,59700359.46,2094781877.78,下界=畜牧业产品59700359.46；上界=下界+常温/低温乳制品2035081518.32,0.0283039612065843394995930962670379656352625825333738474907206,0.993136817621114825979284844731320114768140848688837991216931,2109258100.81,合并利润表营业收入（不含利息收入）,59700359.46,0.00,0.00,2035081518.32,44830247.67,1707654616.53,畜牧业产品成本44830247.67；常温/低温乳制品成本1707654616.53；成本仅作反向证据，未误作收入,否,待核实,待核实,畜牧业外销收入与乳制品成品收入按产品行分列；内部原奶不另行加总,"严格区间[0.0283039612065843394995930962670379656352625825333738474907206, 0.0283039612065843394995930962670379656352625825333738474907206]；扩展区间[0.0283039612065843394995930962670379656352625825333738474907206, 0.993136817621114825979284844731320114768140848688837991216931]。",,常温、低温乳制品未拆白奶、酸奶、调制乳及乳饮料，未拆前仅作扩展上界。,12|13,62,https://static.cninfo.com.cn/finalpage/2022-04-28/1213168197.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
600419,新疆天润乳业股份有限公司,2022,待核实,待核实,畜牧业产品（年报说明主要因生鲜乳销量，作为合并外销直接农业收入）,89424128.25,89424128.25,89424128.25,下界=上界=畜牧业产品89424128.25,0.0371087622650836415406135476835335728021738899174452884833730,0.0371087622650836415406135476835335728021738899174452884833730,畜牧业产品为下界；常温及低温乳制品混合大类仅作上界,,89424128.25,2383181597.71,下界=畜牧业产品89424128.25；上界=下界+常温/低温乳制品2293757469.46,0.0371087622650836415406135476835335728021738899174452884833730,0.988960374281787772345930813388888803499287931103794938133116,2409784719.07,合并利润表营业收入（不含利息收入）,89424128.25,0.00,0.00,2293757469.46,79685985.48,1876091240.40,畜牧业产品成本79685985.48；常温/低温乳制品成本1876091240.40；成本仅作反向证据，未误作收入,否,待核实,待核实,畜牧业外销收入与乳制品成品收入按产品行分列；内部原奶不另行加总,"严格区间[0.0371087622650836415406135476835335728021738899174452884833730, 0.0371087622650836415406135476835335728021738899174452884833730]；扩展区间[0.0371087622650836415406135476835335728021738899174452884833730, 0.988960374281787772345930813388888803499287931103794938133116]。",,常温、低温乳制品未拆白奶、酸奶、调制乳及乳饮料，未拆前仅作扩展上界。,13|14,63,https://static.cninfo.com.cn/finalpage/2023-03-31/1216278739.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批J组（未合并）,已人工复核（第十五批J组；主表未合并）,2026-08-11
