股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,中药材或混合项成本_元_反向证据,农业投入品成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,金额精度或追溯说明,证据定位更正说明,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000623,吉林敖东药业集团股份有限公司,2014,待核实,待核实,梅花鹿养殖、鹿业及中药材种植等直接农业活动（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,严格口径活动及种苗、肥药等农业投入品（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,2240099344.17,合并利润表营业收入,,,合格农业收入及对应成本未单列；不把成本、资产余额或经营范围估算为收入,待核实,待核实,待核实,待核实（农业活动可能内部供料或混入食品、中药及其他收入，未作机械相加）,"严格区间[0, 待拆分]；扩展区间[0, 待拆分]。年报披露消耗性生物资产、梅花鹿生产性生物资产及农林牧渔业项目所得减免税，证明存在农业活动；但未披露其合并外销收入。梅花鹿/鹿业、中草药种植收入可能用于内部供料，也可能混入食品、中药或其他收入；不能把‘其他行业’全部解释为明胶等专用化学品。",,,需取得鹿业、种植、初加工及农业投入品的合并外销收入，并剔除内部交易；未拆分前严格、扩展和边界结论均保持待核实。,16|98|107|117,57,https://static.cninfo.com.cn/finalpage/2015-04-21/1200873310.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
000623,吉林敖东药业集团股份有限公司,2015,待核实,待核实,梅花鹿养殖、鹿业及中药材种植等直接农业活动（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,严格口径活动及种苗、肥药等农业投入品（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,2334760837.13,合并利润表营业收入,,,合格农业收入及对应成本未单列；不把成本、资产余额或经营范围估算为收入,待核实,待核实,待核实,待核实（农业活动可能内部供料或混入食品、中药及其他收入，未作机械相加）,"严格区间[0, 待拆分]；扩展区间[0, 待拆分]。年报披露中药材种植、畜牧养殖/梅花鹿业务及消耗性生物资产，但相关收入可能内部供料或混入食品、中药及其他收入，无法拆分。梅花鹿/鹿业、中草药种植收入可能用于内部供料，也可能混入食品、中药或其他收入；不能把‘其他行业’全部解释为明胶等专用化学品。",,,需取得鹿业、种植、初加工及农业投入品的合并外销收入，并剔除内部交易；未拆分前严格、扩展和边界结论均保持待核实。,13|37|77|98,57,https://static.cninfo.com.cn/finalpage/2016-03-29/1202089445.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
000623,吉林敖东药业集团股份有限公司,2018,待核实,待核实,梅花鹿养殖、鹿业及中药材种植等直接农业活动（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,严格口径活动及种苗、肥药等农业投入品（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,3324078265.78,合并利润表营业收入,,,合格农业收入及对应成本未单列；不把成本、资产余额或经营范围估算为收入,待核实,待核实,待核实,待核实（农业活动可能内部供料或混入食品、中药及其他收入，未作机械相加）,"严格区间[0, 待拆分]；扩展区间[0, 待拆分]。年报明确提及梅花鹿饲养产业和药材种植业，并披露生物资产及相关免税信息；合并收入表未单列相应外销收入。梅花鹿/鹿业、中草药种植收入可能用于内部供料，也可能混入食品、中药或其他收入；不能把‘其他行业’全部解释为明胶等专用化学品。",,,需取得鹿业、种植、初加工及农业投入品的合并外销收入，并剔除内部交易；未拆分前严格、扩展和边界结论均保持待核实。,15|46|117|132,87,https://static.cninfo.com.cn/finalpage/2019-04-03/1205988879.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
000623,吉林敖东药业集团股份有限公司,2019,待核实,待核实,梅花鹿养殖、鹿业及中药材种植等直接农业活动（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,严格口径活动及种苗、肥药等农业投入品（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,3088379591.97,合并利润表营业收入,,,合格农业收入及对应成本未单列；不把成本、资产余额或经营范围估算为收入,待核实,待核实,待核实,待核实（农业活动可能内部供料或混入食品、中药及其他收入，未作机械相加）,"严格区间[0, 待拆分]；扩展区间[0, 待拆分]。年报明确提及梅花鹿饲养产业和药材种植业，并披露生产性生物资产及鹿业免税；相关外销收入未单列。梅花鹿/鹿业、中草药种植收入可能用于内部供料，也可能混入食品、中药或其他收入；不能把‘其他行业’全部解释为明胶等专用化学品。",,,需取得鹿业、种植、初加工及农业投入品的合并外销收入，并剔除内部交易；未拆分前严格、扩展和边界结论均保持待核实。,15|43|125|147,86,https://static.cninfo.com.cn/finalpage/2020-04-25/1207609252.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
000623,吉林敖东药业集团股份有限公司,2020,待核实,待核实,梅花鹿养殖、鹿业及中药材种植等直接农业活动（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,严格口径活动及种苗、肥药等农业投入品（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,2251650950.38,合并利润表营业收入,,,合格农业收入及对应成本未单列；不把成本、资产余额或经营范围估算为收入,待核实,待核实,待核实,待核实（农业活动可能内部供料或混入食品、中药及其他收入，未作机械相加）,"严格区间[0, 待拆分]；扩展区间[0, 待拆分]。年报披露新设吉林敖东红石鹿业有限责任公司，经营梅花鹿养殖、鹿副产品、中药材种植及农业初加工服务；合并收入未按这些活动拆分。梅花鹿/鹿业、中草药种植收入可能用于内部供料，也可能混入食品、中药或其他收入；不能把‘其他行业’全部解释为明胶等专用化学品。",,,需取得鹿业、种植、初加工及农业投入品的合并外销收入，并剔除内部交易；未拆分前严格、扩展和边界结论均保持待核实。,18|20|27|152,97,https://static.cninfo.com.cn/finalpage/2021-04-17/1209713844.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
000623,吉林敖东药业集团股份有限公司,2021,待核实,待核实,梅花鹿养殖、鹿业及中药材种植等直接农业活动（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,严格口径活动及种苗、肥药等农业投入品（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,2303763763.87,合并利润表营业收入,,,合格农业收入及对应成本未单列；不把成本、资产余额或经营范围估算为收入,待核实,待核实,待核实,待核实（农业活动可能内部供料或混入食品、中药及其他收入，未作机械相加）,"严格区间[0, 待拆分]；扩展区间[0, 待拆分]。年报继续披露红石鹿业、畜牧业改造工程、梅花鹿和淫羊藿生产性生物资产及农林牧渔免税；未单列对应合并外销收入。梅花鹿/鹿业、中草药种植收入可能用于内部供料，也可能混入食品、中药或其他收入；不能把‘其他行业’全部解释为明胶等专用化学品。",,,需取得鹿业、种植、初加工及农业投入品的合并外销收入，并剔除内部交易；未拆分前严格、扩展和边界结论均保持待核实。,29|41|165|185,109,https://static.cninfo.com.cn/finalpage/2022-04-16/1212942642.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
000623,吉林敖东药业集团股份有限公司,2022,待核实,待核实,梅花鹿养殖、鹿业及中药材种植等直接农业活动（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,严格口径活动及种苗、肥药等农业投入品（合并外销收入未拆分）,,0.00,,下界=0；上界无法数值拆分（不得以未单列推定为0）,0,,2868211464.89,合并利润表营业收入,,,合格农业收入及对应成本未单列；不把成本、资产余额或经营范围估算为收入,待核实,待核实,待核实,待核实（农业活动可能内部供料或混入食品、中药及其他收入，未作机械相加）,"严格区间[0, 待拆分]；扩展区间[0, 待拆分]。年报继续披露红石鹿业；本年收购的仁和农作物购买日至年末收入为0，但该0仅属于被购买方该期间，不能代表其他鹿业或种植活动为0；同时披露新设经营中草药种植、种苗及肥药等业务的主体，合并收入仍无法拆分。梅花鹿/鹿业、中草药种植收入可能用于内部供料，也可能混入食品、中药或其他收入；不能把‘其他行业’全部解释为明胶等专用化学品。",,,需取得鹿业、种植、初加工及农业投入品的合并外销收入，并剔除内部交易；未拆分前严格、扩展和边界结论均保持待核实。,32|35|46|98|235|238,120,https://static.cninfo.com.cn/finalpage/2023-04-19/1216455868.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
002390,贵州信邦制药股份有限公司,2014,待核实,待核实,年报单列种植业（中药材）,,5685105.29,5685105.29,下界=上界=种植业5685105.29,0.00229591478192514261460671766138106307436102711917126694208360,0.00229591478192514261460671766138106307436102711917126694208360,年报单列种植业（中药材）,,5685105.29,5685105.29,下界=上界=种植业5685105.29,0.00229591478192514261460671766138106307436102711917126694208360,0.00229591478192514261460671766138106307436102711917126694208360,2476183059.91,合并利润表营业收入,3763641.91,,对应种植业/其他行业行成本3763641.91，仅作反向证据,否,否,否,否（同一收入构成层级设上下界，不与行业/产品行交叉相加）,"严格区间[0.00229591478192514261460671766138106307436102711917126694208360, 0.00229591478192514261460671766138106307436102711917126694208360]；扩展区间[0.00229591478192514261460671766138106307436102711917126694208360, 0.00229591478192514261460671766138106307436102711917126694208360]。种植业行与中药材产品行金额一致，为同层级表格的相互反核，不重复相加。",,,需取得其他行业的外销中药材种植或初加工收入明细；未拆分前不写入正式分子。,17,99,https://static.cninfo.com.cn/finalpage/2015-04-22/1200884258.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
002390,贵州信邦制药股份有限公司,2015,待核实,待核实,其他行业混合项中可能包含中药材种植/初加工（仅作上界）,,0.00,5386105.48,下界=0；上界=其他行业5386105.48,0,0.00128861717101036699135598173842071418417395384782089576246991,其他行业混合项中可能包含中药材种植/初加工（仅作上界）,,0.00,5386105.48,下界=0；上界=其他行业5386105.48,0,0.00128861717101036699135598173842071418417395384782089576246991,4179756099.15,合并利润表营业收入,2708079.33,,对应种植业/其他行业行成本2708079.33，仅作反向证据,否,否,否,否（同一收入构成层级设上下界，不与行业/产品行交叉相加）,"严格区间[0, 0.00128861717101036699135598173842071418417395384782089576246991]；扩展区间[0, 0.00128861717101036699135598173842071418417395384782089576246991]。年报只列‘其他行业/其他产品’；基地、子公司经营范围及税收优惠不能把混合项改写为种植收入。",,,需取得其他行业的外销中药材种植或初加工收入明细；未拆分前不写入正式分子。,18|20,130,https://static.cninfo.com.cn/finalpage/2016-04-26/1202241859.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
002390,贵州信邦制药股份有限公司,2018,待核实,待核实,其他行业混合项中可能包含中药材种植/初加工（仅作上界）,,0.00,25452578.02,下界=0；上界=其他行业25452578.02,0,0.00386800899125756473753733393997192465254121068054290939191050,其他行业混合项中可能包含中药材种植/初加工（仅作上界）,,0.00,25452578.02,下界=0；上界=其他行业25452578.02,0,0.00386800899125756473753733393997192465254121068054290939191050,6580278918.05,合并利润表营业收入,18164672.28,,对应种植业/其他行业行成本18164672.28，仅作反向证据,否,否,否,否（同一收入构成层级设上下界，不与行业/产品行交叉相加）,"严格区间[0, 0.00386800899125756473753733393997192465254121068054290939191050]；扩展区间[0, 0.00386800899125756473753733393997192465254121068054290939191050]。年报只列‘其他行业/其他产品’；基地、子公司经营范围及税收优惠不能把混合项改写为种植收入。",,,需取得其他行业的外销中药材种植或初加工收入明细；未拆分前不写入正式分子。,14|16,104,https://static.cninfo.com.cn/finalpage/2019-04-29/1206121746.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批K组（未合并）,已人工复核（第十五批K组；主表未合并）,2026-08-11
