股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,直接农业收入_元,确认初加工收入_元,农业投入品收入_元,产畜肥猪收入_元,直接农业成本_元_反向证据,农业投入品成本_元_反向证据,贸易收入_元_排除证据,白酒收入_元_排除证据,屠宰或猪肉收入_元_排除证据,房地产收入_元_排除证据,未拆其他营业收入上界增量_元,深加工或混合类别,深加工或混合类别收入_元_反向证据,深加工或混合类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,研究口径与税法差异说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000860,北京顺鑫农业股份有限公司,2014,待核实,待核实,种畜养殖业/种畜及单列蔬菜种植（直接农业生产）,280888168.35,280888168.35,280888168.35,下界=上界=种畜276080444.48+蔬菜种植4807723.87=280888168.35,0.0296274782074433594767932962269216528124988511208275187337741,0.0296274782074433594767932962269216528124988511208275187337741,严格口径直接农业；2014年另加单列种子农业投入品；未把屠宰、白酒、食品加工、地产等加入,299961376.78,299961376.78,299961376.78,下界=上界=严格口径280888168.35+种子19073208.43=299961376.78,0.0316392790975460698949279100018090821760677929757010665924481,0.0316392790975460698949279100018090821760677929757010665924481,9480664077.56,合并利润表营业收入,280888168.35,0.00,19073208.43,0.00,312801704.18,9073299.18,0.00,4120135214.82,2610566204.88,1128579812.30,0.00,白酒、屠宰/猪肉、食品加工、房地产、建筑/纸业等排除,0.00,0.00,直接农业成本=种畜308706514.76+蔬菜4095189.42=312801704.18；种子成本9073299.18,否,否,否,行业与产品表的种畜为同一收入，仅取一次；不与屠宰猪肉收入相加,种猪繁育、生猪养殖及蔬菜种植属于直接农业；种子属于农业投入品。屠宰猪肉按本批口径作为下游深加工排除，白酒、地产等亦排除。,无影响结论的收入待拆项。,,15|131,65,https://static.cninfo.com.cn/finalpage/2015-03-25/1200736899.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
000860,北京顺鑫农业股份有限公司,2015,待核实,待核实,种畜养殖业/种畜及单列蔬菜种植（直接农业生产）,188422889.59,188422889.59,188422889.59,下界=上界=种畜185143506.09+蔬菜种植3279383.50=188422889.59,0.0195511686744769608035660583523257490723050652453661808174665,0.0195511686744769608035660583523257490723050652453661808174665,严格口径直接农业；2014年另加单列种子农业投入品；未把屠宰、白酒、食品加工、地产等加入,188422889.59,188422889.59,188422889.59,下界=上界=严格口径188422889.59+种子0.00=188422889.59,0.0195511686744769608035660583523257490723050652453661808174665,0.0195511686744769608035660583523257490723050652453661808174665,9637423354.44,合并利润表营业收入,188422889.59,0.00,0.00,0.00,186693079.69,0.00,0.00,4647901363.69,2724888567.42,501241694.94,0.00,白酒、屠宰/猪肉、食品加工、房地产、建筑/纸业等排除,0.00,0.00,直接农业成本=种畜183851181.06+蔬菜2841898.63=186693079.69；种子成本0.00,否,否,否,行业与产品表的种畜为同一收入，仅取一次；不与屠宰猪肉收入相加,种猪繁育、生猪养殖及蔬菜种植属于直接农业；种子属于农业投入品。屠宰猪肉按本批口径作为下游深加工排除，白酒、地产等亦排除。,无影响结论的收入待拆项。,,13|14|131|132,65,https://static.cninfo.com.cn/finalpage/2016-03-30/1202104152.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
000860,北京顺鑫农业股份有限公司,2018,待核实,待核实,种畜养殖业/种畜及单列蔬菜种植（直接农业生产）,102600808.27,102600808.27,102600808.27,下界=上界=种畜102600808.27+蔬菜种植0.00=102600808.27,0.00849740244977581545411631447158062259037103458341651610340838,0.00849740244977581545411631447158062259037103458341651610340838,严格口径直接农业；2014年另加单列种子农业投入品；未把屠宰、白酒、食品加工、地产等加入,102600808.27,102600808.27,102600808.27,下界=上界=严格口径102600808.27+种子0.00=102600808.27,0.00849740244977581545411631447158062259037103458341651610340838,0.00849740244977581545411631447158062259037103458341651610340838,12074373183.62,合并利润表营业收入,102600808.27,0.00,0.00,0.00,205060643.68,0.00,0.00,9277559208.42,2368477510.36,145256417.06,0.00,白酒、屠宰/猪肉、食品加工、房地产、建筑/纸业等排除,0.00,0.00,直接农业成本=种畜205060643.68+蔬菜0.00=205060643.68；种子成本0.00,否,否,否,行业与产品表的种畜为同一收入，仅取一次；不与屠宰猪肉收入相加,种猪繁育、生猪养殖及蔬菜种植属于直接农业；种子属于农业投入品。屠宰猪肉按本批口径作为下游深加工排除，白酒、地产等亦排除。,无影响结论的收入待拆项。,,13|132|133,67,https://static.cninfo.com.cn/finalpage/2019-03-23/1205930624.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
000860,北京顺鑫农业股份有限公司,2019,待核实,待核实,种畜养殖业/种畜及单列蔬菜种植（直接农业生产）,189604258.58,189604258.58,189604258.58,下界=上界=种畜189604258.58+蔬菜种植0.00=189604258.58,0.0127249975830169204420052235213041795415388352548107242322894,0.0127249975830169204420052235213041795415388352548107242322894,严格口径直接农业；2014年另加单列种子农业投入品；未把屠宰、白酒、食品加工、地产等加入,189604258.58,189604258.58,189604258.58,下界=上界=严格口径189604258.58+种子0.00=189604258.58,0.0127249975830169204420052235213041795415388352548107242322894,0.0127249975830169204420052235213041795415388352548107242322894,14900141028.95,合并利润表营业收入,189604258.58,0.00,0.00,0.00,184355898.56,0.00,0.00,10289345436.30,3369808280.50,872949048.98,0.00,白酒、屠宰/猪肉、食品加工、房地产、建筑/纸业等排除,0.00,0.00,直接农业成本=种畜184355898.56+蔬菜0.00=184355898.56；种子成本0.00,否,否,否,行业与产品表的种畜为同一收入，仅取一次；不与屠宰猪肉收入相加,种猪繁育、生猪养殖及蔬菜种植属于直接农业；种子属于农业投入品。屠宰猪肉按本批口径作为下游深加工排除，白酒、地产等亦排除。,无影响结论的收入待拆项。,,13|154|155,67,https://static.cninfo.com.cn/finalpage/2020-04-25/1207608193.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
000860,北京顺鑫农业股份有限公司,2020,待核实,待核实,种畜养殖业/种畜及单列蔬菜种植（直接农业生产）,427233499.05,427233499.05,427233499.05,下界=上界=种畜427233499.05+蔬菜种植0.00=427233499.05,0.0275431948269697669387981032430000991471174411463302276338841,0.0275431948269697669387981032430000991471174411463302276338841,严格口径直接农业；2014年另加单列种子农业投入品；未把屠宰、白酒、食品加工、地产等加入,427233499.05,427233499.05,427233499.05,下界=上界=严格口径427233499.05+种子0.00=427233499.05,0.0275431948269697669387981032430000991471174411463302276338841,0.0275431948269697669387981032430000991471174411463302276338841,15511399521.15,合并利润表营业收入,427233499.05,0.00,0.00,0.00,275947780.90,0.00,0.00,10184967553.62,4209401402.24,526884768.73,0.00,白酒、屠宰/猪肉、食品加工、房地产、建筑/纸业等排除,0.00,0.00,直接农业成本=种畜275947780.90+蔬菜0.00=275947780.90；种子成本0.00,否,否,否,行业与产品表的种畜为同一收入，仅取一次；不与屠宰猪肉收入相加,种猪繁育、生猪养殖及蔬菜种植属于直接农业；种子属于农业投入品。屠宰猪肉按本批口径作为下游深加工排除，白酒、地产等亦排除。,无影响结论的收入待拆项。,,15|16|153|154,70,https://static.cninfo.com.cn/finalpage/2021-04-14/1209683129.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
000860,北京顺鑫农业股份有限公司,2021,待核实,待核实,种畜养殖业/种畜及单列蔬菜种植（直接农业生产）,288810820.79,288810820.79,288810820.79,下界=上界=种畜288810820.79+蔬菜种植0.00=288810820.79,0.0194231931325015687587570027128372725226790218436766383152588,0.0194231931325015687587570027128372725226790218436766383152588,严格口径直接农业；2014年另加单列种子农业投入品；未把屠宰、白酒、食品加工、地产等加入,288810820.79,288810820.79,288810820.79,下界=上界=严格口径288810820.79+种子0.00=288810820.79,0.0194231931325015687587570027128372725226790218436766383152588,0.0194231931325015687587570027128372725226790218436766383152588,14869379036.69,合并利润表营业收入,288810820.79,0.00,0.00,0.00,247948492.02,0.00,0.00,10225475406.19,3313169997.23,863942695.23,0.00,白酒、屠宰/猪肉、食品加工、房地产、建筑/纸业等排除,0.00,0.00,直接农业成本=种畜247948492.02+蔬菜0.00=247948492.02；种子成本0.00,否,否,否,行业与产品表的种畜为同一收入，仅取一次；不与屠宰猪肉收入相加,种猪繁育、生猪养殖及蔬菜种植属于直接农业；种子属于农业投入品。屠宰猪肉按本批口径作为下游深加工排除，白酒、地产等亦排除。,无影响结论的收入待拆项。,,14|15|155|156,72,https://static.cninfo.com.cn/finalpage/2022-04-28/1213167737.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
000860,北京顺鑫农业股份有限公司,2022,待核实,待核实,种畜养殖业/种畜及单列蔬菜种植（直接农业生产）,166717765.21,166717765.21,166717765.21,下界=上界=种畜166717765.21+蔬菜种植0.00=166717765.21,0.0142758120089600696083675764903260974059170820929879973638094,0.0142758120089600696083675764903260974059170820929879973638094,严格口径直接农业；2014年另加单列种子农业投入品；未把屠宰、白酒、食品加工、地产等加入,166717765.21,166717765.21,166717765.21,下界=上界=严格口径166717765.21+种子0.00=166717765.21,0.0142758120089600696083675764903260974059170820929879973638094,0.0142758120089600696083675764903260974059170820929879973638094,11678338514.50,合并利润表营业收入,166717765.21,0.00,0.00,0.00,0.00,0.00,0.00,8108857899.91,2556539071.93,676073464.16,0.00,白酒、屠宰/猪肉、食品加工、房地产、建筑/纸业等排除,0.00,0.00,2022年收入表仅列种畜收入，未单列对应成本,否,否,否,行业与产品表的种畜为同一收入，仅取一次；不与屠宰猪肉收入相加,种猪繁育、生猪养殖及蔬菜种植属于直接农业；种子属于农业投入品。屠宰猪肉按本批口径作为下游深加工排除，白酒、地产等亦排除。,2022年种畜营业成本未在收入相关信息表中单列；不影响以收入计算的样本结论。,,15|16|143,69,https://static.cninfo.com.cn/finalpage/2023-03-25/1216221570.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600127,金健米业股份有限公司,2014,待核实,待核实,未披露合并外销种植或养殖产品收入,0.00,0.00,0.00,下界=上界=0（未披露外销直接农业产品）,0,0,粮油食品混合大类（含大米/食用油等初加工候选，也含面制品等深加工）,,0.00,1392025827.24,下界=0；上界=粮油食品混合产品1392025827.24,0,0.828141150156226226514513757462927709407571206871845980781567,1680904066.87,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,粮油食品混合大类（仅作扩展上界，不作正式分子）,1392025827.24,1262543497.66,粮油食品营业成本1262543497.66，仅核对对应收入，未按成本结构倒推收入,否,待核实,待核实,行业与产品是同一收入的不同维度；仅采用产品维度粮油食品作上界，不跨维度相加,农产品贸易、进出口贸易不纳入；乳品和休闲食品按深加工排除。粮油食品未拆大米/油脂与面制品，不能按成本比例估算。,取得大米、食用油、面制品各自营业收入后，方可形成扩展正式分子。,,10,43,https://static.cninfo.com.cn/finalpage/2015-04-10/1200806444.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600127,金健米业股份有限公司,2015,待核实,待核实,未披露合并外销种植或养殖产品收入,0.00,0.00,0.00,下界=上界=0（未披露外销直接农业产品）,0,0,粮油食品混合大类（含大米/食用油等初加工候选，也含面制品等深加工）,,0.00,1302341235.91,下界=0；上界=粮油食品混合产品1302341235.91,0,0.569891651368508146087172882243164763116807182350081524398918,2285243577.06,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,755218794.35,0.00,0.00,0.00,0.00,粮油食品混合大类（仅作扩展上界，不作正式分子）,1302341235.91,1164091308.12,粮油食品营业成本1164091308.12，仅核对对应收入，未按成本结构倒推收入,否,待核实,待核实,行业与产品是同一收入的不同维度；仅采用产品维度粮油食品作上界，不跨维度相加,农产品贸易、进出口贸易不纳入；乳品和休闲食品按深加工排除。粮油食品未拆大米/油脂与面制品，不能按成本比例估算。,取得大米、食用油、面制品各自营业收入后，方可形成扩展正式分子。,,9|10,45,https://static.cninfo.com.cn/finalpage/2016-04-16/1202188515.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600127,金健米业股份有限公司,2018,待核实,待核实,未披露合并外销种植或养殖产品收入,0.00,0.00,0.00,下界=上界=0（未披露外销直接农业产品）,0,0,粮油食品混合大类（含大米/食用油等初加工候选，也含面制品等深加工）,,0.00,1732595858.01,下界=0；上界=粮油食品混合产品1732595858.01,0,0.575379367861349222788114535533933933337486658423563081721273,3011223472.35,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,650967772.70,0.00,0.00,0.00,0.00,粮油食品混合大类（仅作扩展上界，不作正式分子）,1732595858.01,1554188411.16,粮油食品营业成本1554188411.16，仅核对对应收入，未按成本结构倒推收入,否,待核实,待核实,行业与产品是同一收入的不同维度；仅采用产品维度粮油食品作上界，不跨维度相加,农产品贸易、进出口贸易不纳入；乳品和休闲食品按深加工排除。粮油食品未拆大米/油脂与面制品，不能按成本比例估算。,取得大米、食用油、面制品各自营业收入后，方可形成扩展正式分子。,,10|11,59,https://static.cninfo.com.cn/finalpage/2019-04-13/1206014177.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
