股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径正式涉农收入占比_原始未四舍五入,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,排除项目收入_元_反向证据,排除项目成本_元_反向证据,内部抵消收入绝对值_元_反向证据,内部抵消成本绝对值_元_反向证据,收入成本反核说明,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,金额单位及精度说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
600295,内蒙古鄂尔多斯资源股份有限公司,2014,待核实,待核实,煤电、冶金、化工和服装均非直接农业,,0.00,0.00,下界=上界=0,0,0,年报未见并表口径单列化肥收入；其余煤电冶金化工及服装排除,,,0.00,0.00,未取得可计量的并表单列化肥分子；正式分子留空,0,0,15568400216.07,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,未取得并表口径单列化肥营业成本；不将未单列解释为真实业务为零,否,否,否,否（采用单列分产品化肥行，未与电冶行业行交叉加总）,"严格区间[0, 0]；扩展区间[0, 0]。化肥为农业投入品；硅铁、硅锰、煤炭、电石、PVC、烧碱、多晶硅和服装均排除。2018宽上界不是正式分子。",2014/2015未见并表单列收入，正式分子留空；不得从电冶板块反推。,主营业务表单位为元,13,62,https://static.cninfo.com.cn/finalpage/2015-04-04/1200788371.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
600295,内蒙古鄂尔多斯资源股份有限公司,2015,待核实,待核实,煤电、冶金、化工和服装均非直接农业,,0.00,0.00,下界=上界=0,0,0,年报未见并表口径单列化肥收入；其余煤电冶金化工及服装排除,,,0.00,0.00,未取得可计量的并表单列化肥分子；正式分子留空,0,0,15240089997.22,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,未取得并表口径单列化肥营业成本；不将未单列解释为真实业务为零,否,否,否,否（采用单列分产品化肥行，未与电冶行业行交叉加总）,"严格区间[0, 0]；扩展区间[0, 0]。化肥为农业投入品；硅铁、硅锰、煤炭、电石、PVC、烧碱、多晶硅和服装均排除。2018宽上界不是正式分子。",2014/2015未见并表单列收入，正式分子留空；不得从电冶板块反推。,主营业务表单位为元,12,49,https://static.cninfo.com.cn/finalpage/2016-04-29/1202268334.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
600295,内蒙古鄂尔多斯资源股份有限公司,2018,待核实,待核实,煤电、冶金、化工和服装均非直接农业,,0.00,0.00,下界=上界=0,0,0,2019年报同比增幅反证2018年存在化肥收入，但2018金额无法可靠拆出,,,0.00,1049814919.78,下界=0；宽上界=2019年单列化肥收入1049814919.78（仅用于阈值筛查）,0,0.0440023317725163689387583409534371666984422297972652971321179,23858165635.57,合并利润表营业收入,0.00,0.00,,,0.00,0.00,0.00,0.00,2018化肥成本未可靠拆出，成本证据不作零值认定,否,否,否,否（采用单列分产品化肥行，未与电冶行业行交叉加总）,"严格区间[0, 0]；扩展区间[0, 0.0440023317725163689387583409534371666984422297972652971321179]。化肥为农业投入品；硅铁、硅锰、煤炭、电石、PVC、烧碱、多晶硅和服装均排除。2018宽上界不是正式分子。",2018正式化肥分子与成本待取得原始分产品明细；2019年金额仅为宽上界。,主营业务表单位为元,18,65,https://static.cninfo.com.cn/finalpage/2019-03-28/1205947687.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
600295,内蒙古鄂尔多斯资源股份有限公司,2019,待核实,待核实,煤电、冶金、化工和服装均非直接农业,,0.00,0.00,下界=上界=0,0,0,单列化肥属于农业投入品；其余煤电冶金化工及服装排除,1049814919.78,0.0460648743190240323995477778529534789877011461885652112616922,1049814919.78,1049814919.78,下界=上界=单列化肥1049814919.78,0.0460648743190240323995477778529534789877011461885652112616922,0.0460648743190240323995477778529534789877011461885652112616922,22789922588.51,合并利润表营业收入,0.00,0.00,707799029.16,707799029.16,0.00,0.00,0.00,0.00,单列化肥营业成本707799029.16；成本未误作收入,否,否,否,否（采用单列分产品化肥行，未与电冶行业行交叉加总）,"严格区间[0, 0]；扩展区间[0.0460648743190240323995477778529534789877011461885652112616922, 0.0460648743190240323995477778529534789877011461885652112616922]。化肥为农业投入品；硅铁、硅锰、煤炭、电石、PVC、烧碱、多晶硅和服装均排除。2018宽上界不是正式分子。",无。,主营业务表单位为元,19,79,https://static.cninfo.com.cn/finalpage/2020-04-15/1207500016.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
600295,内蒙古鄂尔多斯资源股份有限公司,2020,待核实,待核实,煤电、冶金、化工和服装均非直接农业,,0.00,0.00,下界=上界=0,0,0,单列化肥属于农业投入品；其余煤电冶金化工及服装排除,1023829343.00,0.0442427115571046014690554832406728011780666810101264860669774,1023829343.00,1023829343.00,下界=上界=单列化肥1023829343.00,0.0442427115571046014690554832406728011780666810101264860669774,0.0442427115571046014690554832406728011780666810101264860669774,23141197882.47,合并利润表营业收入,0.00,0.00,689285463.20,689285463.20,0.00,0.00,0.00,0.00,单列化肥营业成本689285463.20；成本未误作收入,否,否,否,否（采用单列分产品化肥行，未与电冶行业行交叉加总）,"严格区间[0, 0]；扩展区间[0.0442427115571046014690554832406728011780666810101264860669774, 0.0442427115571046014690554832406728011780666810101264860669774]。化肥为农业投入品；硅铁、硅锰、煤炭、电石、PVC、烧碱、多晶硅和服装均排除。2018宽上界不是正式分子。",无。,主营业务表单位为元,23,73,https://static.cninfo.com.cn/finalpage/2021-04-15/1209688853.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
600295,内蒙古鄂尔多斯资源股份有限公司,2021,待核实,待核实,煤电、冶金、化工和服装均非直接农业,,0.00,0.00,下界=上界=0,0,0,单列化肥属于农业投入品；其余煤电冶金化工及服装排除,1451334662.21,0.0397916896151911775529255025707204190708926819739262536854672,1451334662.21,1451334662.21,下界=上界=单列化肥1451334662.21,0.0397916896151911775529255025707204190708926819739262536854672,0.0397916896151911775529255025707204190708926819739262536854672,36473310790.40,合并利润表营业收入,0.00,0.00,920084340.59,920084340.59,0.00,0.00,0.00,0.00,单列化肥营业成本920084340.59；成本未误作收入,否,否,否,否（采用单列分产品化肥行，未与电冶行业行交叉加总）,"严格区间[0, 0]；扩展区间[0.0397916896151911775529255025707204190708926819739262536854672, 0.0397916896151911775529255025707204190708926819739262536854672]。化肥为农业投入品；硅铁、硅锰、煤炭、电石、PVC、烧碱、多晶硅和服装均排除。2018宽上界不是正式分子。",无。,主营业务表单位为元,24,82,https://static.cninfo.com.cn/finalpage/2022-04-15/1212920691.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
600295,内蒙古鄂尔多斯资源股份有限公司,2022,待核实,待核实,煤电、冶金、化工和服装均非直接农业,,0.00,0.00,下界=上界=0,0,0,单列化肥属于农业投入品；其余煤电冶金化工及服装排除,1848543500.00,0.0507933311888432293272635043830062395356577546578729533400294,1848543500.00,1848543500.00,下界=上界=单列化肥1848543500.00,0.0507933311888432293272635043830062395356577546578729533400294,0.0507933311888432293272635043830062395356577546578729533400294,36393429151.70,合并利润表营业收入,0.00,0.00,1387273500.00,1387273500.00,0.00,0.00,0.00,0.00,单列化肥营业成本1387273500.00；成本未误作收入,否,否,否,否（采用单列分产品化肥行，未与电冶行业行交叉加总）,"严格区间[0, 0]；扩展区间[0.0507933311888432293272635043830062395356577546578729533400294, 0.0507933311888432293272635043830062395356577546578729533400294]。化肥为农业投入品；硅铁、硅锰、煤炭、电石、PVC、烧碱、多晶硅和服装均排除。2018宽上界不是正式分子。",无。,"2022主营业务表单位为万元并按×10,000换算；化肥收入184,854.35万元、成本138,727.35万元；换算值保留原表万元小数点后两位精度。",25,86,https://static.cninfo.com.cn/finalpage/2023-04-15/1216414002.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
601933,永辉超市股份有限公司,2014,待核实,待核实,无单列直接农业生产收入,,0.00,0.00,下界=上界=0,0,0,生鲜及加工为超市零售商品销售，不等于农业生产或合格初加工,,,0.00,0.00,下界=上界=0（零售生鲜及加工全部排除）,0,0,36726802955.31,合并利润表营业收入,0.00,0.00,0.00,0.00,16301624488.53,14217159975.68,0.00,0.00,被排除的生鲜及加工零售收入16301624488.53、成本14217159975.68,否,否,否,否（零售商品类别作为整体排除，不与行业或地区行加总）,"严格区间[0, 0]；扩展区间[0, 0]。采购或销售农产品不等于直接农业生产、初加工、农业投入品或农业生产性服务。",如未来取得公司自营农业生产或独立初加工对外收入，须另行逐项核实；当前不得由采购额推收入。,主营业务表单位为元,21,75,https://static.cninfo.com.cn/finalpage/2015-04-30/1200947960.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
601933,永辉超市股份有限公司,2015,待核实,待核实,无单列直接农业生产收入,,0.00,0.00,下界=上界=0,0,0,生鲜及加工为超市零售商品销售，不等于农业生产或合格初加工,,,0.00,0.00,下界=上界=0（零售生鲜及加工全部排除）,0,0,42144829561.56,合并利润表营业收入,0.00,0.00,0.00,0.00,18506455633.13,16136560159.60,0.00,0.00,被排除的生鲜及加工零售收入18506455633.13、成本16136560159.60,否,否,否,否（零售商品类别作为整体排除，不与行业或地区行加总）,"严格区间[0, 0]；扩展区间[0, 0]。采购或销售农产品不等于直接农业生产、初加工、农业投入品或农业生产性服务。",如未来取得公司自营农业生产或独立初加工对外收入，须另行逐项核实；当前不得由采购额推收入。,主营业务表单位为元,15,70,https://static.cninfo.com.cn/finalpage/2016-04-28/1202261876.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
601933,永辉超市股份有限公司,2018,待核实,待核实,无单列直接农业生产收入,,0.00,0.00,下界=上界=0,0,0,生鲜及加工为超市零售商品销售，不等于农业生产或合格初加工,,,0.00,0.00,下界=上界=0（零售生鲜及加工全部排除）,0,0,70516654453.22,合并利润表营业收入,0.00,0.00,0.00,0.00,31663327673.87,26958736411.20,0.00,0.00,被排除的生鲜及加工零售收入31663327673.87、成本26958736411.20,否,否,否,否（零售商品类别作为整体排除，不与行业或地区行加总）,"严格区间[0, 0]；扩展区间[0, 0]。采购或销售农产品不等于直接农业生产、初加工、农业投入品或农业生产性服务。",如未来取得公司自营农业生产或独立初加工对外收入，须另行逐项核实；当前不得由采购额推收入。,主营业务表单位为元,14,102,https://static.cninfo.com.cn/finalpage/2019-04-26/1206103290.PDF,沿用v25原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批M组（未合并）,已人工复核（第十五批M组；主表未合并）,2026-08-11
