股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,初加工或混合项目收入_元,初加工或混合项目成本_元_反向证据,产品其他收入_元_上界,产品其他成本_元_反向证据,审计其他业务收入_元_上界,审计其他业务成本_元_反向证据,深加工或排除类别,深加工类别收入_元_反向证据,深加工类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
000848,承德露露股份公司,2014,,,未单列农业种植或农业投入品对外收入；产品“其他”仅作上界,,0.00,2581752.87,下界=0；上界=未拆产品其他2581752.87,0,0.000955217132305776939959360947184367604548017276543231162180378,未单列农产品初加工或农业投入品收入；产品“其他”仅作上界,,0.00,2581752.87,下界=0；上界=未拆产品其他2581752.87,0,0.000955217132305776939959360947184367604548017276543231162180378,2702791629.97,合并利润表营业收入,,,2581752.87,2251529.98,,,杏仁露、核桃露等植物蛋白饮料,2700209877.10,1577862365.55,植物蛋白饮料成本1577862365.55为排除项；产品其他成本2251529.98只作上界反向证据,否,否,否,植物蛋白饮料与产品其他为同一产品维度互斥项目；不叠加行业或地区维度,植物蛋白饮料属于深加工；未披露可确认的种植、初加工、饲料或其他农业投入品收入。,产品“其他”未拆具体性质，只作上界；上界低于30%。,16,57,2014、2022管理层业务表与审计附注成本分别相差0.01元、0.05元，采用审计附注数值，不影响收入判断,https://static.cninfo.com.cn/finalpage/2015-03-20/1200720080.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
000848,承德露露股份公司,2015,,,未单列农业种植或农业投入品对外收入；产品“其他”仅作上界,,0.00,2779420.71,下界=0；上界=未拆产品其他2779420.71,0,0.00102704218344204118498670284118607108339730258160804274147384,未单列农产品初加工或农业投入品收入；产品“其他”仅作上界,,0.00,2779420.71,下界=0；上界=未拆产品其他2779420.71,0,0.00102704218344204118498670284118607108339730258160804274147384,2706238122.26,合并利润表营业收入,,,2779420.71,1294751.71,,,杏仁露、核桃露等植物蛋白饮料,2703458701.55,1527971802.50,植物蛋白饮料成本1527971802.50为排除项；产品其他成本1294751.71只作上界反向证据,否,否,否,植物蛋白饮料与产品其他为同一产品维度互斥项目；不叠加行业或地区维度,植物蛋白饮料属于深加工；未披露可确认的种植、初加工、饲料或其他农业投入品收入。,产品“其他”未拆具体性质，只作上界；上界低于30%。,13|14,57,2014、2022管理层业务表与审计附注成本分别相差0.01元、0.05元，采用审计附注数值，不影响收入判断,https://static.cninfo.com.cn/finalpage/2016-03-11/1202036586.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
000848,承德露露股份公司,2018,,,未单列农业种植或农业投入品对外收入；产品“其他”仅作上界,,0.00,46553017.64,下界=0；上界=未拆产品其他46553017.64,0,0.0219386193143159254270492553989115354474317639688519718128092,未单列农产品初加工或农业投入品收入；产品“其他”仅作上界,,0.00,46553017.64,下界=0；上界=未拆产品其他46553017.64,0,0.0219386193143159254270492553989115354474317639688519718128092,2121966609.34,合并利润表营业收入,,,46553017.64,36215635.73,,,杏仁露、核桃露等植物蛋白饮料,2075413591.70,1008692503.59,植物蛋白饮料成本1008692503.59为排除项；产品其他成本36215635.73只作上界反向证据,否,否,否,植物蛋白饮料与产品其他为同一产品维度互斥项目；不叠加行业或地区维度,植物蛋白饮料属于深加工；未披露可确认的种植、初加工、饲料或其他农业投入品收入。,产品“其他”未拆具体性质，只作上界；上界低于30%。,12|13,60,2014、2022管理层业务表与审计附注成本分别相差0.01元、0.05元，采用审计附注数值，不影响收入判断,https://static.cninfo.com.cn/finalpage/2019-03-16/1205903161.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
000848,承德露露股份公司,2019,,,未单列农业种植或农业投入品对外收入；产品“其他”仅作上界,,0.00,2020618.10,下界=0；上界=未拆产品其他2020618.10,0,0.000895904683247583716587872554778967863124697995798764733677062,未单列农产品初加工或农业投入品收入；产品“其他”仅作上界,,0.00,2020618.10,下界=0；上界=未拆产品其他2020618.10,0,0.000895904683247583716587872554778967863124697995798764733677062,2255394058.97,合并利润表营业收入,,,2020618.10,1571927.51,,,杏仁露、核桃露等植物蛋白饮料,2253373440.87,1067134713.12,植物蛋白饮料成本1067134713.12为排除项；产品其他成本1571927.51只作上界反向证据,否,否,否,植物蛋白饮料与产品其他为同一产品维度互斥项目；不叠加行业或地区维度,植物蛋白饮料属于深加工；未披露可确认的种植、初加工、饲料或其他农业投入品收入。,产品“其他”未拆具体性质，只作上界；上界低于30%。,12|13,62,2014、2022管理层业务表与审计附注成本分别相差0.01元、0.05元，采用审计附注数值，不影响收入判断,https://static.cninfo.com.cn/finalpage/2020-03-28/1207418663.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
000848,承德露露股份公司,2020,,,未单列农业种植或农业投入品对外收入；产品“其他”仅作上界,,0.00,1333208.35,下界=0；上界=未拆产品其他1333208.35,0,0.000716530709719256506309655434238736461364645244388168758739360,未单列农产品初加工或农业投入品收入；产品“其他”仅作上界,,0.00,1333208.35,下界=0；上界=未拆产品其他1333208.35,0,0.000716530709719256506309655434238736461364645244388168758739360,1860643698.75,合并利润表营业收入,,,1333208.35,1037161.29,,,杏仁露、核桃露等植物蛋白饮料,1859310490.40,926952954.09,植物蛋白饮料成本926952954.09为排除项；产品其他成本1037161.29只作上界反向证据,否,否,否,植物蛋白饮料与产品其他为同一产品维度互斥项目；不叠加行业或地区维度,植物蛋白饮料属于深加工；未披露可确认的种植、初加工、饲料或其他农业投入品收入。,产品“其他”未拆具体性质，只作上界；上界低于30%。,13|14,71,2014、2022管理层业务表与审计附注成本分别相差0.01元、0.05元，采用审计附注数值，不影响收入判断,https://static.cninfo.com.cn/finalpage/2021-04-27/1209812730.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
000848,承德露露股份公司,2021,,,未单列农业种植或农业投入品对外收入；产品“其他”仅作上界,,0.00,2605608.11,下界=0；上界=未拆产品其他2605608.11,0,0.00103237072119328991405747996240157838737068384701099027343593,未单列农产品初加工或农业投入品收入；产品“其他”仅作上界,,0.00,2605608.11,下界=0；上界=未拆产品其他2605608.11,0,0.00103237072119328991405747996240157838737068384701099027343593,2523907407.01,合并利润表营业收入,,,2605608.11,2027016.91,,,杏仁露、核桃露等植物蛋白饮料,2521301798.90,1340914197.61,植物蛋白饮料成本1340914197.61为排除项；产品其他成本2027016.91只作上界反向证据,否,否,否,植物蛋白饮料与产品其他为同一产品维度互斥项目；不叠加行业或地区维度,植物蛋白饮料属于深加工；未披露可确认的种植、初加工、饲料或其他农业投入品收入。,产品“其他”未拆具体性质，只作上界；上界低于30%。,15|16,67,2014、2022管理层业务表与审计附注成本分别相差0.01元、0.05元，采用审计附注数值，不影响收入判断,https://static.cninfo.com.cn/finalpage/2022-04-12/1212881732.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
000848,承德露露股份公司,2022,待核实,待核实,未单列农业种植或农业投入品对外收入；产品“其他”仅作上界,,0.00,1825216.66,下界=0；上界=未拆产品其他1825216.66,0,0.000678009758307920382944018455474816444653205496192763855089849,未单列农产品初加工或农业投入品收入；产品“其他”仅作上界,,0.00,1825216.66,下界=0；上界=未拆产品其他1825216.66,0,0.000678009758307920382944018455474816444653205496192763855089849,2692021224.82,合并利润表营业收入,,,1825216.66,1419916.15,,,杏仁露、核桃露等植物蛋白饮料,2690196008.16,1483125212.81,植物蛋白饮料成本1483125212.81为排除项；产品其他成本1419916.15只作上界反向证据,否,否,否,植物蛋白饮料与产品其他为同一产品维度互斥项目；不叠加行业或地区维度,植物蛋白饮料属于深加工；未披露可确认的种植、初加工、饲料或其他农业投入品收入。,产品“其他”未拆具体性质，只作上界；上界低于30%。2022行业分类字段仍待核实。,16,66,2014、2022管理层业务表与审计附注成本分别相差0.01元、0.05元，采用审计附注数值，不影响收入判断,https://static.cninfo.com.cn/finalpage/2023-07-22/1217358301.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
002557,洽洽食品股份有限公司,2018,,,未单列农业种植或农业投入品对外收入；未拆产品其他仅作上界,,0.00,885137824.23,下界=0；上界=未拆产品其他（含其他业务）885137824.23,0,0.210895452946040950180582556543727630783118247225670262348564,未单列初加工或农业投入品收入；未拆产品其他仅作上界,,0.00,885137824.23,下界=0；上界=未拆产品其他（含其他业务）885137824.23,0,0.210895452946040950180582556543727630783118247225670262348564,4197045559.14,合并利润表营业收入,,,885137824.23,662435253.53,,,葵花子、坚果及其他休闲食品,3311907734.91,2226719894.50,可确认籽类/坚果产品成本2226719894.50为深加工排除证据；未拆产品其他成本662435253.53只作反向证据,否,否,否,2018—2021产品“其它”已含其他业务，不重复相加；2022产品其他与其他业务互斥后相加；不叠加行业、地区维度,籽类、坚果及休闲食品属于深加工；未拆“其他”不能直接认定为初加工，但全部作上界仍低于30%。,产品“其他”未拆初加工、农业投入品与深加工收入，只作上界。,17|18,73|81,可确认深加工额按主营业务中葵花子与坚果互斥项目合计；2020—2022主营产品其他成本以互斥产品成本作残差核对，再加其他业务成本；不以成本比例推算收入,https://static.cninfo.com.cn/finalpage/2019-06-20/1206367858.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
002557,洽洽食品股份有限公司,2019,,,未单列农业种植或农业投入品对外收入；未拆产品其他仅作上界,,0.00,709917790.37,下界=0；上界=未拆产品其他（含其他业务）709917790.37,0,0.146760546516760402201546411019870414735381532626709410367280,未单列初加工或农业投入品收入；未拆产品其他仅作上界,,0.00,709917790.37,下界=0；上界=未拆产品其他（含其他业务）709917790.37,0,0.146760546516760402201546411019870414735381532626709410367280,4837252294.43,合并利润表营业收入,,,709917790.37,475744800.80,,,葵花子、坚果及其他休闲食品,4127334504.06,2752722585.13,可确认籽类/坚果产品成本2752722585.13为深加工排除证据；未拆产品其他成本475744800.80只作反向证据,否,否,否,2018—2021产品“其它”已含其他业务，不重复相加；2022产品其他与其他业务互斥后相加；不叠加行业、地区维度,籽类、坚果及休闲食品属于深加工；未拆“其他”不能直接认定为初加工，但全部作上界仍低于30%。,产品“其他”未拆初加工、农业投入品与深加工收入，只作上界。,16|17,78,可确认深加工额按主营业务中葵花子与坚果互斥项目合计；2020—2022主营产品其他成本以互斥产品成本作残差核对，再加其他业务成本；不以成本比例推算收入,https://static.cninfo.com.cn/finalpage/2020-04-09/1207468393.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
002557,洽洽食品股份有限公司,2020,,,未单列农业种植或农业投入品对外收入；未拆产品其他仅作上界,,0.00,614188044.97,下界=0；上界=未拆产品其他（含其他业务）614188044.97,0,0.116118876732959878526038748747745941611582524247118243874093,未单列初加工或农业投入品收入；未拆产品其他仅作上界,,0.00,614188044.97,下界=0；上界=未拆产品其他（含其他业务）614188044.97,0,0.116118876732959878526038748747745941611582524247118243874093,5289304049.87,合并利润表营业收入,,,614188044.97,438494498.13,,,葵花子、坚果及其他休闲食品,4675116004.90,3164021683.89,可确认籽类/坚果产品成本3164021683.89为深加工排除证据；未拆产品其他成本438494498.13只作反向证据,否,否,否,2018—2021产品“其它”已含其他业务，不重复相加；2022产品其他与其他业务互斥后相加；不叠加行业、地区维度,籽类、坚果及休闲食品属于深加工；未拆“其他”不能直接认定为初加工，但全部作上界仍低于30%。,产品“其他”未拆初加工、农业投入品与深加工收入，只作上界。,19|20,87,可确认深加工额按主营业务中葵花子与坚果互斥项目合计；2020—2022主营产品其他成本以互斥产品成本作残差核对，再加其他业务成本；不以成本比例推算收入,https://static.cninfo.com.cn/finalpage/2021-04-16/1209703663.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批S组（未合并）,已人工复核（第十八批S组；主表未合并）,2026-08-11
