股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,混合或未拆收入_元_上界证据,混合或未拆成本_元_反向证据,明确排除类别,明确排除收入_元_反向证据,明确排除成本_元_反向证据,内部交易抵消收入_元,内部交易抵消成本_元,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002982,湖南湘佳牧业股份有限公司,2020,3.0,畜牧业,活禽+商品蛋；产品“其他”性质混合，仅作上界,,498186788.01,602482704.54,下界=活禽498186788.01+商品蛋0.00=498186788.01；上界=下界+产品其他104295916.53=602482704.54,0.227525587208365390983484533664192311015413765469230815314407,0.275158302934753914515526560230874677657912060627485615210370,同严格口径；冰鲜屠宰品排除，产品“其他”仅作上界,,498186788.01,602482704.54,下界=活禽498186788.01+商品蛋0.00=498186788.01；上界=下界+产品其他104295916.53=602482704.54,0.227525587208365390983484533664192311015413765469230815314407,0.275158302934753914515526560230874677657912060627485615210370,2189585769.77,合并利润表营业收入,520694630.08,600087294.54,520694630.08,600087294.54,104295916.53,79392664.46,冰鲜禽肉等屠宰产品,1587103065.23,980455712.47,,,活禽+商品蛋成本=520694630.08；产品其他残差成本=79392664.46；冰鲜成本980455712.47排除,否,否,否,活禽、冰鲜、商品蛋、其他为同一产品维度互斥项目；不叠加行业、地区及销售模式,活禽和商品蛋属于直接畜禽养殖，冰鲜属于屠宰产品排除；产品“其他”未拆鸡苗、生物肥、柑橘等性质，只作上界。,产品“其他”未拆直接农业、农业投入品及非涉农项目；上下界不改变本年门槛结论。,20|21,105,产品行合计与合并营业收入一致；商品蛋由自产蛋禽形成，纳入直接养殖,https://static.cninfo.com.cn/finalpage/2021-03-16/1209384870.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
002982,湖南湘佳牧业股份有限公司,2021,3.0,畜牧业,活禽+商品蛋；产品“其他”性质混合，仅作上界,,953253360.71,1179769686.32,下界=活禽761025289.45+商品蛋192228071.26=953253360.71；上界=下界+产品其他226516325.61=1179769686.32,0.317168869738779902439757663956176961000668302194593002969504,0.392535954642204227892685424259703854893078561208948874048600,同严格口径；冰鲜屠宰品排除，产品“其他”仅作上界,,953253360.71,1179769686.32,下界=活禽761025289.45+商品蛋192228071.26=953253360.71；上界=下界+产品其他226516325.61=1179769686.32,0.317168869738779902439757663956176961000668302194593002969504,0.392535954642204227892685424259703854893078561208948874048600,3005507323.26,合并利润表营业收入,950734646.70,1108668104.62,950734646.70,1108668104.62,226516325.61,157933457.92,冰鲜禽肉等屠宰产品,1825737636.94,1369196027.25,,,活禽+商品蛋成本=950734646.70；产品其他残差成本=157933457.92；冰鲜成本1369196027.25排除,否,否,是,活禽、冰鲜、商品蛋、其他为同一产品维度互斥项目；不叠加行业、地区及销售模式,活禽和商品蛋属于直接畜禽养殖，冰鲜属于屠宰产品排除；产品“其他”未拆鸡苗、生物肥、柑橘等性质，只作上界。,产品“其他”未拆直接农业、农业投入品及非涉农项目；上下界不改变本年门槛结论。,21|22,108,采用2021原年报产品口径：冰鲜1825737636.94、其他226516325.61。2022年报将2021比较数重分类为冰鲜1887324404.11、其他164929558.44；两项合计不变，当前上下界仍处30%—50%，边界结论不变。商品蛋由自产蛋禽形成，纳入直接养殖。,https://static.cninfo.com.cn/finalpage/2022-03-23/1212642636.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
002982,湖南湘佳牧业股份有限公司,2022,待核实,待核实,活禽+商品蛋；产品“其他”性质混合，仅作上界,,1236120883.91,1430523674.47,下界=活禽1005505813.56+商品蛋230615070.35=1236120883.91；上界=下界+产品其他194402790.56=1430523674.47,0.323337950744647369713573629566565154997308604015890280984112,0.374188802580338752887951715701595632451557702262716367330137,同严格口径；冰鲜屠宰品排除，产品“其他”仅作上界,,1236120883.91,1430523674.47,下界=活禽1005505813.56+商品蛋230615070.35=1236120883.91；上界=下界+产品其他194402790.56=1430523674.47,0.323337950744647369713573629566565154997308604015890280984112,0.374188802580338752887951715701595632451557702262716367330137,3822999685.20,合并利润表营业收入,1177935126.71,1349340908.07,1177935126.71,1349340908.07,194402790.56,171405781.36,冰鲜禽肉等屠宰产品,2392476010.73,1745447654.37,,,活禽+商品蛋成本=1177935126.71；产品其他残差成本=171405781.36；冰鲜成本1745447654.37排除,否,否,是,活禽、冰鲜、商品蛋、其他为同一产品维度互斥项目；不叠加行业、地区及销售模式,活禽和商品蛋属于直接畜禽养殖，冰鲜属于屠宰产品排除；产品“其他”未拆鸡苗、生物肥、柑橘等性质，只作上界。,产品“其他”未拆直接农业、农业投入品及非涉农项目；上下界不改变本年门槛结论。,21|22,98,产品行合计与合并营业收入一致；商品蛋由自产蛋禽形成，纳入直接养殖,https://static.cninfo.com.cn/finalpage/2023-04-12/1216377150.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
300761,江苏立华食品集团股份有限公司,2019,3.0,畜牧业,单列猪收入+鹅收入；混合鸡收入含活鸡与屠宰冰鲜/冻品，仅作上界,,432078081.86,8870466583.29,下界=鹅97733238.19+猪334344843.67=432078081.86；上界=下界+混合鸡收入8438388501.43=8870466583.29,0.0487097355931580512080019596360029973527672248678260428308668,1,同严格口径；未单列对外饲料/动保收入，混合鸡收入仅作上界,,432078081.86,8870466583.29,下界=鹅97733238.19+猪334344843.67=432078081.86；上界=下界+混合鸡收入8438388501.43=8870466583.29,0.0487097355931580512080019596360029973527672248678260428308668,1,8870466583.29,合并利润表营业收入,488270015.51,6394703948.68,488270015.51,6394703948.68,8438388501.43,5906433933.17,鸡收入中的屠宰热鲜、冰鲜及冰冻品（未单列金额）,,,,,鹅+猪成本按同一产品维度残差=6394703948.68-5906433933.17=488270015.51；混合鸡成本5906433933.17仅作反向核对,待核实,待核实,待核实,猪、鹅、鸡为同一产品维度互斥项目；未叠加行业、地区或销售模式；内部饲料不另计,猪、鹅销售可确认为直接养殖；鸡收入同时含活鸡与屠宰后的鲜/冻产品，未披露金额拆分，不能把整项直接纳入。,鸡收入未拆活鸡与热鲜、冰鲜、冰冻品；上下界跨越50%，严格及扩展样本结论待核实。,21|22,102,年报明确主要业务含养殖及屠宰加工；鸡收入产品行无法可靠拆分，不按销量和均价估算,https://static.cninfo.com.cn/finalpage/2021-04-01/1209567348.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
300761,江苏立华食品集团股份有限公司,2020,3.0,畜牧业,单列猪收入+鹅收入；混合鸡收入含活鸡与屠宰冰鲜/冻品，仅作上界,,931538141.86,8620966215.37,下界=鹅72808778.42+猪858729363.44=931538141.86；上界=下界+混合鸡收入7689428073.51=8620966215.37,0.108054957946499697024945957533922431189164415541095954318131,1,同严格口径；未单列对外饲料/动保收入，混合鸡收入仅作上界,,931538141.86,8620966215.37,下界=鹅72808778.42+猪858729363.44=931538141.86；上界=下界+混合鸡收入7689428073.51=8620966215.37,0.108054957946499697024945957533922431189164415541095954318131,1,8620966215.37,合并利润表营业收入,837932244.29,7881614706.45,837932244.29,7881614706.45,7689428073.51,7043682462.16,鸡收入中的屠宰热鲜、冰鲜及冰冻品（未单列金额）,,,,,鹅+猪成本按同一产品维度残差=7881614706.45-7043682462.16=837932244.29；混合鸡成本7043682462.16仅作反向核对,待核实,待核实,待核实,猪、鹅、鸡为同一产品维度互斥项目；未叠加行业、地区或销售模式；内部饲料不另计,猪、鹅销售可确认为直接养殖；鸡收入同时含活鸡与屠宰后的鲜/冻产品，未披露金额拆分，不能把整项直接纳入。,鸡收入未拆活鸡与热鲜、冰鲜、冰冻品；上下界跨越50%，严格及扩展样本结论待核实。,25|26,119,年报明确主要业务含养殖及屠宰加工；鸡收入产品行无法可靠拆分，不按销量和均价估算,https://static.cninfo.com.cn/finalpage/2021-03-06/1209346960.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
300761,江苏立华食品集团股份有限公司,2021,3.0,畜牧业,单列猪收入+鹅收入；混合鸡收入含活鸡与屠宰冰鲜/冻品，仅作上界,,1122010667.00,11131728138.55,下界=鹅100396503.21+猪1021614163.79=1122010667.00；上界=下界+混合鸡收入10009717471.55=11131728138.55,0.100793933613451613069981498753298979972419944578345489457722,1,同严格口径；未单列对外饲料/动保收入，混合鸡收入仅作上界,,1122010667.00,11131728138.55,下界=鹅100396503.21+猪1021614163.79=1122010667.00；上界=下界+混合鸡收入10009717471.55=11131728138.55,0.100793933613451613069981498753298979972419944578345489457722,1,11131728138.55,合并利润表营业收入,1177207120.58,10253394650.23,1177207120.58,10253394650.23,10009717471.55,9076187529.65,鸡收入中的屠宰热鲜、冰鲜及冰冻品（未单列金额）,,,,,鹅+猪成本按同一产品维度残差=10253394650.23-9076187529.65=1177207120.58；混合鸡成本9076187529.65仅作反向核对,待核实,待核实,待核实,猪、鹅、鸡为同一产品维度互斥项目；未叠加行业、地区或销售模式；内部饲料不另计,猪、鹅销售可确认为直接养殖；鸡收入同时含活鸡与屠宰后的鲜/冻产品，未披露金额拆分，不能把整项直接纳入。,鸡收入未拆活鸡与热鲜、冰鲜、冰冻品；上下界跨越50%，严格及扩展样本结论待核实。,27|28,112,年报明确主要业务含养殖及屠宰加工；鸡收入产品行无法可靠拆分，不按销量和均价估算,https://static.cninfo.com.cn/finalpage/2022-04-23/1213055156.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
603668,福建天马科技集团股份有限公司,2018,,,未单列直接养殖对外收入,0.00,0.00,0.00,下界=上界=单列养殖收入0.00,0,0,严格养殖+特水饲料+畜禽饲料+动保产品,1048869512.28,1048869512.28,1048869512.28,下界=上界=养殖0.00+特水饲料1047660316.40+畜禽饲料0.00+动保1209195.88=1048869512.28,0.696376752731115141361253873206673718723007817190795183825377,0.696376752731115141361253873206673718723007817190795183825377,1506181112.69,合并利润表营业收入,0.00,0.00,799578195.99,799578195.99,,,水产品贸易/烤鳗食品（金额单列如下）；原料贸易亦排除但未计入下列金额,108364855.68,104699281.32,,,严格成本区间0.00—0.00；扩展成本区间799578195.99—799578195.99，只作收入项目反向核对,否,是,否,只在同一产品维度求和；原料贸易和水产品/食品销售排除；2022内部交易抵消不明分属，整体扣减构造保守下界,养殖进入严格口径；饲料和动保进入扩展口径；原料销售、水产品贸易及烤鳗/食品销售排除。,无影响门槛结论的待核实收入项。,19,87,2018饲料销售未拆特水/畜禽但整体属于扩展农业投入品；2021养殖含畜禽与鳗鲡，均属严格口径,https://static.cninfo.com.cn/finalpage/2019-04-30/1206168951.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
603668,福建天马科技集团股份有限公司,2019,,,畜禽/鳗鲡养殖销售（直接养殖）,10836857.83,10836857.83,10836857.83,下界=上界=单列养殖收入10836857.83,0.00446258030530254865265323641730723579848415491221033819774133,0.00446258030530254865265323641730723579848415491221033819774133,严格养殖+特水饲料+畜禽饲料+动保产品,1917862450.54,1917862450.54,1917862450.54,下界=上界=养殖10836857.83+特水饲料1151564535.70+畜禽饲料753503813.34+动保1957243.67=1917862450.54,0.789769076453694448355156770397422969288361971367921672166326,0.789769076453694448355156770397422969288361971367921672166326,2428383824.74,合并利润表营业收入,8529724.55,8529724.55,1624351815.44,1624351815.44,,,水产品贸易/烤鳗食品（金额单列如下）；原料贸易亦排除但未计入下列金额,311308765.88,294960384.05,,,严格成本区间8529724.55—8529724.55；扩展成本区间1624351815.44—1624351815.44，只作收入项目反向核对,否,是,否,只在同一产品维度求和；原料贸易和水产品/食品销售排除；2022内部交易抵消不明分属，整体扣减构造保守下界,养殖进入严格口径；饲料和动保进入扩展口径；原料销售、水产品贸易及烤鳗/食品销售排除。,无影响门槛结论的待核实收入项。,23|24,91,2018饲料销售未拆特水/畜禽但整体属于扩展农业投入品；2021养殖含畜禽与鳗鲡，均属严格口径,https://static.cninfo.com.cn/finalpage/2020-02-28/1207329382.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
603668,福建天马科技集团股份有限公司,2020,,,畜禽/鳗鲡养殖销售（直接养殖）,16904293.69,16904293.69,16904293.69,下界=上界=单列养殖收入16904293.69,0.00464409158312590487658966808419823902768160659336402018907888,0.00464409158312590487658966808419823902768160659336402018907888,严格养殖+特水饲料+畜禽饲料+动保产品,3292606672.21,3292606672.21,3292606672.21,下界=上界=养殖16904293.69+特水饲料1352713317.99+畜禽饲料1920936211.96+动保2052848.57=3292606672.21,0.904572957224494142420032561820712776014061357496605419182720,0.904572957224494142420032561820712776014061357496605419182720,3639957005.03,合并利润表营业收入,19477420.11,19477420.11,2880173954.29,2880173954.29,,,水产品贸易/烤鳗食品（金额单列如下）；原料贸易亦排除但未计入下列金额,186039113.95,194229408.85,,,严格成本区间19477420.11—19477420.11；扩展成本区间2880173954.29—2880173954.29，只作收入项目反向核对,否,是,否,只在同一产品维度求和；原料贸易和水产品/食品销售排除；2022内部交易抵消不明分属，整体扣减构造保守下界,养殖进入严格口径；饲料和动保进入扩展口径；原料销售、水产品贸易及烤鳗/食品销售排除。,无影响门槛结论的待核实收入项。,25|26,100,2018饲料销售未拆特水/畜禽但整体属于扩展农业投入品；2021养殖含畜禽与鳗鲡，均属严格口径,https://static.cninfo.com.cn/finalpage/2021-04-30/1209876787.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
603668,福建天马科技集团股份有限公司,2021,,,畜禽/鳗鲡养殖销售（直接养殖）,83614349.20,83614349.20,83614349.20,下界=上界=单列养殖收入83614349.20,0.0154297860157689971492232814953572987509507572360984350930084,0.0154297860157689971492232814953572987509507572360984350930084,严格养殖+特水饲料+畜禽饲料+动保产品,5054240429.44,5054240429.44,5054240429.44,下界=上界=养殖83614349.20+特水饲料1538094231.52+畜禽饲料3431033134.34+动保1498714.38=5054240429.44,0.932684988218596369381637356899271052452845388662922727796568,0.932684988218596369381637356899271052452845388662922727796568,5419021956.27,合并利润表营业收入,51276861.94,51276861.94,4524057849.73,4524057849.73,,,水产品贸易/烤鳗食品（金额单列如下）；原料贸易亦排除但未计入下列金额,259792639.58,248618060.99,,,严格成本区间51276861.94—51276861.94；扩展成本区间4524057849.73—4524057849.73，只作收入项目反向核对,否,是,否,只在同一产品维度求和；原料贸易和水产品/食品销售排除；2022内部交易抵消不明分属，整体扣减构造保守下界,养殖进入严格口径；饲料和动保进入扩展口径；原料销售、水产品贸易及烤鳗/食品销售排除。,无影响门槛结论的待核实收入项。,29|31,114,2018饲料销售未拆特水/畜禽但整体属于扩展农业投入品；2021养殖含畜禽与鳗鲡，均属严格口径,https://static.cninfo.com.cn/finalpage/2022-04-07/1212826867.PDF,沿用v27原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十八批T组（未合并）,已人工复核（第十八批T组；主表未合并）,2026-08-11
