股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径正式涉农收入占比_原始未四舍五入,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,贸易或其他业务排除收入_元_反向证据,收入成本反核说明,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,金额单位及精度说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,补充原年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002286,保龄宝生物股份有限公司,2018,待核实,待核实,功能配料及生物饲料制造不属于直接农业生产,,0.00,0.00,下界=上界=0,0,0,单列饲料产品作下界；食品/饲料混合用途功能糖作上界；淀粉糖深加工排除,292326599.38,0.168973696088459792283161864559382495637187791208385188276138,292326599.38,786851440.88,下界=饲料/饲料类292326599.38；上界=下界+混合用途功能糖494524841.50=786851440.88,0.168973696088459792283161864559382495637187791208385188276138,0.454824147101272271154045599019472721289286073942021860402655,1730012458.43,合并利润表营业收入,0.00,0.00,271443699.76,641686654.61,9044614.30,饲料成本下界271443699.76、含混合功能糖成本上界641686654.61,否,否,待核实,否（使用同一分产品层级；功能糖只作上界，淀粉糖和其他业务未加总）,"严格区间[0, 0]；扩展区间[0.168973696088459792283161864559382495637187791208385188276138, 0.454824147101272271154045599019472721289286073942021860402655]。饲料/饲料类为明确农业投入品；低聚糖、糖醇及其他功能糖同时用于食品和饲料，故仅作上界；果葡糖浆、麦芽糊精和其他淀粉糖属于淀粉糖深加工，副产品及其他、其他业务及贸易排除。",需取得功能糖按动物营养/饲料用途的销售收入；贸易公司收入不得依经营范围并入。,单列产品收入、成本均为元；2022收入成本与产品表及利润表反核一致,14|15,76,https://static.cninfo.com.cn/finalpage/2019-04-30/1206162746.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
002286,保龄宝生物股份有限公司,2019,待核实,待核实,功能配料及生物饲料制造不属于直接农业生产,,0.00,0.00,下界=上界=0,0,0,单列饲料产品作下界；食品/饲料混合用途功能糖作上界；淀粉糖深加工排除,299000340.72,0.165635551386117257946533834171018296798593792904535082142304,299000340.72,848853355.68,下界=饲料/饲料类299000340.72；上界=下界+混合用途功能糖549853014.96=848853355.68,0.165635551386117257946533834171018296798593792904535082142304,0.470234559851817649038682310036417580708917869798451440262223,1805170075.01,合并利润表营业收入,0.00,0.00,281207529.91,686811886.43,10532088.58,饲料成本下界281207529.91、含混合功能糖成本上界686811886.43,否,否,待核实,否（使用同一分产品层级；功能糖只作上界，淀粉糖和其他业务未加总）,"严格区间[0, 0]；扩展区间[0.165635551386117257946533834171018296798593792904535082142304, 0.470234559851817649038682310036417580708917869798451440262223]。饲料/饲料类为明确农业投入品；低聚糖、糖醇及其他功能糖同时用于食品和饲料，故仅作上界；果葡糖浆、麦芽糊精和其他淀粉糖属于淀粉糖深加工，副产品及其他、其他业务及贸易排除。",需取得功能糖按动物营养/饲料用途的销售收入；贸易公司收入不得依经营范围并入。,单列产品收入、成本均为元；2022收入成本与产品表及利润表反核一致,13|14,72,https://static.cninfo.com.cn/finalpage/2020-04-29/1207656845.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
002286,保龄宝生物股份有限公司,2020,待核实,待核实,功能配料及生物饲料制造不属于直接农业生产,,0.00,0.00,下界=上界=0,0,0,单列饲料产品作下界；食品/饲料混合用途功能糖作上界；淀粉糖深加工排除,212801727.43,0.103574407819993797307896047527862822235128763444750611336217,212801727.43,1016853933.83,下界=饲料/饲料类212801727.43；上界=下界+混合用途功能糖804052206.40=1016853933.83,0.103574407819993797307896047527862822235128763444750611336217,0.494921001383872118310716288387114232940118743308540448912131,2054578268.02,合并利润表营业收入,0.00,0.00,208245326.98,877596127.92,13190252.91,饲料成本下界208245326.98、含混合功能糖成本上界877596127.92,否,否,待核实,否（使用同一分产品层级；功能糖只作上界，淀粉糖和其他业务未加总）,"严格区间[0, 0]；扩展区间[0.103574407819993797307896047527862822235128763444750611336217, 0.494921001383872118310716288387114232940118743308540448912131]。饲料/饲料类为明确农业投入品；低聚糖、糖醇及其他功能糖同时用于食品和饲料，故仅作上界；果葡糖浆、麦芽糊精和其他淀粉糖属于淀粉糖深加工，副产品及其他、其他业务及贸易排除。",需取得功能糖按动物营养/饲料用途的销售收入；贸易公司收入不得依经营范围并入。 产品收入和成本采用2021年报对2020年追溯重分类后的最新比较数。,单列产品收入、成本均为元；2022收入成本与产品表及利润表反核一致,2021年报30|31（2020追溯重分类比较数）,95,https://static.cninfo.com.cn/finalpage/2022-04-29/1213205314.PDF,https://static.cninfo.com.cn/finalpage/2021-04-29/1209850534.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
002286,保龄宝生物股份有限公司,2021,待核实,待核实,功能配料及生物饲料制造不属于直接农业生产,,0.00,0.00,下界=上界=0,0,0,单列饲料产品作下界；食品/饲料混合用途功能糖作上界；淀粉糖深加工排除,308328643.35,0.111512192106986049591656282981063888854357488186159596395926,308328643.35,1520481322.21,下界=饲料/饲料类308328643.35；上界=下界+混合用途功能糖1212152678.86=1520481322.21,0.111512192106986049591656282981063888854357488186159596395926,0.549907408715505167681483834903987820234275862185498756874278,2764976972.69,合并利润表营业收入,0.00,0.00,299268260.43,1222852617.31,9901611.91,饲料成本下界299268260.43、含混合功能糖成本上界1222852617.31,否,待核实,待核实,否（使用同一分产品层级；功能糖只作上界，淀粉糖和其他业务未加总）,"严格区间[0, 0]；扩展区间[0.111512192106986049591656282981063888854357488186159596395926, 0.549907408715505167681483834903987820234275862185498756874278]。饲料/饲料类为明确农业投入品；低聚糖、糖醇及其他功能糖同时用于食品和饲料，故仅作上界；果葡糖浆、麦芽糊精和其他淀粉糖属于淀粉糖深加工，副产品及其他、其他业务及贸易排除。",需取得功能糖按动物营养/饲料用途的销售收入；贸易公司收入不得依经营范围并入。,单列产品收入、成本均为元；2022收入成本与产品表及利润表反核一致,30|31,95,https://static.cninfo.com.cn/finalpage/2022-04-29/1213205314.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
002286,保龄宝生物股份有限公司,2022,待核实,待核实,功能配料及生物饲料制造不属于直接农业生产,,0.00,0.00,下界=上界=0,0,0,单列饲料产品作下界；食品/饲料混合用途功能糖作上界；淀粉糖深加工排除,580708042.41,0.214066554164132285199168846332318967112122881792355515610932,580708042.41,1498102958.21,下界=饲料/饲料类580708042.41；上界=下界+混合用途功能糖917394915.80=1498102958.21,0.214066554164132285199168846332318967112122881792355515610932,0.552246076558875826530232827129203928326154262820480617942518,2712745317.35,合并利润表营业收入,0.00,0.00,560263466.33,1319267070.38,9588930.93,饲料成本下界560263466.33、含混合功能糖成本上界1319267070.38,否,待核实,待核实,否（使用同一分产品层级；功能糖只作上界，淀粉糖和其他业务未加总）,"严格区间[0, 0]；扩展区间[0.214066554164132285199168846332318967112122881792355515610932, 0.552246076558875826530232827129203928326154262820480617942518]。饲料/饲料类为明确农业投入品；低聚糖、糖醇及其他功能糖同时用于食品和饲料，故仅作上界；果葡糖浆、麦芽糊精和其他淀粉糖属于淀粉糖深加工，副产品及其他、其他业务及贸易排除。",需取得功能糖按动物营养/饲料用途的销售收入；贸易公司收入不得依经营范围并入。,单列产品收入、成本均为元；2022收入成本与产品表及利润表反核一致,30|31|32,94,https://static.cninfo.com.cn/finalpage/2023-04-28/1216649151.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
300138,晨光生物科技集团股份有限公司,2014,待核实,待核实,未单列直接种植或其他直接农业外销收入,,0.00,0.00,下界=上界=0,0,0,籽仁壳绒及粕渣等棉籽初加工产品作下界；食品/医药/饲料混合用途天然色素作上界,458410236.96,0.379736534740110333281570451733398069080505943824963532109249,458410236.96,800081435.31,下界=籽仁壳绒+粕渣等棉籽初加工产品458410236.96；上界=下界+混合用途天然色素341671198.35=800081435.31,0.379736534740110333281570451733398069080505943824963532109249,0.662769125247575826474364669244323161446515981566798416504489,1207179702.30,合并利润表营业收入,0.00,0.00,427472251.89,718160498.02,5533210.72,棉籽初加工成本下界427472251.89、含混合天然色素成本上界718160498.02,否,待核实,待核实,无；同一分产品层级加总，其他业务中的棉籽/辣椒贸易已排除,"严格区间[0, 0]；扩展区间[0.379736534740110333281570451733398069080505943824963532109249, 0.662769125247575826474364669244323161446515981566798416504489]。籽仁壳绒、粕渣及棉籽蛋白属于农产品初加工或饲料原料，形成确定下界；天然色素同时用于食品、医药、化妆品和饲料，只能增加上界。",需取得天然色素按饲料用途与非饲料用途的销售收入；其他业务棉籽/辣椒贸易不并入。,产品收入、成本均为元,20|21,85,https://static.cninfo.com.cn/finalpage/2015-03-24/1200730875.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
300138,晨光生物科技集团股份有限公司,2015,待核实,待核实,未单列直接种植或其他直接农业外销收入,,0.00,0.00,下界=上界=0,0,0,籽仁壳绒及粕渣等棉籽初加工产品作下界；食品/医药/饲料混合用途天然色素作上界,359317855.36,0.283456594908344840144606347859590666455737928500998602382703,359317855.36,805085305.58,下界=籽仁壳绒+粕渣等棉籽初加工产品359317855.36；上界=下界+混合用途天然色素445767450.22=805085305.58,0.283456594908344840144606347859590666455737928500998602382703,0.635111047019389283599214714391604707359326552426027068042754,1267629195.49,合并利润表营业收入,0.00,0.00,325523828.27,716196202.51,78479938.14,棉籽初加工成本下界325523828.27、含混合天然色素成本上界716196202.51,否,待核实,待核实,无；同一分产品层级加总，其他业务中的棉籽/辣椒贸易已排除,"严格区间[0, 0]；扩展区间[0.283456594908344840144606347859590666455737928500998602382703, 0.635111047019389283599214714391604707359326552426027068042754]。籽仁壳绒、粕渣及棉籽蛋白属于农产品初加工或饲料原料，形成确定下界；天然色素同时用于食品、医药、化妆品和饲料，只能增加上界。",需取得天然色素按饲料用途与非饲料用途的销售收入；其他业务棉籽/辣椒贸易不并入。,产品收入、成本均为元,19|20,86,https://static.cninfo.com.cn/finalpage/2016-03-29/1202089823.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
300138,晨光生物科技集团股份有限公司,2018,待核实,待核实,未单列直接种植或其他直接农业外销收入,,0.00,0.00,下界=上界=0,0,0,天然色素及棉籽蛋白/粕渣存在农业用途，但产品大类混含食品医药用途、油脂及贸易,,,0.00,2482572554.74,下界=0；上界=可识别含农业用途的混合产品行2482572554.74,0,0.810387044787498296527059479916802101515913774325271571160199,3063440575.35,合并利润表营业收入,0.00,0.00,0.00,2515030006.58,464302190.19,混合产品成本上界2515030006.58；不以成本倒推农业用途收入,否,待核实,待核实,混合用途及部分贸易无法从色素/棉籽产品行拆出；仅设上界，未与行业行重复相加,"严格区间[0, 0]；扩展区间[0, 0.810387044787498296527059479916802101515913774325271571160199]。植物提取、色素和油脂不因农业原料而自动纳入；棉籽大类包含农产品初加工品，天然色素也存在饲料用途，但产品大类未拆符合与不符合扩展口径的收入，故不能形成可量化下界。",需取得天然色素和棉籽类产品按农业/非农业用途、初加工/深加工及自产/贸易的收入拆分。,收入上界采用财务附注主营业务产品行；成本为管理表较宽成本上限,20|21|203,99,https://static.cninfo.com.cn/finalpage/2019-03-26/1205937202.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
300138,晨光生物科技集团股份有限公司,2019,待核实,待核实,未单列直接种植或其他直接农业外销收入,,0.00,0.00,下界=上界=0,0,0,天然色素及棉籽蛋白/粕渣存在农业用途，但产品大类混含食品医药用途、油脂及贸易,,,0.00,2740287998.04,下界=0；上界=可识别含农业用途的混合产品行2740287998.04,0,0.839232040389478390879311401236758701834923755110853492173523,3265232815.43,合并利润表营业收入,0.00,0.00,0.00,2558097153.87,402010672.92,混合产品成本上界2558097153.87；不以成本倒推农业用途收入,否,待核实,待核实,混合用途及部分贸易无法从色素/棉籽产品行拆出；仅设上界，未与行业行重复相加,"严格区间[0, 0]；扩展区间[0, 0.839232040389478390879311401236758701834923755110853492173523]。植物提取、色素和油脂不因农业原料而自动纳入；棉籽大类包含农产品初加工品，天然色素也存在饲料用途，但产品大类未拆符合与不符合扩展口径的收入，故不能形成可量化下界。",需取得天然色素和棉籽类产品按农业/非农业用途、初加工/深加工及自产/贸易的收入拆分。,收入上界采用财务附注主营业务产品行；成本为管理表较宽成本上限,19|20|217,99,https://static.cninfo.com.cn/finalpage/2020-04-21/1207540487.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
300138,晨光生物科技集团股份有限公司,2020,待核实,待核实,未单列直接种植或其他直接农业外销收入,,0.00,0.00,下界=上界=0,0,0,天然色素及棉籽蛋白/粕渣存在农业用途，但产品大类混含食品医药用途、油脂及贸易,,,0.00,3770817899.73,下界=0；上界=可识别含农业用途的混合产品行3770817899.73,0,0.963680109152018014991375658267430476740831479621732674603045,3912935282.07,合并利润表营业收入,0.00,0.00,0.00,3134788400.00,,混合产品成本上界3134788400.00；不以成本倒推农业用途收入,否,待核实,待核实,混合用途及部分贸易无法从色素/棉籽产品行拆出；仅设上界，未与行业行重复相加,"严格区间[0, 0]；扩展区间[0, 0.963680109152018014991375658267430476740831479621732674603045]。植物提取、色素和油脂不因农业原料而自动纳入；棉籽大类包含农产品初加工品，天然色素也存在饲料用途，但产品大类未拆符合与不符合扩展口径的收入，故不能形成可量化下界。",需取得天然色素和棉籽类产品按农业/非农业用途、初加工/深加工及自产/贸易的收入拆分。,"产品成本按年报万元表×10,000；混合行内贸易无法另拆",29|30|247,114,https://static.cninfo.com.cn/finalpage/2021-03-23/1209427901.PDF,,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批N组（未合并）,已人工复核（第十六批N组；主表未合并）,2026-08-11
