股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,严格口径已核实可归属成本_元,扩展口径已核实可归属成本_元,成本口径缺口说明,屠宰肉品或食品加工收入_元_排除证据,屠宰肉品或食品加工成本_元_排除证据,贸易油脂玉米工程等收入_元_排除证据,贸易油脂玉米工程等成本_元_排除证据,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,ST退市处理说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002100,天康生物股份有限公司,2018,待核实,待核实,生猪养殖；牛奶/代养或其他混合项仅作严格上界,,336076025.03,527674128.55,下界=生猪养殖336076025.03；上界=下界+混合项191598103.52=527674128.55,0.0637348688006754772319530891012749960839097168240035154436477,0.100070337804200421513555451807635259606074740719160453389344,生猪养殖+饲料+兽药+牛奶/代养业务,3839601107.79,3839601107.79,3839601107.79,生猪336076025.03+饲料2562068393.17+兽药749858586.07+牛奶/代养191598103.52=3839601107.79,0.728158079202701617004702894794197127335643019140445403048523,0.728158079202701617004702894794197127335643019140445403048523,5273032350.33,合并利润表营业收入,304950179.99,2799416910.35,牛奶/代养业务收入可识别但对应成本未单列；扩展已核实可归属成本仅含生猪、饲料和兽药成本，不称全部对应成本已核。,518705961.44,418107730.02,854920766.67,751093160.83,否,是,否,无；采用同一分产品维度，食品养殖行业合计未再次加入,"严格区间[0.0637348688006754772319530891012749960839097168240035154436477, 0.100070337804200421513555451807635259606074740719160453389344]；扩展区间[0.728158079202701617004702894794197127335643019140445403048523, 0.728158079202701617004702894794197127335643019140445403048523]。饲料、兽药及明确代养服务进入扩展口径；屠宰肉制品、蛋白油脂、玉米收储/加工和担保排除。",混合牛奶/代养未拆，严格正式分子采用生猪养殖下界。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,14,83,https://static.cninfo.com.cn/finalpage/2019-04-26/1206106510.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002100,天康生物股份有限公司,2019,待核实,待核实,生猪养殖；牛奶/代养或其他混合项仅作严格上界,,481147304.84,736431058.90,下界=生猪养殖481147304.84；上界=下界+混合项255283754.06=736431058.90,0.0643561989101427632601182115320511753656878913549176935599252,0.0985018584400795063130065576649206994725460230376174641084194,生猪养殖+饲料+兽药+牛奶/代养业务,4222395849.34,4222395849.34,4222395849.34,生猪481147304.84+饲料2930772440.50+兽药555192349.94+牛奶/代养255283754.06=4222395849.34,0.564769550663594308862514511119789659883297807710320620663989,0.564769550663594308862514511119789659883297807710320620663989,7476316392.02,合并利润表营业收入,339832886.02,3072148927.27,牛奶/代养业务收入可识别但对应成本未单列；扩展已核实可归属成本仅含生猪、饲料和兽药成本，不称全部对应成本已核。,1162972818.02,606772912.14,2055824820.70,1735012803.81,否,是,否,无；采用同一分产品维度，食品养殖行业合计未再次加入,"严格区间[0.0643561989101427632601182115320511753656878913549176935599252, 0.0985018584400795063130065576649206994725460230376174641084194]；扩展区间[0.564769550663594308862514511119789659883297807710320620663989, 0.564769550663594308862514511119789659883297807710320620663989]。饲料、兽药及明确代养服务进入扩展口径；屠宰肉制品、蛋白油脂、玉米收储/加工和担保排除。",混合牛奶/代养未拆，严格正式分子采用生猪养殖下界。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,17,94,https://static.cninfo.com.cn/finalpage/2020-04-24/1207584338.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002100,天康生物股份有限公司,2020,待核实,待核实,生猪养殖；牛奶/代养或其他混合项仅作严格上界,,2440937679.41,2766066610.54,下界=生猪养殖2440937679.41；上界=下界+混合项325128931.13=2766066610.54,0.203635320356463660702358597469146207372978411951921986456837,0.230759214016794742096636625037524547053577310623536807291636,生猪养殖+饲料+兽药+牛奶/代养业务,7827494552.33,7827494552.33,7827494552.33,生猪2440937679.41+饲料4215294872.54+兽药846133069.25+牛奶/代养325128931.13=7827494552.33,0.653009035911752154622503592348641356117689739669961937442548,0.653009035911752154622503592348641356117689739669961937442548,11986808944.23,合并利润表营业收入,1116087605.30,4998335654.42,牛奶/代养业务收入可识别但对应成本未单列；扩展已核实可归属成本仅含生猪、饲料和兽药成本，不称全部对应成本已核。,1035801253.77,360721916.10,3083604242.89,2576027345.63,否,是,否,无；采用同一分产品维度，食品养殖行业合计未再次加入,"严格区间[0.203635320356463660702358597469146207372978411951921986456837, 0.230759214016794742096636625037524547053577310623536807291636]；扩展区间[0.653009035911752154622503592348641356117689739669961937442548, 0.653009035911752154622503592348641356117689739669961937442548]。饲料、兽药及明确代养服务进入扩展口径；屠宰肉制品、蛋白油脂、玉米收储/加工和担保排除。",混合牛奶/代养未拆，严格正式分子采用生猪养殖下界。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,19,95,https://static.cninfo.com.cn/finalpage/2021-04-23/1209774379.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002100,天康生物股份有限公司,2021,待核实,待核实,生猪养殖；牛奶/代养或其他混合项仅作严格上界,,1760854386.22,2362475322.34,下界=生猪养殖1760854386.22；上界=下界+混合项601620936.12=2362475322.34,0.112078894538667285312695372972575077840849897268740720525377,0.150372242347168715373120938789270349392918498487973240997862,生猪养殖+饲料+兽药；其他混合收入仅作上界,,7842489166.56,8444110102.68,下界=生猪1760854386.22+饲料5135319707.56+兽药946315072.78=7842489166.56；上界再加其他601620936.12=8444110102.68,0.499176719607353186200077059413839412660025236389979654824226,0.537470067415854616260502625230534684212093837609212175296711,15710847198.02,合并利润表营业收入,2164566352.11,6924096322.10,收入对应成本已核；成本不参与收入阈值判定。,1733898332.83,1667157984.56,5471308552.65,5034149377.57,否,待核实,待核实,无；采用同一分产品维度，食品养殖行业合计未再次加入,"严格区间[0.112078894538667285312695372972575077840849897268740720525377, 0.150372242347168715373120938789270349392918498487973240997862]；扩展区间[0.499176719607353186200077059413839412660025236389979654824226, 0.537470067415854616260502625230534684212093837609212175296711]。饲料、兽药及明确代养服务进入扩展口径；屠宰肉制品、蛋白油脂、玉米收储/加工和担保排除。","其他收入未拆农业与非农业，仅作上界；正式分子采用可确认下界。 统一采用2022年报最新重列的2021比较口径：营业收入15,710,847,198.02元、兽药收入946,315,072.78元；不再使用2021年报原披露数。",,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,16—17,99,https://static.cninfo.com.cn/finalpage/2023-04-29/1216693174.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002100,天康生物股份有限公司,2022,待核实,待核实,生猪养殖；牛奶/代养或其他混合项仅作严格上界,,1061268766.18,1692716117.03,下界=生猪养殖1061268766.18；上界=下界+混合项631447350.85=1692716117.03,0.0634289776129808123395903013179315907103565027098189110739388,0.101168767152822530819547693199913007674835817501581774486385,生猪养殖+饲料+兽药；其他混合收入仅作上界,,7519964319.73,8151411670.58,下界=生猪1061268766.18+饲料5531294851.69+兽药927400701.86=7519964319.73；上界再加其他631447350.85=8151411670.58,0.449446609272648907876888526633002993883400773209048847130580,0.487186398812490626356845918514984410847880088000811710543026,16731607636.11,合并利润表营业收入,958265932.02,6280212135.32,收入对应成本已核；成本不参与收入阈值判定。,3805151670.26,3453796694.85,4734883108.37,4626228946.92,否,否,是,无；采用同一分产品维度，食品养殖行业合计未再次加入,"严格区间[0.0634289776129808123395903013179315907103565027098189110739388, 0.101168767152822530819547693199913007674835817501581774486385]；扩展区间[0.449446609272648907876888526633002993883400773209048847130580, 0.487186398812490626356845918514984410847880088000811710543026]。饲料、兽药及明确代养服务进入扩展口径；屠宰肉制品、蛋白油脂、玉米收储/加工和担保排除。",其他收入未拆农业与非农业，仅作上界；正式分子采用可确认下界。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,18,99,https://static.cninfo.com.cn/finalpage/2023-04-29/1216693174.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002124,天邦食品股份有限公司,2018,待核实,待核实,生猪养殖,2802294298.68,2802294298.68,2802294298.68,生猪养殖2802294298.68,0.620120590704323778363682154743336167729946694275250470610869,0.620120590704323778363682154743336167729946694275250470610869,生猪养殖+饲料产品+动物疫苗,4281536747.39,4281536747.39,4281536747.39,生猪养殖2802294298.68+饲料1372416488.34+动物疫苗106825960.37=4281536747.39,0.947462619527294673154316417760714093199977622739092426991850,0.947462619527294673154316417760714093199977622739092426991850,4518950572.98,合并利润表营业收入,2618203540.97,3746193886.96,扩展成本采用与收入对应的主营业务摘要表；制造成本构成小计口径较窄，未替换摘要值。,227277629.82,237182923.49,10136195.77,,是,是,否,无；分行业与分产品金额相同，仅采用一套产品行,"严格区间[0.620120590704323778363682154743336167729946694275250470610869, 0.620120590704323778363682154743336167729946694275250470610869]；扩展区间[0.947462619527294673154316417760714093199977622739092426991850, 0.947462619527294673154316417760714093199977622739092426991850]。养殖属直接农业；饲料和动物疫苗属农业投入品；食品加工、工程环保及其他排除。",无。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,22,87,https://static.cninfo.com.cn/finalpage/2019-04-24/1206080362.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002124,天邦食品股份有限公司,2019,待核实,待核实,生猪养殖,4444133042.96,4444133042.96,4444133042.96,生猪养殖4444133042.96,0.739840073168155238121910583039941366775175244227964363359152,0.739840073168155238121910583039941366775175244227964363359152,生猪养殖+饲料产品+动物疫苗,5770782770.43,5770782770.43,5770782770.43,生猪养殖4444133042.96+饲料1268982950.00+动物疫苗57666777.47=5770782770.43,0.960694989515616216416251009417995826701519922049431959849411,0.960694989515616216416251009417995826701519922049431959849411,6006883384.85,合并利润表营业收入,3915593481.76,4954673218.84,扩展成本采用与收入对应的主营业务摘要表；制造成本构成小计口径较窄，未替换摘要值。,219663228.86,218954972.07,16437385.56,,是,是,否,无；分行业与分产品金额相同，仅采用一套产品行,"严格区间[0.739840073168155238121910583039941366775175244227964363359152, 0.739840073168155238121910583039941366775175244227964363359152]；扩展区间[0.960694989515616216416251009417995826701519922049431959849411, 0.960694989515616216416251009417995826701519922049431959849411]。养殖属直接农业；饲料和动物疫苗属农业投入品；食品加工、工程环保及其他排除。",无。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,21,97,https://static.cninfo.com.cn/finalpage/2020-04-29/1207663251.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002124,天邦食品股份有限公司,2020,待核实,待核实,生猪养殖,8025648099.15,8025648099.15,8025648099.15,生猪养殖8025648099.15,0.745590610506777526094951053426781966071872352855968446017460,0.745590610506777526094951053426781966071872352855968446017460,生猪养殖+饲料产品+动物疫苗,9368118223.73,9368118223.73,9368118223.73,生猪养殖8025648099.15+饲料1270059791.01+动物疫苗72410333.57=9368118223.73,0.870307406883474027317229310012912466859617424365145753368427,0.870307406883474027317229310012912466859617424365145753368427,10764148563.64,合并利润表营业收入,3765880374.55,4857843875.40,扩展成本采用与收入对应的主营业务摘要表；制造成本构成小计口径较窄，未替换摘要值。,1359034298.69,1329710390.00,36996041.22,,是,是,否,无；分行业与分产品金额相同，仅采用一套产品行,"严格区间[0.745590610506777526094951053426781966071872352855968446017460, 0.745590610506777526094951053426781966071872352855968446017460]；扩展区间[0.870307406883474027317229310012912466859617424365145753368427, 0.870307406883474027317229310012912466859617424365145753368427]。养殖属直接农业；饲料和动物疫苗属农业投入品；食品加工、工程环保及其他排除。",无。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,18,96,https://static.cninfo.com.cn/finalpage/2021-04-21/1209740052.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002124,天邦食品股份有限公司,2021,3.0,畜牧业,生猪养殖,6349741310.58,6349741310.58,6349741310.58,生猪养殖6349741310.58,0.604355615265428948721249546847404147058502611260228367924790,0.604355615265428948721249546847404147058502611260228367924790,生猪养殖+饲料产品+动物疫苗,7826257837.34,7826257837.34,7826257837.34,生猪养殖6349741310.58+饲料1432680389.36+动物疫苗43836137.40=7826257837.34,0.744887490555023305313942422629235204201738976106919384494983,0.744887490555023305313942422629235204201738976106919384494983,10506630781.93,合并利润表营业收入,8483328081.12,9740556091.21,扩展成本采用与收入对应的主营业务摘要表；制造成本构成小计口径较窄，未替换摘要值。,2656595015.06,2612825328.08,23777929.53,,是,是,否,无；分行业与分产品金额相同，仅采用一套产品行,"严格区间[0.604355615265428948721249546847404147058502611260228367924790, 0.604355615265428948721249546847404147058502611260228367924790]；扩展区间[0.744887490555023305313942422629235204201738976106919384494983, 0.744887490555023305313942422629235204201738976106919384494983]。养殖属直接农业；饲料和动物疫苗属农业投入品；食品加工、工程环保及其他排除。",无。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,15,87,https://static.cninfo.com.cn/finalpage/2022-04-28/1213189424.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
002124,天邦食品股份有限公司,2022,待核实,待核实,生猪养殖,6932682024.73,6932682024.73,6932682024.73,生猪养殖6932682024.73,0.724346874145709484957582224723927273881751870967675160650747,0.724346874145709484957582224723927273881751870967675160650747,生猪养殖+饲料产品+动物疫苗,7361367412.03,7361367412.03,7361367412.03,生猪养殖6932682024.73+饲料428685387.30+动物疫苗0.00=7361367412.03,0.769137175961808025649367561015065542231747240568198011951762,0.769137175961808025649367561015065542231747240568198011951762,9570942144.13,合并利润表营业收入,5527860080.75,5527860080.75,2022饲料收入单列但成本表未单列饲料成本；扩展已核实成本仅含养殖成本，不将缺失成本记零。,2202235568.23,2229758219.56,7339163.87,,是,是,否,无；分行业与分产品金额相同，仅采用一套产品行,"严格区间[0.724346874145709484957582224723927273881751870967675160650747, 0.724346874145709484957582224723927273881751870967675160650747]；扩展区间[0.769137175961808025649367561015065542231747240568198011951762, 0.769137175961808025649367561015065542231747240568198011951762]。养殖属直接农业；饲料和动物疫苗属农业投入品；食品加工、工程环保及其他排除。",2022饲料成本待补；不影响收入阈值判断。,,,,仅保留状态标记；未用ST或退市状态改变业务分类与收入判定。,17,78,https://static.cninfo.com.cn/finalpage/2023-04-29/1216688154.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批O组（未合并）,已人工复核（第十六批O组；主表未合并）,2026-08-11
