股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,直接农业收入_元,确认初加工收入_元,直接农业成本_元_反向证据,确认初加工成本_元_反向证据,食用植物油混合大类收入_元_扩展上界,食用植物油混合大类成本_元_反向证据,食用植物油混合大类制造成本_元_反向证据,未拆其他营业收入上界增量_元,未拆其他营业成本_元_反向证据,未拆其他制造成本_元_反向证据,深加工或混合类别,深加工或混合类别收入_元_反向证据,深加工或混合类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002216,三全食品股份有限公司,2014,待核实,待核实,2014年单列商品猪（直接农业）；其余年份未单列直接农业收入,,3589224.40,14854424.14,下界=商品猪3589224.40；上界=商品猪3589224.40+未拆其他业务11265199.74=14854424.14,0.000876624219876455928228319246231305473460660286249891255974335,0.00362801165996795707672132532110416613926066074230680442970356,同严格口径；速冻米面食品属于深加工，不纳入扩展口径,,3589224.40,14854424.14,下界=商品猪3589224.40；上界=商品猪3589224.40+未拆其他业务11265199.74=14854424.14,0.000876624219876455928228319246231305473460660286249891255974335,0.00362801165996795707672132532110416613926066074230680442970356,4094370562.23,合并利润表营业收入,3589224.40,0.00,4355620.01,0.00,,,,11265199.74,4142954.76,,速冻面米制品等深加工食品,4079516138.09,2670020128.05,商品猪成本4355620.01；深加工主营成本2670020128.05；其他业务成本4142954.76，均未倒推收入,否,否,否,主营/其他业务为互斥维度；分产品与分地区不相加；2014商品猪已从深加工主营收入中剔除,仅2014年单列商品猪属于直接农业；速冻食品为深加工，原料采购和原料基地不替代涉农收入。,其他业务未拆是否含直接农业、初加工或投入品，仅作上界；上界不影响结论。,16,69,https://static.cninfo.com.cn/finalpage/2015-03-20/1200719229.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002216,三全食品股份有限公司,2015,待核实,待核实,2014年单列商品猪（直接农业）；其余年份未单列直接农业收入,,0.00,15416675.90,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务15416675.90=15416675.90,0,0.00363824034531502744630495308783182742956505380888745519001533,同严格口径；速冻米面食品属于深加工，不纳入扩展口径,,0.00,15416675.90,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务15416675.90=15416675.90,0,0.00363824034531502744630495308783182742956505380888745519001533,4237398972.24,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,15416675.90,7287980.64,,速冻面米制品等深加工食品,4221982296.34,2834672917.65,商品猪成本0.00；深加工主营成本2834672917.65；其他业务成本7287980.64，均未倒推收入,否,否,否,主营/其他业务为互斥维度；分产品与分地区不相加；2014商品猪已从深加工主营收入中剔除,仅2014年单列商品猪属于直接农业；速冻食品为深加工，原料采购和原料基地不替代涉农收入。,其他业务未拆是否含直接农业、初加工或投入品，仅作上界；上界不影响结论。,14|15,67,https://static.cninfo.com.cn/finalpage/2016-04-22/1202219859.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002216,三全食品股份有限公司,2018,待核实,待核实,2014年单列商品猪（直接农业）；其余年份未单列直接农业收入,,0.00,13805448.06,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务13805448.06=13805448.06,0,0.00249226581615136934283411466587454030193391408413844483905229,同严格口径；速冻米面食品属于深加工，不纳入扩展口径,,0.00,13805448.06,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务13805448.06=13805448.06,0,0.00249226581615136934283411466587454030193391408413844483905229,5539316059.52,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,13805448.06,2838473.06,,速冻面米制品等深加工食品,5525510611.46,3568882545.50,商品猪成本0.00；深加工主营成本3568882545.50；其他业务成本2838473.06，均未倒推收入,否,否,否,主营/其他业务为互斥维度；分产品与分地区不相加；2014商品猪已从深加工主营收入中剔除,仅2014年单列商品猪属于直接农业；速冻食品为深加工，原料采购和原料基地不替代涉农收入。,其他业务未拆是否含直接农业、初加工或投入品，仅作上界；上界不影响结论。,14|15,70,https://static.cninfo.com.cn/finalpage/2019-04-10/1206004241.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002216,三全食品股份有限公司,2019,待核实,待核实,2014年单列商品猪（直接农业）；其余年份未单列直接农业收入,,0.00,12154531.08,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务12154531.08=12154531.08,0,0.00203058721472342122725050859235749370581052280154682623265796,同严格口径；速冻米面食品属于深加工，不纳入扩展口径,,0.00,12154531.08,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务12154531.08=12154531.08,0,0.00203058721472342122725050859235749370581052280154682623265796,5985722254.07,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,12154531.08,421331.45,,速冻面米制品等深加工食品,5973567722.99,3879916024.22,商品猪成本0.00；深加工主营成本3879916024.22；其他业务成本421331.45，均未倒推收入,否,否,否,主营/其他业务为互斥维度；分产品与分地区不相加；2014商品猪已从深加工主营收入中剔除,仅2014年单列商品猪属于直接农业；速冻食品为深加工，原料采购和原料基地不替代涉农收入。,其他业务未拆是否含直接农业、初加工或投入品，仅作上界；上界不影响结论。,14|15,72,https://static.cninfo.com.cn/finalpage/2020-04-28/1207643317.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002216,三全食品股份有限公司,2020,待核实,待核实,2014年单列商品猪（直接农业）；其余年份未单列直接农业收入,,0.00,32020169.85,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务32020169.85=32020169.85,0,0.00462312834946048584077585623315227407669867299179972275368963,同严格口径；速冻米面食品属于深加工，不纳入扩展口径,,0.00,32020169.85,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务32020169.85=32020169.85,0,0.00462312834946048584077585623315227407669867299179972275368963,6926082823.06,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,32020169.85,21526738.81,,速冻面米制品等深加工食品,6894062653.21,4836048432.27,商品猪成本0.00；深加工主营成本4836048432.27；其他业务成本21526738.81，均未倒推收入,否,否,否,主营/其他业务为互斥维度；分产品与分地区不相加；2014商品猪已从深加工主营收入中剔除,仅2014年单列商品猪属于直接农业；速冻食品为深加工，原料采购和原料基地不替代涉农收入。,其他业务未拆是否含直接农业、初加工或投入品，仅作上界；上界不影响结论。,21|22,88,https://static.cninfo.com.cn/finalpage/2021-04-15/1209692572.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002216,三全食品股份有限公司,2021,待核实,待核实,2014年单列商品猪（直接农业）；其余年份未单列直接农业收入,,0.00,42496079.50,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务42496079.50=42496079.50,0,0.00612032081017220659574305651944212084492584264522189270426522,同严格口径；速冻米面食品属于深加工，不纳入扩展口径,,0.00,42496079.50,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务42496079.50=42496079.50,0,0.00612032081017220659574305651944212084492584264522189270426522,6943439865.01,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,42496079.50,16106599.79,,速冻面米制品等深加工食品,6900943785.51,5040812593.01,商品猪成本0.00；深加工主营成本5040812593.01；其他业务成本16106599.79，均未倒推收入,否,否,否,主营/其他业务为互斥维度；分产品与分地区不相加；2014商品猪已从深加工主营收入中剔除,仅2014年单列商品猪属于直接农业；速冻食品为深加工，原料采购和原料基地不替代涉农收入。,其他业务未拆是否含直接农业、初加工或投入品，仅作上界；上界不影响结论。,18|19|20,83,https://static.cninfo.com.cn/finalpage/2022-04-19/1212961963.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002216,三全食品股份有限公司,2022,待核实,待核实,2014年单列商品猪（直接农业）；其余年份未单列直接农业收入,,0.00,54485146.66,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务54485146.66=54485146.66,0,0.00732888958120592663676735273253161220283545528489521710297559,同严格口径；速冻米面食品属于深加工，不纳入扩展口径,,0.00,54485146.66,下界=商品猪0.00；上界=商品猪0.00+未拆其他业务54485146.66=54485146.66,0,0.00732888958120592663676735273253161220283545528489521710297559,7434297659.46,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,54485146.66,20622070.74,,速冻面米制品等深加工食品,7379812512.80,5327205785.11,商品猪成本0.00；深加工主营成本5327205785.11；其他业务成本20622070.74，均未倒推收入,否,否,否,主营/其他业务为互斥维度；分产品与分地区不相加；2014商品猪已从深加工主营收入中剔除,仅2014年单列商品猪属于直接农业；速冻食品为深加工，原料采购和原料基地不替代涉农收入。,其他业务未拆是否含直接农业、初加工或投入品，仅作上界；上界不影响结论。,20|21,90,https://static.cninfo.com.cn/finalpage/2023-04-25/1216550894.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002582,好想你健康食品股份有限公司,2014,待核实,待核实,未单列公司自营种植或其他直接农业收入,,0.00,661619909.59,下界=0；上界=原枣类645800666.11+未拆其他业务15819243.48=661619909.59,0,0.680032489688583091335375189608447772024862824296793333443073,单列原枣类（分选、清洗、包装等初加工）,645800666.11,645800666.11,661619909.59,下界=单列原枣类645800666.11；上界=原枣类645800666.11+未拆其他业务15819243.48=661619909.59,0.663773003882962951399819689419306008972307527883934317374090,0.680032489688583091335375189608447772024862824296793333443073,972923969.99,合并利润表营业收入,0.00,645800666.11,0.00,350538700.47,,,,15819243.48,9127662.87,,原枣类（确认初加工，非深加工反向证据）,645800666.11,350538700.47,原枣类对应成本350538700.47；其他业务成本9127662.87，仅作反向核对,待核实,是,否,产品维度与主营/其他业务维度不机械相加；上界只加互斥的其他业务，原料基地和采购均不作收入,公司采购红枣及设原料基地不等于公司农业生产收入；2014—2015单列原枣类按扩展初加工纳入，后续混合红枣类别不能拆分。,其他业务未拆，仅作上界增量；不影响扩展样本结论。,17,74,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848914.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002582,好想你健康食品股份有限公司,2015,待核实,待核实,未单列公司自营种植或其他直接农业收入,,0.00,721449458.92,下界=0；上界=原枣类682588148.37+未拆其他业务38861310.55=721449458.92,0,0.648173273471423730340094253803845655704489537542161602415357,单列原枣类（分选、清洗、包装等初加工）,682588148.37,682588148.37,721449458.92,下界=单列原枣类682588148.37；上界=原枣类682588148.37+未拆其他业务38861310.55=721449458.92,0.613259028877921008338793151333345566233578236872207492985018,0.648173273471423730340094253803845655704489537542161602415357,1113050303.75,合并利润表营业收入,0.00,682588148.37,0.00,,,,,38861310.55,41302812.67,,原枣类（确认初加工，非深加工反向证据）,682588148.37,,原枣类未取得同口径销售成本；其他业务成本41302812.67，不以成本倒推收入,待核实,是,否,产品维度与主营/其他业务维度不机械相加；上界只加互斥的其他业务，原料基地和采购均不作收入,公司采购红枣及设原料基地不等于公司农业生产收入；2014—2015单列原枣类按扩展初加工纳入，后续混合红枣类别不能拆分。,其他业务未拆，仅作上下界增量；2015原枣类未取得同口径销售成本，不影响收入结论。,17|18,82,https://static.cninfo.com.cn/finalpage/2016-04-21/1202212536.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002582,好想你健康食品股份有限公司,2018,待核实,待核实,未单列公司自营种植或其他直接农业收入,,0.00,899146551.71,下界=0；上界=混合红枣类868044839.85+未拆其他业务31101711.86=899146551.71,0,0.181666440419369084643768162114363157142279277128839342342135,红枣类混合类别（可能含原枣初加工，也含枣类休闲食品深加工）,,0.00,899146551.71,下界=0；上界=混合红枣类868044839.85+未拆其他业务31101711.86=899146551.71,0,0.181666440419369084643768162114363157142279277128839342342135,4949436723.89,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,31101711.86,25575981.15,,红枣类（初加工与枣类休闲食品深加工混合类别）,868044839.85,528494209.36,红枣类对应成本528494209.36；其他业务成本25575981.15，仅作反向核对,否,否,否,产品维度与主营/其他业务维度不机械相加；上界只加互斥的其他业务，原料基地和采购均不作收入,公司采购红枣及设原料基地不等于公司农业生产收入；2014—2015单列原枣类按扩展初加工纳入，后续混合红枣类别不能拆分。,红枣类未拆原枣初加工与休闲食品深加工；其他业务亦未拆，均仅作上界。,19|20,108,https://static.cninfo.com.cn/finalpage/2019-04-19/1206055031.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
