股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,工作表采用收入公式,严格口径营业收入_元,严格口径收入公式,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,扩展口径营业收入_元,扩展口径收入公式,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,营业成本反核值_元,营业成本反核公式或说明,公司营业收入_元,公司营业收入公式,严格口径下界原始未四舍五入比例,严格口径上界原始未四舍五入比例,扩展口径下界原始未四舍五入比例,扩展口径上界原始未四舍五入比例,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,金额精度或补充证据说明,复核说明,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
002311,广东海大集团股份有限公司,2014,待核实,待核实,直接养殖/种苗（严格上界）；饲料、动保（扩展下界）,19569268595.12,"采用可确认扩展下界：饲料19,435,041,917.47+动保134,226,677.65",,,0.00,234725137.17,下界0；上界=年报农产品收入（含种苗、生猪、禽产业链、水产养殖，未拆屠宰/加工）,,,19569268595.12,19803993732.29,"下界=饲料19,435,041,917.47+动保134,226,677.65；上界再加农产品234,725,137.17",17543553413.49,"仅为饲料产品营业成本哨兵17,543,553,413.49；不代表全部纳入产品成本",21090411325.24,合并利润表营业收入,0,0.01112947175615736488147996006,0.9278751510977138310381696020,0.9390046228538711959196495620,0.92787515,,,否,是,否,否（同一分产品维度；农产品只进入上界，贸易、其他和饲料机械排除）,,农产品项未拆直接养殖、种苗与禽产业链中的潜在屠宰/加工，故只作上界；扩展下界已超过50%。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,17,91,https://static.cninfo.com.cn/finalpage/2015-04-28/1200918472.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002311,广东海大集团股份有限公司,2015,待核实,待核实,直接养殖/种苗（严格上界）；饲料、动保（扩展下界）,20346042350.61,"采用可确认扩展下界：饲料20,170,113,480.71+动保175,928,869.90",,,0.00,335343627.25,下界0；上界=年报农产品收入（含种苗、生猪、禽产业链、水产养殖，未拆屠宰/加工）,,,20346042350.61,20681385977.86,"下界=饲料20,170,113,480.71+动保175,928,869.90；上界再加农产品335,343,627.25",17923939507.69,"仅为饲料产品营业成本哨兵17,923,939,507.69；不代表全部纳入产品成本",25567402483.20,合并利润表营业收入,0,0.01311606165195505627733771334,0.7957805789610076239283567457,0.8088966406129626802056944591,0.79578058,,,否,是,否,否（同一分产品维度；农产品只进入上界，贸易、其他和饲料机械排除）,,农产品项未拆直接养殖、种苗与禽产业链中的潜在屠宰/加工，故只作上界；扩展下界已超过50%。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,19|20|21,94,https://static.cninfo.com.cn/finalpage/2016-03-29/1202088399.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002311,广东海大集团股份有限公司,2018,待核实,待核实,直接养殖/种苗（严格上界）；饲料、动保（扩展下界）,35438520387.18,"采用可确认扩展下界：饲料34,965,196,221.20+动保473,324,165.98",,,0.00,1741602049.75,下界0；上界=年报农产品收入（含种苗、生猪、禽产业链、水产养殖，未拆屠宰/加工）,,,35438520387.18,37180122436.93,"下界=饲料34,965,196,221.20+动保473,324,165.98；上界再加农产品1,741,602,049.75",31106349787.96,"仅为饲料产品营业成本哨兵31,106,349,787.96；不代表全部纳入产品成本",42156628800.11,合并利润表营业收入,0,0.04131264997511982287593966289,0.8406393346872065271306610571,0.8819519846623263500066007200,0.84063933,,,否,是,否,否（同一分产品维度；农产品只进入上界，贸易、其他和饲料机械排除）,,农产品项未拆直接养殖、种苗与禽产业链中的潜在屠宰/加工，故只作上界；扩展下界已超过50%。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,25|26,105,https://static.cninfo.com.cn/finalpage/2019-04-16/1206019144.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002311,广东海大集团股份有限公司,2019,待核实,待核实,直接养殖/种苗（严格上界）；饲料、动保（扩展下界）,39559250260.37,"采用可确认扩展下界：饲料38,985,186,067.96+动保574,064,192.41",,,0.00,2741203586.44,下界0；上界=年报农产品收入（含种苗、生猪、禽产业链、水产养殖，未拆屠宰/加工）,,,39559250260.37,42300453846.81,"下界=饲料38,985,186,067.96+动保574,064,192.41；上界再加农产品2,741,203,586.44",34759643284.59,"仅为饲料产品营业成本哨兵34,759,643,284.59；不代表全部纳入产品成本",47612587464.50,合并利润表营业收入,0,0.05757308586692215684089289556,0.8308569722211678269712070964,0.8884300580880899838120999919,0.83085697,,,否,是,否,否（同一分产品维度；农产品只进入上界，贸易、其他和饲料机械排除）,,农产品项未拆直接养殖、种苗与禽产业链中的潜在屠宰/加工，故只作上界；扩展下界已超过50%。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,22|23|24,114,https://static.cninfo.com.cn/finalpage/2020-04-21/1207538986.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002311,广东海大集团股份有限公司,2020,待核实,待核实,直接养殖/种苗（严格上界）；饲料、动保（扩展下界）,49429876071.33,"采用可确认扩展下界：饲料48,765,213,907.42+动保664,662,163.91",,,0.00,6368085797.46,下界0；上界=年报农产品收入（含种苗、生猪、禽产业链、水产养殖，未拆屠宰/加工）,,,49429876071.33,55797961868.79,"下界=饲料48,765,213,907.42+动保664,662,163.91；上界再加农产品6,368,085,797.46",43734476976.26,"仅为饲料产品营业成本哨兵43,734,476,976.26；不代表全部纳入产品成本",60323862405.94,合并利润表营业收入,0,0.1055649546212237260449346007,0.8194083419045580617378857544,0.9249732965257817877828203550,0.81940834,,,否,是,否,否（同一分产品维度；农产品只进入上界，贸易、其他和饲料机械排除）,,农产品项未拆直接养殖、种苗与禽产业链中的潜在屠宰/加工，故只作上界；扩展下界已超过50%。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,24|25,117,https://static.cninfo.com.cn/finalpage/2021-04-20/1209723720.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002311,广东海大集团股份有限公司,2021,待核实,待核实,直接养殖/种苗（严格上界）；饲料、动保（扩展下界）,70718336184.48,"采用可确认扩展下界：饲料69,825,872,761.95+动保892,463,422.53",,,0.00,8629261147.71,下界0；上界=年报农产品收入（含种苗、生猪、禽产业链、水产养殖，未拆屠宰/加工）,,,70718336184.48,79347597332.19,"下界=饲料69,825,872,761.95+动保892,463,422.53；上界再加农产品8,629,261,147.71",63485844564.16,"仅为饲料产品营业成本哨兵63,485,844,564.16；不代表全部纳入产品成本",85998559748.78,合并利润表营业收入,0,0.1003419263406026651526048987,0.8223200061845597409268841027,0.9226619325251624060794890014,0.82232001,,,否,是,否,否（同一分产品维度；农产品只进入上界，贸易、其他和饲料机械排除）,"采用2021年当年报告：营业收入85,998,559,748.78元、农产品/养殖项8,629,261,147.71元；2022年比较栏分别重列为86,091,961,539.13元和8,722,662,938.06元，不以后续比较数覆盖。",农产品项未拆直接养殖、种苗与禽产业链中的潜在屠宰/加工，故只作上界；扩展下界已超过50%。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,24|25,135,https://static.cninfo.com.cn/finalpage/2022-04-12/1212885355.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002311,广东海大集团股份有限公司,2022,待核实,待核实,直接养殖/种苗（严格上界）；饲料、动保（扩展下界）,85937079549.72,"采用可确认扩展下界：饲料84,892,419,774.07+动保1,044,659,775.65",,,0.00,12455629441.65,下界0；上界=年报农产品收入（含种苗、生猪、禽产业链、水产养殖，未拆屠宰/加工）,,,85937079549.72,98392708991.37,"下界=饲料84,892,419,774.07+动保1,044,659,775.65；上界再加农产品12,455,629,441.65",78060758981.95,"仅为饲料产品营业成本哨兵78,060,758,981.95；不代表全部纳入产品成本",104715417485.92,合并利润表营业收入,0,0.1189474266606899577837476951,0.8206726536832560588688885790,0.9396200803439460166526362741,0.82067265,,,否,是,否,否（同一分产品维度；农产品只进入上界，贸易、其他和饲料机械排除）,,农产品项未拆直接养殖、种苗与禽产业链中的潜在屠宰/加工，故只作上界；扩展下界已超过50%。,2022逐公司行业分类待核实；收入结论仅据年报，不用相邻年份外推。,25,113,https://static.cninfo.com.cn/finalpage/2023-04-25/1216557717.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002385,北京大北农科技集团股份有限公司,2014,待核实,待核实,生猪养殖（严格）；饲料、种子、植保、动保及生猪（扩展）,18160561439.92,"采用可确认扩展下界：饲料17,188,165,669.59+种业477,700,306.64+植保115,626,277.87+动保379,069,185.82",,,0.00,105186669.43,"下界0；上界=未拆分其他产品105,186,669.43",,,18160561439.92,18265748109.35,"饲料17,188,165,669.59+种业477,700,306.64+植保115,626,277.87+动保379,069,185.82；上界再加未拆其他产品105,186,669.43",13754576201.42,"仅为饲料产品营业成本哨兵13,754,576,201.42；不代表全部纳入产品成本",18444915959.83,合并利润表营业收入,0,0.005702745930590266934900165594,0.9845835827862117951918093752,0.9902863287168020621267095408,0.98458358,,,否,是,否,否（同一分产品维度；2015生猪为其他产品的已披露子项，其余其他产品只进上界；原料贸易排除）,,饲料、种业、植保、疫苗/兽药属于农业投入品；原料贸易排除，其他产品不自动纳入。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,18,94,https://static.cninfo.com.cn/finalpage/2015-04-10/1200804230.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002385,北京大北农科技集团股份有限公司,2015,待核实,待核实,生猪养殖（严格）；饲料、种子、植保、动保及生猪（扩展）,15944136725.76,"采用可确认扩展下界：饲料14,544,272,271.98+种业675,640,247.42+植保106,426,478.88+动保336,977,527.48+生猪280,820,200.00",280820200.00,"生猪收入28,082.02万元×10,000",280820200.00,280820200.00,"生猪收入28,082.02万元×10,000",,,15944136725.76,16098085185.45,"饲料14,544,272,271.98+种业675,640,247.42+植保106,426,478.88+动保336,977,527.48+生猪280,820,200.00；上界再加未拆其他产品153,948,459.69",11335374621.00,"仅为饲料产品营业成本哨兵11,335,374,621.00；不代表全部纳入产品成本",16098085185.45,合并利润表营业收入,0.01744432314557602799667945647,0.01744432314557602799667945647,0.9904368464996604761770089233,1,0.99043685,0.01744432,,否,是,否,否（同一分产品维度；2015生猪为其他产品的已披露子项，其余其他产品只进上界；原料贸易排除）,"生猪收入按年报披露28,082.02万元换算为280,820,200.00元，来源精度为万元小数点后两位。",饲料、种业、植保、疫苗/兽药属于农业投入品；原料贸易排除，其他产品不自动纳入。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,18|19|20,109,https://static.cninfo.com.cn/finalpage/2016-04-09/1202156231.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
002385,北京大北农科技集团股份有限公司,2018,待核实,待核实,生猪养殖（严格）；饲料、种子、植保、动保及生猪（扩展）,18807397702.53,"采用可确认扩展下界：饲料16,669,564,252.07+养殖1,326,642,013.16+种业391,450,581.09+植保141,165,547.94+动保278,575,308.27",1326642013.16,"养殖产品1,326,642,013.16",1326642013.16,1326642013.16,"养殖产品1,326,642,013.16",,,18807397702.53,19302066717.55,"饲料16,669,564,252.07+养殖1,326,642,013.16+种业391,450,581.09+植保141,165,547.94+动保278,575,308.27；上界再加未拆其他产品494,669,015.02",13426867579.07,"仅为饲料产品营业成本哨兵13,426,867,579.07；不代表全部纳入产品成本",19302066717.55,合并利润表营业收入,0.06873056821183705306967257131,0.06873056821183705306967257131,0.9743722254068144653189083702,1,0.97437223,0.06873057,,否,是,否,否（同一分产品维度；2015生猪为其他产品的已披露子项，其余其他产品只进上界；原料贸易排除）,,饲料、种业、植保、疫苗/兽药属于农业投入品；原料贸易排除，其他产品不自动纳入。,2022逐公司行业分类仍待核实，不影响本年年报收入复核。,21|22,107,https://static.cninfo.com.cn/finalpage/2019-04-24/1206079715.PDF,第十四批G组新增跨年快速复核（未合并）,2026-08-11
