股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,收入成本反核说明,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,收入分项证据PDF页序号,公司营业收入证据PDF页序号,证据定位更正说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
600251,新疆冠农股份有限公司,2014,待核实,待核实,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,糖业+棉花初加工+果蔬加工业（均仅作混合上界）,,0.00,1125936200.00,113291400.00+493580600.00+519064200.00=1125936200.00（下界=0）,0,0.976021431436670810969356050195047258858755400014398465086190,1153597824.53,合并利润表‘营业收入’,0.00,0.00,0.00,983668600.00,96136000.00+473078400.00+414454200.00=983668600.00（上界项目成本反核）,否,待核实,待核实,否（仅加总互斥分行业行；未与分产品行交叉相加）,"严格区间[0, 0]；扩展区间[0, 0.976021431436670810969356050195047258858755400014398465086190]。糖、番茄、棉花行业行互斥，但分别混有深加工和/或外购贸易；未拆分前不形成扩展下界。2022饲料项目处于试生产且无单列收入。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,14,63,,https://static.cninfo.com.cn/finalpage/2015-04-10/1200806718.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600251,新疆冠农股份有限公司,2015,待核实,待核实,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,糖业+棉花初加工+果蔬加工业（均仅作混合上界）,,0.00,1476960748.68,209361703.10+384187836.30+883411209.28=1476960748.68（下界=0）,0,0.964276048742087220416723609363382831926229742495848996873932,1531678351.45,合并利润表‘营业收入’,0.00,0.00,0.00,1293156755.67,183503648.47+368399311.55+741253795.65=1293156755.67（上界项目成本反核）,否,待核实,待核实,否（仅加总互斥分行业行；未与分产品行交叉相加）,"严格区间[0, 0]；扩展区间[0, 0.964276048742087220416723609363382831926229742495848996873932]。糖、番茄、棉花行业行互斥，但分别混有深加工和/或外购贸易；未拆分前不形成扩展下界。2022饲料项目处于试生产且无单列收入。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,12,56,,https://static.cninfo.com.cn/finalpage/2016-04-11/1202160861.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600251,新疆冠农股份有限公司,2018,待核实,待核实,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,糖业+棉花初加工+果蔬加工业（均仅作混合上界）,,0.00,1270737523.40,225600063.54+703291712.90+341845746.96=1270737523.40（下界=0）,0,0.584306921975236385239202614365738849319458892924052816498117,2174777459.60,合并利润表‘营业收入’,0.00,0.00,0.00,1152896402.64,182690378.09+687421716.23+282784308.32=1152896402.64（上界项目成本反核）,否,待核实,待核实,否（仅加总互斥分行业行；未与分产品行交叉相加）,"严格区间[0, 0]；扩展区间[0, 0.584306921975236385239202614365738849319458892924052816498117]。糖、番茄、棉花行业行互斥，但分别混有深加工和/或外购贸易；未拆分前不形成扩展下界。2022饲料项目处于试生产且无单列收入。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,11|12,62,,https://static.cninfo.com.cn/finalpage/2019-03-29/1205958587.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600251,新疆冠农股份有限公司,2019,待核实,待核实,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,糖业+棉花初加工+果蔬加工业（均仅作混合上界）,,0.00,1309342628.66,278473369.28+727893984.37+302975275.01=1309342628.66（下界=0）,0,0.402023491288055925901805045908061426982001155917093627555552,3256880896.35,合并利润表‘营业收入’,0.00,0.00,0.00,1158204966.81,243308545.52+679448499.46+235447921.83=1158204966.81（上界项目成本反核）,否,否,待核实,否（仅加总互斥分行业行；未与分产品行交叉相加）,"严格区间[0, 0]；扩展区间[0, 0.402023491288055925901805045908061426982001155917093627555552]。糖、番茄、棉花行业行互斥，但分别混有深加工和/或外购贸易；未拆分前不形成扩展下界。2022饲料项目处于试生产且无单列收入。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,12,62,,https://static.cninfo.com.cn/finalpage/2020-04-25/1207609654.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600251,新疆冠农股份有限公司,2020,待核实,待核实,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,糖业+棉花初加工+果蔬加工业（均仅作混合上界）,,0.00,1020292887.68,190201170.61+252396504.53+577695212.54=1020292887.68（下界=0）,0,0.368426488190462900048172083963426508213623400394522600391809,2769325551.73,合并利润表‘营业收入’,0.00,0.00,0.00,824180472.05,147749918.49+218232073.77+458198479.79=824180472.05（上界项目成本反核）,否,否,待核实,否（仅加总互斥分行业行；未与分产品行交叉相加）,"严格区间[0, 0]；扩展区间[0, 0.368426488190462900048172083963426508213623400394522600391809]。糖、番茄、棉花行业行互斥，但分别混有深加工和/或外购贸易；未拆分前不形成扩展下界。2022饲料项目处于试生产且无单列收入。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,11|12,69,,https://static.cninfo.com.cn/finalpage/2021-03-27/1209461962.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600251,新疆冠农股份有限公司,2021,待核实,待核实,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,糖业+棉花初加工+果蔬加工业（均仅作混合上界）,,0.00,1372774282.84,130434894.20+728193566.38+514145822.26=1372774282.84（下界=0）,0,0.351679746154409766491030529593855917266365969781581781391371,3903478371.59,合并利润表‘营业收入’,0.00,0.00,0.00,1234253149.47,114560585.27+690459139.43+429233424.77=1234253149.47（上界项目成本反核）,否,否,待核实,否（仅加总互斥分行业行；未与分产品行交叉相加）,"严格区间[0, 0]；扩展区间[0, 0.351679746154409766491030529593855917266365969781581781391371]。糖、番茄、棉花行业行互斥，但分别混有深加工和/或外购贸易；未拆分前不形成扩展下界。2022饲料项目处于试生产且无单列收入。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,12,67,,https://static.cninfo.com.cn/finalpage/2023-04-21/1216498333.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600251,新疆冠农股份有限公司,2022,待核实,待核实,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,糖业+棉花初加工+果蔬加工业（均仅作混合上界）,,0.00,1717593164.78,106723514.67+845095330.13+765774319.98=1717593164.78（下界=0）,0,0.711812470165621773746728310599898731778275117531464438792381,2412985493.75,"合并利润表‘营业收入’；官方年报PDF页68，主营业务段241,298.55万元交叉核对",0.00,0.00,0.00,1573534627.43,90750121.54+907868249.81+574916256.08=1573534627.43（上界项目成本反核）,否,待核实,待核实,否（仅加总互斥分行业行；未与分产品行交叉相加）,"严格区间[0, 0]；扩展区间[0, 0.711812470165621773746728310599898731778275117531464438792381]。糖、番茄、棉花行业行互斥，但分别混有深加工和/或外购贸易；未拆分前不形成扩展下界。2022饲料项目处于试生产且无单列收入。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,12,68,v23利润表摘录落在前期差错更正页；本批按其候选定位中的官方年报PDF页68核对当期合并利润表。,https://static.cninfo.com.cn/finalpage/2023-04-21/1216498346.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600313,中农发种业集团股份有限公司,2015,1.0,农业,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,同一产品层级明确的化肥、农药及各类种子,3329454190.06,3329454190.06,3396210803.46,下界=小麦种293504919.14+玉米种134991162.71+其他经济作物种子18576351.15+马铃薯种43187667.85+豆类种4809935.81+水稻种120386633.35+化肥2530701608.66+棉花种1831757.25+油菜种8341484.96+芝麻种533169.60+甘蔗种7245589.00+农药149208619.66+蔬菜种3039025.02+谷种79708.50+花生种13016557.40=3329454190.06；上界=下界+农资贸易行业未解释增量25934932.65+种子销售行业未解释增量40821680.75=3396210803.46,0.882447296389069848890179489499548990231803386534278793990481,0.900140644802390036660403449232395566454344559412325554239060,3772977948.58,合并利润表‘营业收入’,0.00,0.00,3124092359.91,3184182843.18,明确产品成本下界=3124092359.91；行业未解释成本增量上界=60090483.27；扩展成本上界=3184182843.18；成本仅作收入列反核,否,是,否,否（下界仅采用同一分产品层级；行业行只贡献正的未解释上界增量）,"严格区间[0, 0]；扩展区间[0.882447296389069848890179489499548990231803386534278793990481, 0.900140644802390036660403449232395566454344559412325554239060]。下界只加总同一分产品层级明确的化肥、农药及种子；农资贸易/种子销售行业行只用于识别正的未解释上界增量。大理石、粮食贸易、麸皮、谷朊粉、淀粉、面粉、黄粉、核辐及其他不明确产品均不进下界。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,10|11,61,,https://static.cninfo.com.cn/finalpage/2016-04-28/1202260431.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600313,中农发种业集团股份有限公司,2016,1.0,农业,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,同一产品层级明确的化肥、农药及各类种子,3980284710.84,3980284710.84,3981183952.93,下界=小麦种339536553.48+玉米种166262449.71+其他经济作物种子10836071.87+马铃薯种66582656.70+豆类种10100000.76+水稻种148318695.30+化肥2784265086.04+棉花种1857123.98+油菜种8502205.62+芝麻种455070.34+甘蔗种5998421.50+农药407063959.93+蔬菜种8685728.08+谷种7372.00+花生种21813315.53=3980284710.84；上界=下界+农资贸易行业未解释增量899242.09+种子销售行业未解释增量0.00=3981183952.93,0.901638623377094331576904911128780122128599268872777738616325,0.901842325237391463839638141050746883989139967955698226826357,4414501117.90,合并利润表‘营业收入’,0.00,0.00,3688396239.46,3689547258.46,明确产品成本下界=3688396239.46；行业未解释成本增量上界=1151019.00；扩展成本上界=3689547258.46；成本仅作收入列反核,否,是,否,否（下界仅采用同一分产品层级；行业行只贡献正的未解释上界增量）,"严格区间[0, 0]；扩展区间[0.901638623377094331576904911128780122128599268872777738616325, 0.901842325237391463839638141050746883989139967955698226826357]。下界只加总同一分产品层级明确的化肥、农药及种子；农资贸易/种子销售行业行只用于识别正的未解释上界增量。大理石、粮食贸易、麸皮、谷朊粉、淀粉、面粉、黄粉、核辐及其他不明确产品均不进下界。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,13|14,77,,https://static.cninfo.com.cn/finalpage/2017-05-03/1203470537.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
600313,中农发种业集团股份有限公司,2017,1.0,农业,无单列直接农业生产收入,0.00,0.00,下界=上界=0,0,0,同一产品层级明确的化肥、农药及各类种子,3504992772.99,3504992772.99,3504992772.99,下界=小麦种307846630.47+玉米种124991185.45+其他经济作物种子3182423.89+马铃薯种11190346.00+豆类种12137342.86+水稻种123011158.36+化肥2501366822.68+棉花种1899004.04+油菜种5824366.14+芝麻种230545.69+甘蔗种3157453.92+农药387493217.11+蔬菜种1360843.42+谷种7558.00+花生种12698406.80+草籽8595468.16=3504992772.99；上界=下界+农资贸易行业未解释增量0.00+种子销售行业未解释增量0.00=3504992772.99,0.906456990329240699958932234053418495396927885077554496643968,0.906456990329240699958932234053418495396927885077554496643968,3866695067.04,合并利润表‘营业收入’,0.00,0.00,3333681114.18,3333681114.18,明确产品成本下界=3333681114.18；行业未解释成本增量上界=0.00；扩展成本上界=3333681114.18；成本仅作收入列反核,否,是,否,否（下界仅采用同一分产品层级；行业行只贡献正的未解释上界增量）,"严格区间[0, 0]；扩展区间[0.906456990329240699958932234053418495396927885077554496643968, 0.906456990329240699958932234053418495396927885077554496643968]。下界只加总同一分产品层级明确的化肥、农药及种子；农资贸易/种子销售行业行只用于识别正的未解释上界增量。大理石、粮食贸易、麸皮、谷朊粉、淀粉、面粉、黄粉、核辐及其他不明确产品均不进下界。",混合加工/养殖/贸易项目需取得分部明细后才能写入正式分子；无法拆分时不估算。,12|13,68,,https://static.cninfo.com.cn/finalpage/2018-04-27/1204805337.PDF,沿用v23原值；待核实时不插值、不复制相邻年份,跨年快速复核第十四批H组（未合并）,已人工复核（第十四批H组；主表未合并）,2026-08-11
