股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,未拆候选收入上界_元,未拆候选上界公式,深加工排除类别,深加工收入_元_反向证据,深加工成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,排除业务说明,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002507,重庆市涪陵榨菜集团股份有限公司,2014,待核实,待核实,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2011556.34,0—其他业务收入2011556.34,0,0.0022192107197349283435587247245772838933268457554571,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2011556.34,0—其他业务收入2011556.34,0,0.0022192107197349283435587247245772838933268457554571,906428723.56,合并利润表营业收入,2011556.34,0—其他业务收入2011556.34,食品加工（榨菜、佐餐开胃菜及榨菜酱油）,904417167.22,519771953.77,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,榨菜、萝卜/佐餐菜、泡菜、榨菜酱油等均为腌制或调味食品深加工,公司采购青菜头等农产品并加工销售；原料来自农业不等于公司取得直接农业或初加工收入。,其他业务收入未拆分，正式分子留空；须取得明细后才能确认其中是否存在直接农业或初加工收入。 因上界仍低于30%，不影响三类样本结论。,15,66,https://static.cninfo.com.cn/finalpage/2015-03-28/1200753843.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002507,重庆市涪陵榨菜集团股份有限公司,2015,待核实,待核实,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,1983771.91,0—其他业务收入1983771.91,0,0.0021315778887777240272211353662554298811134624126377,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,1983771.91,0—其他业务收入1983771.91,0,0.0021315778887777240272211353662554298811134624126377,930658889.10,合并利润表营业收入,1983771.91,0—其他业务收入1983771.91,食品加工（榨菜、佐餐开味菜、榨菜酱油及泡菜）,928675117.19,519188612.64,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,榨菜、萝卜/佐餐菜、泡菜、榨菜酱油等均为腌制或调味食品深加工,公司采购青菜头等农产品并加工销售；原料来自农业不等于公司取得直接农业或初加工收入。,其他业务收入未拆分，正式分子留空；须取得明细后才能确认其中是否存在直接农业或初加工收入。 因上界仍低于30%，不影响三类样本结论。,12|13,70,https://static.cninfo.com.cn/finalpage/2016-03-31/1202111613.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002507,重庆市涪陵榨菜集团股份有限公司,2018,待核实,待核实,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2227749.63,0—其他业务收入2227749.63,0,0.0011637083384300506566134537049541869901031144701089,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2227749.63,0—其他业务收入2227749.63,0,0.0011637083384300506566134537049541869901031144701089,1914353929.10,合并利润表营业收入,2227749.63,0—其他业务收入2227749.63,食品加工（榨菜、萝卜/佐餐菜、泡菜等）,1912126179.47,846263093.30,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,榨菜、萝卜/佐餐菜、泡菜、榨菜酱油等均为腌制或调味食品深加工,公司采购青菜头等农产品并加工销售；原料来自农业不等于公司取得直接农业或初加工收入。,其他业务收入未拆分，正式分子留空；须取得明细后才能确认其中是否存在直接农业或初加工收入。 因上界仍低于30%，不影响三类样本结论。,13|14|15,72,https://static.cninfo.com.cn/finalpage/2019-03-22/1205923892.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002507,重庆市涪陵榨菜集团股份有限公司,2019,待核实,待核实,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2909253.85,0—其他业务收入2909253.85,0,0.0014622355778139326282051730255278828871065886035168,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2909253.85,0—其他业务收入2909253.85,0,0.0014622355778139326282051730255278828871065886035168,1989593123.12,合并利润表营业收入,2909253.85,0—其他业务收入2909253.85,食品加工（榨菜、萝卜、泡菜及其他产品）,1986683869.27,822148847.03,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,榨菜、萝卜/佐餐菜、泡菜、榨菜酱油等均为腌制或调味食品深加工,公司采购青菜头等农产品并加工销售；原料来自农业不等于公司取得直接农业或初加工收入。,其他业务收入未拆分，正式分子留空；须取得明细后才能确认其中是否存在直接农业或初加工收入。 因上界仍低于30%，不影响三类样本结论。,14|15,68,https://static.cninfo.com.cn/finalpage/2020-03-17/1207377743.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002507,重庆市涪陵榨菜集团股份有限公司,2020,待核实,待核实,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2336634.89,0—其他业务收入2336634.89,0,0.0010281106092214084965477007686893356898420220617048,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2336634.89,0—其他业务收入2336634.89,0,0.0010281106092214084965477007686893356898420220617048,2272746598.51,合并利润表营业收入,2336634.89,0—其他业务收入2336634.89,食品加工（榨菜、萝卜、泡菜及其他产品）,2270409963.62,947198331.17,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,榨菜、萝卜/佐餐菜、泡菜、榨菜酱油等均为腌制或调味食品深加工,公司采购青菜头等农产品并加工销售；原料来自农业不等于公司取得直接农业或初加工收入。,其他业务收入未拆分，正式分子留空；须取得明细后才能确认其中是否存在直接农业或初加工收入。 因上界仍低于30%，不影响三类样本结论。,17|18,77,https://static.cninfo.com.cn/finalpage/2021-04-29/1209847174.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002507,重庆市涪陵榨菜集团股份有限公司,2021,待核实,待核实,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2259849.54,0—其他业务收入2259849.54,0,0.00089724728826436981633517109437389214738850254332509,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2259849.54,0—其他业务收入2259849.54,0,0.00089724728826436981633517109437389214738850254332509,2518647389.14,合并利润表营业收入,2259849.54,0—其他业务收入2259849.54,食品加工（榨菜、萝卜、泡菜及其他产品）,2516387539.60,1199647112.57,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,榨菜、萝卜/佐餐菜、泡菜、榨菜酱油等均为腌制或调味食品深加工,公司采购青菜头等农产品并加工销售；原料来自农业不等于公司取得直接农业或初加工收入。,其他业务收入未拆分，正式分子留空；须取得明细后才能确认其中是否存在直接农业或初加工收入。 因上界仍低于30%，不影响三类样本结论。,17|18|19,91,https://static.cninfo.com.cn/finalpage/2022-03-18/1212606350.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002507,重庆市涪陵榨菜集团股份有限公司,2022,待核实,待核实,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2433686.79,0—其他业务收入2433686.79,0,0.00095501800146911730265357723653549228264413547557010,未确认；以其他业务收入（未拆分，可能包含非涉农项目）作保守上界,,0.00,2433686.79,0—其他业务收入2433686.79,0,0.00095501800146911730265357723653549228264413547557010,2548315095.90,合并利润表营业收入,2433686.79,0—其他业务收入2433686.79,食品加工（榨菜、萝卜、泡菜及其他产品）,2545881409.11,1193914934.27,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,榨菜、萝卜/佐餐菜、泡菜、榨菜酱油等均为腌制或调味食品深加工,公司采购青菜头等农产品并加工销售；原料来自农业不等于公司取得直接农业或初加工收入。,其他业务收入未拆分，正式分子留空；须取得明细后才能确认其中是否存在直接农业或初加工收入。 因上界仍低于30%，不影响三类样本结论。,17|18,78,https://static.cninfo.com.cn/finalpage/2023-03-25/1216218389.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002702,海欣食品股份有限公司,2014,待核实,待核实,未确认；以鱼糜/其他产品未拆候选项作保守上界,,0.00,3912146.42,0—（鱼糜268575.23+其他产品3643571.19）=3912146.42,0,0.0045741215967174303948865098893165724407163393407059,未确认；以鱼糜/其他产品未拆候选项作保守上界,,0.00,3912146.42,0—（鱼糜268575.23+其他产品3643571.19）=3912146.42,0,0.0045741215967174303948865098893165724407163393407059,855278185.61,合并利润表营业收入,3912146.42,0—（鱼糜268575.23+其他产品3643571.19）=3912146.42,食品加工制造业（速冻鱼肉/肉制品等）,851634614.42,590900211.92,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,速冻鱼肉制品、速冻肉制品、常温休闲制品、速冻米面及菜肴均为食品深加工,鱼糜或鱼浆是生产原料/中间材料；年报未单列公司外售原料鱼、初加工水产品或农业投入品收入。,其他产品未拆分；2014年鱼糜亦可能属于初加工候选。正式分子留空，须取得产品性质及外销明细后确认。 因上界仍低于30%，不影响三类样本结论。,16,66,https://static.cninfo.com.cn/finalpage/2015-03-27/1200746792.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002702,海欣食品股份有限公司,2015,待核实,待核实,未确认；以其他产品未拆候选项作保守上界,,0.00,3875056.70,0—其他产品3875056.70,0,0.0047561708158551463575479738986474723257405811904803,未确认；以其他产品未拆候选项作保守上界,,0.00,3875056.70,0—其他产品3875056.70,0,0.0047561708158551463575479738986474723257405811904803,814742962.36,合并利润表营业收入,3875056.70,0—其他产品3875056.70,食品加工制造业（速冻鱼肉/肉制品及休闲制品）,814742962.36,568492259.16,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,速冻鱼肉制品、速冻肉制品、常温休闲制品、速冻米面及菜肴均为食品深加工,鱼糜或鱼浆是生产原料/中间材料；年报未单列公司外售原料鱼、初加工水产品或农业投入品收入。,其他产品未拆分；2014年鱼糜亦可能属于初加工候选。正式分子留空，须取得产品性质及外销明细后确认。 因上界仍低于30%，不影响三类样本结论。,13|14,68,https://static.cninfo.com.cn/finalpage/2016-04-21/1202210343.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002702,海欣食品股份有限公司,2018,待核实,待核实,未确认；以其他产品未拆候选项作保守上界,,0.00,6570263.16,0—其他产品6570263.16,0,0.0057406627190542125680907336034966694776675108079006,未确认；以其他产品未拆候选项作保守上界,,0.00,6570263.16,0—其他产品6570263.16,0,0.0057406627190542125680907336034966694776675108079006,1144513008.61,合并利润表营业收入,6570263.16,0—其他产品6570263.16,食品加工制造业（速冻鱼肉/肉制品等）,1144513008.61,763655195.30,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,速冻鱼肉制品、速冻肉制品、常温休闲制品、速冻米面及菜肴均为食品深加工,鱼糜或鱼浆是生产原料/中间材料；年报未单列公司外售原料鱼、初加工水产品或农业投入品收入。,其他产品未拆分；2014年鱼糜亦可能属于初加工候选。正式分子留空，须取得产品性质及外销明细后确认。 因上界仍低于30%，不影响三类样本结论。,12|13,61,https://static.cninfo.com.cn/finalpage/2019-04-02/1205980967.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
