股票代码,公司全称,年份,行业分类代码,行业分类名称,直接涉农业务_保守不重叠口径,直接涉农业务营业收入_元,公司营业收入_元,直接涉农收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,试验记录类型,复核日期
002041,山东登海种业股份有限公司,2013,1.0,农业,玉米种子（保守产品口径）,1437157186.91,1505375096.66,0.95468378,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,14,58,https://static.cninfo.com.cn/finalpage/2014-04-23/63896809.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2014,1.0,农业,玉米种子（保守产品口径）,1415061521.91,1480081484.48,0.95607001,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,14,62,https://static.cninfo.com.cn/finalpage/2015-04-21/1200876975.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2015,1.0,农业,玉米种子（保守产品口径）,1477794264.73,1530773334.98,0.96539065,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,12,80,https://static.cninfo.com.cn/finalpage/2016-07-13/1202467805.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2016,1.0,农业,玉米种子（保守产品口径）,1547236853.14,1602630739.42,0.96543565,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,15,86,https://static.cninfo.com.cn/finalpage/2017-04-21/1203344879.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2017,1.0,农业,玉米种子（保守产品口径）,747975359.62,803820973.69,0.93052481,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,16,64,https://static.cninfo.com.cn/finalpage/2018-04-20/1204668180.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2018,1.0,农业,玉米种子（保守产品口径）,675822056.26,761065669.78,0.88799440,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,16,57,https://static.cninfo.com.cn/finalpage/2019-03-22/1205925542.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2019,1.0,农业,玉米种子（保守产品口径）,721245911.03,823176983.54,0.87617356,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,16,67,https://static.cninfo.com.cn/finalpage/2020-04-22/1207552150.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2020,1.0,农业,玉米种子（保守产品口径）,784860934.35,900743999.55,0.87134739,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,16,61,https://static.cninfo.com.cn/finalpage/2021-04-21/1209736731.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2021,1.0,农业,玉米种子（保守产品口径）,978398114.37,1100726996.19,0.88886538,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,16,67,https://static.cninfo.com.cn/finalpage/2022-04-19/1212966700.PDF,本次新增跨年快速复核,2026-08-10
002041,山东登海种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,玉米种子（保守产品口径）,1353831383.12,1551975042.78,0.87232806,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,14,64,https://static.cninfo.com.cn/finalpage/2024-04-23/1219737119.PDF,2023已核实锚点复验,2026-08-10
002714,牧原食品集团股份有限公司,2014,3.0,畜牧业,畜牧养殖,2602676476.34,2604763390.34,0.99919881,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,16,93,https://static.cninfo.com.cn/finalpage/2015-04-27/1200907919.PDF,本次新增跨年快速复核,2026-08-10
002714,牧原食品集团股份有限公司,2015,3.0,畜牧业,畜牧业（生猪）,3002995668.79,3003474722.79,0.99984050,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,20,95,https://static.cninfo.com.cn/finalpage/2016-02-25/1201997101.PDF,本次新增跨年快速复核,2026-08-10
002714,牧原食品集团股份有限公司,2016,3.0,畜牧业,畜牧业,5605907003.09,5605907003.09,1.00000000,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,22,95,https://static.cninfo.com.cn/finalpage/2017-04-26/1203388322.PDF,本次新增跨年快速复核,2026-08-10
002714,牧原食品集团股份有限公司,2017,3.0,畜牧业,畜牧业,10042415931.26,10042415931.26,1.00000000,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,24,110,https://static.cninfo.com.cn/finalpage/2018-02-10/1204411631.PDF,本次新增跨年快速复核,2026-08-10
002714,牧原食品集团股份有限公司,2018,3.0,畜牧业,生猪（保守产品口径）,13261601545.91,13388157685.94,0.99054716,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,25,132,https://static.cninfo.com.cn/finalpage/2019-03-27/1205942697.PDF,本次新增跨年快速复核,2026-08-10
002714,牧原食品集团股份有限公司,2019,3.0,畜牧业,生猪（保守产品口径）,19627036862.66,20221332525.64,0.97061046,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,29,148,https://static.cninfo.com.cn/finalpage/2020-02-27/1207325910.PDF,本次新增跨年快速复核,2026-08-10
002714,牧原食品集团股份有限公司,2020,3.0,畜牧业,生猪（保守产品口径）,55105001071.85,56277065607.85,0.97917332,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,24,134,https://static.cninfo.com.cn/finalpage/2021-04-30/1209868216.PDF,本次新增跨年快速复核,2026-08-10
002714,牧原食品集团股份有限公司,2021,3.0,畜牧业,生猪（保守产品口径）,75076114955.15,78889870566.40,0.95165722,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,22,151,https://static.cninfo.com.cn/finalpage/2022-04-30/1213254727.PDF,本次新增跨年快速复核,2026-08-10
002714,牧原食品集团股份有限公司,2023,3.0,畜牧业,生猪（保守产品口径）,108224321673.98,110860727714.40,0.97621876,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,22,139,https://static.cninfo.com.cn/finalpage/2024-04-27/1219861302.PDF,2023已核实锚点复验,2026-08-10
600371,万向德农股份有限公司,2013,1.0,农业,种子行业,385242040.47,413015082.51,0.93275538,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,12,39,https://static.cninfo.com.cn/finalpage/2014-04-24/63901035.PDF,本次新增跨年快速复核,2026-08-10
600371,万向德农股份有限公司,2014,1.0,农业,种子行业,425540609.24,438199300.97,0.97111202,是,是,否,否（只取一个分行业或分产品维度；采用保守分子）,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,10,41,https://static.cninfo.com.cn/finalpage/2015-04-11/1200812452.PDF,本次新增跨年快速复核,2026-08-10
