stock_code,short_name,listed_legal_full_name,official_list_name,list_year,event_type,candidate_basis,review_status,leading_firm_direct_match,exchange_source_url,moa_source_url
000066,中国长城,中国长城科技集团股份有限公司,中国长城葡萄酒有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000066,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000066,中国长城,中国长城科技集团股份有限公司,中国长城葡萄酒有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000066,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000066,中国长城,中国长城科技集团股份有限公司,中国长城葡萄酒有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000066,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000066,中国长城,中国长城科技集团股份有限公司,中国长城葡萄酒有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000066,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000430,张家界,张家界旅游集团股份有限公司,张家界久瑞生物科技有限公司,2019,recognition,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000430,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf
000430,张家界,张家界旅游集团股份有限公司,张家界绿航果业有限公司,2021,recognition,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000430,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm
000430,张家界,张家界旅游集团股份有限公司,张家界久瑞生物科技有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000430,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000525,红太阳,南京红太阳股份有限公司,甘肃红太阳面业集团有限责任公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000525,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000525,红太阳,南京红太阳股份有限公司,甘肃红太阳面业集团有限责任公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000525,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000525,红太阳,南京红太阳股份有限公司,福建省红太阳精品有限公司,2019,recognition,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000525,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf
000525,红太阳,南京红太阳股份有限公司,甘肃红太阳面业集团有限责任公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000525,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000525,红太阳,南京红太阳股份有限公司,甘肃红太阳面业集团有限责任公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000525,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000525,红太阳,南京红太阳股份有限公司,福建省红太阳精品有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000525,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000568,泸州老窖,泸州老窖股份有限公司,泸州老窖集团有限责任公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000568,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000639,ST西王,西王食品股份有限公司,山西维之王食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.727，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000639,ST西王,西王食品股份有限公司,西王集团有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000639,ST西王,西王食品股份有限公司,西王集团有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000639,ST西王,西王食品股份有限公司,西王集团有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000639,ST西王,西王食品股份有限公司,西王集团有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000663,永安林业,福建省永安林业(集团)股份有限公司,福建省圣农实业有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000663,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000663,永安林业,福建省永安林业(集团)股份有限公司,福建省天湖茶业有限公司,2020,replacement,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000663,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000663,永安林业,福建省永安林业(集团)股份有限公司,福建省天湖茶业有限公司,2023,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000663,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000713,国投丰乐,国投丰乐种业股份有限公司,合肥丰乐种业股份有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000713,国投丰乐,国投丰乐种业股份有限公司,合肥丰乐种业股份有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000713,国投丰乐,国投丰乐种业股份有限公司,合肥丰乐种业股份有限公司,2020,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000713,国投丰乐,国投丰乐种业股份有限公司,合肥丰乐种业股份有限公司,2023,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000848,承德露露,承德露露股份公司,河北承德露露股份有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000848,承德露露,承德露露股份公司,河北承德露露股份有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000848,承德露露,承德露露股份公司,河北承德露露股份有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000998,隆平高科,袁隆平农业高科技股份有限公司,汇美农业科技有限公司,2016,replacement,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://www.moa.gov.cn/nybgb/2016/shiyiqi/201712/P020180624662692968052.pdf
000998,隆平高科,袁隆平农业高科技股份有限公司,华裕农业科技有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000998,隆平高科,袁隆平农业高科技股份有限公司,汇美农业科技有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000998,隆平高科,袁隆平农业高科技股份有限公司,江西博莱农业高科技股份有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.588，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000998,隆平高科,袁隆平农业高科技股份有限公司,三瑞农业科技股份有限公司,2019,recognition,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf
000998,隆平高科,袁隆平农业高科技股份有限公司,华裕农业科技有限公司,2020,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000998,隆平高科,袁隆平农业高科技股份有限公司,江西博莱农业高科技股份有限公司,2020,monitor_pass,剔除常见公司后缀后的名称相似度=0.588，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000998,隆平高科,袁隆平农业高科技股份有限公司,江西博莱农业高科技股份有限公司,2023,monitor_pass,剔除常见公司后缀后的名称相似度=0.588，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
