stock_code,exchange,short_name,legal_full_name,org_id,search_status,announcement_count,issuer_name_change_notice_count,earliest_exact_event_date,exact_event_years,exact_event_types,last_completion_or_progress_notice_date,timing_screen_result,issuer_name_change_notice_titles,issuer_name_change_notice_urls,retrieved_date,scope_caution
000423,深圳证券交易所,东阿阿胶,东阿阿胶股份有限公司,gssz0000423,检索完成,0,0,2019-11-26,2019 | 2023,第六批新认定名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000538,深圳证券交易所,云南白药,云南白药集团股份有限公司,gssz0000538,检索完成,0,0,2016-10-14,2016 | 2018 | 2020 | 2023,第七次监测递补名单（111家） | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000568,深圳证券交易所,泸州老窖,泸州老窖股份有限公司,gssz0000568,检索完成,0,0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000623,深圳证券交易所,吉林敖东,吉林敖东药业集团股份有限公司,gssz0000623,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000663,深圳证券交易所,永安林业,福建省永安林业(集团)股份有限公司,gssz0000663,检索完成,0,0,2014-09-01,2014 | 2018,第六次监测合格名单 | 第八次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000735,深圳证券交易所,罗 牛 山,罗牛山股份有限公司,gssz0000735,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000848,深圳证券交易所,承德露露,承德露露股份公司,gssz0000848,检索完成,2,2.0,2023-05-12,2023,第十次监测合格名单,2022-05-30,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于拟变更公司名称的公告 | 关于变更公司名称完成工商变更登记的公告,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF | https://static.cninfo.com.cn/finalpage/2022-05-31/1213549112.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000860,深圳证券交易所,顺鑫农业,北京顺鑫农业股份有限公司,gssz0000860,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000910,深圳证券交易所,大亚圣象,大亚圣象家居股份有限公司,gssz0000910,检索完成,4,2.0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,2016-10-18,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于拟变更公司名称和证券简称的提示性公告 | 关于变更公司名称及证券简称的公告,https://static.cninfo.com.cn/finalpage/2016-09-08/1202683666.PDF | https://static.cninfo.com.cn/finalpage/2016-10-19/1202767857.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
000998,深圳证券交易所,隆平高科,袁隆平农业高科技股份有限公司,gssz0000998,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
001201,深圳证券交易所,东瑞股份,东瑞食品集团股份有限公司,9900036405,检索完成,0,0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002041,深圳证券交易所,登海种业,山东登海种业股份有限公司,gssz0002041,检索完成,0,0,2019-11-26,2019 | 2023,第六批新认定名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
