stock_code,exchange,short_name,legal_full_name,year,official_name_normalized,listed_by_year_end,leading_firm_it_candidate,final_variable_status,evidence_event_year,evidence_event_type,evidence_list_type,evidence_document_number,evidence_document_date,evidence_source_url,annual_timing_rule,coverage_status,list_date,source_url,retrieved_date
001201,深圳证券交易所,东瑞股份,东瑞食品集团股份有限公司,2018,东瑞食品集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2021-04-28,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,2026-08-06
001201,深圳证券交易所,东瑞股份,东瑞食品集团股份有限公司,2019,东瑞食品集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2021-04-28,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,2026-08-06
001201,深圳证券交易所,东瑞股份,东瑞食品集团股份有限公司,2020,东瑞食品集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2020,monitor_pass,第九次监测合格名单,农产发〔2020〕6号,2020-11-20,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2021-04-28,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,2026-08-06
002772,深圳证券交易所,众兴菌业,天水众兴菌业科技股份有限公司,2014,天水众兴菌业科技股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2015-06-26,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002772,2026-08-06
002852,深圳证券交易所,道道全,道道全粮油股份有限公司,2014,道道全粮油股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2017-03-10,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002852,2026-08-06
002852,深圳证券交易所,道道全,道道全粮油股份有限公司,2015,道道全粮油股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2017-03-10,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002852,2026-08-06
002873,深圳证券交易所,新天药业,贵阳新天药业股份有限公司,2014,贵阳新天药业股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2017-05-19,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002873,2026-08-06
002873,深圳证券交易所,新天药业,贵阳新天药业股份有限公司,2015,贵阳新天药业股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2017-05-19,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002873,2026-08-06
002910,深圳证券交易所,庄园牧场,兰州庄园牧场股份有限公司,2014,兰州庄园牧场股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2017-10-31,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002910,2026-08-06
002910,深圳证券交易所,庄园牧场,兰州庄园牧场股份有限公司,2015,兰州庄园牧场股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2017-10-31,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002910,2026-08-06
